Indicator,Year,Full Name,FIPS,Population,All Prev Cases,All Prev Rates,F Prev Cases,F Prev Rates,M Prev Cases,M Prev Rates,13-24 Prev Cases,13-24 Prev Rates,25-34 Prev Cases,25-34 Prev Rates,35-44 Prev Cases,35-44 Prev Rates,45-54 Prev Cases,45-54 Prev Rates,55+ Prev Cases,55+ Prev Rates,AI_AN Prev Cases,AI_AN Prev Rates,Asian Prev Cases,Asian Prev Rates,Black Prev Cases,Black Prev Rates,Latino Prev Cases,Latino Prev Rates,Multi Prev Cases,Multi Prev Rates,NH_OPI Prev Cases,NH_OPI Prev Rates,White Prev Cases,White Prev Rates,M2F Prev Cases,ID Prev Cases,M2M Prev Cases,M2MID Prev Cases,O Prev Cases
HIV prevalence,2015,Arkansas,5.0,2470760,5170,209.2,1226,96.7,3944,327.8,281,57.8,860,221.3,1090,298.7,1696,444.4,1243,146.3,4,21.9,16,43.4,2234,606.3,352,232.9,283,847.5,5,87.9,2272,122.4,1237,537,3040,296,61
HIV prevalence,2014,Arkansas,5.0,2459895,5010,203.7,1183,93.7,3827,319.5,293,59.8,822,213,1150,315.7,1650,428.2,1095,131.2,5,27.8,15,42,2162,591.5,336,229.4,283,874.4,3,57.7,2202,118.6,1196,529,2915,310,61
HIV prevalence,2013,Arkansas,5.0,2449550,4714,192.4,1141,90.8,3573,299.6,264,53.8,774,201.5,1140,312.7,1567,400.7,969,118.3,6,33.9,14,40.4,2036,561.1,304,213.3,256,814.6,3,62.4,2091,112.7,1159,502,2696,303,54
HIV prevalence,2012,Arkansas,5.0,2438682,4534,185.9,1112,88.9,3422,288.2,243,49.7,725,189.3,1197,328.5,1506,379.3,863,107.1,4,23,13,38.4,1938,538.6,293,212.1,241,794.9,3,66.3,2038,109.9,1134,507,2554,290,50
HIV prevalence,2011,Arkansas,5.0,2426548,4365,179.9,1084,87.1,3281,277.7,231,47.4,687,180.5,1230,337.2,1471,364.6,746,94.4,4,23.5,13,41,1854,518.6,275,205.4,246,840,3,71.7,1966,106.1,1109,502,2408,292,53
HIV prevalence,2010,Arkansas,5.0,2407988,4264,177.1,1062,85.9,3202,273.2,215,44.5,683,181.1,1283,350.6,1418,348.4,665,85.8,4,24,12,40.3,1787,505.1,271,209.8,245,866.7,4,105.8,1937,104.9,1099,500,2321,293,52
HIV prevalence,2009,Arkansas,5.0,2374089,4255,179.2,1070,87.6,3185,276.4,204,43.6,719,184.8,1344,366.3,1376,344.6,612,81.5,4,23.2,10,38.5,1786,505,259,222.1,235,948.3,4,187.2,1954,106.6,1086,529,2268,320,52
HIV prevalence,2008,Arkansas,5.0,2357363,4092,173.6,1034,85.2,3058,267.3,186,39.7,703,183.2,1366,366.8,1298,327.4,539,73.2,4,23.6,9,36.3,1712,488.4,223,200.9,227,940.3,4,201,1910,104.5,1053,529,2143,320,48
HIV prevalence,2017,California,6.0,32888662,128153,389.7,15158,91.1,112995,695.2,3254,51.5,17637,293.8,23718,455.9,38856,756.7,44688,436.8,292,207.7,5111,102.9,21197,1121.5,48029,400.7,5135,683.4,225,185.5,48155,369.5,15257,8758,93227,9789,1122
HIV prevalence,2016,California,6.0,32663036,125142,383.1,14857,89.9,110285,683.5,3307,51.8,17151,288.8,23499,455.3,40297,778,40888,408.9,283,201.1,4784,98.6,20686,1098.4,46310,391.9,5049,688.7,215,178.7,47806,364.5,14893,8739,90543,9860,1108
HIV prevalence,2015,California,6.0,32390164,121331,374.6,14429,88,106902,668.2,3291,50.8,16332,280.4,23507,456.3,41094,790.5,37107,380.9,265,188.2,4488,94.8,19993,1064.8,44307,381,4902,686.1,204,171.3,47163,357.9,14367,8716,87284,9875,1089
HIV prevalence,2014,California,6.0,32069627,117575,366.6,14063,86.6,103512,653.7,3217,49,15716,275.2,24006,466.6,41094,789.7,33542,354.9,259,184.1,4210,91.5,19374,1036.6,42491,371.5,4760,684.2,197,167.1,46275,350.3,13926,8705,83976,9893,1076
HIV prevalence,2013,California,6.0,31722579,114685,361.5,13722,85.4,100963,644.7,3154,47.8,15067,269.5,24709,479.8,41198,790.7,30557,333.2,256,182.6,3897,87.1,18973,1021.9,40736,362.6,4628,683.7,192,164.9,45994,347.9,13462,8704,81419,10034,1067
HIV prevalence,2012,California,6.0,31393072,111896,356.4,13432,84.5,98464,635.3,3191,48.1,14652,267,25728,499.2,40662,777.9,27663,311,260,185.9,3651,83.7,18615,1006.5,39219,355.4,4490,681.8,186,162.3,45466,343.5,13074,8744,78969,10070,1040
HIV prevalence,2011,California,6.0,31068145,108706,349.9,13110,83.3,95596,623.2,3124,47.1,14147,261.5,26769,519.3,39809,758.4,24857,288.5,251,180.6,3384,79.5,18131,985.7,37463,345.6,4402,687.7,175,155.3,44891,339.1,12677,8760,76175,10077,1019
HIV prevalence,2010,California,6.0,30753805,105686,343.7,12800,82.2,92886,611.5,3072,46.2,13595,254.9,27952,540,38840,739.2,22227,266.3,242,174.5,3182,76.6,17700,967.3,35818,336.6,4303,691.2,155,140.2,44277,334,12297,8778,73465,10143,1004
HIV prevalence,2009,California,6.0,30167113,103295,342.4,12530,82.8,90765,604,3010,47.1,12956,240.6,29534,565.9,37664,724.4,20131,252.4,246,149.4,2973,76.8,17088,930.6,34612,339.8,4161,798.7,145,142.5,44061,326.7,11939,8794,71297,10238,1028
HIV prevalence,2008,California,6.0,29836645,99511,333.5,12088,80.7,87423,588.6,2959,46.5,12345,232.1,31103,589.1,35351,688.1,17753,229.5,236,144.6,2777,73.1,16455,901.1,32897,331.1,3991,784.8,127,126.3,43019,318.5,11432,8703,68279,10096,1002
HIV prevalence,2017,Colorado,8.0,4710781,12352,262.2,1581,67.4,10771,455.7,285,32.3,1523,174.4,2195,288.6,3697,517.3,4652,314.5,70,229.2,123,79.8,1821,983,2813,304.4,293,341.5,11,180.4,7172,215.7,1602,877,8346,1400,126
HIV prevalence,2016,Colorado,8.0,4632063,12034,259.8,1541,66.7,10493,451.9,261,29.7,1485,174.4,2163,289.6,3898,543.3,4227,293.9,66,220.7,125,84.3,1754,964.6,2685,298.9,298,362.7,10,167.9,7047,214.5,1548,873,8100,1392,122
HIV prevalence,2015,Colorado,8.0,4542949,11247,247.6,1444,63.7,9803,430.9,238,27.3,1317,159.5,2099,285.1,3813,532,3780,271.2,57,194.2,114,80.3,1623,915.4,2455,281,256,327.1,10,173.2,6683,206.5,1460,813,7571,1297,106
HIV prevalence,2014,Colorado,8.0,4447355,10841,243.8,1356,61,9485,426.6,212,24.6,1297,162.2,2085,287.6,3841,536.5,3406,253,55,192.3,105,78,1530,887,2356,278,226,303.8,9,162.9,6511,204.5,1369,795,7356,1227,95
HIV prevalence,2013,Colorado,8.0,4367984,10519,240.8,1325,60.6,9194,421.5,207,24.4,1281,163.9,2100,292.5,3883,539.8,3048,234.4,56,198.2,95,73.7,1465,875.1,2262,274.4,207,290.8,9,169,6376,202.9,1336,796,7121,1178,88
HIV prevalence,2012,Colorado,8.0,4290960,10310,240.3,1280,59.5,9030,421.7,232,27.7,1224,159.9,2230,314.1,3855,531.3,2769,221,56,202.4,88,71.1,1445,888.8,2166,269.7,207,304,9,177.2,6290,202.9,1278,800,6973,1174,86
HIV prevalence,2011,Colorado,8.0,4220896,10023,237.5,1226,58,8797,417.8,228,27.5,1156,154.4,2317,329.5,3824,520.8,2498,207.4,51,187.5,83,69.9,1388,876,2099,267.9,203,312.1,7,145.7,6143,200.5,1217,795,6776,1155,81
HIV prevalence,2010,Colorado,8.0,4152382,9730,234.3,1197,57.5,8533,411.9,222,27,1134,155.3,2428,346.7,3696,498.4,2250,194.3,49,183.7,79,69.2,1358,876.5,1974,259.3,194,311.4,7,152.2,6020,198.8,1183,798,6537,1134,78
HIV prevalence,2009,Colorado,8.0,4120964,10188,247.2,1158,56.4,9030,436.4,193,23.4,1119,152.4,2800,393.7,3905,524.3,2171,196.3,54,173.8,72,67.9,1343,859.5,2035,277.2,254,477.6,5,121,6375,210,1122,868,6834,1282,82
HIV prevalence,2008,Colorado,8.0,4049693,9963,246.0,1126,55.8,8837,434.8,198,24.2,1107,154.6,3024,424.1,3741,506.3,1893,178.2,54,178,65,63.3,1304,857.9,1948,273.3,254,496.6,4,99.5,6284,209.7,1073,882,6663,1264,81
HIV prevalence,2017,Connecticut,9.0,3060949,10328,337.4,3511,222.3,6817,460.1,245,42.2,998,226.5,1521,361.2,3189,624.9,4375,394.5,9,146,92,65.7,3437,1136.1,3554,800.5,251,612,7,673.7,2977,140,3239,3139,3396,343,210
HIV prevalence,2016,Connecticut,9.0,3060226,10121,330.7,3432,217.3,6689,451.7,249,42.6,990,225.9,1525,360.8,3288,627.8,4069,373,9,147.2,88,64.3,3367,1123.3,3443,796,249,626.4,5,484,2959,138,3160,3172,3247,340,202
HIV prevalence,2015,Connecticut,9.0,3061946,10142,331.2,3443,217.9,6699,452.2,278,47.3,955,218.2,1617,376.3,3447,643.3,3845,359,9,147.5,86,64.4,3323,1118.4,3473,822.4,248,643.5,4,379.9,2998,138.6,3131,3266,3194,344,207
HIV prevalence,2014,Connecticut,9.0,3061978,9984,326.1,3390,214.4,6594,445.3,298,50.5,936,213.7,1687,385.3,3565,652.8,3498,333.2,8,131.5,76,58.9,3282,1116.3,3385,820.7,255,680.5,4,385.4,2973,136.3,3041,3311,3081,341,210
HIV prevalence,2013,Connecticut,9.0,3054288,10248,335.5,3461,219.3,6787,459.8,326,55.5,960,220.1,1848,413.5,3836,689.7,3278,319,9,148.3,71,57.6,3305,1136.2,3509,873.5,256,706.4,4,389.9,3093,140.9,3073,3514,3112,345,205
HIV prevalence,2012,Connecticut,9.0,3043910,10004,328.7,3412,216.8,6592,448.5,319,54.5,923,213.2,1959,429.4,3880,685.8,2923,291.3,9,150.3,66,54.6,3208,1120,3444,883.3,238,680.1,4,394.5,3034,137.6,2985,3562,2917,337,204
HIV prevalence,2011,Connecticut,9.0,3029649,9978,329.3,3404,217.1,6574,449.7,331,56.8,924,215.8,2093,448.5,3976,694.1,2654,271.1,7,118.7,64,55.2,3155,1116.9,3429,908.5,265,783.9,3,296.2,3054,138,2932,3652,2831,361,202
HIV prevalence,2010,Connecticut,9.0,3013777,10011,332.2,3407,218.3,6604,454.5,322,55.5,946,224.2,2345,487.9,4026,699.6,2372,248.2,7,119.7,57,51,3140,1126.5,3447,944.2,284,867.3,2,203.7,3073,138.5,2901,3768,2760,381,202
HIV prevalence,2009,Connecticut,9.0,2951882,9286,314.6,3207,210.4,6079,425.8,306,52.6,865,210.4,2397,490.7,3654,650,2064,227.3,7,108.7,58,58.1,2951,1099,3103,948.1,255,940.9,0,0,2911,131,2657,3648,2444,341,196
HIV prevalence,2008,Connecticut,9.0,2932812,9176,312.9,3187,210.3,5989,422.6,313,54.1,869,214.6,2582,510,3578,643.1,1834,206.8,7,109.3,52,53.9,2878,1086.1,3084,976.8,254,963.4,0,0,2900,130.5,2580,3732,2317,347,200
HIV prevalence,2017,Delaware,10.0,811576,3285,404.8,1002,237.4,2283,586.2,91,63.9,403,314.9,512,467.2,1019,815,1260,410.9,3,115.1,7,22.2,1893,1103.2,285,440,131,962.9,1,374.5,964,182.9,1155,593,1307,177,53
HIV prevalence,2016,Delaware,10.0,803341,3141,391.0,962,230.2,2179,565.2,85,59.5,408,321,500,458.1,1021,802.5,1127,379.5,3,116.1,7,22.6,1825,1081.5,264,423.8,127,974.8,1,381.7,914,173.9,1107,596,1220,165,52
HIV prevalence,2015,Delaware,10.0,795441,3095,389.1,954,230.6,2141,560.8,103,71.1,384,306.7,518,471.1,1047,814.8,1043,363.5,3,116.8,6,20,1799,1085.6,268,442.9,123,984.2,1,383.1,895,170.9,1062,626,1185,168,54
HIV prevalence,2014,Delaware,10.0,786714,3065,389.6,963,235.3,2102,557,108,73.4,376,306.7,542,491.5,1089,841.9,950,342.4,3,116.1,6,20.9,1800,1107.3,250,426,118,981.6,1,401.6,887,169.9,1062,653,1141,160,48
HIV prevalence,2013,Delaware,10.0,777619,3080,396.1,959,237,2121,568.8,127,85.2,352,294.6,559,505.7,1164,890.1,878,327.8,3,118.2,6,21.8,1805,1131.3,262,458.3,117,1022.6,1,434.8,885,170.5,1035,680,1137,180,48
HIV prevalence,2012,Delaware,10.0,768406,3079,400.7,965,241.4,2114,573.5,152,101.3,326,280.3,615,553.1,1211,914.7,775,299.9,3,120.5,6,23.3,1814,1157.3,266,477.1,122,1116.6,0,0,867,167.9,1040,717,1099,175,48
HIV prevalence,2011,Delaware,10.0,760646,3029,398.2,965,243.7,2064,565.9,135,89.9,338,296,647,572.1,1225,918.7,684,273.7,3,120,5,20.1,1785,1156.9,263,483.6,129,1237.5,0,0,843,164,1003,740,1052,188,46
HIV prevalence,2010,Delaware,10.0,752949,2944,391.0,947,241.6,1997,553.2,119,79.4,334,298.4,701,607.2,1197,895.6,593,245,3,120.9,5,21,1773,1169.7,246,467.5,112,1130.3,0,0,804,156.9,976,761,989,181,36
HIV prevalence,2009,Delaware,10.0,736007,2699,366.7,872,228,1827,516.8,122,86.3,338,292.7,676,576.1,1059,815.6,504,217.3,3,139.6,5,23.8,1691,1146.3,213,482.6,91,1290,0,0,695,135.3,887,728,883,162,39
HIV prevalence,2008,Delaware,10.0,728265,2631,361.3,854,225.8,1777,507.7,115,81.3,325,285.8,735,611.5,998,780.9,458,203.4,3,139,5,24.6,1662,1145.6,200,475.5,89,1317.5,0,0,671,131.1,857,741,834,163,37
HIV prevalence,2017,District of Columbia,11.0,596785,14316,2398.9,3848,1214.8,10468,3738.3,339,335.9,2055,1259.3,2711,2647.7,4094,5355.4,5117,3326.1,13,1035,74,275.5,10053,3799.3,1173,1958.5,744,6617.5,7,2341.1,2247,965.9,4127,1996,7360,678,156
HIV prevalence,2016,District of Columbia,11.0,590875,14383,2434.2,3910,1248,10473,3773.1,372,366.8,2067,1285.9,2789,2812.3,4344,5628.6,4811,3157.4,12,935.3,70,270.9,10105,3805.9,1149,1954.3,766,6951,7,2464.8,2269,994.5,4168,2070,7313,685,147
HIV prevalence,2015,District of Columbia,11.0,582251,14278,2452.2,3863,1249.9,10415,3812.4,438,427.1,2055,1306.5,2785,2905.3,4524,5898.8,4476,2986.7,12,953.9,67,271.8,10044,3786.6,1098,1920.5,760,7053.4,7,2692.3,2285,1025.2,4102,2111,7218,699,148
HIV prevalence,2014,District of Columbia,11.0,572788,14233,2484.9,3775,1243.9,10458,3883.2,494,477,2090,1359.9,2913,3154.8,4661,6083.5,4075,2780.3,12,953.9,63,270.1,9894,3740.1,1085,1968.8,841,8014.9,5,1992,2328,1068.8,3989,2130,7208,755,150
HIV prevalence,2013,District of Columbia,11.0,564030,14762,2617.2,3890,1300.4,10872,4104.4,567,542.7,2153,1431.8,3111,3493.1,5029,6566.6,3902,2718.6,10,766.9,66,295.1,10010,3803.5,1131,2120.9,1046,10150.4,5,2272.7,2489,1166.7,4080,2211,7490,820,160
HIV prevalence,2012,District of Columbia,11.0,552642,14741,2667.4,3980,1355.1,10761,4155.9,599,562,2258,1571.3,3278,3817.4,5045,6617.8,3561,2539,11,868.9,65,303.2,10154,3901.9,1117,2197.3,973,9723.2,5,2415.5,2411,1155.5,4157,2294,7313,840,137
HIV prevalence,2011,District of Columbia,11.0,541801,14117,2605.6,3895,1352.5,10222,4027.2,560,511.1,2094,1542.6,3365,4041.3,4902,6424.5,3196,2334.1,11,909.8,56,271.3,9813,3794.5,1038,2131.3,908,9347.3,5,2451,2282,1125.7,4032,2323,6826,802,135
HIV prevalence,2010,District of Columbia,11.0,530795,14051,2647.2,3871,1370,10180,4100.8,588,519.5,2088,1646.5,3611,4443.4,4812,6340.9,2952,2208.8,9,732.9,54,270.1,9744,3791,1027,2227.2,972,10341.5,5,2381,2236,1136,3977,2388,6694,852,140
HIV prevalence,2009,District of Columbia,11.0,515989,12541,2430.5,3590,1301,8951,3728.9,547,532.6,1804,1600.7,3373,3955.3,4369,5566.4,2448,1789.3,7,502.9,46,279,8722,3251.9,882,2113.7,938,15709.3,6,1699.7,1934,1063.5,3629,2271,5788,703,151
