Year,Full Name,13-24 Diag Cases,13-24 Diag Rates,25-34 Diag Cases,25-34 Diag Rates,35-44 Diag Cases,35-44 Diag Rates,45-54 Diag Cases,45-54 Diag Rates,55+ Diag Cases,55+ Diag Rates
2008,Minnesota,57,6.4,105,15.3,86,12,60,7.4,22,1.8
2008,Mississippi,150,28.4,134,34.5,97,25.8,101,24.8,35,5.1
2008,Missouri,135,13.5,156,20.2,137,17.4,89,10.1,27,1.8
2008,Montana,0,0,8,6.9,6,5.2,7,4.7,1,0.4
2008,Nebraska,12,3.7,28,12.4,33,14.8,18,7.1,6,1.4
2008,Nevada,57,14,104,26.6,112,29.6,72,20.1,42,7.2
2008,New Hampshire,6,2.7,9,6,10,5.2,13,5.9,5,1.5
2008,New Jersey,219,16.3,364,33,390,30.3,318,23.6,140,6.6
2008,New Mexico,25,7.3,40,14.8,46,18.5,30,10.7,11,2.3
2008,New York,825,25.6,1182,45.2,1245,44.8,887,30.4,451,9.4
2008,North Carolina,299,19.5,422,34.5,463,34.8,380,28.9,137,6.2
2008,North Dakota,0,0,2,2.6,8,10.9,1,1.1,2,1.2
2008,Ohio,230,12.2,275,18.7,293,18.8,196,11.2,62,2.1
2008,Oklahoma,63,9.9,82,16.7,80,17.5,41,8,21,2.3
2008,Oregon,35,5.8,98,19.1,75,14.8,49,8.8,29,3
2008,Pennsylvania,311,15.1,392,25.9,469,27.7,416,21.6,185,5.4
2008,Rhode Island,15,8.3,29,22.1,40,27.1,27,16.6,12,4.4
2008,South Carolina,163,21.7,184,31.1,167,27.4,123,19.2,72,6.3
2008,South Dakota,1,0.7,11,11.1,8,8.4,6,5.2,2,1
2008,Tennessee,220,22.1,288,34.3,249,28.5,176,19.4,65,4.2
2008,Texas,861,20.2,1260,35.3,1111,32.7,669,20.5,270,5.6
2008,Utah,17,3.1,45,10.4,36,11,24,7.7,9,1.9
2008,Vermont,0,0,9,13.2,5,6,2,2,2,1.2
2008,Virginia,233,17.6,276,26,262,23.2,205,17.8,91,5
2008,Washington,80,7.4,154,16.7,154,16.8,84,8.5,51,3.3
2008,West Virginia,13,4.6,18,8,29,12.2,17,6.2,5,1
2008,Wisconsin,61,6.3,67,9.6,56,7.3,38,4.4,14,1
2008,Wyoming,3,3.2,7,9.9,6,9.4,5,6.2,2,1.5
2009,Alabama,195,24.9,189,30.5,136,22.1,117,17.3,58,4.8
2009,Alaska,3,2.3,7,6.6,6,6.6,3,2.8,2,1.5
2009,Arizona,97,9.1,188,19.6,193,22.2,120,14,44,2.8
2009,Arkansas,66,14.1,80,20.6,83,22.6,34,8.5,17,2.3
2009,California,817,12.8,1654,30.7,1497,28.7,1018,19.6,431,5.4
2009,Colorado,59,7.2,128,17.4,85,12,66,8.9,32,2.9
2009,Connecticut,55,9.4,63,15.3,111,22.7,81,14.4,31,3.4
2009,Delaware,37,26.2,30,26,33,28.1,38,29.3,12,5.2
2009,District of Columbia,109,106.1,198,175.7,227,266.2,197,251,102,74.6
2009,Florida,869,31,1151,48.8,1317,54.2,1118,42.3,579,10.8
2009,Georgia,635,38,790,56.7,737,51.3,534,38.5,214,10.4
2009,Hawaii,14,6.9,24,12.5,19,11.3,20,11.3,10,2.9
2009,Idaho,7,2.6,15,7.1,14,7.4,9,4.4,3,0.8
2009,Illinois,416,19,462,25.9,427,24.2,305,16.2,118,3.9
2009,Indiana,111,10.2,130,15.5,114,13.4,70,7.5,38,2.4
2009,Iowa,22,4.2,38,10.4,35,9.5,15,3.4,13,1.6
2009,Kansas,29,5.8,47,12.7,36,10.3,26,6.4,14,2
2009,Kentucky,65,9.3,100,17.3,87,14.9,70,11,22,2
2009,Louisiana,277,35.1,357,57.2,236,42,219,34.1,83,7.8
2009,Maine,10,5,12,8,15,8.7,8,3.7,9,2.3
2009,Maryland,311,33.3,382,50.5,422,52.7,398,44.9,165,12.2
2009,Massachusetts,83,7.6,167,19.5,190,20.4,178,17.3,73,4.4
2009,Michigan,222,13.1,209,17.4,178,13.3,135,8.8,59,2.3
2009,Minnesota,94,10.7,116,16.6,84,12.1,64,7.9,22,1.7
2009,Mississippi,144,27.3,127,32.3,102,27.7,86,21.2,38,5.4
2009,Missouri,143,14.3,149,19,121,15.7,80,9,27,1.8
2009,Montana,6,3.6,14,11.7,3,2.7,5,3.4,3,1.1
2009,Nebraska,24,7.5,32,13.8,30,13.7,19,7.5,3,0.7
2009,Nevada,63,15.4,127,32.2,81,21.6,68,18.8,23,3.8
2009,New Hampshire,3,1.4,13,8.7,11,6,6,2.7,6,1.7
2009,New Jersey,216,16.1,340,30.6,362,28.9,319,23.3,161,7.4
2009,New Mexico,22,6.5,45,16.2,46,18.8,30,10.8,17,3.4
2009,New York,741,23,1106,41.8,1108,41,806,27.4,414,8.5
2009,North Carolina,320,20.6,351,28.4,389,29.5,375,28.1,142,6.2
2009,North Dakota,1,0.8,2,2.4,7,9.7,4,4.4,0,0
2009,Ohio,267,14.3,277,18.7,250,16.4,169,9.6,82,2.7
2009,Oklahoma,70,11.1,85,16.8,82,18.1,42,8.2,16,1.8
2009,Oregon,29,4.8,83,15.8,67,13.3,49,8.9,21,2.1
2009,Pennsylvania,342,16.7,388,25.2,428,26,348,18,152,4.4
2009,Rhode Island,23,12.8,24,18.2,34,23.8,27,16.5,11,4
2009,South Carolina,180,23.9,188,31.4,172,28.6,147,22.7,72,6.1
2009,South Dakota,0,0,4,3.9,7,7.5,8,6.9,3,1.4
2009,Tennessee,200,20,242,28.5,231,26.8,164,17.9,94,5.9
2009,Texas,985,22.9,1320,36.2,1068,31.3,675,20.3,308,6.2
2009,Utah,16,2.9,43,9.7,35,10.5,19,6.1,9,1.9
2009,Vermont,6,5.5,1,1.4,6,7.5,2,2,3,1.7
2009,Virginia,235,17.8,231,21.3,229,20.6,193,16.6,92,4.9
2009,Washington,83,7.7,152,16,140,15.4,108,10.9,43,2.7
2009,West Virginia,10,3.6,22,9.8,23,9.8,13,4.8,8,1.5
2009,Wisconsin,66,6.8,75,10.6,74,10,44,5,19,1.3
2009,Wyoming,4,4.2,6,8,4,6.2,3,3.8,3,2.2
2010,Alabama,188,23.3,178,29.2,147,23.8,103,14.9,65,5.2
2010,Alaska,5,3.9,9,8.6,10,10.8,10,9,1,0.7
2010,Arizona,98,9,190,22.1,159,19.3,117,13.9,55,3.4
2010,Arkansas,50,10.3,71,18.8,53,14.5,40,9.8,20,2.6
2010,California,928,14,1582,29.7,1332,25.7,992,18.9,438,5.2
2010,Colorado,70,8.5,134,18.4,93,13.3,83,11.2,39,3.4
2010,Connecticut,52,9,92,21.8,106,22.1,88,15.3,50,5.2
2010,Delaware,25,16.7,29,25.9,28,24.3,30,22.4,11,4.5
2010,District of Columbia,151,133.4,206,162.4,181,222.7,173,228,88,65.8
2010,Florida,902,30.9,1080,46.9,1103,45.5,1014,36.9,533,9.5
2010,Georgia,630,37.8,729,54.5,593,42.5,472,33.8,229,10.8
2010,Hawaii,15,7,26,13.9,21,11.9,30,15.5,10,2.7
2010,Idaho,6,2.2,10,4.8,15,7.8,12,5.8,1,0.3
2010,Illinois,395,18.3,498,28,381,22.1,256,13.7,127,4.1
2010,Indiana,121,10.9,136,16.4,122,14.5,77,8.1,30,1.9
2010,Iowa,21,4.1,30,7.8,28,7.7,28,6.4,7,0.8
2010,Kansas,26,5.3,48,12.7,33,9.5,25,6.2,4,0.6
2010,Kentucky,82,11.7,90,15.9,73,12.7,57,8.9,29,2.6
2010,Louisiana,294,37.4,318,50.3,220,39,201,30.8,79,7.2
2010,Maine,5,2.5,12,8.3,22,12.9,10,4.6,7,1.7
2010,Maryland,325,34.1,419,54.6,405,51.1,410,45.4,181,12.8
2010,Massachusetts,79,7.1,162,19,207,23.5,179,17.7,81,4.7
2010,Michigan,197,11.7,217,18.6,153,12.1,140,9.3,55,2.1
2010,Minnesota,80,9.3,93,13,74,10.9,73,9.1,15,1.1
2010,Mississippi,124,23.9,121,31.2,99,26.4,75,18,33,4.5
2010,Missouri,165,16.6,167,21.4,113,15.1,94,10.6,30,1.9
2010,Montana,5,3.1,5,4.1,9,8,1,0.7,0,0
2010,Nebraska,29,9.5,34,13.8,28,12.7,19,7.4,5,1.1
2010,Nevada,80,18.5,110,28.4,96,25.1,52,13.8,35,5.4
2010,New Hampshire,7,3.3,11,7.6,11,6.2,16,7.1,5,1.4
2010,New Jersey,234,17,342,30.8,335,27.2,271,19.6,166,7.4
2010,New Mexico,27,7.7,55,20.5,28,11.3,23,7.9,14,2.6
2010,New York,752,23,1050,39.3,906,34.9,780,27.1,427,8.6
2010,North Carolina,332,21,356,28.4,301,22.7,291,21.2,156,6.5
2010,North Dakota,4,3.3,2,2.2,4,5.3,1,1,2,1.1
2010,Ohio,266,14,269,19,222,15.1,168,9.7,57,1.8
2010,Oklahoma,66,10.4,90,17.7,63,13.7,47,9,20,2.1
2010,Oregon,49,8.1,62,11.8,54,10.8,43,8,29,2.8
2010,Pennsylvania,314,15,372,24.5,349,21.7,314,16.2,131,3.6
2010,Rhode Island,16,8.5,20,15.7,38,27.9,26,16,15,5.3
2010,South Carolina,226,29,176,29.6,163,27.2,135,20.5,67,5.5
2010,South Dakota,4,2.9,11,10.4,11,11.8,5,4.3,1,0.5
2010,Tennessee,204,19.8,222,26.9,202,23.7,153,16.5,75,4.5
2010,Texas,1053,23.6,1319,36.3,1042,30.1,739,21.5,302,5.8
2010,Utah,17,3.2,20,4.5,32,9.5,12,3.9,4,0.8
2010,Vermont,5,4.8,3,4.3,3,3.9,7,6.9,2,1.1
2010,Virginia,245,18.5,270,24.6,232,21,167,13.7,80,4.1
2010,Washington,71,6.5,163,17.4,154,17,105,10.6,45,2.7
2010,West Virginia,12,4.3,21,9.5,17,7.2,20,7.3,3,0.5
2010,Wisconsin,70,7.5,63,8.7,57,7.9,41,4.7,21,1.4
2010,Wyoming,1,1.1,10,12.8,4,6,2,2.4,2,1.4
2011,Alabama,198,24.6,203,33,123,20.1,110,16,49,3.8
2011,Alaska,8,6.3,6,5.6,5,5.4,3,2.8,2,1.3
2011,Arizona,92,8.4,186,21.4,144,17.5,94,11.2,47,2.8
2011,Arkansas,70,14.4,70,18.4,48,13.2,31,7.7,22,2.8
2011,California,883,13.3,1554,28.7,1259,24.4,946,18,402,4.7
2011,Colorado,61,7.3,117,15.6,88,12.5,68,9.3,29,2.4
2011,Connecticut,68,11.7,94,22,77,16.5,74,12.9,37,3.8
2011,Delaware,23,15.3,32,28,23,20.3,18,13.5,18,7.2
2011,District of Columbia,124,113.2,161,118.6,144,172.9,130,170.4,79,57.7
2011,Florida,843,28.7,1146,48.6,1020,42.3,994,36,567,9.8
2011,Georgia,691,41.2,725,53.8,553,40,461,32.9,232,10.6
2011,Hawaii,5,2.3,21,11,22,12.6,22,11.5,11,2.9
2011,Idaho,6,2.2,12,5.7,12,6.2,3,1.5,2,0.5
2011,Illinois,396,18.5,452,25.3,344,20.2,295,15.9,130,4.1
2011,Indiana,122,11,143,17.2,106,12.8,62,6.6,32,1.9
2011,Iowa,26,5,33,8.5,24,6.7,21,4.9,8,0.9
2011,Kansas,32,6.5,35,9.2,33,9.6,26,6.5,9,1.2
2011,Kentucky,74,10.5,80,14.1,61,10.7,70,11,25,2.2
2011,Louisiana,312,39.9,357,55.3,230,41,209,32.4,84,7.4
2011,Maine,5,2.5,13,8.9,11,6.7,20,9.3,3,0.7
2011,Maryland,299,31.4,364,46.4,268,34.3,335,37.1,154,10.6
2011,Massachusetts,93,8.4,157,18,200,23.1,157,15.5,71,4
2011,Michigan,241,14.3,201,17.2,142,11.5,131,8.8,56,2.1
2011,Minnesota,55,6.4,90,12.3,79,11.8,53,6.6,18,1.3
2011,Mississippi,155,29.9,142,36.4,94,25.3,83,20.2,51,6.8
2011,Missouri,147,14.8,152,19.3,98,13.3,89,10.2,38,2.4
2011,Montana,2,1.3,3,2.4,8,7.1,5,3.5,4,1.4
2011,Nebraska,12,3.9,32,12.8,15,6.8,19,7.5,1,0.2
2011,Nevada,92,21.4,135,34.8,63,16.7,61,16.2,31,4.7
2011,New Hampshire,4,1.9,8,5.4,5,2.9,15,6.7,7,1.9
2011,New Jersey,203,14.7,328,29.3,261,21.6,253,18.4,130,5.7
2011,New Mexico,24,6.8,45,16.4,38,15.4,19,6.7,12,2.2
2011,New York,771,23.7,1099,40.4,796,31.1,714,24.9,392,7.7
2011,North Carolina,346,21.8,337,26.7,294,22.3,304,22.1,152,6.2
2011,North Dakota,4,3.2,5,5.3,1,1.3,1,1.1,1,0.5
2011,Ohio,281,14.8,288,20.2,231,16,176,10.3,66,2.1
2011,Oklahoma,81,12.7,81,15.7,75,16.3,49,9.5,25,2.6
2011,Oregon,39,6.4,62,11.7,63,12.5,47,8.9,28,2.6
2011,Pennsylvania,303,14.5,318,20.5,337,21.4,275,14.4,147,4
2011,Rhode Island,11,5.9,29,22.3,23,17.4,26,16.2,11,3.8
2011,South Carolina,216,27.7,191,31.9,144,24.3,113,17.2,77,6.1
2011,South Dakota,1,0.7,5,4.6,4,4.3,6,5.3,4,1.8
2011,Tennessee,221,21.3,210,25.2,201,23.8,157,17,55,3.2
2011,Texas,1030,22.8,1259,34,952,27.2,703,20.4,336,6.2
2011,Utah,23,4.2,31,7,26,7.5,21,6.9,6,1.2
2011,Vermont,2,1.9,3,4.2,5,6.6,2,2,1,0.5
2011,Virginia,214,16.1,258,23,176,16.1,171,14.1,78,3.9
2011,Washington,68,6.2,139,14.5,128,14.1,91,9.3,53,3.1
2011,West Virginia,18,6.4,19,8.6,21,8.9,19,7,8,1.4
2011,Wisconsin,63,6.7,71,9.7,49,6.9,43,5,16,1
2011,Wyoming,2,2.2,2,2.5,2,3,5,6.2,4,2.7
2012,Alabama,199,24.7,189,30.7,124,20.4,100,14.8,54,4.1
2012,Alaska,5,3.9,5,4.5,7,7.6,9,8.5,2,1.3
2012,Arizona,121,10.9,190,21.7,143,17.3,114,13.6,52,3
2012,Arkansas,72,14.7,76,19.8,41,11.3,43,10.8,15,1.9
2012,California,942,14.2,1630,29.7,1134,22,965,18.5,379,4.3
2012,Colorado,73,8.7,129,16.9,94,13.2,63,8.7,12,1
2012,Connecticut,49,8.4,76,17.6,71,15.6,63,11.1,32,3.2
2012,Delaware,34,22.7,38,32.7,28,25.2,22,16.6,15,5.8
2012,District of Columbia,124,116.3,164,114.1,114,132.8,98,128.6,70,49.9
2012,Florida,812,27.6,1093,45.3,973,40.4,962,35,535,9
2012,Georgia,662,39,707,52.1,540,39.2,483,34.5,226,9.9
2012,Hawaii,7,3.3,26,13.2,17,9.7,23,12.3,9,2.3
2012,Idaho,7,2.6,9,4.3,7,3.6,7,3.5,7,1.7
2012,Illinois,407,19.1,521,29.1,332,19.6,232,12.7,155,4.8
2012,Indiana,152,13.6,141,16.9,94,11.4,69,7.5,35,2.1
2012,Iowa,21,4,32,8.2,27,7.5,24,5.7,12,1.4
2012,Kansas,33,6.7,47,12.2,29,8.4,26,6.7,16,2.1
2012,Kentucky,94,13.2,119,21,70,12.3,51,8.1,26,2.2
2012,Louisiana,272,34.8,274,41.9,198,35.3,191,30.1,85,7.3
2012,Maine,2,1,8,5.4,17,10.5,11,5.2,10,2.3
2012,Maryland,284,29.9,350,43.7,278,35.9,253,28.2,161,10.7
2012,Massachusetts,95,8.6,194,21.6,157,18.4,170,16.9,88,4.9
2012,Michigan,254,15,217,18.5,146,12,118,8.1,54,2
2012,Minnesota,57,6.6,111,15.1,68,10.2,57,7.3,21,1.5
2012,Mississippi,145,27.9,121,31.1,70,18.9,60,14.9,47,6.1
2012,Missouri,153,15.4,160,20.2,94,12.8,85,9.9,37,2.2
2012,Montana,3,1.9,6,4.8,4,3.5,7,5,0,0
2012,Nebraska,15,4.9,24,9.5,23,10.4,14,5.6,6,1.2
2012,Nevada,80,18.5,109,27.8,90,23.8,59,15.7,24,3.5
2012,New Hampshire,8,3.7,11,7.4,13,7.8,10,4.5,5,1.3
2012,New Jersey,238,17.3,362,32.3,279,23.4,265,19.4,130,5.5
2012,New Mexico,20,5.7,39,14.1,30,12.2,23,8.3,5,0.9
2012,New York,715,22.2,1072,38.8,737,29.1,633,22.3,363,7
2012,North Carolina,298,18.6,330,26.1,227,17.3,242,17.6,133,5.2
2012,North Dakota,3,2.3,3,3,3,3.9,1,1.1,1,0.5
2012,Ohio,278,14.7,306,21.4,183,12.8,176,10.5,74,2.3
2012,Oklahoma,70,10.9,97,18.6,47,10.1,47,9.3,23,2.3
2012,Oregon,34,5.6,81,15.2,75,14.8,51,9.8,29,2.6
2012,Pennsylvania,315,15.2,359,22.7,292,18.9,302,16.1,147,3.9
2012,Rhode Island,5,2.7,25,18.9,24,18.6,17,10.8,7,2.4
2012,South Carolina,207,26.4,187,31,125,21.1,110,16.8,71,5.4
2012,South Dakota,1,0.7,3,2.7,7,7.4,13,11.6,1,0.4
2012,Tennessee,235,22.5,235,28,158,18.7,140,15.4,85,4.9
2012,Texas,1052,23,1376,36.4,907,25.6,665,19.3,324,5.7
2012,Utah,16,2.9,44,10,24,6.7,25,8.2,13,2.4
2012,Vermont,3,2.9,2,2.8,3,4.1,3,3.1,3,1.6
2012,Virginia,234,17.5,278,24.4,191,17.5,150,12.5,81,3.9
2012,Washington,79,7.1,159,16.3,131,14.4,88,9.1,39,2.2
2012,West Virginia,18,6.4,21,9.5,20,8.6,13,4.9,8,1.4
2012,Wisconsin,54,5.8,59,8.1,42,6,43,5.1,19,1.2
2012,Wyoming,1,1.1,1,1.2,2,2.9,0,0,3,1.9
2013,Alabama,182,22.5,183,29.5,112,18.4,101,15.2,57,4.2
2013,Alaska,4,3.1,10,8.7,2,2.2,2,2,5,3.1
2013,Arizona,145,12.9,223,25.1,161,19.4,105,12.5,55,3.1
2013,Arkansas,85,17.3,73,19,58,15.9,29,7.4,17,2.1
2013,California,859,13,1562,27.9,1052,20.4,821,15.8,417,4.5
2013,Colorado,53,6.2,115,14.7,72,10,50,7,22,1.7
2013,Connecticut,64,10.9,82,18.8,65,14.5,71,12.8,45,4.4
2013,Delaware,22,14.8,30,25.1,13,11.8,28,21.4,16,6
2013,District of Columbia,92,88,165,109.7,92,103.3,89,116.2,49,34.1
2013,Florida,805,27.2,1177,47.8,888,36.8,862,31.5,564,9.2
2013,Georgia,584,34.2,709,52,429,31.3,429,30.7,187,8
2013,Hawaii,12,5.6,29,14.4,21,11.9,22,11.9,11,2.7
2013,Idaho,3,1.1,10,4.7,6,3,7,3.5,1,0.2
2013,Illinois,448,21,484,27,279,16.6,224,12.5,147,4.4
2013,Indiana,153,13.6,141,16.8,75,9.1,68,7.5,35,2
2013,Iowa,17,3.2,29,7.4,26,7.2,27,6.5,21,2.4
2013,Kansas,33,6.6,35,9.1,41,11.9,22,5.8,16,2.1
2013,Kentucky,68,9.5,113,19.9,81,14.3,55,8.9,37,3.1
2013,Louisiana,308,39.4,322,48.6,234,41.7,164,26.3,101,8.5
2013,Maine,3,1.5,6,4,13,8.2,9,4.4,4,0.9
2013,Maryland,257,27.2,381,46.8,265,34.5,228,25.7,169,10.9
2013,Massachusetts,95,8.5,177,19.3,130,15.4,183,18.4,84,4.5
2013,Michigan,216,12.8,216,18.2,123,10.2,126,8.9,67,2.4
2013,Minnesota,52,6,97,13.1,50,7.5,70,9.1,37,2.6
2013,Mississippi,153,29.3,125,32.1,88,23.8,56,14.1,48,6.1
2013,Missouri,136,13.7,131,16.4,89,12.2,72,8.6,37,2.2
2013,Montana,3,1.8,7,5.5,5,4.4,4,3,3,1
2013,Nebraska,18,5.8,20,7.9,22,9.9,16,6.6,3,0.6
2013,Nevada,99,22.8,154,38.8,78,20.6,69,18.3,32,4.5
2013,New Hampshire,5,2.3,11,7.3,4,2.5,11,5.1,4,1
2013,New Jersey,203,14.7,326,29,260,22.1,243,18,176,7.3
2013,New Mexico,33,9.4,44,15.8,32,13,20,7.4,12,2.1
2013,New York,683,21.4,1028,36.7,649,25.9,544,19.4,348,6.6
2013,North Carolina,318,19.6,332,26,266,20.3,229,16.7,131,5
2013,North Dakota,3,2.3,9,8.6,4,5,0,0,3,1.6
2013,Ohio,299,15.8,288,19.9,191,13.5,164,10,95,2.9
2013,Oklahoma,78,12,99,18.7,67,14.3,62,12.5,26,2.6
2013,Oregon,32,5.3,60,11.2,60,11.7,59,11.5,17,1.5
2013,Pennsylvania,279,13.6,352,21.9,237,15.5,270,14.7,154,4
2013,Rhode Island,15,8.2,25,18.4,12,9.4,13,8.4,13,4.3
2013,South Carolina,190,24.1,186,30.4,137,23.1,120,18.5,74,5.5
2013,South Dakota,2,1.4,9,8.1,9,9.5,9,8.2,3,1.3
2013,Tennessee,203,19.3,237,27.9,132,15.7,128,14.2,70,3.9
2013,Texas,1039,22.3,1454,37.8,864,24.1,651,18.9,332,5.7
2013,Utah,18,3.2,46,10.4,24,6.4,14,4.6,7,1.3
2013,Vermont,1,1,6,8.4,3,4.1,3,3.2,0,0
2013,Virginia,247,18.4,266,23.1,170,15.6,163,13.7,98,4.6
2013,Washington,75,6.8,134,13.5,122,13.3,82,8.6,31,1.7
2013,West Virginia,10,3.5,25,11.4,12,5.2,17,6.6,9,1.5
2013,Wisconsin,53,5.6,74,10.1,43,6.2,42,5,31,1.9
2013,Wyoming,4,4.2,4,4.9,5,7.2,2,2.6,1,0.6
2014,Alabama,205,25.5,219,35.1,116,19.2,76,11.6,53,3.9
2014,Alaska,7,5.4,17,14.6,5,5.5,6,6.1,3,1.8
2014,Arizona,170,15,242,26.7,165,19.7,107,12.8,57,3.1
2014,Arkansas,104,21.2,82,21.2,53,14.5,54,14,19,2.3
2014,California,992,15.1,1767,30.9,1126,21.9,845,16.2,439,4.6
2014,Colorado,63,7.3,133,16.6,95,13.1,66,9.2,21,1.6
2014,Connecticut,53,9,78,17.8,52,11.9,70,12.8,40,3.8
2014,Delaware,20,13.6,32,26.1,29,26.3,21,16.2,13,4.7
2014,District of Columbia,84,81.1,127,82.6,90,97.5,63,82.2,54,36.8
2014,Florida,845,28.6,1344,53.1,859,35.4,898,32.8,530,8.4
2014,Georgia,577,33.6,756,54.9,446,32.6,371,26.5,230,9.5
2014,Hawaii,13,6.1,35,17.2,27,15.3,12,6.6,12,2.9
2014,Idaho,2,0.7,7,3.3,8,4,3,1.5,2,0.5
2014,Illinois,426,20.2,504,28.1,278,16.6,207,11.7,118,3.5
2014,Indiana,129,11.4,153,18.1,82,10,65,7.3,37,2.1
2014,Iowa,17,3.2,27,6.9,17,4.7,17,4.2,16,1.8
2014,Kansas,31,6.2,41,10.6,23,6.7,24,6.5,12,1.5
2014,Kentucky,69,9.6,105,18.5,84,15,62,10.2,24,1.9
2014,Louisiana,331,42.8,381,56.9,235,41.7,155,25.4,96,7.9
2014,Maine,9,4.7,9,5.9,10,6.4,19,9.5,10,2.2
2014,Maryland,246,26.1,370,45,281,36.7,207,23.6,131,8.2
2014,Massachusetts,98,8.8,189,20.2,130,15.5,149,15.1,77,4
2014,Michigan,237,14,246,20.5,122,10.2,111,8,65,2.2
2014,Minnesota,57,6.6,102,13.7,79,11.8,46,6.1,27,1.8
2014,Mississippi,151,29.1,158,40.4,67,18.2,55,14.1,43,5.4
2014,Missouri,137,13.9,150,18.7,86,11.8,60,7.3,33,1.9
2014,Montana,2,1.2,6,4.6,4,3.5,2,1.5,0,0
2014,Nebraska,15,4.8,30,11.8,25,11.1,16,6.7,2,0.4
2014,Nevada,98,22.5,145,35.8,80,21.1,77,20.2,28,3.8
2014,New Hampshire,9,4.2,12,7.7,6,3.8,9,4.3,4,1
2014,New Jersey,225,16.4,364,32.4,270,23.2,221,16.6,162,6.6
2014,New Mexico,25,7.1,50,17.9,26,10.6,21,7.9,11,1.9
2014,New York,658,20.9,1051,37.1,695,28,551,19.9,369,6.8
2014,North Carolina,376,23.1,391,30.2,229,17.6,196,14.3,119,4.4
2014,North Dakota,6,4.5,3,2.8,5,6.1,5,5.6,1,0.5
2014,Ohio,268,14.2,298,20.3,182,12.9,125,7.8,73,2.2
2014,Oklahoma,66,10.1,104,19.4,60,12.7,51,10.4,23,2.2
2014,Oregon,28,4.6,81,14.9,58,11.2,48,9.4,24,2.1
2014,Pennsylvania,260,12.8,335,20.5,236,15.6,229,12.7,137,3.5
2014,Rhode Island,14,7.7,24,17.3,22,17.6,16,10.5,13,4.2
2014,South Carolina,239,30.3,216,34.6,111,18.7,127,19.6,70,5
2014,South Dakota,3,2.2,7,6.2,10,10.5,7,6.5,2,0.8
2014,Tennessee,217,20.6,222,25.8,151,18,103,11.5,61,3.3
2014,Texas,1133,24,1462,37.1,889,24.4,626,18.1,307,5.1
2014,Utah,20,3.5,46,10.4,28,7.3,11,3.6,9,1.6
2014,Vermont,7,6.7,1,1.4,3,4.2,4,4.4,2,1
2014,Virginia,234,17.4,279,24,170,15.6,135,11.4,83,3.8
2014,Washington,66,5.9,134,13.1,112,12.2,91,9.6,36,1.9
2014,West Virginia,21,7.5,20,9.2,22,9.6,14,5.6,7,1.2
