Indicator,Year,Full Name,FIPS,Population,All Deaths,All Death Rates,F Diag Cases,F Diag Rates,M Diag Cases,M Diag Rates,13-24 Death Cases,13-24 Death Rates,25-34 Death Cases,25-34 Death Rates,35-44 Death Cases,35-44 Death Rates,45-54 Death Cases,45-54 Death Rates,55+ Death Cases,55+ Death Rates,AI_AN Death Cases,AI_AN Death Rates,Asian Death Cases,Asian Death Rates,Black Death Cases,Black Death Rates,Latino Death Cases,Latino Death Rates,Multi Death Cases,Multi Death Rates,NH_OPI Death Cases,NH_OPI Death Rates,White Death Cases,White Death Rates,M2F Death Cases,ID Death Cases,M2M Death Cases,M2MID Death Cases,O Death Cases
HIV deaths,2010,Alabama,1.0,3980625,274,6.9,86,4.2,188,9.8,8,1,19,3.1,66,10.7,107,15.4,74,5.9,0,0,1,2.3,186,18.4,3,2.3,9,24,0,0,75,2.7,91,50,110,21,2
HIV deaths,2009,Alabama,1.0,3898688,310,8.0,76,3.7,234,12.5,5,0.6,32,5.2,75,12.2,108,16,90,7.5,0,0,0,0,213,21.4,7,7,10,31.9,0,0,80,2.9,99,54,130,24,3
HIV deaths,2008,Alabama,1.0,3870996,288,7.4,80,4,208,11.2,4,0.5,36,5.9,80,12.8,116,17.3,52,4.4,0,0,2,5.4,191,19.4,9,9.6,11,36.3,0,0,75,2.8,93,45,127,22,1
HIV deaths,2017,Alaska,2.0,603161,8,1.3,1,0.3,7,2.2,0,0,0,0,2,2.2,2,2.2,4,2.3,0,0,0,0,0,0,1,2.6,1,3.1,0,0,6,1.6,1,4,3,0,0
HIV deaths,2016,Alaska,2.0,604157,13,2.2,4,1.4,9,2.8,0,0,1,0.8,1,1.1,1,1.1,10,5.8,3,3.6,1,2.6,0,0,0,0,0,0,0,0,9,2.3,4,1,7,1,0
HIV deaths,2015,Alaska,2.0,600941,12,2.0,0,0,12,3.8,0,0,0,0,4,4.4,1,1,7,4.1,3,3.7,0,0,2,10,1,2.7,0,0,0,0,6,1.5,4,0,4,3,0
HIV deaths,2014,Alaska,2.0,599474,12,2.0,3,1.1,9,2.9,0,0,2,1.7,1,1.1,3,3,6,3.7,4,4.9,0,0,3,15,0,0,0,0,0,0,5,1.3,5,0,6,2,0
HIV deaths,2013,Alaska,2.0,599385,16,2.7,4,1.4,12,3.8,0,0,3,2.6,3,3.3,4,3.9,6,3.8,5,6.2,0,0,2,10,1,2.9,4,13.4,0,0,4,1,4,5,4,2,1
HIV deaths,2012,Alaska,2.0,592771,11,1.9,3,1.1,8,2.6,0,0,0,0,2,2.2,6,5.7,3,1.9,3,3.7,0,0,1,5.1,1,3,1,3.4,0,0,5,1.3,1,3,4,3,0
HIV deaths,2011,Alaska,2.0,584567,12,2.1,3,1.1,9,3,0,0,1,0.9,2,2.2,7,6.4,2,1.3,3,3.8,0,0,1,5.4,1,3.3,1,3.5,0,0,6,1.5,3,3,6,0,0
HIV deaths,2010,Alaska,2.0,577749,16,2.8,5,1.8,11,3.6,0,0,1,1,2,2.2,7,6.3,6,4.2,8,10.1,0,0,2,11.1,1,3.5,0,0,0,0,5,1.3,5,2,8,1,0
HIV deaths,2009,Alaska,2.0,565800,13,2.3,6,2.2,7,2.4,0,0,1,0.9,1,1.1,8,7.5,3,2.3,3,3.7,0,0,3,14.8,0,0,0,0,0,0,7,1.8,4,3,6,0,0
HIV deaths,2008,Alaska,2.0,559346,21,3.8,10,3.8,11,3.7,0,0,2,1.9,4,4.3,10,9.4,5,4,10,12.6,0,0,1,4.9,1,3.3,0,0,0,0,9,2.4,6,6,8,1,0
HIV deaths,2017,Arizona,4.0,5874596,197,3.4,22,0.7,175,6,3,0.3,16,1.7,19,2.2,59,6.9,100,4.9,8,3.6,0,0,19,7.7,50,3,6,6.4,0,0,114,3.3,24,29,118,27,0
HIV deaths,2016,Arizona,4.0,5770861,242,4.2,30,1,212,7.4,1,0.1,19,2,29,3.4,72,8.5,121,6.1,7,3.2,6,3.1,30,12.6,46,2.8,8,8.9,1,9.5,144,4.3,35,38,129,38,2
HIV deaths,2015,Arizona,4.0,5663944,213,3.8,36,1.3,177,6.3,2,0.2,14,1.5,30,3.6,72,8.6,95,5,9,4.2,0,0,25,10.9,49,3.1,7,8.1,0,0,123,3.7,21,39,123,27,2
HIV deaths,2014,Arizona,4.0,5567140,220,4.0,39,1.4,181,6.6,4,0.4,14,1.5,38,4.5,80,9.5,84,4.5,13,6.1,2,1.1,32,14.5,48,3.1,7,8.4,0,0,118,3.6,32,33,123,28,3
HIV deaths,2013,Arizona,4.0,5469060,214,3.9,23,0.8,191,7.1,2,0.2,17,1.9,36,4.3,79,9.4,80,4.5,9,4.3,0,0,30,14,41,2.7,5,6.3,0,0,129,3.9,22,35,127,28,2
HIV deaths,2012,Arizona,4.0,5388365,211,3.9,25,0.9,186,7,3,0.3,27,3.1,29,3.5,75,8.9,77,4.4,9,4.4,3,1.9,27,13,40,2.7,1,1.3,0,0,131,4,26,40,117,26,1
HIV deaths,2011,Arizona,4.0,5304658,191,3.6,22,0.8,169,6.4,3,0.3,12,1.4,38,4.6,80,9.5,58,3.5,4,2,3,2,23,11.5,39,2.7,9,12.4,0,0,113,3.5,22,25,118,26,0
HIV deaths,2010,Arizona,4.0,5229908,199,3.8,22,0.8,177,6.9,0,0,21,2.4,33,4,79,9.4,66,4.1,13,6.5,1,0.7,25,12.9,48,3.5,2,2.9,0,0,110,3.4,26,29,111,32,2
HIV deaths,2009,Arizona,4.0,5316387,213,4.0,23,0.9,190,7.2,1,0.1,15,1.6,50,5.7,85,9.9,62,4,7,3.3,0,0,33,17.4,63,4.3,8,13.5,0,0,102,3.1,22,34,120,34,3
HIV deaths,2008,Arizona,4.0,5235123,233,4.5,39,1.5,194,7.4,1,0.1,22,2.3,67,7.7,96,11.4,47,3.1,11,5.3,1,0.8,23,12.7,65,4.6,4,7,0,0,129,4,28,55,113,36,1
HIV deaths,2017,Arkansas,5.0,2495932,104,4.2,15,1.2,89,7.3,0,0,12,3,18,4.9,23,6.1,51,5.8,0,0,0,0,31,8.3,6,3.7,7,19.6,0,0,60,3.2,19,11,60,13,1
HIV deaths,2016,Arkansas,5.0,2482955,94,3.8,22,1.7,72,6,0,0,12,3.1,13,3.6,28,7.4,41,4.7,0,0,1,2.6,35,9.4,7,4.5,4,11.6,0,0,47,2.5,25,9,52,7,1
HIV deaths,2015,Arkansas,5.0,2470760,110,4.5,28,2.2,82,6.8,2,0.4,3,0.8,26,7.1,41,10.7,38,4.5,0,0,0,0,44,11.9,4,2.6,5,15,0,0,57,3.1,27,12,56,14,2
HIV deaths,2014,Arkansas,5.0,2459895,120,4.9,29,2.3,91,7.6,1,0.2,12,3.1,25,6.9,39,10.1,43,5.2,0,0,0,0,56,15.3,6,4.1,5,15.4,0,0,53,2.9,37,13,58,12,1
HIV deaths,2013,Arkansas,5.0,2449550,120,4.9,30,2.4,90,7.5,1,0.2,11,2.9,37,10.1,37,9.5,34,4.1,0,0,0,0,56,15.4,4,2.8,2,6.4,0,0,58,3.1,35,14,60,11,0
HIV deaths,2012,Arkansas,5.0,2438682,90,3.7,12,1,78,6.6,1,0.2,10,2.6,21,5.8,35,8.8,23,2.9,1,5.7,0,0,41,11.4,4,2.9,5,16.5,0,0,39,2.1,16,9,58,7,0
HIV deaths,2011,Arkansas,5.0,2426548,111,4.6,36,2.9,75,6.3,3,0.6,13,3.4,33,9,30,7.4,32,4,0,0,0,0,51,14.3,5,3.7,5,17.1,1,23.9,49,2.6,34,11,60,5,2
HIV deaths,2010,Arkansas,5.0,2407988,114,4.7,24,1.9,90,7.7,2,0.4,13,3.4,23,6.3,46,11.3,30,3.9,1,6,0,0,51,14.4,9,7,5,17.7,0,0,48,2.6,26,19,60,9,0
HIV deaths,2009,Arkansas,5.0,2374089,112,4.7,25,2,87,7.6,3,0.6,12,3.1,41,11.2,30,7.5,26,3.5,1,5.8,1,3.8,64,18.1,2,1.7,5,20.2,0,0,39,2.1,23,23,55,10,1
HIV deaths,2008,Arkansas,5.0,2357363,113,4.8,34,2.8,79,6.9,2,0.4,20,5.2,33,8.9,34,8.6,24,3.3,0,0,0,0,53,15.1,2,1.8,5,20.7,0,0,53,2.9,31,18,54,9,1
HIV deaths,2017,California,6.0,32888662,1708,5.2,190,1.1,1518,9.3,13,0.2,106,1.8,174,3.3,454,8.8,961,9.4,5,3.6,28,0.6,325,17.2,506,4.2,123,16.4,0,0,721,5.5,168,231,1052,242,15
HIV deaths,2016,California,6.0,32663036,1765,5.4,232,1.4,1533,9.5,12,0.2,109,1.8,205,4,513,9.9,926,9.3,4,2.8,31,0.6,395,21,452,3.8,125,17,2,1.7,756,5.8,198,257,1053,240,17
HIV deaths,2015,California,6.0,32390164,1698,5.2,217,1.3,1481,9.3,12,0.2,89,1.5,225,4.4,521,10,851,8.7,2,1.4,31,0.7,369,19.7,453,3.9,116,16.2,3,2.5,724,5.5,169,283,987,242,17
HIV deaths,2014,California,6.0,32069627,1635,5.1,220,1.4,1415,8.9,14,0.2,78,1.4,211,4.1,530,10.2,802,8.5,2,1.4,24,0.5,338,18.1,457,4,95,13.7,0,0,719,5.4,179,247,974,228,8
HIV deaths,2013,California,6.0,31722579,1607,5.1,216,1.3,1391,8.9,12,0.2,101,1.8,225,4.4,541,10.4,728,7.9,6,4.3,19,0.4,332,17.9,436,3.9,103,15.2,3,2.6,708,5.4,159,282,950,206,10
HIV deaths,2012,California,6.0,31393072,1555,5.0,228,1.4,1327,8.6,14,0.2,85,1.5,242,4.7,554,10.6,660,7.4,3,2.1,21,0.5,320,17.3,407,3.7,89,13.5,0,0,715,5.4,182,261,887,208,18
HIV deaths,2011,California,6.0,31068145,1605,5.2,226,1.4,1379,9,20,0.3,96,1.8,272,5.3,598,11.4,619,7.2,4,2.9,28,0.7,368,20,418,3.9,86,13.4,1,0.9,700,5.3,171,273,912,232,16
HIV deaths,2010,California,6.0,30753805,1543,5.0,220,1.4,1323,8.7,19,0.3,92,1.7,257,5,601,11.4,574,6.9,7,5,15,0.4,395,21.6,383,3.6,94,15.1,1,0.9,648,4.9,194,249,877,207,17
HIV deaths,2009,California,6.0,30167113,1632,5.4,248,1.6,1384,9.2,13,0.2,106,2,351,6.7,578,11.1,584,7.3,4,2.4,25,0.6,402,21.9,422,4.1,69,13.2,3,2.9,707,5.2,205,279,904,227,17
HIV deaths,2008,California,6.0,29836645,1777,6.0,273,1.8,1504,10.1,26,0.4,104,2,426,8.1,639,12.4,582,7.5,11,6.7,41,1.1,435,23.8,442,4.4,56,11,4,4,788,5.8,212,320,959,266,20
HIV deaths,2017,Colorado,8.0,4710781,133,2.8,23,1,110,4.7,1,0.1,3,0.3,15,2,45,6.3,69,4.7,2,6.5,0,0,13,7,34,3.7,7,8.2,0,0,77,2.3,15,21,78,19,1
HIV deaths,2016,Colorado,8.0,4632063,127,2.7,16,0.7,111,4.8,0,0,8,0.9,21,2.8,37,5.2,61,4.2,1,3.3,0,0,11,6,27,3,4,4.9,0,0,84,2.6,14,14,80,18,1
HIV deaths,2015,Colorado,8.0,4542949,124,2.7,13,0.6,111,4.9,0,0,2,0.2,17,2.3,46,6.4,59,4.2,1,3.4,0,0,10,5.6,20,2.3,3,3.8,0,0,90,2.8,12,12,82,17,1
HIV deaths,2014,Colorado,8.0,4447355,146,3.3,14,0.6,132,5.9,3,0.3,7,0.9,16,2.2,58,8.1,62,4.6,0,0,3,2.2,16,9.3,32,3.8,5,6.7,0,0,90,2.8,19,12,91,23,1
HIV deaths,2013,Colorado,8.0,4367984,114,2.6,7,0.3,107,4.9,1,0.1,4,0.5,14,1.9,41,5.7,54,4.2,2,7.1,1,0.8,14,8.4,17,2.1,4,5.6,0,0,76,2.4,7,16,72,18,1
HIV deaths,2012,Colorado,8.0,4290960,112,2.6,10,0.5,102,4.8,0,0,6,0.8,15,2.1,46,6.3,45,3.6,1,3.6,0,0,7,4.3,30,3.7,3,4.4,0,0,71,2.3,5,21,65,20,1
HIV deaths,2011,Colorado,8.0,4220896,126,3.0,18,0.9,108,5.1,0,0,6,0.8,19,2.7,45,6.1,56,4.6,1,3.7,1,0.8,17,10.7,29,3.7,10,15.4,0,0,68,2.2,18,23,64,21,0
HIV deaths,2010,Colorado,8.0,4152382,137,3.3,20,1,117,5.6,0,0,10,1.4,21,3,56,7.6,50,4.3,1,3.7,1,0.9,21,13.6,23,3,4,6.4,0,0,87,2.9,18,25,78,15,1
HIV deaths,2009,Colorado,8.0,4120964,144,3.5,14,0.7,130,6.3,2,0.2,12,1.6,34,4.8,44,5.9,52,4.7,1,3.2,1,0.9,22,14.1,23,3.1,5,9.4,0,0,92,3,10,22,89,22,1
HIV deaths,2008,Colorado,8.0,4049693,118,2.9,11,0.5,107,5.3,1,0.1,9,1.3,33,4.6,50,6.8,25,2.4,1,3.3,0,0,20,13.2,13,1.8,4,7.8,0,0,80,2.7,11,18,66,22,1
HIV deaths,2017,Connecticut,9.0,3060949,197,6.4,48,3,149,10.1,3,0.5,10,2.3,7,1.7,43,8.4,134,12.1,0,0,0,0,72,23.8,55,12.4,6,14.6,0,0,64,3,39,105,43,8,3
HIV deaths,2016,Connecticut,9.0,3060226,195,6.4,43,2.7,152,10.3,0,0,3,0.7,17,4,53,10.1,122,11.2,0,0,2,1.5,69,23,60,13.9,6,15.1,0,0,58,2.7,46,88,48,11,2
HIV deaths,2015,Connecticut,9.0,3061946,183,6.0,59,3.7,124,8.4,2,0.3,8,1.8,9,2.1,61,11.4,103,9.6,0,0,0,0,71,23.9,41,9.7,6,15.6,0,0,65,3,48,82,43,7,3
HIV deaths,2014,Connecticut,9.0,3061978,184,6.0,42,2.7,142,9.6,1,0.2,6,1.4,18,4.1,56,10.3,103,9.8,1,16.4,0,0,60,20.4,56,13.6,1,2.7,0,0,66,3,25,105,39,12,2
HIV deaths,2013,Connecticut,9.0,3054288,175,5.7,46,2.9,129,8.7,0,0,10,2.3,18,4,66,11.9,81,7.9,0,0,0,0,55,18.9,62,15.4,3,8.3,0,0,55,2.5,33,97,31,13,0
HIV deaths,2012,Connecticut,9.0,3043910,191,6.3,57,3.6,134,9.1,3,0.5,5,1.2,17,3.7,74,13.1,92,9.2,0,0,0,0,64,22.3,51,13.1,5,14.3,0,0,71,3.2,43,101,34,10,3
HIV deaths,2011,Connecticut,9.0,3029649,214,7.1,63,4,151,10.3,2,0.3,14,3.3,26,5.6,86,15,86,8.8,0,0,0,0,71,25.1,65,17.2,3,8.9,0,0,75,3.4,44,110,54,6,1
HIV deaths,2010,Connecticut,9.0,3013777,209,6.9,65,4.2,144,9.9,2,0.3,5,1.2,33,6.9,72,12.5,97,10.2,0,0,0,0,73,26.2,67,18.4,3,9.2,0,0,65,2.9,43,116,39,9,1
HIV deaths,2009,Connecticut,9.0,2951882,234,7.9,74,4.9,160,11.2,3,0.5,2,0.5,37,7.6,108,19.2,84,9.3,0,0,0,0,65,24.2,76,23.2,4,14.8,0,0,89,4,42,140,32,14,6
HIV deaths,2008,Connecticut,9.0,2932812,260,8.9,93,6.1,167,11.8,0,0,10,2.5,52,10.3,100,18,98,11.1,0,0,1,1,84,31.7,88,27.9,5,19,0,0,82,3.7,54,155,36,12,3
HIV deaths,2017,Delaware,10.0,811576,65,8.0,13,3.1,52,13.4,0,0,2,1.6,0,0,23,18.4,40,13,0,0,0,0,48,28,4,6.2,2,14.7,0,0,11,2.1,13,27,20,5,0
HIV deaths,2016,Delaware,10.0,803341,55,6.8,15,3.6,40,10.4,2,1.4,3,2.4,2,1.8,16,12.6,32,10.8,0,0,0,0,30,17.8,5,8,3,23,0,0,17,3.2,15,18,17,3,2
HIV deaths,2015,Delaware,10.0,795441,70,8.8,25,6,45,11.8,0,0,3,2.4,4,3.6,24,18.7,39,13.6,0,0,0,0,43,25.9,2,3.3,5,40,0,0,20,3.8,26,27,14,4,0
HIV deaths,2014,Delaware,10.0,786714,88,11.2,26,6.4,62,16.4,1,0.7,6,4.9,6,5.4,31,24,44,15.9,0,0,0,0,53,32.6,10,17,4,33.3,0,0,21,4,20,35,26,6,1
HIV deaths,2013,Delaware,10.0,777619,72,9.3,20,4.9,52,13.9,1,0.7,3,2.5,6,5.4,27,20.6,35,13.1,0,0,0,0,52,32.6,3,5.2,2,17.5,0,0,15,2.9,22,27,18,5,1
HIV deaths,2012,Delaware,10.0,768406,77,10.0,28,7,49,13.3,1,0.7,5,4.3,8,7.2,31,23.4,32,12.4,0,0,0,0,51,32.5,3,5.4,4,36.6,0,0,19,3.7,21,31,20,4,0
HIV deaths,2011,Delaware,10.0,760646,70,9.2,19,4.8,51,14,0,0,3,2.6,6,5.3,34,25.5,27,10.8,0,0,0,0,51,33.1,3,5.5,3,28.8,0,0,13,2.5,17,35,15,3,0
HIV deaths,2010,Delaware,10.0,752949,77,10.2,25,6.4,52,14.4,3,2,4,3.6,13,11.3,31,23.2,26,10.7,0,0,0,0,48,31.7,4,7.6,3,30.3,0,0,22,4.3,26,22,28,1,1
HIV deaths,2009,Delaware,10.0,736007,82,11.1,18,4.7,64,18.1,0,0,4,3.5,20,17,28,21.6,30,12.9,0,0,0,0,54,36.6,6,13.6,5,70.9,0,0,17,3.3,18,34,25,5,0
HIV deaths,2008,Delaware,10.0,728265,95,13.0,38,10,57,16.3,1,0.7,3,2.6,18,15,39,30.5,34,15.1,0,0,0,0,70,48.2,4,9.5,4,59.2,0,0,17,3.3,27,38,22,8,0
HIV deaths,2017,District of Columbia,11.0,596785,230,38.5,81,25.6,149,53.2,1,1,17,10.4,21,20.5,43,56.2,148,96.2,0,0,1,3.7,195,73.7,3,5,17,151.2,0,0,14,6,82,70,63,12,3
HIV deaths,2016,District of Columbia,11.0,590875,253,42.8,66,21.1,187,67.4,2,2,17,10.6,29,29.2,79,102.4,126,82.7,0,0,1,3.9,202,76.1,8,13.6,23,208.7,0,0,19,8.3,74,61,96,20,2
HIV deaths,2015,District of Columbia,11.0,582251,255,43.8,76,24.6,179,65.5,3,2.9,14,8.9,25,26.1,73,95.2,140,93.4,1,79.5,0,0,192,72.4,17,29.7,23,213.5,0,0,22,9.9,72,63,93,23,4
HIV deaths,2014,District of Columbia,11.0,572788,210,36.7,71,23.4,139,51.6,3,2.9,14,9.1,22,23.8,62,80.9,109,74.4,0,0,0,0,170,64.3,4,7.3,19,181.1,0,0,17,7.8,65,61,69,15,0
HIV deaths,2013,District of Columbia,11.0,564030,200,35.5,68,22.7,132,49.8,4,3.8,8,5.3,26,29.2,59,77,103,71.8,0,0,0,0,159,60.4,7,13.1,19,184.4,0,0,15,7,63,60,59,19,0
HIV deaths,2012,District of Columbia,11.0,552642,231,41.8,80,27.2,151,58.3,3,2.8,10,7,32,37.3,86,112.8,100,71.3,0,0,0,0,190,73,12,23.6,14,139.9,0,0,15,7.2,76,64,71,17,3
HIV deaths,2011,District of Columbia,11.0,541801,279,51.5,90,31.3,189,74.5,2,1.8,25,18.4,43,51.6,92,120.6,117,85.4,0,0,0,0,227,87.8,12,24.6,24,247.1,0,0,16,7.9,90,89,80,15,5
HIV deaths,2010,District of Columbia,11.0,530795,258,48.6,103,36.5,155,62.4,3,2.7,14,11,37,45.5,106,139.7,98,73.3,0,0,0,0,179,69.6,10,21.7,61,649,0,0,8,4.1,84,86,70,15,2
HIV deaths,2009,District of Columbia,11.0,515989,290,56.2,93,33.7,197,82.1,3,2.9,20,17.7,62,72.7,116,147.8,89,65.1,0,0,0,0,251,93.6,11,26.4,14,234.5,0,0,14,7.7,81,98,92,17,2
HIV deaths,2008,District of Columbia,11.0,508021,308,60.6,103,37.9,205,86.7,4,3.9,25,23.3,68,79,118,151.5,93,68.7,0,0,0,0,270,100.3,7,17.6,9,159.9,0,0,22,12.5,77,118,81,31,1
HIV deaths,2017,Florida,12.0,17971716,2077,11.6,617,6.7,1460,16.7,13,0.4,101,3.7,237,9.4,556,20.1,1170,16.7,0,0,5,1,1037,39.1,310,7,55,24.4,0,0,670,6.6,833,324,779,125,16
HIV deaths,2016,Florida,12.0,17658611,2168,12.3,680,7.5,1488,17.4,25,0.9,126,4.7,269,10.9,612,22.2,1136,16.7,2,4.3,5,1,1094,42,324,7.6,60,27.7,1,9.1,682,6.8,838,363,805,146,16
HIV deaths,2015,Florida,12.0,17305349,2080,12.0,593,6.7,1487,17.7,26,0.9,129,4.9,256,10.5,659,24,1010,15.4,1,2.2,4,0.9,984,38.5,364,8.9,71,34.1,0,0,656,6.6,767,324,825,144,21
HIV deaths,2014,Florida,12.0,16983458,1963,11.6,596,6.8,1367,16.6,20,0.7,114,4.5,278,11.5,626,22.9,925,14.6,0,0,3,0.7,1001,40,317,8,72,36,0,0,570,5.8,768,350,681,149,16
HIV deaths,2013,Florida,12.0,16709125,2000,12.0,603,7,1397,17.2,21,0.7,115,4.7,292,12.1,651,23.8,921,15,2,4.6,5,1.2,1065,43.4,311,8.2,69,35.9,0,0,548,5.6,802,349,708,125,16
HIV deaths,2012,Florida,12.0,16480031,1963,11.9,596,7,1367,17.1,27,0.9,146,6.1,321,13.3,663,24.1,806,13.5,0,0,1,0.2,1081,44.8,311,8.4,59,31.8,0,0,511,5.3,841,314,660,120,28
HIV deaths,2011,Florida,12.0,16258521,2012,12.4,626,7.5,1386,17.6,36,1.2,143,6.1,354,14.7,722,26.2,757,13.1,3,7.1,3,0.7,1082,45.8,331,9.3,60,33.7,0,0,533,5.5,841,354,678,113,26
HIV deaths,2010,Florida,12.0,16018609,2018,12.6,594,7.2,1424,18.3,34,1.2,128,5.6,371,15.3,745,27.1,740,13.1,1,2.4,2,0.5,1060,46,322,9.3,81,47.4,0,0,552,5.7,810,330,726,131,21
HIV deaths,2009,Florida,12.0,15614290,2229,14.3,701,8.8,1528,20,41,1.5,163,6.9,506,20.8,763,28.9,756,14,1,2.2,1,0.3,1225,55,334,10.5,78,55.2,0,0,590,6.1,939,379,736,146,29
HIV deaths,2008,Florida,12.0,15508944,2408,15.5,696,8.8,1712,22.6,45,1.6,237,10.2,587,23.6,831,31.8,708,13.4,1,2.2,5,1.4,1314,59.8,384,12.4,83,60.4,1,11.4,620,6.4,987,414,827,151,29
HIV deaths,2017,Georgia,13.0,8627633,791,9.2,196,4.4,595,14.3,11,0.6,69,4.8,111,8.1,228,16.1,372,13.9,0,0,4,1.1,539,20.2,41,5.7,54,46.3,0,0,153,3.2,259,96,381,50,5
HIV deaths,2016,Georgia,13.0,8516944,822,9.7,247,5.6,575,14,10,0.6,99,6.9,117,8.6,232,16.4,364,14.1,0,0,2,0.6,570,21.8,33,4.7,47,41.9,0,0,170,3.6,286,113,377,38,7
HIV deaths,2015,Georgia,13.0,8397538,822,9.8,211,4.9,611,15.1,11,0.6,74,5.3,125,9.2,261,18.6,351,14,0,0,1,0.3,595,23.2,24,3.6,35,32.6,0,0,167,3.6,251,128,386,51,7
