Year,Full Name,AI_AN Death Cases,AI_AN Death Rates,Asian Death Cases,Asian Death Rates,Black Death Cases,Black Death Rates,Latino Death Cases,Latino Death Rates,Multi Death Cases,Multi Death Rates,NH_OPI Death Cases,NH_OPI Death Rates,White Death Cases,White Death Rates
2008,Utah,0,0,0,0,5,27.2,5,2.3,1,4.5,0,0,31,1.8
2008,Vermont,0,0,0,0,0,0,1,14.5,0,0,0,0,5,1
2008,Virginia,0,0,0,0,241,19.4,12,3.1,12,16.1,0,0,94,2.1
2008,Washington,7,9.2,2,0.5,18,10,19,4.2,21,17.6,0,0,106,2.5
2008,West Virginia,0,0,0,0,11,21.6,1,6.3,4,37.3,0,0,29,2
2008,Wisconsin,2,5.2,0,0,37,14.6,5,2.5,1,2.8,0,0,37,0.9
2008,Wyoming,0,0,0,0,0,0,2,6.7,0,0,0,0,2,0.5
2009,Alabama,0,0,0,0,213,21.4,7,7,10,31.9,0,0,80,2.9
2009,Alaska,3,3.7,0,0,3,14.8,0,0,0,0,0,0,7,1.8
2009,Arizona,7,3.3,0,0,33,17.4,63,4.3,8,13.5,0,0,102,3.1
2009,Arkansas,1,5.8,1,3.8,64,18.1,2,1.7,5,20.2,0,0,39,2.1
2009,California,4,2.4,25,0.6,402,21.9,422,4.1,69,13.2,3,2.9,707,5.2
2009,Colorado,1,3.2,1,0.9,22,14.1,23,3.1,5,9.4,0,0,92,3
2009,Connecticut,0,0,0,0,65,24.2,76,23.2,4,14.8,0,0,89,4
2009,Delaware,0,0,0,0,54,36.6,6,13.6,5,70.9,0,0,17,3.3
2009,District of Columbia,0,0,0,0,251,93.6,11,26.4,14,234.5,0,0,14,7.7
2009,Florida,1,2.2,1,0.3,1225,55,334,10.5,78,55.2,0,0,590,6.1
2009,Georgia,1,4.9,1,0.4,718,30.7,35,6.3,46,65.2,0,0,166,3.5
2009,Hawaii,0,0,6,1.4,2,7.1,4,4.9,2,1.3,2,2.2,10,3.5
2009,Idaho,0,0,0,0,0,0,1,0.9,0,0,0,0,6,0.6
2009,Illinois,0,0,2,0.4,369,24.5,65,4.5,27,30.9,0,0,152,2.1
2009,Indiana,1,7.4,0,0,68,15.1,10,4.1,8,18.4,0,0,119,2.7
2009,Iowa,0,0,0,0,6,10.3,4,4.4,2,11.3,0,0,25,1.1
2009,Kansas,0,0,0,0,6,4.6,3,1.6,2,6.8,0,0,30,1.6
2009,Kentucky,0,0,0,0,40,15.1,5,6.4,4,14.6,0,0,76,2.4
2009,Louisiana,2,9.3,1,1.9,381,33.7,7,5.6,16,58.9,0,0,132,5.7
2009,Maine,0,0,0,0,0,0,0,0,0,0,0,0,24,2.2
2009,Maryland,0,0,2,0.8,541,39.9,16,5.4,38,72.5,0,0,83,3
2009,Massachusetts,0,0,7,2.6,70,22,75,17.1,4,7.8,0,0,143,3.2
2009,Michigan,0,0,0,0,195,17.4,6,2,12,12.7,0,0,92,1.4
2009,Minnesota,2,4.5,1,0.7,39,22.1,11,7.3,3,6.6,0,0,44,1.2
2009,Mississippi,0,0,0,0,168,19.7,5,9.4,5,32.7,0,0,50,3.5
2009,Missouri,0,0,0,0,103,19.1,6,4.2,17,32.2,0,0,90,2.2
2009,Montana,0,0,0,0,0,0,1,4.6,1,9.3,0,0,7,1
2009,Nebraska,1,8.7,0,0,5,8.4,6,6,0,0,0,0,19,1.5
2009,Nevada,2,9.1,0,0,30,18.9,23,4.6,6,15.1,0,0,61,4.8
2009,New Hampshire,0,0,0,0,0,0,3,11.2,1,11.6,0,0,18,1.7
2009,New Jersey,0,0,2,0.4,486,52,114,10.2,40,63.2,0,0,130,2.8
2009,New Mexico,7,5.1,0,0,4,11.7,20,2.8,1,5.6,0,0,24,3.3
2009,New York,0,0,7,0.6,1031,43.6,814,31.7,233,146.8,0,0,265,2.6
2009,North Carolina,7,8.2,3,2,450,27.9,29,6.1,14,22.5,0,0,120,2.3
2009,North Dakota,2,7.8,0,0,0,0,0,0,0,0,0,0,3,0.6
2009,Ohio,0,0,0,0,139,12.7,20,8.7,6,6.7,0,0,169,2.1
2009,Oklahoma,9,4,0,0,33,14.7,3,1.5,7,7.1,0,0,76,3.4
2009,Oregon,4,11,0,0,1,1.9,8,2.7,3,5,0,0,76,2.9
2009,Pennsylvania,1,6.4,4,1.6,352,33.5,107,23.1,56,75.8,1,34.7,204,2.3
2009,Rhode Island,0,0,0,0,11,26,10,10.6,2,22.3,0,0,19,2.6
2009,South Carolina,0,0,0,0,283,27.5,6,4.3,13,46.5,0,0,68,2.7
2009,South Dakota,3,6.3,0,0,0,0,0,0,0,0,0,0,10,1.7
2009,Tennessee,0,0,0,0,257,30.9,8,4.6,7,16.7,0,0,155,3.8
2009,Texas,0,0,3,0.4,609,27.1,397,6,65,38.5,0,0,435,4.4
2009,Utah,1,4.1,0,0,3,15.3,3,1.3,0,0,1,6.8,24,1.4
2009,Vermont,0,0,2,34.9,1,24.9,1,13.9,0,0,0,0,5,1
2009,Virginia,0,0,1,0.3,240,19.1,19,4.6,13,16.8,0,0,106,2.4
2009,Washington,4,5.2,5,1.3,22,11.8,18,3.8,19,15.4,0,0,125,2.9
2009,West Virginia,0,0,0,0,9,17.4,1,6,3,27.3,0,0,23,1.6
2009,Wisconsin,1,2.6,0,0,42,16.4,9,4.3,2,5.4,0,0,52,1.3
2009,Wyoming,0,0,0,0,0,0,0,0,1,21,0,0,3,0.8
2010,Alabama,0,0,1,2.3,186,18.4,3,2.3,9,24,0,0,75,2.7
2010,Alaska,8,10.1,0,0,2,11.1,1,3.5,0,0,0,0,5,1.3
2010,Arizona,13,6.5,1,0.7,25,12.9,48,3.5,2,2.9,0,0,110,3.4
2010,Arkansas,1,6,0,0,51,14.4,9,7,5,17.7,0,0,48,2.6
2010,California,7,5,15,0.4,395,21.6,383,3.6,94,15.1,1,0.9,648,4.9
2010,Colorado,1,3.7,1,0.9,21,13.6,23,3,4,6.4,0,0,87,2.9
2010,Connecticut,0,0,0,0,73,26.2,67,18.4,3,9.2,0,0,65,2.9
2010,Delaware,0,0,0,0,48,31.7,4,7.6,3,30.3,0,0,22,4.3
2010,District of Columbia,0,0,0,0,179,69.6,10,21.7,61,649,0,0,8,4.1
2010,Florida,1,2.4,2,0.5,1060,46,322,9.3,81,47.4,0,0,552,5.7
2010,Georgia,0,0,2,0.8,651,27.8,31,5.1,37,42.8,0,0,176,3.8
2010,Hawaii,0,0,9,1.9,0,0,2,2.3,2,1,5,4.9,18,6.4
2010,Idaho,0,0,0,0,0,0,3,2.5,0,0,0,0,12,1.1
2010,Illinois,0,0,0,0,360,24.2,72,4.8,38,37.4,0,0,189,2.7
2010,Indiana,0,0,0,0,59,12.8,10,3.7,9,16.8,0,0,93,2.1
2010,Iowa,0,0,0,0,2,3,2,1.9,1,4.7,0,0,23,1
2010,Kansas,0,0,0,0,14,10.7,2,1,5,13.6,0,0,28,1.5
2010,Kentucky,0,0,1,2.5,47,17.4,6,6.4,4,11.5,0,0,61,1.9
2010,Louisiana,0,0,0,0,316,27.5,10,6.6,12,36.9,0,0,118,5.1
2010,Maine,0,0,0,0,1,9.1,2,16.3,0,0,0,0,19,1.8
2010,Maryland,1,8.4,1,0.4,473,34.2,13,3.6,38,52.7,0,0,87,3.2
2010,Massachusetts,2,20.4,3,1,70,20.4,74,15.4,4,6.4,0,0,128,2.9
2010,Michigan,0,0,0,0,185,16.5,15,4.9,17,15.3,0,0,95,1.5
2010,Minnesota,3,7,2,1.2,19,9.4,6,3.5,1,1.8,0,0,45,1.2
2010,Mississippi,0,0,0,0,158,18.3,5,8.2,8,51.2,0,0,36,2.5
2010,Missouri,0,0,0,0,95,17.2,8,5.3,11,17.5,0,0,95,2.3
2010,Montana,1,2.3,0,0,0,0,1,4.9,0,0,0,0,9,1.2
2010,Nebraska,1,9,0,0,5,7.9,1,0.9,3,20.1,0,0,21,1.7
2010,Nevada,1,5.1,3,1.8,27,15.8,19,3.6,7,14.4,0,0,69,5.4
2010,New Hampshire,0,0,0,0,2,18.3,1,3.7,1,9.2,0,0,13,1.2
2010,New Jersey,0,0,1,0.2,454,48.6,148,12.1,39,53.8,0,0,153,3.4
2010,New Mexico,4,2.9,2,8.7,3,9.9,32,4.3,1,5.3,0,0,21,2.8
2010,New York,0,0,8,0.6,934,39.7,754,27.6,203,108.1,0,0,318,3.2
2010,North Carolina,1,1.1,2,1.2,409,24.7,20,3.6,14,16.1,0,0,126,2.4
2010,North Dakota,1,3.8,0,0,1,16.7,0,0,0,0,0,0,4,0.8
2010,Ohio,1,5.4,1,0.6,94,8.4,12,4.8,6,5.3,0,0,173,2.2
2010,Oklahoma,8,3.4,0,0,27,12.3,7,3.1,5,3.9,0,0,60,2.7
2010,Oregon,0,0,1,0.8,3,5.7,13,4.1,4,5.5,0,0,76,2.9
2010,Pennsylvania,0,0,0,0,354,32.7,89,16.7,34,34,0,0,221,2.5
2010,Rhode Island,0,0,0,0,11,23.9,11,11.2,2,16.7,0,0,13,1.8
2010,South Carolina,0,0,0,0,253,24.3,8,4.7,7,19.9,0,0,68,2.7
2010,South Dakota,7,14.1,0,0,0,0,0,0,0,0,0,0,5,0.9
2010,Tennessee,0,0,1,1.3,219,26,13,6.4,9,17.5,0,0,129,3.2
2010,Texas,1,1.5,8,1,547,23.4,336,4.8,57,30.1,0,0,406,4.1
2010,Utah,2,9.4,0,0,3,15.6,2,0.8,0,0,0,0,18,1
2010,Vermont,0,0,0,0,1,22,0,0,0,0,0,0,14,2.7
2010,Virginia,0,0,3,0.8,198,15.7,17,3.5,14,13.4,0,0,84,1.9
2010,Washington,8,11.1,1,0.2,23,12.2,6,1.1,19,12.3,0,0,98,2.3
2010,West Virginia,0,0,0,0,7,13.3,1,6,2,13.8,0,0,17,1.1
2010,Wisconsin,0,0,0,0,31,11.5,14,6,5,11.6,0,0,42,1
2010,Wyoming,0,0,0,0,0,0,1,2.7,2,37.9,0,0,5,1.2
2011,Alabama,0,0,1,2.2,171,16.8,7,5.3,13,33.6,0,0,63,2.3
2011,Alaska,3,3.8,0,0,1,5.4,1,3.3,1,3.5,0,0,6,1.5
2011,Arizona,4,2,3,2,23,11.5,39,2.7,9,12.4,0,0,113,3.5
2011,Arkansas,0,0,0,0,51,14.3,5,3.7,5,17.1,1,23.9,49,2.6
2011,California,4,2.9,28,0.7,368,20,418,3.9,86,13.4,1,0.9,700,5.3
2011,Colorado,1,3.7,1,0.8,17,10.7,29,3.7,10,15.4,0,0,68,2.2
2011,Connecticut,0,0,0,0,71,25.1,65,17.2,3,8.9,0,0,75,3.4
2011,Delaware,0,0,0,0,51,33.1,3,5.5,3,28.8,0,0,13,2.5
2011,District of Columbia,0,0,0,0,227,87.8,12,24.6,24,247.1,0,0,16,7.9
2011,Florida,3,7.1,3,0.7,1082,45.8,331,9.3,60,33.7,0,0,533,5.5
2011,Georgia,0,0,0,0,608,25.5,28,4.5,38,42.1,0,0,142,3.1
2011,Hawaii,1,39.2,3,0.6,1,5.4,4,4.4,8,4.1,4,3.8,19,6.8
2011,Idaho,0,0,0,0,0,0,1,0.8,0,0,0,0,13,1.2
2011,Illinois,0,0,2,0.4,308,20.6,53,3.5,40,38,0,0,162,2.3
2011,Indiana,0,0,1,1.1,62,13.3,11,4,12,21.3,0,0,112,2.5
2011,Iowa,0,0,0,0,5,7.3,3,2.8,1,4.4,0,0,28,1.2
2011,Kansas,0,0,0,0,11,8.4,4,1.9,1,2.6,0,0,30,1.6
2011,Kentucky,0,0,0,0,37,13.5,3,3.1,6,16.4,0,0,64,2
2011,Louisiana,0,0,0,0,341,29.4,14,8.9,8,23.7,0,0,110,4.7
2011,Maine,1,14.6,1,8.6,2,17.2,1,7.8,0,0,0,0,19,1.8
2011,Maryland,0,0,1,0.4,436,31.1,29,7.8,50,66.7,1,43.8,66,2.4
2011,Massachusetts,0,0,0,0,64,18.2,75,15,4,6.2,0,0,118,2.7
2011,Michigan,1,2.2,0,0,179,15.9,14,4.4,15,13,0,0,97,1.5
2011,Minnesota,2,4.6,0,0,25,12,5,2.8,1,1.7,0,0,55,1.5
2011,Mississippi,1,9.3,1,4.4,159,18.3,2,3.2,5,30.7,0,0,41,2.8
2011,Missouri,0,0,0,0,59,10.6,9,5.8,14,21.5,0,0,102,2.5
2011,Montana,3,6.7,0,0,0,0,1,4.6,1,6.9,0,0,3,0.4
2011,Nebraska,1,8.9,0,0,4,6.3,0,0,3,19.3,0,0,16,1.3
2011,Nevada,0,0,4,2.3,44,25.3,23,4.3,3,6,0,0,57,4.5
2011,New Hampshire,0,0,0,0,0,0,5,17.8,1,8.9,0,0,8,0.8
2011,New Jersey,0,0,1,0.2,431,45.9,146,11.6,28,37.4,0,0,142,3.2
2011,New Mexico,7,5,0,0,3,9.8,24,3.2,1,5.1,0,0,16,2.2
2011,New York,1,2.2,7,0.5,857,36.2,755,27.2,222,114.8,0,0,314,3.2
2011,North Carolina,1,1.1,1,0.6,384,22.9,14,2.5,16,17.6,0,0,125,2.3
2011,North Dakota,0,0,0,0,0,0,1,9.6,0,0,0,0,3,0.6
2011,Ohio,0,0,0,0,135,12,20,7.7,8,6.8,0,0,152,1.9
2011,Oklahoma,15,6.2,0,0,23,10.4,5,2.1,6,4.6,0,0,72,3.3
2011,Oregon,2,5.6,2,1.6,4,7.4,11,3.4,3,4,0,0,77,2.9
2011,Pennsylvania,0,0,3,1,319,29.2,97,17.5,39,37.4,0,0,194,2.2
2011,Rhode Island,0,0,0,0,8,17.1,10,9.8,0,0,0,0,28,4
2011,South Carolina,0,0,2,3.9,256,24.5,11,6.4,5,13.6,0,0,54,2.1
2011,South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,7,1.2
2011,Tennessee,0,0,5,6.4,185,21.6,7,3.4,9,16.7,0,0,117,2.8
2011,Texas,0,0,6,0.7,478,20.1,344,4.7,64,32.3,0,0,392,4
2011,Utah,0,0,0,0,0,0,4,1.6,0,0,0,0,18,1
2011,Vermont,0,0,0,0,1,20.6,0,0,0,0,0,0,5,1
2011,Virginia,0,0,1,0.3,208,16.4,19,3.8,11,10.1,0,0,73,1.6
2011,Washington,6,8.2,5,1.2,21,10.8,13,2.4,11,6.9,0,0,112,2.6
2011,West Virginia,0,0,0,0,10,18.7,0,0,0,0,0,0,27,1.8
2011,Wisconsin,0,0,1,1,35,12.8,11,4.6,3,6.7,0,0,47,1.2
2011,Wyoming,0,0,0,0,1,25.4,0,0,0,0,0,0,5,1.2
2012,Alabama,0,0,0,0,175,17,4,3,12,29.8,0,0,90,3.3
2012,Alaska,3,3.7,0,0,1,5.1,1,3,1,3.4,0,0,5,1.3
2012,Arizona,9,4.4,3,1.9,27,13,40,2.7,1,1.3,0,0,131,4
2012,Arkansas,1,5.7,0,0,41,11.4,4,2.9,5,16.5,0,0,39,2.1
2012,California,3,2.1,21,0.5,320,17.3,407,3.7,89,13.5,0,0,715,5.4
2012,Colorado,1,3.6,0,0,7,4.3,30,3.7,3,4.4,0,0,71,2.3
2012,Connecticut,0,0,0,0,64,22.3,51,13.1,5,14.3,0,0,71,3.2
2012,Delaware,0,0,0,0,51,32.5,3,5.4,4,36.6,0,0,19,3.7
2012,District of Columbia,0,0,0,0,190,73,12,23.6,14,139.9,0,0,15,7.2
2012,Florida,0,0,1,0.2,1081,44.8,311,8.4,59,31.8,0,0,511,5.3
2012,Georgia,1,5.3,1,0.4,582,24,36,5.7,32,33.8,0,0,175,3.8
2012,Hawaii,0,0,7,1.5,5,25.4,3,3.2,4,2,6,5.7,26,9.2
2012,Idaho,0,0,0,0,3,41.3,0,0,1,5.5,0,0,20,1.8
2012,Illinois,0,0,7,1.3,293,19.6,62,4,46,42,0,0,142,2
2012,Indiana,0,0,1,1,60,12.7,8,2.8,7,11.8,1,59.2,92,2.1
2012,Iowa,0,0,2,3.9,7,10,2,1.8,2,8.4,0,0,30,1.3
2012,Kansas,1,5.2,0,0,11,8.3,7,3.2,0,0,0,0,25,1.3
2012,Kentucky,0,0,0,0,39,14,2,2,4,10.5,0,0,71,2.2
2012,Louisiana,1,4.2,0,0,334,28.5,7,4.4,10,28.6,0,0,118,5
2012,Maine,0,0,0,0,0,0,2,15,0,0,0,0,17,1.6
2012,Maryland,0,0,0,0,464,32.7,27,7,65,83.5,0,0,76,2.8
2012,Massachusetts,0,0,2,0.6,62,17.2,68,13,4,5.9,0,0,131,3
2012,Michigan,0,0,0,0,205,18.2,6,1.8,16,13.4,0,0,112,1.7
2012,Minnesota,1,2.3,0,0,26,12.1,4,2.2,3,5,0,0,52,1.4
2012,Mississippi,0,0,0,0,152,17.3,6,9.6,2,11.8,0,0,37,2.5
2012,Missouri,0,0,0,0,83,14.9,7,4.4,6,8.9,0,0,94,2.3
2012,Montana,0,0,0,0,0,0,0,0,0,0,0,0,5,0.7
2012,Nebraska,1,8.8,0,0,7,10.8,2,1.6,4,24.6,0,0,19,1.5
2012,Nevada,0,0,3,1.7,47,26,34,6.2,6,11.5,0,0,69,5.4
2012,New Hampshire,0,0,0,0,1,8.1,4,13.4,3,25.5,0,0,14,1.3
2012,New Jersey,0,0,4,0.6,354,37.5,120,9.4,42,54.4,0,0,124,2.8
2012,New Mexico,8,5.7,0,0,4,13,25,3.3,3,14.9,0,0,17,2.3
2012,New York,0,0,4,0.3,863,36.3,650,23,225,113.1,0,0,280,2.9
2012,North Carolina,6,6.6,3,1.6,345,20.2,16,2.7,13,13.6,0,0,137,2.5
2012,North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,3,0.6
2012,Ohio,1,5.4,0,0,134,11.9,15,5.6,9,7.4,0,0,180,2.3
2012,Oklahoma,7,2.9,1,1.7,24,10.7,6,2.4,10,7.5,0,0,67,3
2012,Oregon,0,0,0,0,7,12.7,9,2.7,7,9,0,0,86,3.3
2012,Pennsylvania,0,0,1,0.3,276,25,77,13.3,28,25.8,0,0,201,2.3
2012,Rhode Island,1,27.8,0,0,13,27.6,9,8.5,1,7.9,0,0,19,2.7
2012,South Carolina,0,0,0,0,237,22.4,7,4,6,15.5,0,0,65,2.5
2012,South Dakota,4,7.9,0,0,0,0,0,0,1,11.2,0,0,5,0.9
2012,Tennessee,0,0,0,0,190,21.9,5,2.3,6,10.6,0,0,140,3.4
2012,Texas,1,1.4,7,0.8,486,19.9,317,4.3,91,43.7,0,0,409,4.1
2012,Utah,1,4.6,0,0,2,9.6,4,1.5,0,0,0,0,19,1.1
2012,Vermont,0,0,0,0,2,40,0,0,0,0,0,0,4,0.8
2012,Virginia,0,0,1,0.3,206,16,24,4.7,17,14.9,0,0,81,1.8
2012,Washington,3,4.1,2,0.5,16,8,8,1.4,16,9.7,0,0,105,2.5
2012,West Virginia,0,0,0,0,6,11.2,2,10.7,3,19,0,0,27,1.8
2012,Wisconsin,0,0,1,0.9,34,12.3,11,4.5,3,6.4,0,0,36,0.9
2012,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
2013,Alabama,1,4.4,0,0,153,14.7,9,6.7,17,40.8,0,0,64,2.3
2013,Alaska,5,6.2,0,0,2,10,1,2.9,4,13.4,0,0,4,1
2013,Arizona,9,4.3,0,0,30,14,41,2.7,5,6.3,0,0,129,3.9
2013,Arkansas,0,0,0,0,56,15.4,4,2.8,2,6.4,0,0,58,3.1
2013,California,6,4.3,19,0.4,332,17.9,436,3.9,103,15.2,3,2.6,708,5.4
2013,Colorado,2,7.1,1,0.8,14,8.4,17,2.1,4,5.6,0,0,76,2.4
2013,Connecticut,0,0,0,0,55,18.9,62,15.4,3,8.3,0,0,55,2.5
2013,Delaware,0,0,0,0,52,32.6,3,5.2,2,17.5,0,0,15,2.9
2013,District of Columbia,0,0,0,0,159,60.4,7,13.1,19,184.4,0,0,15,7
2013,Florida,2,4.6,5,1.2,1065,43.4,311,8.2,69,35.9,0,0,548,5.6
2013,Georgia,0,0,3,1,602,24.4,29,4.5,51,51.7,0,0,151,3.2
2013,Hawaii,0,0,5,1.1,2,9.7,1,1,4,2,6,5.6,21,7.4
2013,Idaho,0,0,0,0,0,0,4,3,1,5.2,0,0,9,0.8
2013,Illinois,0,0,1,0.2,288,19.2,65,4.1,32,28.2,0,0,126,1.8
2013,Indiana,0,0,0,0,64,13.4,2,0.7,9,14.5,0,0,106,2.4
2013,Iowa,0,0,1,1.8,6,8.1,1,0.9,0,0,0,0,35,1.5
2013,Kansas,0,0,1,1.6,11,8.2,9,4,2,4.9,0,0,33,1.8
2013,Kentucky,0,0,0,0,40,14.1,4,3.9,4,10,0,0,72,2.3
2013,Louisiana,1,4.2,2,3.1,314,26.5,10,6,7,19.3,0,0,82,3.5
2013,Maine,0,0,0,0,1,8,2,14.2,3,22.7,0,0,24,2.2
2013,Maryland,0,0,0,0,447,31.1,20,5,72,89.2,0,0,75,2.7
2013,Massachusetts,0,0,2,0.6,70,18.9,68,12.5,3,4.2,0,0,126,2.9
2013,Michigan,0,0,1,0.4,175,15.5,8,2.4,7,5.6,0,0,88,1.4
2013,Minnesota,2,4.5,0,0,25,11.3,1,0.5,1,1.6,0,0,48,1.3
2013,Mississippi,2,18,0,0,162,18.3,6,9.4,18,101.5,0,0,40,2.7
2013,Missouri,0,0,1,1.1,74,13.1,2,1.2,10,14.3,0,0,99,2.4
2013,Montana,1,2.2,0,0,0,0,0,0,0,0,0,0,12,1.6
2013,Nebraska,0,0,0,0,6,9.1,2,1.6,3,17.5,0,0,21,1.7
2013,Nevada,0,0,1,0.5,45,24.4,24,4.2,7,12.9,0,0,66,5.2
2013,New Hampshire,0,0,0,0,0,0,3,9.6,0,0,0,0,12,1.1
2013,New Jersey,0,0,2,0.3,395,41.6,133,10.2,65,81.9,0,0,131,3
2013,New Mexico,6,4.2,0,0,4,12.8,15,1.9,2,9.7,0,0,19,2.6
2013,New York,1,2.1,5,0.4,756,31.6,705,24.6,208,101.7,0,0,293,3
2013,North Carolina,4,4.3,1,0.5,359,20.7,14,2.3,20,20,0,0,130,2.4
2013,North Dakota,0,0,0,0,1,10.4,0,0,1,13.6,0,0,3,0.6
2013,Ohio,0,0,0,0,126,11,22,7.8,13,10.3,0,0,152,1.9
2013,Oklahoma,12,4.8,1,1.6,23,10.1,10,3.9,10,7.3,1,26.5,69,3.1
2013,Oregon,0,0,1,0.7,5,8.9,10,2.9,2,2.5,0,0,93,3.5
2013,Pennsylvania,0,0,2,0.6,316,28.4,94,15.7,39,34.6,0,0,179,2.1
2013,Rhode Island,0,0,0,0,8,16.7,11,10,1,7.7,0,0,13,1.9
2013,South Carolina,0,0,1,1.8,232,21.7,3,1.7,9,22,0,0,75,2.9
