Indicator,Year,Full Name,FIPS,All Prev Cases,All Prev Rates,Population
HIV prevalence,2009,Illinois,17.0,28766,270.7,10626004
HIV prevalence,2008,Illinois,17.0,27643,261.7,10563388
HIV prevalence,2017,Indiana,18.0,11218,202.5,5540003
HIV prevalence,2016,Indiana,18.0,10882,197.5,5510511
HIV prevalence,2015,Indiana,18.0,10570,192.8,5483619
HIV prevalence,2014,Indiana,18.0,10083,184.5,5466488
HIV prevalence,2013,Indiana,18.0,9733,179.0,5436314
HIV prevalence,2012,Indiana,18.0,9399,174.1,5399958
HIV prevalence,2011,Indiana,18.0,9073,168.9,5371451
HIV prevalence,2010,Indiana,18.0,8730,163.5,5340692
HIV prevalence,2009,Indiana,18.0,8211,155.5,5279967
HIV prevalence,2008,Indiana,18.0,7930,151.2,5246323
HIV prevalence,2017,Iowa,19.0,2671,102.1,2617029
HIV prevalence,2016,Iowa,19.0,2543,97.6,2605250
HIV prevalence,2015,Iowa,19.0,2400,92.5,2595775
HIV prevalence,2014,Iowa,19.0,2329,90.1,2585119
HIV prevalence,2013,Iowa,19.0,2232,86.8,2570198
HIV prevalence,2012,Iowa,19.0,2161,84.6,2553591
HIV prevalence,2011,Iowa,19.0,2059,81.0,2543043
HIV prevalence,2010,Iowa,19.0,1987,78.6,2526684
HIV prevalence,2009,Iowa,19.0,1575,63.1,2496048
HIV prevalence,2008,Iowa,19.0,1481,59.6,2486127
HIV prevalence,2017,Kansas,20.0,2997,125.0,2397743
HIV prevalence,2016,Kansas,20.0,2917,121.9,2393712
HIV prevalence,2015,Kansas,20.0,2796,117.1,2388086
HIV prevalence,2014,Kansas,20.0,2828,118.9,2377652
HIV prevalence,2013,Kansas,20.0,2758,116.5,2367607
HIV prevalence,2012,Kansas,20.0,2724,115.6,2356616
HIV prevalence,2011,Kansas,20.0,2683,114.7,2340115
HIV prevalence,2010,Kansas,20.0,2596,111.5,2329143
HIV prevalence,2009,Kansas,20.0,2323,100.7,2305964
HIV prevalence,2008,Kansas,20.0,2217,96.8,2290014
HIV prevalence,2017,Kentucky,21.0,7108,190.6,3728831
HIV prevalence,2016,Kentucky,21.0,6846,184.4,3712013
HIV prevalence,2015,Kentucky,21.0,6612,178.7,3699491
HIV prevalence,2014,Kentucky,21.0,6469,175.5,3686449
HIV prevalence,2013,Kentucky,21.0,6240,169.9,3673716
HIV prevalence,2012,Kentucky,21.0,5755,157.6,3652563
HIV prevalence,2011,Kentucky,21.0,5536,152.4,3632735
HIV prevalence,2010,Kentucky,21.0,5316,147.2,3610828
HIV prevalence,2009,Kentucky,21.0,4842,135.1,3583570
HIV prevalence,2008,Kentucky,21.0,4606,129.4,3559663
HIV prevalence,2017,Louisiana,22.0,20424,527.9,3868605
HIV prevalence,2016,Louisiana,22.0,19932,514.9,3871344
HIV prevalence,2015,Louisiana,22.0,19229,498.4,3858097
HIV prevalence,2014,Louisiana,22.0,18518,482.3,3839337
HIV prevalence,2013,Louisiana,22.0,17577,460.2,3819669
HIV prevalence,2012,Louisiana,22.0,16763,441.9,3793129
HIV prevalence,2011,Louisiana,22.0,16516,438.5,3766665
HIV prevalence,2010,Louisiana,22.0,15704,420.2,3737428
HIV prevalence,2009,Louisiana,22.0,16089,437.1,3680921
HIV prevalence,2008,Louisiana,22.0,15426,422.8,3648291
HIV prevalence,2017,Maine,23.0,1576,136.1,1157986
HIV prevalence,2016,Maine,23.0,1531,132.7,1153307
HIV prevalence,2015,Maine,23.0,1422,123.7,1149501
HIV prevalence,2014,Maine,23.0,1399,121.7,1150000
HIV prevalence,2013,Maine,23.0,1328,115.9,1145689
HIV prevalence,2012,Maine,23.0,1288,112.7,1142956
HIV prevalence,2011,Maine,23.0,1268,111.1,1140816
HIV prevalence,2010,Maine,23.0,1253,110.1,1137673
HIV prevalence,2009,Maine,23.0,1010,89.3,1130458
HIV prevalence,2008,Maine,23.0,974,86.2,1129848
HIV prevalence,2017,Maryland,24.0,32436,641.0,5060236
HIV prevalence,2016,Maryland,24.0,31927,633.6,5039003
HIV prevalence,2015,Maryland,24.0,32274,642.7,5021726
HIV prevalence,2014,Maryland,24.0,30660,613.9,4994516
HIV prevalence,2013,Maryland,24.0,29458,593.6,4962705
HIV prevalence,2012,Maryland,24.0,28998,588.8,4924611
HIV prevalence,2011,Maryland,24.0,28436,583.0,4877694
HIV prevalence,2010,Maryland,24.0,27452,568.3,4830144
HIV prevalence,2009,Maryland,24.0,25889,546.9,4733633
HIV prevalence,2008,Maryland,24.0,24916,530.5,4697010
HIV prevalence,2017,Massachusetts,25.0,20374,345.4,5899032
HIV prevalence,2016,Massachusetts,25.0,19979,341.1,5857445
HIV prevalence,2015,Massachusetts,25.0,19668,337.8,5821545
HIV prevalence,2014,Massachusetts,25.0,19297,333.6,5785038
HIV prevalence,2013,Massachusetts,25.0,18946,330.6,5730770
HIV prevalence,2012,Massachusetts,25.0,18507,326.0,5676159
HIV prevalence,2011,Massachusetts,25.0,17782,316.2,5622961
HIV prevalence,2010,Massachusetts,25.0,17091,306.7,5573257
HIV prevalence,2009,Massachusetts,25.0,16613,297.7,5580663
HIV prevalence,2008,Massachusetts,25.0,16201,292.9,5531920
HIV prevalence,2017,Michigan,26.0,15667,185.6,8441967
HIV prevalence,2016,Michigan,26.0,15237,181.2,8409723
HIV prevalence,2015,Michigan,26.0,14387,171.6,8383578
HIV prevalence,2014,Michigan,26.0,14550,173.8,8369488
HIV prevalence,2013,Michigan,26.0,14442,173.2,8337871
HIV prevalence,2012,Michigan,26.0,14071,169.4,8304912
HIV prevalence,2011,Michigan,26.0,13592,164.3,8271309
HIV prevalence,2010,Michigan,26.0,13250,160.7,8247420
HIV prevalence,2009,Michigan,26.0,12994,156.1,8324039
HIV prevalence,2008,Michigan,26.0,12470,149.6,8335602
HIV prevalence,2017,Minnesota,27.0,8304,179.3,4631396
HIV prevalence,2016,Minnesota,27.0,8011,174.5,4589546
HIV prevalence,2015,Minnesota,27.0,7716,169.5,4553008
HIV prevalence,2014,Minnesota,27.0,7446,164.6,4524856
HIV prevalence,2013,Minnesota,27.0,7224,160.9,4489740
HIV prevalence,2012,Minnesota,27.0,7025,157.7,4453587
HIV prevalence,2011,Minnesota,27.0,6729,152.2,4422318
HIV prevalence,2010,Minnesota,27.0,6475,147.5,4388574
HIV prevalence,2009,Minnesota,27.0,6279,144.1,4358038
HIV prevalence,2008,Minnesota,27.0,5994,138.5,4327416
HIV prevalence,2017,Mississippi,28.0,9399,379.1,2479041
HIV prevalence,2016,Mississippi,28.0,9237,373.6,2472164
HIV prevalence,2015,Mississippi,28.0,9096,368.5,2468675
HIV prevalence,2014,Mississippi,28.0,8808,357.0,2467100
HIV prevalence,2013,Mississippi,28.0,8539,347.0,2460749
HIV prevalence,2012,Mississippi,28.0,8400,343.0,2449062
HIV prevalence,2011,Mississippi,28.0,8242,337.8,2439866
HIV prevalence,2010,Mississippi,28.0,7854,323.3,2429159
HIV prevalence,2009,Mississippi,28.0,7784,324.7,2397287
HIV prevalence,2008,Mississippi,28.0,7520,314.8,2389085
HIV prevalence,2017,Missouri,29.0,12308,240.5,5117892
HIV prevalence,2016,Missouri,29.0,12002,235.6,5094029
HIV prevalence,2015,Missouri,29.0,11747,231.4,5076572
HIV prevalence,2014,Missouri,29.0,11384,225.0,5059205
HIV prevalence,2013,Missouri,29.0,11034,219.0,5039202
HIV prevalence,2012,Missouri,29.0,10790,215.1,5016085
HIV prevalence,2011,Missouri,29.0,10463,209.4,4996001
HIV prevalence,2010,Missouri,29.0,10076,202.4,4977086
HIV prevalence,2009,Missouri,29.0,10319,207.9,4962937
HIV prevalence,2008,Missouri,29.0,10028,203.2,4934901
HIV prevalence,2017,Montana,30.0,625,70.5,887128
HIV prevalence,2016,Montana,30.0,583,66.6,875704
HIV prevalence,2015,Montana,30.0,566,65.3,866602
HIV prevalence,2014,Montana,30.0,542,63.1,858974
HIV prevalence,2013,Montana,30.0,528,62.0,851634
HIV prevalence,2012,Montana,30.0,491,58.2,843229
HIV prevalence,2011,Montana,30.0,478,57.1,837028
HIV prevalence,2010,Montana,30.0,420,50.5,831037
HIV prevalence,2009,Montana,30.0,331,40.4,818891
HIV prevalence,2008,Montana,30.0,307,37.8,813046
HIV prevalence,2017,Nebraska,31.0,2136,135.9,1571827
HIV prevalence,2016,Nebraska,31.0,2072,132.8,1560378
HIV prevalence,2015,Nebraska,31.0,2012,130.0,1547705
HIV prevalence,2014,Nebraska,31.0,1956,127.2,1537771
HIV prevalence,2013,Nebraska,31.0,1874,122.9,1525123
HIV prevalence,2012,Nebraska,31.0,1839,121.4,1514247
HIV prevalence,2011,Nebraska,31.0,1804,120.0,1503223
HIV prevalence,2010,Nebraska,31.0,1750,117.1,1494005
HIV prevalence,2009,Nebraska,31.0,1521,103.7,1467198
HIV prevalence,2008,Nebraska,31.0,1437,98.6,1457464
HIV prevalence,2017,Nevada,32.0,9609,387.4,2480508
HIV prevalence,2016,Nevada,32.0,8949,367.9,2432399
HIV prevalence,2015,Nevada,32.0,8489,355.7,2386830
HIV prevalence,2014,Nevada,32.0,8006,341.7,2343130
HIV prevalence,2013,Nevada,32.0,7429,322.5,2303590
HIV prevalence,2012,Nevada,32.0,7155,315.0,2271241
HIV prevalence,2011,Nevada,32.0,6926,309.6,2237368
HIV prevalence,2010,Nevada,32.0,6698,301.3,2223329
HIV prevalence,2009,Nevada,32.0,6301,294.2,2141833
HIV prevalence,2008,Nevada,32.0,6072,286.6,2118616
HIV prevalence,2017,New Hampshire,33.0,1189,101.6,1170090
HIV prevalence,2016,New Hampshire,33.0,1166,100.4,1161178
HIV prevalence,2015,New Hampshire,33.0,1146,99.3,1153654
HIV prevalence,2014,New Hampshire,33.0,1194,103.9,1148650
HIV prevalence,2013,New Hampshire,33.0,1145,100.5,1139264
HIV prevalence,2012,New Hampshire,33.0,1125,99.2,1133890
HIV prevalence,2011,New Hampshire,33.0,1113,98.8,1126337
HIV prevalence,2010,New Hampshire,33.0,1093,97.6,1120212
HIV prevalence,2009,New Hampshire,33.0,1048,93.2,1124301
HIV prevalence,2008,New Hampshire,33.0,1032,92.2,1119153
HIV prevalence,2017,New Jersey,34.0,34891,465.3,7499348
HIV prevalence,2016,New Jersey,34.0,34428,460.4,7478521
HIV prevalence,2015,New Jersey,34.0,34422,461.0,7466207
HIV prevalence,2014,New Jersey,34.0,34311,460.4,7453225
HIV prevalence,2013,New Jersey,34.0,34104,458.7,7434824
HIV prevalence,2012,New Jersey,34.0,33277,449.2,7408872
HIV prevalence,2011,New Jersey,34.0,32916,446.0,7380087
HIV prevalence,2010,New Jersey,34.0,32770,446.1,7345376
HIV prevalence,2009,New Jersey,34.0,34015,469.2,7249862
HIV prevalence,2008,New Jersey,34.0,33426,463.9,7204858
HIV prevalence,2017,New Mexico,35.0,3428,196.5,1744348
HIV prevalence,2016,New Mexico,35.0,3275,188.4,1738281
HIV prevalence,2015,New Mexico,35.0,3181,183.7,1731404
HIV prevalence,2014,New Mexico,35.0,3058,177.0,1727337
HIV prevalence,2013,New Mexico,35.0,2915,169.0,1724605
HIV prevalence,2012,New Mexico,35.0,2944,171.6,1715621
HIV prevalence,2011,New Mexico,35.0,2956,173.3,1705610
HIV prevalence,2010,New Mexico,35.0,2858,169.1,1690231
HIV prevalence,2009,New Mexico,35.0,2257,137.9,1636757
HIV prevalence,2008,New Mexico,35.0,2149,132.6,1620429
HIV prevalence,2017,New York,36.0,126495,760.2,16640405
HIV prevalence,2016,New York,36.0,125550,753.4,16665101
HIV prevalence,2015,New York,36.0,123968,743.8,16665971
HIV prevalence,2014,New York,36.0,123034,738.9,16650830
HIV prevalence,2013,New York,36.0,119981,722.5,16606696
HIV prevalence,2012,New York,36.0,119126,720.2,16540669
HIV prevalence,2011,New York,36.0,117782,715.6,16458143
HIV prevalence,2010,New York,36.0,116281,710.7,16361187
HIV prevalence,2009,New York,36.0,115512,703.9,16409802
HIV prevalence,2008,New York,36.0,113642,695.8,16332205
HIV prevalence,2017,North Carolina,37.0,30953,358.5,8633016
HIV prevalence,2016,North Carolina,37.0,30001,352.0,8522014
HIV prevalence,2015,North Carolina,37.0,29089,346.2,8401711
HIV prevalence,2014,North Carolina,37.0,28127,338.8,8300834
HIV prevalence,2013,North Carolina,37.0,27095,330.3,8203696
HIV prevalence,2012,North Carolina,37.0,26304,324.7,8101318
HIV prevalence,2011,North Carolina,37.0,25063,313.1,8004877
HIV prevalence,2010,North Carolina,37.0,24183,305.2,7922895
HIV prevalence,2009,North Carolina,37.0,22784,295.4,7713809
HIV prevalence,2008,North Carolina,37.0,21767,286.1,7607202
HIV prevalence,2017,North Dakota,38.0,407,65.4,622525
HIV prevalence,2016,North Dakota,38.0,371,59.6,622315
HIV prevalence,2015,North Dakota,38.0,329,52.8,623158
HIV prevalence,2014,North Dakota,38.0,292,47.8,611504
HIV prevalence,2013,North Dakota,38.0,252,41.9,600804
HIV prevalence,2012,North Dakota,38.0,239,40.8,585281
HIV prevalence,2011,North Dakota,38.0,214,37.3,573759
HIV prevalence,2010,North Dakota,38.0,201,35.5,565830
HIV prevalence,2009,North Dakota,38.0,174,32.0,543743
HIV prevalence,2008,North Dakota,38.0,163,30.2,539992
HIV prevalence,2017,Ohio,39.0,21899,223.2,9813290
HIV prevalence,2016,Ohio,39.0,21148,216.3,9777971
HIV prevalence,2015,Ohio,39.0,20271,207.8,9754188
HIV prevalence,2014,Ohio,39.0,19524,200.6,9732167
HIV prevalence,2013,Ohio,39.0,18785,193.7,9696486
HIV prevalence,2012,Ohio,39.0,18140,187.9,9655211
HIV prevalence,2011,Ohio,39.0,17515,181.8,9633071
HIV prevalence,2010,Ohio,39.0,16875,175.6,9610790
HIV prevalence,2009,Ohio,39.0,16213,168.6,9616569
HIV prevalence,2008,Ohio,39.0,15490,161.5,9592881
HIV prevalence,2017,Oklahoma,40.0,6084,187.9,3238135
HIV prevalence,2016,Oklahoma,40.0,5915,183.2,3228505
HIV prevalence,2015,Oklahoma,40.0,5740,178.7,3211563
HIV prevalence,2014,Oklahoma,40.0,5563,174.7,3184247
HIV prevalence,2013,Oklahoma,40.0,5386,170.4,3161412
HIV prevalence,2012,Oklahoma,40.0,5188,165.6,3131983
HIV prevalence,2011,Oklahoma,40.0,5004,161.2,3104403
HIV prevalence,2010,Oklahoma,40.0,4851,157.5,3079818
HIV prevalence,2009,Oklahoma,40.0,4556,151.1,3014967
HIV prevalence,2008,Oklahoma,40.0,4374,146.5,2985437
HIV prevalence,2017,Oregon,41.0,6879,195.5,3519405
HIV prevalence,2016,Oregon,41.0,6698,193.2,3466235
HIV prevalence,2015,Oregon,41.0,6540,192.5,3397526
HIV prevalence,2014,Oregon,41.0,6167,184.2,3348642
HIV prevalence,2013,Oregon,41.0,6060,183.1,3309074
HIV prevalence,2012,Oregon,41.0,6019,183.4,3282121
HIV prevalence,2011,Oregon,41.0,5851,179.9,3252260
HIV prevalence,2010,Oregon,41.0,5642,175.4,3217465
HIV prevalence,2009,Oregon,41.0,4702,147.1,3197425
HIV prevalence,2008,Oregon,41.0,4525,143.2,3159664
HIV prevalence,2017,Pennsylvania,42.0,35520,325.8,10902840
HIV prevalence,2016,Pennsylvania,42.0,35617,327.1,10888364
HIV prevalence,2015,Pennsylvania,42.0,33537,308.2,10881745
HIV prevalence,2014,Pennsylvania,42.0,32968,303.0,10879461
HIV prevalence,2013,Pennsylvania,42.0,32288,297.4,10857460
HIV prevalence,2012,Pennsylvania,42.0,31802,293.6,10832936
HIV prevalence,2011,Pennsylvania,42.0,30996,287.0,10800820
HIV prevalence,2010,Pennsylvania,42.0,30200,280.7,10759979
HIV prevalence,2009,Pennsylvania,42.0,28625,268.5,10659191
HIV prevalence,2008,Pennsylvania,42.0,27612,260.0,10618093
HIV prevalence,2017,Rhode Island,44.0,2547,279.5,911239
HIV prevalence,2016,Rhode Island,44.0,2404,264.1,910326
HIV prevalence,2015,Rhode Island,44.0,2323,255.7,908366
HIV prevalence,2014,Rhode Island,44.0,2302,253.8,907072
HIV prevalence,2013,Rhode Island,44.0,2198,243.0,904623
HIV prevalence,2012,Rhode Island,44.0,2163,239.7,902455
HIV prevalence,2011,Rhode Island,44.0,2108,234.3,899628
HIV prevalence,2010,Rhode Island,44.0,2088,232.4,898501
HIV prevalence,2009,Rhode Island,44.0,1966,219.8,894466
HIV prevalence,2008,Rhode Island,44.0,1884,210.8,893608
HIV prevalence,2017,South Carolina,45.0,16858,398.5,4230737
HIV prevalence,2016,South Carolina,45.0,16405,393.3,4171070
HIV prevalence,2015,South Carolina,45.0,15986,389.0,4109463
HIV prevalence,2014,South Carolina,45.0,15640,386.5,4046632
HIV prevalence,2013,South Carolina,45.0,15341,384.6,3988907
HIV prevalence,2012,South Carolina,45.0,15373,390.3,3939204
HIV prevalence,2011,South Carolina,45.0,16580,425.8,3893958
HIV prevalence,2010,South Carolina,45.0,13935,361.2,3857440
HIV prevalence,2009,South Carolina,45.0,13648,361.0,3780746
HIV prevalence,2008,South Carolina,45.0,13260,355.3,3732320
HIV prevalence,2017,South Dakota,46.0,568,79.6,713932
HIV prevalence,2016,South Dakota,46.0,536,76.0,704961
HIV prevalence,2015,South Dakota,46.0,524,75.1,697811
HIV prevalence,2014,South Dakota,46.0,499,71.9,694500
HIV prevalence,2013,South Dakota,46.0,455,66.0,689289
HIV prevalence,2012,South Dakota,46.0,416,61.0,682418
HIV prevalence,2011,South Dakota,46.0,385,57.1,673889
HIV prevalence,2010,South Dakota,46.0,361,54.0,668043
HIV prevalence,2009,South Dakota,46.0,379,56.7,667951
HIV prevalence,2008,South Dakota,46.0,364,55.0,661864
HIV prevalence,2017,Tennessee,47.0,16612,295.0,5631232
HIV prevalence,2016,Tennessee,47.0,16183,290.5,5570308
HIV prevalence,2015,Tennessee,47.0,16358,296.4,5518921
HIV prevalence,2014,Tennessee,47.0,15875,290.1,5471517
HIV prevalence,2013,Tennessee,47.0,15999,295.0,5424065
HIV prevalence,2012,Tennessee,47.0,15708,292.0,5379876
HIV prevalence,2011,Tennessee,47.0,15094,283.4,5326756
HIV prevalence,2010,Tennessee,47.0,14607,276.5,5282732
HIV prevalence,2009,Tennessee,47.0,13912,266.6,5219117
HIV prevalence,2008,Tennessee,47.0,13380,258.8,5169975
HIV prevalence,2017,Texas,48.0,88099,382.9,23007851
HIV prevalence,2016,Texas,48.0,84680,373.9,22647866
HIV prevalence,2015,Texas,48.0,81815,367.8,22243749
HIV prevalence,2014,Texas,48.0,78388,359.5,21802872
HIV prevalence,2013,Texas,48.0,74850,350.3,21367395
HIV prevalence,2012,Texas,48.0,71544,340.7,20998376
HIV prevalence,2011,Texas,48.0,68342,331.8,20595015
HIV prevalence,2010,Texas,48.0,65136,321.9,20237059
