Year,Full Name,FIPS,All Diag Cases,All Diag Rates,Population,Indicator
2009,Idaho,16.0,48,3.9,1238079,HIV diagnoses
2008,Idaho,16.0,49,4.0,1223541,HIV diagnoses
2018,Illinois,17.0,1352,12.6,10713681,HIV diagnoses
2017,Illinois,17.0,1352,12.6,10731215,HIV diagnoses
2016,Illinois,17.0,1483,13.8,10743318,HIV diagnoses
2015,Illinois,17.0,1550,14.4,10756428,HIV diagnoses
2014,Illinois,17.0,1533,14.2,10759859,HIV diagnoses
2013,Illinois,17.0,1582,14.7,10744121,HIV diagnoses
2012,Illinois,17.0,1647,15.4,10704446,HIV diagnoses
2011,Illinois,17.0,1617,15.2,10668059,HIV diagnoses
2010,Illinois,17.0,1657,15.6,10623897,HIV diagnoses
2009,Illinois,17.0,1728,16.3,10626004,HIV diagnoses
2008,Illinois,17.0,1806,17.1,10563388,HIV diagnoses
2018,Indiana,18.0,510,9.1,5574116,HIV diagnoses
2017,Indiana,18.0,516,9.3,5540003,HIV diagnoses
2016,Indiana,18.0,484,8.8,5510511,HIV diagnoses
2015,Indiana,18.0,632,11.5,5483619,HIV diagnoses
2014,Indiana,18.0,466,8.5,5466488,HIV diagnoses
2013,Indiana,18.0,472,8.7,5436314,HIV diagnoses
2012,Indiana,18.0,491,9.1,5399958,HIV diagnoses
2011,Indiana,18.0,465,8.7,5371451,HIV diagnoses
2010,Indiana,18.0,486,9.1,5340692,HIV diagnoses
2009,Indiana,18.0,463,8.8,5279967,HIV diagnoses
2008,Indiana,18.0,463,8.8,5246323,HIV diagnoses
2018,Iowa,19.0,116,4.4,2630539,HIV diagnoses
2017,Iowa,19.0,124,4.7,2617029,HIV diagnoses
2016,Iowa,19.0,133,5.1,2605250,HIV diagnoses
2015,Iowa,19.0,124,4.8,2595775,HIV diagnoses
2014,Iowa,19.0,94,3.6,2585119,HIV diagnoses
2013,Iowa,19.0,120,4.7,2570198,HIV diagnoses
2012,Iowa,19.0,116,4.5,2553591,HIV diagnoses
2011,Iowa,19.0,112,4.4,2543043,HIV diagnoses
2010,Iowa,19.0,114,4.5,2526684,HIV diagnoses
2009,Iowa,19.0,123,4.9,2496048,HIV diagnoses
2008,Iowa,19.0,95,3.8,2486127,HIV diagnoses
2018,Kansas,20.0,154,6.4,2403453,HIV diagnoses
2017,Kansas,20.0,119,5.0,2397743,HIV diagnoses
2016,Kansas,20.0,147,6.1,2393712,HIV diagnoses
2015,Kansas,20.0,154,6.4,2388086,HIV diagnoses
2014,Kansas,20.0,131,5.5,2377652,HIV diagnoses
2013,Kansas,20.0,147,6.2,2367607,HIV diagnoses
2012,Kansas,20.0,151,6.4,2356616,HIV diagnoses
2011,Kansas,20.0,135,5.8,2340115,HIV diagnoses
2010,Kansas,20.0,136,5.8,2329143,HIV diagnoses
2009,Kansas,20.0,152,6.6,2305964,HIV diagnoses
2008,Kansas,20.0,139,6.1,2290014,HIV diagnoses
2018,Kentucky,21.0,360,9.6,3744646,HIV diagnoses
2017,Kentucky,21.0,365,9.8,3728831,HIV diagnoses
2016,Kentucky,21.0,337,9.1,3712013,HIV diagnoses
2015,Kentucky,21.0,341,9.2,3699491,HIV diagnoses
2014,Kentucky,21.0,344,9.3,3686449,HIV diagnoses
2013,Kentucky,21.0,354,9.6,3673716,HIV diagnoses
2012,Kentucky,21.0,360,9.9,3652563,HIV diagnoses
2011,Kentucky,21.0,310,8.5,3632735,HIV diagnoses
2010,Kentucky,21.0,331,9.2,3610828,HIV diagnoses
2009,Kentucky,21.0,344,9.6,3583570,HIV diagnoses
2008,Kentucky,21.0,355,10.0,3559663,HIV diagnoses
2018,Louisiana,22.0,986,25.5,3864525,HIV diagnoses
2017,Louisiana,22.0,1011,26.1,3868605,HIV diagnoses
2016,Louisiana,22.0,1110,28.7,3871344,HIV diagnoses
2015,Louisiana,22.0,1098,28.5,3858097,HIV diagnoses
2014,Louisiana,22.0,1198,31.2,3839337,HIV diagnoses
2013,Louisiana,22.0,1129,29.6,3819669,HIV diagnoses
2012,Louisiana,22.0,1020,26.9,3793129,HIV diagnoses
2011,Louisiana,22.0,1192,31.6,3766665,HIV diagnoses
2010,Louisiana,22.0,1112,29.8,3737428,HIV diagnoses
2009,Louisiana,22.0,1172,31.8,3680921,HIV diagnoses
2008,Louisiana,22.0,1071,29.4,3648291,HIV diagnoses
2018,Maine,23.0,28,2.4,1162948,HIV diagnoses
2017,Maine,23.0,30,2.6,1157986,HIV diagnoses
2016,Maine,23.0,53,4.6,1153307,HIV diagnoses
2015,Maine,23.0,46,4.0,1149501,HIV diagnoses
2014,Maine,23.0,57,5.0,1150000,HIV diagnoses
2013,Maine,23.0,35,3.1,1145689,HIV diagnoses
2012,Maine,23.0,48,4.2,1142956,HIV diagnoses
2011,Maine,23.0,52,4.6,1140816,HIV diagnoses
2010,Maine,23.0,56,4.9,1137673,HIV diagnoses
2009,Maine,23.0,54,4.8,1130458,HIV diagnoses
2008,Maine,23.0,45,4.0,1129848,HIV diagnoses
2018,Maryland,24.0,979,19.3,5079641,HIV diagnoses
2017,Maryland,24.0,1021,20.2,5060236,HIV diagnoses
2016,Maryland,24.0,1100,21.8,5039003,HIV diagnoses
2015,Maryland,24.0,1176,23.4,5021726,HIV diagnoses
2014,Maryland,24.0,1235,24.7,4994516,HIV diagnoses
2013,Maryland,24.0,1300,26.2,4962705,HIV diagnoses
2012,Maryland,24.0,1326,26.9,4924611,HIV diagnoses
2011,Maryland,24.0,1420,29.1,4877694,HIV diagnoses
2010,Maryland,24.0,1740,36.0,4830144,HIV diagnoses
2009,Maryland,24.0,1678,35.4,4733633,HIV diagnoses
2008,Maryland,24.0,2034,43.3,4697010,HIV diagnoses
2018,Massachusetts,25.0,654,11.0,5941124,HIV diagnoses
2017,Massachusetts,25.0,596,10.1,5899032,HIV diagnoses
2016,Massachusetts,25.0,638,10.9,5857445,HIV diagnoses
2015,Massachusetts,25.0,598,10.3,5821545,HIV diagnoses
2014,Massachusetts,25.0,643,11.1,5785038,HIV diagnoses
2013,Massachusetts,25.0,669,11.7,5730770,HIV diagnoses
2012,Massachusetts,25.0,704,12.4,5676159,HIV diagnoses
2011,Massachusetts,25.0,678,12.1,5622961,HIV diagnoses
2010,Massachusetts,25.0,708,12.7,5573257,HIV diagnoses
2009,Massachusetts,25.0,691,12.4,5580663,HIV diagnoses
2008,Massachusetts,25.0,741,13.4,5531920,HIV diagnoses
2018,Michigan,26.0,718,8.5,8468998,HIV diagnoses
2017,Michigan,26.0,778,9.2,8441967,HIV diagnoses
2016,Michigan,26.0,745,8.9,8409723,HIV diagnoses
2015,Michigan,26.0,725,8.6,8383578,HIV diagnoses
2014,Michigan,26.0,781,9.3,8369488,HIV diagnoses
2013,Michigan,26.0,748,9.0,8337871,HIV diagnoses
2012,Michigan,26.0,789,9.5,8304912,HIV diagnoses
2011,Michigan,26.0,771,9.3,8271309,HIV diagnoses
2010,Michigan,26.0,762,9.2,8247420,HIV diagnoses
2009,Michigan,26.0,803,9.6,8324039,HIV diagnoses
2008,Michigan,26.0,774,9.3,8335602,HIV diagnoses
2018,Minnesota,27.0,283,6.1,4672696,HIV diagnoses
2017,Minnesota,27.0,273,5.9,4631396,HIV diagnoses
2016,Minnesota,27.0,296,6.4,4589546,HIV diagnoses
2015,Minnesota,27.0,296,6.5,4553008,HIV diagnoses
2014,Minnesota,27.0,311,6.9,4524856,HIV diagnoses
2013,Minnesota,27.0,306,6.8,4489740,HIV diagnoses
2012,Minnesota,27.0,314,7.1,4453587,HIV diagnoses
2011,Minnesota,27.0,295,6.7,4422318,HIV diagnoses
2010,Minnesota,27.0,335,7.6,4388574,HIV diagnoses
2009,Minnesota,27.0,380,8.7,4358038,HIV diagnoses
2008,Minnesota,27.0,330,7.6,4327416,HIV diagnoses
2018,Mississippi,28.0,479,19.3,2481945,HIV diagnoses
2017,Mississippi,28.0,427,17.2,2479041,HIV diagnoses
2016,Mississippi,28.0,425,17.2,2472164,HIV diagnoses
2015,Mississippi,28.0,506,20.5,2468675,HIV diagnoses
2014,Mississippi,28.0,474,19.2,2467100,HIV diagnoses
2013,Mississippi,28.0,470,19.1,2460749,HIV diagnoses
2012,Mississippi,28.0,443,18.1,2449062,HIV diagnoses
2011,Mississippi,28.0,525,21.5,2439866,HIV diagnoses
2010,Mississippi,28.0,452,18.6,2429159,HIV diagnoses
2009,Mississippi,28.0,497,20.7,2397287,HIV diagnoses
2008,Mississippi,28.0,517,21.6,2389085,HIV diagnoses
2018,Missouri,29.0,446,8.7,5139738,HIV diagnoses
2017,Missouri,29.0,504,9.8,5117892,HIV diagnoses
2016,Missouri,29.0,510,10.0,5094029,HIV diagnoses
2015,Missouri,29.0,463,9.1,5076572,HIV diagnoses
2014,Missouri,29.0,466,9.2,5059205,HIV diagnoses
2013,Missouri,29.0,465,9.2,5039202,HIV diagnoses
2012,Missouri,29.0,529,10.5,5016085,HIV diagnoses
2011,Missouri,29.0,524,10.5,4996001,HIV diagnoses
2010,Missouri,29.0,569,11.4,4977086,HIV diagnoses
2009,Missouri,29.0,520,10.5,4962937,HIV diagnoses
2008,Missouri,29.0,544,11.0,4934901,HIV diagnoses
2018,Montana,30.0,23,2.6,896526,HIV diagnoses
2017,Montana,30.0,31,3.5,887128,HIV diagnoses
2016,Montana,30.0,20,2.3,875704,HIV diagnoses
2015,Montana,30.0,18,2.1,866602,HIV diagnoses
2014,Montana,30.0,14,1.6,858974,HIV diagnoses
2013,Montana,30.0,22,2.6,851634,HIV diagnoses
2012,Montana,30.0,20,2.4,843229,HIV diagnoses
2011,Montana,30.0,22,2.6,837028,HIV diagnoses
2010,Montana,30.0,20,2.4,831037,HIV diagnoses
2009,Montana,30.0,31,3.8,818891,HIV diagnoses
2008,Montana,30.0,22,2.7,813046,HIV diagnoses
2018,Nebraska,31.0,79,5.0,1583601,HIV diagnoses
2017,Nebraska,31.0,88,5.6,1571827,HIV diagnoses
2016,Nebraska,31.0,76,4.9,1560378,HIV diagnoses
2015,Nebraska,31.0,79,5.1,1547705,HIV diagnoses
2014,Nebraska,31.0,88,5.7,1537771,HIV diagnoses
2013,Nebraska,31.0,79,5.2,1525123,HIV diagnoses
2012,Nebraska,31.0,82,5.4,1514247,HIV diagnoses
2011,Nebraska,31.0,79,5.3,1503223,HIV diagnoses
2010,Nebraska,31.0,115,7.7,1494005,HIV diagnoses
2009,Nebraska,31.0,108,7.4,1467198,HIV diagnoses
2008,Nebraska,31.0,97,6.7,1457464,HIV diagnoses
2018,Nevada,32.0,508,20.0,2536932,HIV diagnoses
2017,Nevada,32.0,491,19.8,2480508,HIV diagnoses
2016,Nevada,32.0,512,21.0,2432399,HIV diagnoses
2015,Nevada,32.0,476,19.9,2386830,HIV diagnoses
2014,Nevada,32.0,428,18.3,2343130,HIV diagnoses
2013,Nevada,32.0,432,18.8,2303590,HIV diagnoses
2012,Nevada,32.0,362,15.9,2271241,HIV diagnoses
2011,Nevada,32.0,382,17.1,2237368,HIV diagnoses
2010,Nevada,32.0,373,16.8,2223329,HIV diagnoses
2009,Nevada,32.0,362,16.9,2141833,HIV diagnoses
2008,Nevada,32.0,387,18.3,2118616,HIV diagnoses
2018,New Hampshire,33.0,36,3.1,1178301,HIV diagnoses
2017,New Hampshire,33.0,34,2.9,1170090,HIV diagnoses
2016,New Hampshire,33.0,40,3.4,1161178,HIV diagnoses
2015,New Hampshire,33.0,25,2.2,1153654,HIV diagnoses
2014,New Hampshire,33.0,40,3.5,1148650,HIV diagnoses
2013,New Hampshire,33.0,35,3.1,1139264,HIV diagnoses
2012,New Hampshire,33.0,47,4.1,1133890,HIV diagnoses
2011,New Hampshire,33.0,39,3.5,1126337,HIV diagnoses
2010,New Hampshire,33.0,50,4.5,1120212,HIV diagnoses
2009,New Hampshire,33.0,39,3.5,1124301,HIV diagnoses
2008,New Hampshire,33.0,43,3.8,1119153,HIV diagnoses
2018,New Jersey,34.0,1044,13.9,7523799,HIV diagnoses
2017,New Jersey,34.0,1125,15.0,7499348,HIV diagnoses
2016,New Jersey,34.0,1196,16.0,7478521,HIV diagnoses
2015,New Jersey,34.0,1200,16.1,7466207,HIV diagnoses
2014,New Jersey,34.0,1242,16.7,7453225,HIV diagnoses
2013,New Jersey,34.0,1208,16.2,7434824,HIV diagnoses
2012,New Jersey,34.0,1274,17.2,7408872,HIV diagnoses
2011,New Jersey,34.0,1175,15.9,7380087,HIV diagnoses
2010,New Jersey,34.0,1348,18.4,7345376,HIV diagnoses
2009,New Jersey,34.0,1398,19.3,7249862,HIV diagnoses
2008,New Jersey,34.0,1431,19.9,7204858,HIV diagnoses
2018,New Mexico,35.0,121,6.9,1751920,HIV diagnoses
2017,New Mexico,35.0,136,7.8,1744348,HIV diagnoses
2016,New Mexico,35.0,144,8.3,1738281,HIV diagnoses
2015,New Mexico,35.0,135,7.8,1731404,HIV diagnoses
2014,New Mexico,35.0,133,7.7,1727337,HIV diagnoses
2013,New Mexico,35.0,141,8.2,1724605,HIV diagnoses
2012,New Mexico,35.0,117,6.8,1715621,HIV diagnoses
2011,New Mexico,35.0,138,8.1,1705610,HIV diagnoses
2010,New Mexico,35.0,147,8.7,1690231,HIV diagnoses
2009,New Mexico,35.0,160,9.8,1636757,HIV diagnoses
2008,New Mexico,35.0,152,9.4,1620429,HIV diagnoses
2018,New York,36.0,2470,14.9,16615927,HIV diagnoses
2017,New York,36.0,2730,16.4,16640405,HIV diagnoses
2016,New York,36.0,2820,16.9,16665101,HIV diagnoses
2015,New York,36.0,3051,18.3,16665971,HIV diagnoses
2014,New York,36.0,3324,20.0,16650830,HIV diagnoses
2013,New York,36.0,3252,19.6,16606696,HIV diagnoses
2012,New York,36.0,3520,21.3,16540669,HIV diagnoses
2011,New York,36.0,3772,22.9,16458143,HIV diagnoses
2010,New York,36.0,3915,23.9,16361187,HIV diagnoses
2009,New York,36.0,4175,25.4,16409802,HIV diagnoses
2008,New York,36.0,4590,28.1,16332205,HIV diagnoses
2018,North Carolina,37.0,1200,13.7,8745091,HIV diagnoses
2017,North Carolina,37.0,1297,15.0,8633016,HIV diagnoses
2016,North Carolina,37.0,1386,16.3,8522014,HIV diagnoses
2015,North Carolina,37.0,1327,15.8,8401711,HIV diagnoses
2014,North Carolina,37.0,1311,15.8,8300834,HIV diagnoses
2013,North Carolina,37.0,1276,15.6,8203696,HIV diagnoses
2012,North Carolina,37.0,1230,15.2,8101318,HIV diagnoses
2011,North Carolina,37.0,1433,17.9,8004877,HIV diagnoses
2010,North Carolina,37.0,1436,18.1,7922895,HIV diagnoses
2009,North Carolina,37.0,1577,20.4,7713809,HIV diagnoses
2008,North Carolina,37.0,1701,22.4,7607202,HIV diagnoses
2018,North Dakota,38.0,36,5.8,625978,HIV diagnoses
2017,North Dakota,38.0,37,5.9,622525,HIV diagnoses
2016,North Dakota,38.0,46,7.4,622315,HIV diagnoses
2015,North Dakota,38.0,20,3.2,623158,HIV diagnoses
2014,North Dakota,38.0,20,3.3,611504,HIV diagnoses
2013,North Dakota,38.0,19,3.2,600804,HIV diagnoses
2012,North Dakota,38.0,11,1.9,585281,HIV diagnoses
2011,North Dakota,38.0,12,2.1,573759,HIV diagnoses
2010,North Dakota,38.0,13,2.3,565830,HIV diagnoses
2009,North Dakota,38.0,14,2.6,543743,HIV diagnoses
2008,North Dakota,38.0,13,2.4,539992,HIV diagnoses
2018,Ohio,39.0,984,10.0,9844655,HIV diagnoses
2017,Ohio,39.0,986,10.0,9813290,HIV diagnoses
2016,Ohio,39.0,961,9.8,9777971,HIV diagnoses
2015,Ohio,39.0,925,9.5,9754188,HIV diagnoses
2014,Ohio,39.0,946,9.7,9732167,HIV diagnoses
2013,Ohio,39.0,1037,10.7,9696486,HIV diagnoses
2012,Ohio,39.0,1017,10.5,9655211,HIV diagnoses
2011,Ohio,39.0,1042,10.8,9633071,HIV diagnoses
2010,Ohio,39.0,982,10.2,9610790,HIV diagnoses
2009,Ohio,39.0,1045,10.9,9616569,HIV diagnoses
2008,Ohio,39.0,1056,11.0,9592881,HIV diagnoses
2018,Oklahoma,40.0,234,7.2,3251579,HIV diagnoses
2017,Oklahoma,40.0,299,9.2,3238135,HIV diagnoses
2016,Oklahoma,40.0,293,9.1,3228505,HIV diagnoses
2015,Oklahoma,40.0,314,9.8,3211563,HIV diagnoses
2014,Oklahoma,40.0,304,9.5,3184247,HIV diagnoses
2013,Oklahoma,40.0,332,10.5,3161412,HIV diagnoses
2012,Oklahoma,40.0,284,9.1,3131983,HIV diagnoses
2011,Oklahoma,40.0,311,10.0,3104403,HIV diagnoses
2010,Oklahoma,40.0,286,9.3,3079818,HIV diagnoses
2009,Oklahoma,40.0,295,9.8,3014967,HIV diagnoses
2008,Oklahoma,40.0,287,9.6,2985437,HIV diagnoses
2018,Oregon,41.0,230,6.5,3563199,HIV diagnoses
2017,Oregon,41.0,203,5.8,3519405,HIV diagnoses
2016,Oregon,41.0,226,6.5,3466235,HIV diagnoses
2015,Oregon,41.0,222,6.5,3397526,HIV diagnoses
2014,Oregon,41.0,239,7.1,3348642,HIV diagnoses
2013,Oregon,41.0,228,6.9,3309074,HIV diagnoses
2012,Oregon,41.0,270,8.2,3282121,HIV diagnoses
2011,Oregon,41.0,239,7.3,3252260,HIV diagnoses
2010,Oregon,41.0,237,7.4,3217465,HIV diagnoses
2009,Oregon,41.0,249,7.8,3197425,HIV diagnoses
2008,Oregon,41.0,286,9.1,3159664,HIV diagnoses
2018,Pennsylvania,42.0,1002,9.2,10927119,HIV diagnoses
2017,Pennsylvania,42.0,1088,10.0,10902840,HIV diagnoses
2016,Pennsylvania,42.0,1131,10.4,10888364,HIV diagnoses
2015,Pennsylvania,42.0,1173,10.8,10881745,HIV diagnoses
2014,Pennsylvania,42.0,1197,11.0,10879461,HIV diagnoses
2013,Pennsylvania,42.0,1292,11.9,10857460,HIV diagnoses
2012,Pennsylvania,42.0,1415,13.1,10832936,HIV diagnoses
2011,Pennsylvania,42.0,1380,12.8,10800820,HIV diagnoses
2010,Pennsylvania,42.0,1480,13.8,10759979,HIV diagnoses
2009,Pennsylvania,42.0,1658,15.6,10659191,HIV diagnoses
2008,Pennsylvania,42.0,1773,16.7,10618093,HIV diagnoses
2018,Rhode Island,44.0,76,8.3,913274,HIV diagnoses
2017,Rhode Island,44.0,83,9.1,911239,HIV diagnoses
2016,Rhode Island,44.0,71,7.8,910326,HIV diagnoses
2015,Rhode Island,44.0,64,7.0,908366,HIV diagnoses
2014,Rhode Island,44.0,89,9.8,907072,HIV diagnoses
