Year,Geography,Estimated HIV incidence,,Estimated HIV prevalence (undiagnosed and diagnosed),
2015,Arkansas,270,10.9,"6,300",255.2
2015,California,"5,100",15.7,"142,300",438.3
2015,Colorado,380,8.4,"13,500",297.7
2015,Connecticut,250,8.1,"11,300",368.3
2015,Delaware,Data not available,Data not available,"3,600",451.3
2015,District of Columbia,420,72.4,"16,500",2843.7
2015,Florida,"4,900",28.3,"122,900",708.6
2015,Georgia,"2,400",28.5,"59,200",703.6
2015,Hawaii,140,11.7,"3,000",250.5
2015,Idaho,Data not available,Data not available,"1,100",82.2
2015,Illinois,"1,400",13,"40,400",375.6
2015,Indiana,710,12.9,"12,800",233.3
2015,Iowa,130,5,"2,900",111.8
2015,Kansas,130,5.5,"3,300",138.4
2015,Kentucky,340,9.2,"7,800",211
2015,Louisiana,"1,000",25.9,"23,800",615.9
2015,Maine,Data not available,Data not available,"1,800",156.7
2015,Maryland,"1,200",23.8,"36,400",723
2015,Massachusetts,660,11.3,"22,600",388.2
2015,Michigan,780,9.3,"18,000",215
2015,Minnesota,280,6.1,"9,100",199.8
2015,Mississippi,340,13.8,"10,600",429.9
2015,Missouri,400,7.9,"13,600",267.9
2015,Montana,Data not available,Data not available,680,78.6
2015,Nebraska,Data not available,Data not available,"2,400",154.9
2015,Nevada,500,20.8,"10,700",445.8
2015,New Hampshire,Data not available,Data not available,"1,300",113.2
2015,New Jersey,950,12.6,"38,300",507.6
2015,New Mexico,140,8.1,"3,800",220.3
2015,New York,"3,400",20.2,"139,900",832.4
2015,North Carolina,"1,300",15.5,"34,300",407.9
2015,North Dakota,Data not available,Data not available,420,67.3
2015,Ohio,850,8.7,"24,000",246.3
2015,Oklahoma,280,8.7,"6,800",212
2015,Oregon,200,5.9,"7,600",223.7
2015,Pennsylvania,850,7.8,"38,200",350.9
2015,Rhode Island,Data not available,Data not available,"2,700",297.2
2015,South Carolina,620,15.1,"19,200",467.2
2015,South Dakota,Data not available,Data not available,550,78.8
2015,Tennessee,700,12.7,"18,500",335.2
2015,Texas,"4,400",19.8,"99,600",448.2
2015,Utah,110,4.7,"3,100",133.8
2015,Vermont,Data not available,Data not available,700,129.4
2015,Virginia,970,13.8,"24,300",345.9
2015,Washington,490,8.2,"14,500",242.2
2015,West Virginia,Data not available,Data not available,"2,000",127.4
2015,Wisconsin,260,5.4,"6,900",142.6
2015,Wyoming,Data not available,Data not available,350,72.4
2016,Alabama,620,15.2,"14,900",365.3
2016,Alaska,Data not available,Data not available,830,137.3
2016,Arizona,790,13.8,"18,500",322.3
2016,Arkansas,260,10.5,"6,500",261.9
2016,California,"5,300",16.2,"145,900",445.5
2016,Colorado,490,10.6,"13,900",300.6
2016,Connecticut,260,8.5,"11,400",371.4
2016,Delaware,Data not available,Data not available,"3,600",446.5
2016,District of Columbia,420,71.3,"16,700",2834.2
2016,Florida,"5,000",28.3,"125,900",712
2016,Georgia,"2,500",29.3,"61,000",715.6
2016,Hawaii,Data not available,Data not available,"3,000",249.8
2016,Idaho,Data not available,Data not available,"1,100",80.5
2016,Illinois,"1,400",13,"41,200",383.1
2016,Indiana,470,8.5,"13,100",237.7
2016,Iowa,Data not available,Data not available,"3,000",115.2
2016,Kansas,Data not available,Data not available,"3,400",142.2
2016,Kentucky,290,7.8,"8,000",215.6
2016,Louisiana,990,25.5,"24,400",629.1
2016,Maine,Data not available,Data not available,"1,800",156.2
2016,Maryland,"1,200",23.7,"37,200",735.6
2016,Massachusetts,670,11.4,"23,000",392.7
2016,Michigan,660,7.9,"18,500",220.4
2016,Minnesota,220,4.8,"9,300",202.5
2016,Mississippi,250,10.1,"10,700",433.3
2016,Missouri,450,8.8,"13,900",272.7
2016,Montana,Data not available,Data not available,690,79
2016,Nebraska,Data not available,Data not available,"2,400",153.6
2016,Nevada,520,21.2,"11,100",453
2016,New Hampshire,Data not available,Data not available,"1,300",112.5
2016,New Jersey,"1,000",13.2,"38,700",511.1
2016,New Mexico,170,9.8,"3,900",225.2
2016,New York,"3,100",18.4,"141,300",839.1
2016,North Carolina,"1,400",16.4,"35,100",411.9
2016,North Dakota,Data not available,Data not available,470,75.3
2016,Ohio,850,8.7,"24,500",250.8
2016,Oklahoma,250,7.8,"7,000",217.1
2016,Oregon,200,5.8,"7,700",222.4
2016,Pennsylvania,860,7.9,"38,500",353.4
2016,Rhode Island,Data not available,Data not available,"2,800",307.3
2016,South Carolina,670,16.1,"19,600",469.8
2016,South Dakota,Data not available,Data not available,570,81
2016,Tennessee,690,12.4,"18,900",339
2016,Texas,"4,300",19,"102,600",453.5
2016,Utah,150,6.3,"3,200",134.8
2016,Vermont,Data not available,Data not available,690,127.5
2016,Virginia,760,10.7,"24,800",350.7
2016,Washington,380,6.2,"14,700",241
2016,West Virginia,Data not available,Data not available,"2,000",128
2016,Wisconsin,250,5.1,"7,100",146.1
2016,Wyoming,Data not available,Data not available,360,74.5
