Indicator,Year,Geography,FIPS,Cases,Rate per 100000,Population
HIV prevalence,2016,"Adair County, KY",21001,Data suppressed,Data suppressed,NA
HIV prevalence,2015,"Adair County, KY",21001,Data suppressed,Data suppressed,NA
HIV prevalence,2014,"Adair County, KY",21001,Data suppressed,Data suppressed,NA
HIV prevalence,2013,"Adair County, KY",21001,Data suppressed,Data suppressed,NA
HIV prevalence,2012,"Adair County, KY",21001,Data suppressed,Data suppressed,NA
HIV prevalence,2011,"Adair County, KY",21001,Data suppressed,Data suppressed,NA
HIV prevalence,2010,"Adair County, KY",21001,Data suppressed,Data suppressed,NA
HIV prevalence,2009,"Adair County, KY",21001,Data suppressed,Data suppressed,NA
HIV prevalence,2008,"Adair County, KY",21001,Data suppressed,Data suppressed,NA
HIV prevalence,2017,"Adair County, IA",19001,Data suppressed,Data suppressed,NA
HIV prevalence,2016,"Adair County, IA",19001,Data suppressed,Data suppressed,NA
HIV prevalence,2015,"Adair County, IA",19001,0,0,"6,063"
HIV prevalence,2014,"Adair County, IA",19001,11,176.4,"6,235"
HIV prevalence,2013,"Adair County, IA",19001,Data suppressed,Data suppressed,NA
HIV prevalence,2012,"Adair County, IA",19001,Data suppressed,Data suppressed,NA
HIV prevalence,2011,"Adair County, IA",19001,Data suppressed,Data suppressed,NA
HIV prevalence,2010,"Adair County, IA",19001,Data suppressed,Data suppressed,NA
HIV prevalence,2009,"Adair County, IA",19001,0,0,"6,286"
HIV prevalence,2008,"Adair County, IA",19001,0,0,"6,349"
HIV prevalence,2017,"Adair County, OK",40001,12,67.2,"17,849"
HIV prevalence,2016,"Adair County, OK",40001,10,55.7,"17,951"
HIV prevalence,2015,"Adair County, OK",40001,10,55.7,"17,962"
HIV prevalence,2014,"Adair County, OK",40001,12,66.5,"18,050"
HIV prevalence,2013,"Adair County, OK",40001,10,55.3,"18,095"
HIV prevalence,2012,"Adair County, OK",40001,9,49.8,"18,081"
HIV prevalence,2011,"Adair County, OK",40001,8,44,"18,169"
HIV prevalence,2010,"Adair County, OK",40001,11,60.5,"18,172"
HIV prevalence,2009,"Adair County, OK",40001,7,40.5,"17,303"
HIV prevalence,2008,"Adair County, OK",40001,7,40.5,"17,294"
HIV prevalence,2017,"Adams County, PA",42001,83,94.4,"87,919"
HIV prevalence,2016,"Adams County, PA",42001,65,74.5,"87,284"
HIV prevalence,2015,"Adams County, PA",42001,99,113.6,"87,114"
HIV prevalence,2014,"Adams County, PA",42001,102,117.6,"86,704"
HIV prevalence,2013,"Adams County, PA",42001,104,120.5,"86,322"
HIV prevalence,2012,"Adams County, PA",42001,99,114.8,"86,251"
HIV prevalence,2011,"Adams County, PA",42001,91,105.7,"86,131"
HIV prevalence,2010,"Adams County, PA",42001,81,94.2,"85,951"
HIV prevalence,2009,"Adams County, PA",42001,62,71.7,"86,438"
HIV prevalence,2008,"Adams County, PA",42001,59,68.7,"85,919"
HIV prevalence,2017,"Adams County, NE",31001,Data suppressed,Data suppressed,NA
HIV prevalence,2016,"Adams County, NE",31001,5,19.1,"26,241"
HIV prevalence,2015,"Adams County, NE",31001,5,19.1,"26,244"
HIV prevalence,2014,"Adams County, NE",31001,9,34.5,"26,062"
HIV prevalence,2013,"Adams County, NE",31001,18,68.9,"26,131"
HIV prevalence,2012,"Adams County, NE",31001,19,73.2,"25,970"
HIV prevalence,2011,"Adams County, NE",31001,15,58,"25,877"
HIV prevalence,2010,"Adams County, NE",31001,12,46.3,"25,916"
HIV prevalence,2009,"Adams County, NE",31001,14,50.7,"27,618"
HIV prevalence,2008,"Adams County, NE",31001,13,47.2,"27,522"
HIV prevalence,2017,"Adams County, MS",28001,106,396.4,"26,738"
HIV prevalence,2016,"Adams County, MS",28001,96,358.2,"26,799"
HIV prevalence,2015,"Adams County, MS",28001,97,361.9,"26,801"
HIV prevalence,2014,"Adams County, MS",28001,95,348.6,"27,252"
HIV prevalence,2013,"Adams County, MS",28001,99,363.5,"27,234"
HIV prevalence,2012,"Adams County, MS",28001,93,342.4,"27,164"
HIV prevalence,2011,"Adams County, MS",28001,89,325.1,"27,376"
HIV prevalence,2010,"Adams County, MS",28001,85,309.1,"27,500"
HIV prevalence,2009,"Adams County, MS",28001,86,338.5,"25,404"
HIV prevalence,2008,"Adams County, MS",28001,84,325.6,"25,798"
HIV prevalence,2017,"Adams County, CO",8001,"1,069",263.2,"406,116"
HIV prevalence,2016,"Adams County, CO",8001,936,234.6,"399,056"
HIV prevalence,2015,"Adams County, CO",8001,895,228.8,"391,191"
HIV prevalence,2014,"Adams County, CO",8001,854,223.8,"381,665"
HIV prevalence,2013,"Adams County, CO",8001,835,224.4,"372,045"
HIV prevalence,2012,"Adams County, CO",8001,785,216,"363,370"
HIV prevalence,2011,"Adams County, CO",8001,735,206.6,"355,715"
HIV prevalence,2010,"Adams County, CO",8001,690,197.9,"348,664"
HIV prevalence,2009,"Adams County, CO",8001,608,175.4,"346,629"
HIV prevalence,2008,"Adams County, CO",8001,562,166.3,"337,883"
HIV prevalence,2017,"Adams County, WI",55001,19,105.9,"17,942"
HIV prevalence,2016,"Adams County, WI",55001,21,117.1,"17,940"
HIV prevalence,2015,"Adams County, WI",55001,21,116.8,"17,975"
HIV prevalence,2014,"Adams County, WI",55001,19,105.2,"18,062"
HIV prevalence,2013,"Adams County, WI",55001,19,104,"18,265"
HIV prevalence,2012,"Adams County, WI",55001,23,125.9,"18,275"
HIV prevalence,2011,"Adams County, WI",55001,22,119.1,"18,476"
HIV prevalence,2010,"Adams County, WI",55001,20,107.8,"18,545"
HIV prevalence,2009,"Adams County, WI",55001,22,123.3,"17,845"
HIV prevalence,2008,"Adams County, WI",55001,22,122.3,"17,995"
HIV prevalence,2017,"Adams County, WA",53001,13,90,"14,438"
HIV prevalence,2016,"Adams County, WA",53001,15,105.6,"14,200"
HIV prevalence,2015,"Adams County, WA",53001,13,92,"14,134"
HIV prevalence,2014,"Adams County, WA",53001,13,92.2,"14,103"
HIV prevalence,2013,"Adams County, WA",53001,14,99.6,"14,053"
HIV prevalence,2012,"Adams County, WA",53001,12,86.1,"13,939"
HIV prevalence,2011,"Adams County, WA",53001,10,71.9,"13,908"
HIV prevalence,2010,"Adams County, WA",53001,9,64.8,"13,883"
HIV prevalence,2009,"Adams County, WA",53001,6,47,"12,753"
HIV prevalence,2008,"Adams County, WA",53001,5,39.7,"12,580"
HIV prevalence,2017,"Adams County, IA",19003,Data suppressed,Data suppressed,NA
HIV prevalence,2016,"Adams County, IA",19003,Data suppressed,Data suppressed,NA
HIV prevalence,2015,"Adams County, IA",19003,0,0,"3,172"
HIV prevalence,2014,"Adams County, IA",19003,0,0,"3,280"
HIV prevalence,2013,"Adams County, IA",19003,0,0,"3,305"
HIV prevalence,2012,"Adams County, IA",19003,0,0,"3,336"
HIV prevalence,2011,"Adams County, IA",19003,0,0,"3,416"
HIV prevalence,2010,"Adams County, IA",19003,Data suppressed,Data suppressed,NA
HIV prevalence,2009,"Adams County, IA",19003,0,0,"3,358"
HIV prevalence,2008,"Adams County, IA",19003,0,0,"3,425"
HIV prevalence,2017,"Adams County, IN",18001,5,18.4,"27,200"
HIV prevalence,2016,"Adams County, IN",18001,Data suppressed,Data suppressed,NA
HIV prevalence,2015,"Adams County, IN",18001,Data suppressed,Data suppressed,NA
HIV prevalence,2014,"Adams County, IN",18001,7,26.2,"26,717"
HIV prevalence,2013,"Adams County, IN",18001,6,22.5,"26,657"
HIV prevalence,2012,"Adams County, IN",18001,5,18.9,"26,508"
HIV prevalence,2011,"Adams County, IN",18001,5,18.9,"26,495"
HIV prevalence,2010,"Adams County, IN",18001,6,22.6,"26,500"
HIV prevalence,2009,"Adams County, IN",18001,6,22.6,"26,553"
HIV prevalence,2008,"Adams County, IN",18001,6,22.7,"26,486"
HIV prevalence,2017,"Adams County, IL",17001,43,77.7,"55,348"
HIV prevalence,2016,"Adams County, IL",17001,48,86.3,"55,607"
HIV prevalence,2015,"Adams County, IL",17001,44,78.7,"55,886"
HIV prevalence,2014,"Adams County, IL",17001,41,73.2,"56,009"
HIV prevalence,2013,"Adams County, IL",17001,45,80.3,"56,042"
HIV prevalence,2012,"Adams County, IL",17001,40,71.3,"56,105"
HIV prevalence,2011,"Adams County, IL",17001,40,71.2,"56,161"
HIV prevalence,2010,"Adams County, IL",17001,37,65.9,"56,141"
HIV prevalence,2009,"Adams County, IL",17001,30,53.3,"56,261"
HIV prevalence,2008,"Adams County, IL",17001,32,57,"56,116"
HIV prevalence,2017,"Adams County, ID",16003,Data suppressed,Data suppressed,NA
HIV prevalence,2016,"Adams County, ID",16003,0,0,"3,454"
HIV prevalence,2015,"Adams County, ID",16003,0,0,"3,407"
HIV prevalence,2014,"Adams County, ID",16003,Data suppressed,Data suppressed,NA
HIV prevalence,2013,"Adams County, ID",16003,Data suppressed,Data suppressed,NA
HIV prevalence,2012,"Adams County, ID",16003,Data suppressed,Data suppressed,NA
HIV prevalence,2011,"Adams County, ID",16003,Data suppressed,Data suppressed,NA
HIV prevalence,2010,"Adams County, ID",16003,Data suppressed,Data suppressed,NA
HIV prevalence,2009,"Adams County, ID",16003,Data suppressed,Data suppressed,NA
HIV prevalence,2008,"Adams County, ID",16003,Data suppressed,Data suppressed,NA
HIV prevalence,2017,"Adams County, OH",39001,16,69.2,"23,112"
HIV prevalence,2016,"Adams County, OH",39001,18,77.9,"23,109"
HIV prevalence,2015,"Adams County, OH",39001,21,90.6,"23,166"
HIV prevalence,2014,"Adams County, OH",39001,20,86.2,"23,209"
HIV prevalence,2013,"Adams County, OH",39001,23,99.1,"23,214"
HIV prevalence,2012,"Adams County, OH",39001,29,124.5,"23,285"
HIV prevalence,2011,"Adams County, OH",39001,31,132.6,"23,372"
HIV prevalence,2010,"Adams County, OH",39001,104,443.7,"23,438"
HIV prevalence,2009,"Adams County, OH",39001,9,38.8,"23,198"
HIV prevalence,2008,"Adams County, OH",39001,9,38.7,"23,260"
HIV prevalence,2017,"Adams County, ND",38001,0,0,"2,009"
HIV prevalence,2016,"Adams County, ND",38001,0,0,"2,013"
HIV prevalence,2015,"Adams County, ND",38001,0,0,"2,063"
HIV prevalence,2014,"Adams County, ND",38001,Data suppressed,Data suppressed,NA
HIV prevalence,2013,"Adams County, ND",38001,Data suppressed,Data suppressed,NA
HIV prevalence,2012,"Adams County, ND",38001,Data suppressed,Data suppressed,NA
HIV prevalence,2011,"Adams County, ND",38001,Data suppressed,Data suppressed,NA
HIV prevalence,2010,"Adams County, ND",38001,Data suppressed,Data suppressed,NA
HIV prevalence,2009,"Adams County, ND",38001,Data suppressed,Data suppressed,NA
HIV prevalence,2008,"Adams County, ND",38001,Data suppressed,Data suppressed,NA
HIV prevalence,2017,"Addison County, VT",50001,31,95.1,"32,596"
HIV prevalence,2016,"Addison County, VT",50001,30,92.3,"32,489"
HIV prevalence,2015,"Addison County, VT",50001,31,95.6,"32,442"
HIV prevalence,2014,"Addison County, VT",50001,30,92.7,"32,355"
HIV prevalence,2013,"Addison County, VT",50001,30,92.9,"32,309"
HIV prevalence,2012,"Addison County, VT",50001,22,68.4,"32,185"
HIV prevalence,2011,"Addison County, VT",50001,18,56,"32,120"
HIV prevalence,2010,"Addison County, VT",50001,13,40.8,"31,832"
HIV prevalence,2009,"Addison County, VT",50001,12,37.9,"31,627"
HIV prevalence,2008,"Addison County, VT",50001,12,38,"31,597"
HIV prevalence,2017,"Aiken County, SC",45003,453,319,"142,017"
HIV prevalence,2016,"Aiken County, SC",45003,414,293.7,"140,962"
HIV prevalence,2015,"Aiken County, SC",45003,376,269.2,"139,675"
HIV prevalence,2014,"Aiken County, SC",45003,298,215.5,"138,256"
HIV prevalence,2013,"Aiken County, SC",45003,211,153.4,"137,537"
HIV prevalence,2012,"Aiken County, SC",45003,276,202.1,"136,562"
HIV prevalence,2011,"Aiken County, SC",45003,388,286.7,"135,355"
HIV prevalence,2010,"Aiken County, SC",45003,189,140.8,"134,236"
HIV prevalence,2009,"Aiken County, SC",45003,357,273.9,"130,316"
HIV prevalence,2008,"Aiken County, SC",45003,345,267.5,"128,988"
HIV prevalence,2017,"Aitkin County, MN",27001,8,57.4,"13,943"
HIV prevalence,2016,"Aitkin County, MN",27001,8,57.6,"13,898"
HIV prevalence,2015,"Aitkin County, MN",27001,Data suppressed,Data suppressed,NA
HIV prevalence,2014,"Aitkin County, MN",27001,7,50.1,"13,966"
HIV prevalence,2013,"Aitkin County, MN",27001,6,43,"13,954"
HIV prevalence,2012,"Aitkin County, MN",27001,5,35.6,"14,060"
HIV prevalence,2011,"Aitkin County, MN",27001,7,49.4,"14,156"
HIV prevalence,2010,"Aitkin County, MN",27001,7,49.5,"14,147"
HIV prevalence,2009,"Aitkin County, MN",27001,Data suppressed,Data suppressed,NA
HIV prevalence,2008,"Aitkin County, MN",27001,Data suppressed,Data suppressed,NA
HIV prevalence,2017,"Alachua County, FL",12001,"1,010",436.3,"231,469"
HIV prevalence,2016,"Alachua County, FL",12001,968,422.4,"229,145"
HIV prevalence,2015,"Alachua County, FL",12001,953,423.7,"224,897"
HIV prevalence,2014,"Alachua County, FL",12001,930,419.3,"221,790"
HIV prevalence,2013,"Alachua County, FL",12001,868,395.8,"219,291"
HIV prevalence,2012,"Alachua County, FL",12001,856,391.6,"218,613"
HIV prevalence,2011,"Alachua County, FL",12001,806,370.8,"217,360"
HIV prevalence,2010,"Alachua County, FL",12001,770,356.9,"215,768"
HIV prevalence,2009,"Alachua County, FL",12001,789,373.8,"211,084"
HIV prevalence,2008,"Alachua County, FL",12001,739,352,"209,940"
HIV prevalence,2017,"Alamance County, NC",37001,403,292.8,"137,651"
HIV prevalence,2016,"Alamance County, NC",37001,391,289.8,"134,901"
HIV prevalence,2015,"Alamance County, NC",37001,380,288.2,"131,837"
HIV prevalence,2014,"Alamance County, NC",37001,355,272.4,"130,340"
HIV prevalence,2013,"Alamance County, NC",37001,336,260.4,"129,044"
HIV prevalence,2012,"Alamance County, NC",37001,329,257.2,"127,901"
HIV prevalence,2011,"Alamance County, NC",37001,324,254.8,"127,147"
HIV prevalence,2010,"Alamance County, NC",37001,312,247.8,"125,910"
HIV prevalence,2009,"Alamance County, NC",37001,294,237.7,"123,686"
HIV prevalence,2008,"Alamance County, NC",37001,282,231.5,"121,794"
HIV prevalence,2017,"Alameda County, CA",6001,"5,890",418.7,"1,406,803"
HIV prevalence,2016,"Alameda County, CA",6001,"5,702",408.1,"1,397,339"
HIV prevalence,2015,"Alameda County, CA",6001,"5,350",387.5,"1,380,758"
HIV prevalence,2014,"Alameda County, CA",6001,"5,531",407.7,"1,356,627"
HIV prevalence,2013,"Alameda County, CA",6001,"5,410",406.8,"1,329,829"
HIV prevalence,2012,"Alameda County, CA",6001,"5,250",402.2,"1,305,421"
HIV prevalence,2011,"Alameda County, CA",6001,"5,063",394.3,"1,283,904"
HIV prevalence,2010,"Alameda County, CA",6001,"4,834",381.5,"1,267,084"
HIV prevalence,2009,"Alameda County, CA",6001,"4,622",373.3,"1,238,276"
HIV prevalence,2008,"Alameda County, CA",6001,"4,445",364.1,"1,220,968"
HIV prevalence,2017,"Alamosa County, CO",8003,23,168.8,"13,628"
HIV prevalence,2016,"Alamosa County, CO",8003,17,125.3,"13,568"
HIV prevalence,2015,"Alamosa County, CO",8003,12,89.8,"13,364"
HIV prevalence,2014,"Alamosa County, CO",8003,8,60.2,"13,298"
HIV prevalence,2013,"Alamosa County, CO",8003,7,52.8,"13,266"
HIV prevalence,2012,"Alamosa County, CO",8003,7,53.1,"13,191"
HIV prevalence,2011,"Alamosa County, CO",8003,5,37.8,"13,233"
HIV prevalence,2010,"Alamosa County, CO",8003,7,53.5,"13,089"
HIV prevalence,2009,"Alamosa County, CO",8003,7,55.9,"12,527"
HIV prevalence,2008,"Alamosa County, CO",8003,6,47.8,"12,560"
HIV prevalence,2017,"Albany County, WY",56001,15,44.4,"33,766"
HIV prevalence,2016,"Albany County, WY",56001,16,48.2,"33,201"
HIV prevalence,2015,"Albany County, WY",56001,16,48.1,"33,244"
HIV prevalence,2014,"Albany County, WY",56001,19,57.7,"32,934"
HIV prevalence,2013,"Albany County, WY",56001,19,57.6,"32,962"
HIV prevalence,2012,"Albany County, WY",56001,16,48.9,"32,742"
HIV prevalence,2011,"Albany County, WY",56001,14,43.3,"32,304"
HIV prevalence,2010,"Albany County, WY",56001,16,50.1,"31,940"
HIV prevalence,2009,"Albany County, WY",56001,22,74,"29,718"
HIV prevalence,2008,"Albany County, WY",56001,21,72.2,"29,083"
HIV prevalence,2017,"Albany County, NY",36001,"1,152",430.9,"267,347"
HIV prevalence,2016,"Albany County, NY",36001,"1,082",405.1,"267,121"
HIV prevalence,2015,"Albany County, NY",36001,968,362.7,"266,876"
HIV prevalence,2014,"Albany County, NY",36001,853,320.2,"266,434"
HIV prevalence,2013,"Albany County, NY",36001,817,307.4,"265,792"
HIV prevalence,2012,"Albany County, NY",36001,965,364.7,"264,631"
HIV prevalence,2011,"Albany County, NY",36001,975,370.3,"263,277"
HIV prevalence,2010,"Albany County, NY",36001,898,342.3,"262,342"
HIV prevalence,2009,"Albany County, NY",36001,"1,059",411.9,"257,115"
HIV prevalence,2008,"Albany County, NY",36001,"1,042",407,"256,024"
HIV prevalence,2017,"Albemarle County, VA",51003,157,170,"92,367"
HIV prevalence,2016,"Albemarle County, VA",51003,141,155,"90,985"
HIV prevalence,2015,"Albemarle County, VA",51003,133,148.3,"89,678"
HIV prevalence,2014,"Albemarle County, VA",51003,129,146.1,"88,275"
HIV prevalence,2013,"Albemarle County, VA",51003,134,154.3,"86,853"
HIV prevalence,2012,"Albemarle County, VA",51003,122,141.7,"86,126"
HIV prevalence,2011,"Albemarle County, VA",51003,84,98.9,"84,908"
HIV prevalence,2010,"Albemarle County, VA",51003,80,95.1,"84,085"
HIV prevalence,2009,"Albemarle County, VA",51003,89,110.7,"80,386"
HIV prevalence,2008,"Albemarle County, VA",51003,84,105.1,"79,900"
HIV prevalence,2017,"Alcona County, MI",26001,Data suppressed,Data suppressed,NA
HIV prevalence,2016,"Alcona County, MI",26001,Data suppressed,Data suppressed,NA
HIV prevalence,2015,"Alcona County, MI",26001,Data suppressed,Data suppressed,NA
HIV prevalence,2014,"Alcona County, MI",26001,Data suppressed,Data suppressed,NA
HIV prevalence,2013,"Alcona County, MI",26001,Data suppressed,Data suppressed,NA
HIV prevalence,2012,"Alcona County, MI",26001,Data suppressed,Data suppressed,NA
HIV prevalence,2011,"Alcona County, MI",26001,Data suppressed,Data suppressed,NA
HIV prevalence,2010,"Alcona County, MI",26001,0,0,"9,864"
HIV prevalence,2009,"Alcona County, MI",26001,Data suppressed,Data suppressed,NA
HIV prevalence,2008,"Alcona County, MI",26001,Data suppressed,Data suppressed,NA
HIV prevalence,2017,"Alcorn County, MS",28003,45,144.5,"31,146"
HIV prevalence,2016,"Alcorn County, MS",28003,41,132,"31,056"
HIV prevalence,2015,"Alcorn County, MS",28003,36,116,"31,033"
HIV prevalence,2014,"Alcorn County, MS",28003,31,99.9,"31,016"
HIV prevalence,2013,"Alcorn County, MS",28003,37,119.3,"31,015"
HIV prevalence,2012,"Alcorn County, MS",28003,35,113.6,"30,814"
HIV prevalence,2011,"Alcorn County, MS",28003,35,113.7,"30,774"
HIV prevalence,2010,"Alcorn County, MS",28003,31,101.4,"30,566"
HIV prevalence,2009,"Alcorn County, MS",28003,31,104.2,"29,742"
HIV prevalence,2008,"Alcorn County, MS",28003,31,104.4,"29,699"
HIV prevalence,2017,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA
HIV prevalence,2016,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA
HIV prevalence,2015,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA
HIV prevalence,2014,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA
HIV prevalence,2013,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA
HIV prevalence,2012,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA
HIV prevalence,2011,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA
HIV prevalence,2010,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA
HIV prevalence,2009,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA
HIV prevalence,2008,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA
HIV prevalence,2017,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed,NA
HIV prevalence,2016,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed,NA
HIV prevalence,2015,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed,NA
HIV prevalence,2014,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed,NA
HIV prevalence,2013,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed,NA
HIV prevalence,2012,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed,NA
HIV prevalence,2011,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed,NA
HIV prevalence,2010,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed,NA
HIV prevalence,2009,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed,NA
HIV prevalence,2008,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed,NA
HIV prevalence,2017,"Alexander County, IL",17003,18,345.6,"5,209"
HIV prevalence,2016,"Alexander County, IL",17003,18,338.3,"5,321"
HIV prevalence,2015,"Alexander County, IL",17003,17,306.3,"5,550"
HIV prevalence,2014,"Alexander County, IL",17003,19,328.7,"5,781"
HIV prevalence,2013,"Alexander County, IL",17003,19,319.8,"5,941"
HIV prevalence,2012,"Alexander County, IL",17003,19,295.4,"6,431"
HIV prevalence,2011,"Alexander County, IL",17003,17,255.9,"6,643"
HIV prevalence,2010,"Alexander County, IL",17003,10,146.8,"6,811"
HIV prevalence,2009,"Alexander County, IL",17003,19,289.2,"6,569"
HIV prevalence,2008,"Alexander County, IL",17003,20,297.5,"6,723"
HIV prevalence,2017,"Alexander County, NC",37003,40,125.4,"31,907"
HIV prevalence,2016,"Alexander County, NC",37003,42,132,"31,810"
HIV prevalence,2015,"Alexander County, NC",37003,48,151.9,"31,594"
HIV prevalence,2014,"Alexander County, NC",37003,57,180.6,"31,558"
HIV prevalence,2013,"Alexander County, NC",37003,43,136.7,"31,455"
HIV prevalence,2012,"Alexander County, NC",37003,46,147.3,"31,226"
HIV prevalence,2011,"Alexander County, NC",37003,45,144,"31,261"
HIV prevalence,2010,"Alexander County, NC",37003,43,137.5,"31,271"
HIV prevalence,2009,"Alexander County, NC",37003,28,90.4,"30,987"
HIV prevalence,2008,"Alexander County, NC",37003,27,87.9,"30,714"
HIV prevalence,2017,"Alexandria City, VA",51510,803,588.2,"136,522"
HIV prevalence,2016,"Alexandria City, VA",51510,843,628.7,"134,082"
HIV prevalence,2015,"Alexandria City, VA",51510,814,619.3,"131,441"
HIV prevalence,2014,"Alexandria City, VA",51510,679,524,"129,591"
HIV prevalence,2013,"Alexandria City, VA",51510,606,473,"128,120"
HIV prevalence,2012,"Alexandria City, VA",51510,835,660.8,"126,363"
HIV prevalence,2011,"Alexandria City, VA",51510,927,747.2,"124,056"
HIV prevalence,2010,"Alexandria City, VA",51510,"1,002",825.3,"121,407"
HIV prevalence,2009,"Alexandria City, VA",51510,"1,149",905.3,"126,914"
HIV prevalence,2008,"Alexandria City, VA",51510,"1,127",917,"122,895"
HIV prevalence,2017,"Alfalfa County, OK",40003,10,199.8,"5,005"
HIV prevalence,2016,"Alfalfa County, OK",40003,13,258.5,"5,029"
HIV prevalence,2015,"Alfalfa County, OK",40003,9,178.2,"5,051"
HIV prevalence,2014,"Alfalfa County, OK",40003,11,219.7,"5,007"
HIV prevalence,2013,"Alfalfa County, OK",40003,8,159.1,"5,030"
HIV prevalence,2012,"Alfalfa County, OK",40003,7,142.2,"4,922"
HIV prevalence,2011,"Alfalfa County, OK",40003,7,142.2,"4,923"
HIV prevalence,2010,"Alfalfa County, OK",40003,6,122.1,"4,916"
