Year,Geography,American Indian/Alaska Native,,Asian,,Black/African American,,Hispanic/Latino,,Multiple races,,Native Hawaiian/Other Pacific Islander,,White,
2010,Delaware,3,120.9,5,21,"1,773",1169.7,246,467.5,112,1130.3,0,0,804,156.9
2010,District of Columbia,9,732.9,54,270.1,"9,744",3791,"1,027",2227.2,972,10341.5,5,2381,"2,236",1136
2010,Florida,42,102.3,252,64.9,"42,965",1865.2,"18,483",535,"2,285",1336.1,17,182,"24,348",252.3
2010,Georgia,15,82.6,128,49,"26,455",1131.8,"2,656",436.2,"2,471",2859.3,7,162.3,"8,431",183.4
2010,Hawaii,5,200.4,316,68.2,110,644.3,286,327.7,255,133.4,175,171.3,"1,239",441.2
2010,Idaho,12,85,5,32.1,53,798.1,123,101.2,28,166.1,0,0,648,60
2010,Illinois,21,131.2,291,58.8,"13,608",914.5,"5,309",354.9,"1,968",1935.1,16,593,"8,752",124.6
2010,Indiana,2,16.5,81,95.3,"2,926",635.8,718,264.4,380,707.3,0,0,"4,623",103.7
2010,Iowa,5,72.7,27,61.7,334,505.2,194,186.3,101,470.2,1,73.9,"1,325",58
2010,Kansas,10,52.6,21,38,618,474.1,406,195.5,142,386.1,1,63.2,"1,395",74.3
2010,Kentucky,5,65.7,15,38.2,"1,699",629.6,330,353.2,229,658.1,0,0,"3,036",95.9
2010,Louisiana,17,74.7,43,72.8,"10,615",925.1,659,435,335,1029.9,4,310.6,"4,026",173.3
2010,Maine,7,103.4,4,35.9,114,1041.2,87,709.1,37,306.1,0,0,"1,003",92.5
2010,Maryland,13,109.4,122,45.1,"19,469",1409.4,"1,616",448.1,"2,503",3472.2,5,222.8,"3,724",136.4
2010,Massachusetts,20,204.1,248,83.2,"4,892",1427.3,"4,354",907.5,304,487,2,95.2,"7,269",166
2010,Michigan,26,57.7,62,31.8,"7,361",655.4,730,236.9,547,492.1,4,208.7,"4,516",69.9
2010,Minnesota,90,209.4,94,56.2,"2,133",1060.2,617,358.1,236,428.6,3,184.4,"3,297",88
2010,Mississippi,8,75.4,8,37,"5,655",655.3,231,378.8,362,2319,1,122.7,"1,553",106.6
2010,Missouri,5,24.5,42,51.3,"4,185",758.6,545,360.4,362,576,2,44.7,"4,933",120.2
2010,Montana,23,51.8,0,0,12,405.8,20,97.1,23,163.2,1,191.2,341,45.9
2010,Nebraska,22,198.3,22,84.4,481,763.6,262,227.7,53,355.2,1,126.9,908,71.9
2010,Nevada,32,162,134,79.6,"1,490",871.4,"1,553",296.1,249,511.3,12,94.8,"3,226",252.4
2010,New Hampshire,0,0,9,39.1,115,1052.7,163,610.4,41,378.5,0,0,764,73
2010,New Jersey,10,99,223,36.8,"15,007",1607.5,"8,672",708.2,"2,416",3331.1,5,237.3,"6,385",142
2010,New Mexico,186,134.7,11,47.9,165,543.5,"1,293",175.5,82,430.7,1,93.3,"1,119",150.8
2010,New York,43,93.8,"1,182",95.1,"42,866",1824,"41,017",1503.9,"9,777",5205.4,13,199.9,"21,066",215
2010,North Carolina,129,145.2,85,49.7,"15,182",917.1,"1,684",300.2,990,1138.7,6,137.7,"6,100",113.9
2010,North Dakota,11,42.1,0,0,31,518.7,15,158.3,9,150.2,0,0,135,26.4
2010,Ohio,9,49,60,37.5,"7,014",628.7,"1,072",424.8,714,634.6,1,36.6,"7,886",99.2
2010,Oklahoma,249,104.8,31,57.4,"1,090",497.6,424,185.1,282,220.6,6,192.1,"2,769",125.3
2010,Oregon,41,115.5,82,68.8,374,709.9,712,225.4,209,288.3,10,97.9,"4,214",161.4
2010,Pennsylvania,20,136.9,143,48.9,"14,193",1310.7,"4,986",937.4,"1,667",1668,17,698.2,"9,170",105
2010,Rhode Island,7,195.7,23,88,491,1068.1,566,574.9,56,467.6,1,197.2,944,132.6
2010,South Carolina,9,64.4,34,68.8,"9,635",927.2,566,330.5,380,1078,2,112.7,"3,300",129.6
2010,South Dakota,44,88.8,3,48.3,78,1051.9,20,132.7,11,134,0,0,205,35.3
2010,Tennessee,8,55.9,47,63.1,"8,048",953.9,630,308.4,465,902.7,6,262.1,"5,402",132
2010,Texas,25,36.3,421,52.9,"23,185",993.7,"19,519",277.1,"3,154",1668,11,73.7,"18,813",192.2
2010,Utah,18,85,25,54,177,921,447,178.4,49,186.4,3,17.2,"1,400",80.5
2010,Vermont,0,0,3,45.2,42,923.5,35,483.5,13,198.5,0,0,359,70.4
2010,Virginia,11,61.6,168,45.7,"10,390",824.6,"1,478",308.2,785,749.8,5,112.3,"5,192",116.5
2010,Washington,106,146.8,261,63.7,"1,435",762.2,"1,413",265.3,778,505.5,20,64.9,"6,442",152.6
2010,West Virginia,1,31.7,6,56.2,331,627.3,63,378.5,87,599.6,0,0,"1,043",70.4
2010,Wisconsin,16,41.4,49,49,"1,753",650.1,624,268.9,160,371.2,1,74.1,"2,264",55.8
2010,Wyoming,11,124.6,2,52.5,17,468.1,48,131.3,7,132.6,0,0,172,42.3
2011,Alabama,4,18.1,22,47.8,"6,999",688.3,344,258.9,641,1655.6,2,125.1,"3,159",115.3
2011,Alaska,139,174.6,15,45.9,83,446.6,71,233.5,44,154.3,2,35.9,305,78.4
2011,Arizona,404,198.8,128,83.5,"1,326",662.2,"3,579",251.5,351,482,9,95.7,"6,706",206.8
2011,Arkansas,4,23.5,13,41,"1,854",518.6,275,205.4,246,840,3,71.7,"1,966",106.1
2011,California,251,180.6,"3,384",79.5,"18,131",985.7,"37,463",345.6,"4,402",687.7,175,155.3,"44,891",339.1
2011,Colorado,51,187.5,83,69.9,"1,388",876,"2,099",267.9,203,312.1,7,145.7,"6,143",200.5
2011,Connecticut,7,118.7,64,55.2,"3,155",1116.9,"3,429",908.5,265,783.9,3,296.2,"3,054",138
2011,Delaware,3,120,5,20.1,"1,785",1156.9,263,483.6,129,1237.5,0,0,843,164
2011,District of Columbia,11,909.8,56,271.3,"9,813",3794.5,"1,038",2131.3,908,9347.3,5,2451,"2,282",1125.7
2011,Florida,41,97.4,292,72.3,"43,839",1855.7,"19,188",537.1,"2,277",1278.1,23,241.1,"24,994",257.9
2011,Georgia,16,86.9,135,49.7,"27,508",1153.9,"2,787",451.3,"2,479",2744.2,10,225.1,"8,520",184.5
2011,Hawaii,3,117.5,325,69.8,115,624.6,278,308.2,252,129.9,183,175.4,"1,230",438.2
2011,Idaho,12,84.2,5,30.6,55,769.4,133,106,33,187.6,0,0,669,61.5
2011,Illinois,23,142.6,311,60.6,"14,100",944.2,"5,595",366.9,"2,080",1977,16,590.6,"8,871",126.5
2011,Indiana,1,8.1,88,96.7,"3,099",664.9,763,274.2,376,666.2,0,0,"4,746",106.3
2011,Iowa,4,57.6,33,69.2,348,509.2,205,189.4,111,489.9,1,65.4,"1,357",59.3
2011,Kansas,7,36.6,21,36.2,647,492.5,431,202.5,141,370.9,1,64.9,"1,432",76.2
2011,Kentucky,5,65,20,48.5,"1,768",645.1,365,380.3,247,676,0,0,"3,129",98.5
2011,Louisiana,19,82.3,45,73.5,"11,237",968.9,702,446.9,330,979.5,4,302.6,"4,174",179.1
2011,Maine,6,87.7,3,25.7,122,1051.1,92,713.9,34,272.7,0,0,"1,010",93.1
2011,Maryland,13,108.4,131,46.8,"20,089",1434.6,"1,713",460.1,"2,611",3483.8,4,175.1,"3,875",141.6
2011,Massachusetts,20,202.4,273,87.7,"5,091",1451,"4,597",919.1,325,500.2,2,94,"7,472",170.4
2011,Michigan,25,54.9,74,36.2,"7,566",672.5,766,242.4,519,450.3,4,203.1,"4,634",71.7
2011,Minnesota,95,218.8,102,58.4,"2,222",1068.4,647,367,274,475,3,176.7,"3,381",89.9
2011,Mississippi,8,74.3,9,39.8,"5,937",682.1,252,406.8,385,2366.6,1,124.4,"1,614",110.8
2011,Missouri,7,33.8,46,53.9,"4,394",791.5,573,369.2,351,538.7,2,42.5,"5,088",123.8
2011,Montana,22,49.1,0,0,13,365.7,27,124.2,27,185.7,1,185.9,388,52
2011,Nebraska,24,214.5,23,84.5,490,766.1,265,222.8,63,404.4,1,123.2,937,74
2011,Nevada,32,161.2,165,95.6,"1,558",897,"1,634",304.5,243,486.2,13,101.4,"3,279",257.8
2011,New Hampshire,0,0,8,32.5,116,1004.6,159,564.8,45,399.3,0,0,784,74.8
2011,New Jersey,9,88,226,36.3,"14,927",1590.5,"8,854",706,"2,472",3302.9,5,230.5,"6,371",142.3
2011,New Mexico,197,141,11,45.5,168,548.7,"1,362",181.4,92,468.1,1,88.8,"1,124",152
2011,New York,42,90.6,"1,255",98.2,"43,401",1833.9,"41,502",1494.1,"9,790",5062.9,14,210.3,"21,460",219.2
2011,North Carolina,141,156.5,91,50.8,"15,665",932.5,"1,775",311.8,"1,072",1179,7,156.6,"6,305",116.9
2011,North Dakota,10,37.8,0,0,34,509.4,14,134.9,9,141.8,0,0,147,28.4
2011,Ohio,9,48.6,67,40.3,"7,322",652.5,"1,122",429.7,753,643.3,1,35.8,"8,124",102.3
2011,Oklahoma,253,104.8,35,61.1,"1,125",508,444,187,294,224.4,6,182.5,"2,847",128.7
2011,Oregon,42,116.9,86,68.2,382,707.3,746,229,209,278.2,11,102,"4,375",166.7
2011,Pennsylvania,21,142,153,50.2,"14,627",1338.6,"5,146",927.8,"1,665",1598,16,626.5,"9,364",107.3
2011,Rhode Island,7,193.5,26,95,484,1035.9,557,545.6,54,439.3,1,193.8,979,138.5
2011,South Carolina,10,70.4,36,69.7,"11,124",1062.5,801,463.9,658,1788.4,2,107.8,"3,940",153.3
2011,South Dakota,46,92,3,44.9,83,1015.2,22,131.5,9,105.7,0,0,222,38
2011,Tennessee,7,48.2,48,61.1,"8,298",970.1,683,327.2,510,946.6,6,252.2,"5,541",134.7
2011,Texas,25,35.5,496,59.7,"24,364",1022.5,"20,888",288.4,"3,373",1703.1,11,71.3,"19,177",194.6
2011,Utah,18,84.1,29,60.2,187,938.5,468,182.1,58,208.6,4,22.4,"1,454",82.5
2011,Vermont,0,0,3,41.8,41,845.4,35,448,14,207.1,0,0,397,77.7
2011,Virginia,11,60.7,182,47.7,"10,625",835.4,"1,554",312.6,797,730.4,5,109.4,"5,261",117.4
2011,Washington,101,138.5,286,67,"1,471",758.2,"1,427",259.9,786,492.9,25,78.5,"6,558",154.5
2011,West Virginia,1,30.9,6,52,368,689.6,79,440.4,111,733.4,0,0,"1,069",72.2
2011,Wisconsin,18,46.1,52,49.9,"1,822",667.5,658,276.5,158,350.4,1,72.9,"2,317",57.1
2011,Wyoming,10,112.5,2,51.4,16,406.1,46,123.3,9,163.5,0,0,166,40.7
2012,Alabama,4,17.8,25,51,"7,208",701.6,360,269.9,650,1614.8,2,117.8,"3,232",117.7
2012,Alaska,139,173.4,19,55.9,84,427.6,70,213.4,43,147.4,2,33.3,293,74.9
2012,Arizona,448,216.9,139,86.4,"1,428",688.6,"3,777",258.3,376,494.3,10,104,"6,891",211
2012,Arkansas,4,23,13,38.4,"1,938",538.6,293,212.1,241,794.9,3,66.3,"2,038",109.9
2012,California,260,185.9,"3,651",83.7,"18,615",1006.5,"39,219",355.4,"4,490",681.8,186,162.3,"45,466",343.5
2012,Colorado,56,202.4,88,71.1,"1,445",888.8,"2,166",269.7,207,304,9,177.2,"6,290",202.9
2012,Connecticut,9,150.3,66,54.6,"3,208",1120,"3,444",883.3,238,680.1,4,394.5,"3,034",137.6
2012,Delaware,3,120.5,6,23.3,"1,814",1157.3,266,477.1,122,1116.6,0,0,867,167.9
2012,District of Columbia,11,868.9,65,303.2,"10,154",3901.9,"1,117",2197.3,973,9723.2,5,2415.5,"2,411",1155.5
2012,Florida,46,107,330,79,"45,270",1876.6,"20,364",552.8,"2,425",1308.6,26,264.9,"26,450",271.9
2012,Georgia,17,90.2,151,53,"29,051",1196.8,"2,958",470.7,"2,596",2745.9,11,239,"8,780",188.9
2012,Hawaii,4,152.8,330,70.5,107,542.8,282,302.3,257,130.5,187,176.4,"1,207",427.6
2012,Idaho,13,90.8,4,23.7,58,799.2,150,115.9,37,202.3,0,0,699,63.8
2012,Illinois,24,147,327,61.5,"14,523",969.9,"5,822",375.4,"2,087",1907,16,573.5,"8,998",128.6
2012,Indiana,2,16.1,105,107.7,"3,272",693.9,797,278.8,389,658.3,0,0,"4,834",108.1
2012,Iowa,4,57.6,38,75,367,523.6,210,188,115,483.5,0,0,"1,427",62.3
2012,Kansas,5,26,21,34.7,657,492.8,454,207.3,155,391.1,1,64.7,"1,428",75.8
2012,Kentucky,5,64.3,26,59.6,"1,821",655.1,391,393.5,238,625.6,0,0,"3,272",102.8
2012,Louisiana,19,80.7,47,75.2,"11,482",980.4,723,449.4,325,929.3,4,287.8,"4,159",177.8
2012,Maine,6,87.2,5,41.9,132,1095.6,85,637.5,33,257.6,0,0,"1,026",94.5
2012,Maryland,15,123.8,144,49.7,"20,476",1443.2,"1,790",465.8,"2,702",3469.9,4,174.1,"3,867",141.1
2012,Massachusetts,21,209.1,303,93,"5,310",1474.9,"4,789",918.6,369,545.2,2,93,"7,711",175.7
2012,Michigan,27,58.7,82,38.1,"7,792",691.2,801,245.3,571,478,4,199.9,"4,790",74.1
2012,Minnesota,102,233.4,109,59.9,"2,363",1103.1,690,380.6,287,477.5,4,236.7,"3,465",91.9
2012,Mississippi,9,82.3,10,43.4,"6,048",689.4,260,418,405,2394.9,1,126.4,"1,631",111.9
2012,Missouri,8,38.2,52,59.1,"4,582",820.4,575,360.5,380,565.5,2,40.8,"5,189",126
2012,Montana,27,59.6,0,0,16,398.6,25,108.8,26,173.1,1,185.2,396,52.8
2012,Nebraska,21,185.7,23,79.4,501,775.1,268,217.7,60,368.9,1,121.8,964,76
2012,Nevada,30,148.5,186,104.3,"1,604",887,"1,714",310.3,257,492.5,16,122.7,"3,346",262.6
2012,New Hampshire,0,0,8,30.5,125,1017.8,152,511,42,357.5,0,0,797,75.8
2012,New Jersey,9,86.6,240,37.6,"15,007",1589.2,"9,077",709.4,"2,493",3229.5,5,224.3,"6,394",143.5
2012,New Mexico,199,141,11,43.9,172,558.1,"1,375",180.3,98,486.7,1,86.3,"1,087",147.9
2012,New York,44,93.8,"1,331",101.6,"43,934",1846.2,"41,921",1484,"9,890",4971.8,14,204.7,"21,674",221.8
2012,North Carolina,146,160,101,53.3,"16,394",961.6,"1,906",327.4,"1,166",1222.1,8,175,"6,576",121
2012,North Dakota,10,37.3,0,0,47,612.9,17,142.4,9,132.5,0,0,156,29.7
2012,Ohio,9,48.2,68,39.1,"7,648",677.2,"1,160",429.5,805,663.1,1,35,"8,344",105.1
2012,Oklahoma,258,105.2,40,66.6,"1,161",518,490,198.7,296,221.1,6,168.3,"2,937",132.4
2012,Oregon,44,121.1,96,73.3,401,726.7,794,237.4,200,257.9,11,97.7,"4,473",169.7
2012,Pennsylvania,22,147.2,173,54.7,"15,141",1374,"5,293",916,"1,631",1503.6,18,681.8,"9,520",109.3
2012,Rhode Island,6,166.5,29,102.7,487,1033.6,589,555.4,55,432.2,1,192.3,996,141.4
2012,South Carolina,9,62,34,62.4,"10,551",998.4,707,403.2,443,1146.7,2,104.7,"3,618",139.3
2012,South Dakota,56,110.9,3,39,90,903.3,25,136.1,11,123.7,0,0,231,39.4
2012,Tennessee,8,54.1,51,62,"8,637",993.4,753,350.5,566,1000.6,6,240.8,"5,686",137.4
2012,Texas,23,31.9,533,60.9,"25,564",1046.4,"22,323",299.7,"3,544",1701.2,14,88.4,"19,535",196.6
2012,Utah,20,92.5,33,64.8,180,863.8,475,180.1,56,189.7,5,26.9,"1,505",84.3
2012,Vermont,0,0,4,54.1,47,941.1,38,470.1,26,378.8,0,0,431,84.4
