Year,Geography,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other
2011,New Jersey,"10,412","9,507","10,898","1,386",713
2011,New Mexico,403,303,"1,868",347,36
2011,New York,"31,690","29,541","47,275","6,402","2,875"
2011,North Carolina,"8,446","3,325","11,829","1,088",376
2011,North Dakota,50,26,118,17,4
2011,Ohio,"4,107","1,449","10,745",970,245
2011,Oklahoma,862,594,"2,909",563,76
2011,Oregon,691,550,"3,875",665,70
2011,Pennsylvania,"10,142","7,420","11,154","1,726",554
2011,Rhode Island,577,492,898,106,35
2011,South Carolina,"5,872","2,049","7,479",955,225
2011,South Dakota,131,63,149,30,13
2011,Tennessee,"4,709","1,366","8,207",630,183
2011,Texas,"16,327","7,928","38,246","5,157",685
2011,Utah,296,247,"1,293",347,38
2011,Vermont,82,73,288,37,10
2011,Virginia,"5,528","2,168","9,587",864,319
2011,Washington,"1,527",904,"6,998","1,092",142
2011,West Virginia,344,260,885,120,30
2011,Wisconsin,"1,066",570,"2,939",356,96
2011,Wyoming,47,42,129,25,6
2012,Alabama,"3,711","1,102","5,975",613,135
2012,Alaska,176,78,322,64,9
2012,Arizona,"1,769","1,471","8,401","1,306",167
2012,Arkansas,"1,134",507,"2,554",290,50
2012,California,"13,074","8,744","78,969","10,070","1,040"
2012,Colorado,"1,278",800,"6,973","1,174",86
2012,Connecticut,"2,985","3,562","2,917",337,204
2012,Delaware,"1,040",717,"1,099",175,48
2012,District of Columbia,"4,157","2,294","7,313",840,137
2012,Florida,"36,729","9,082","43,329","4,265","1,509"
2012,Georgia,"12,108","4,162","24,543","2,275",485
2012,Hawaii,268,182,"1,702",192,30
2012,Idaho,164,124,507,149,18
2012,Illinois,"6,432","4,288","18,406","2,177",495
2012,Indiana,"2,236",801,"5,566",666,130
2012,Iowa,486,218,"1,204",221,32
2012,Kansas,562,223,"1,605",297,37
2012,Kentucky,"1,227",611,"3,485",365,68
2012,Louisiana,"6,648","2,029","6,935",941,211
2012,Maine,217,171,810,70,19
2012,Maryland,"10,429","6,979","9,683","1,375",532
2012,Massachusetts,"4,680","4,652","7,837",938,399
2012,Michigan,"3,110","1,591","8,341",784,246
2012,Minnesota,"1,705",572,"4,156",479,112
2012,Mississippi,"2,942",827,"4,056",418,159
2012,Missouri,"1,957",825,"7,118",771,120
2012,Montana,67,60,285,71,9
2012,Nebraska,491,165,990,151,42
2012,Nevada,"1,140",707,"4,654",577,77
2012,New Hampshire,255,174,598,71,27
2012,New Jersey,"10,565","9,315","11,339","1,343",715
2012,New Mexico,401,283,"1,888",339,32
2012,New York,"32,084","28,930","48,862","6,331","2,919"
2012,North Carolina,"8,702","3,422","12,635","1,146",400
2012,North Dakota,59,24,133,19,5
2012,Ohio,"4,235","1,442","11,234",981,249
2012,Oklahoma,906,610,"3,029",561,83
2012,Oregon,720,539,"4,027",660,73
2012,Pennsylvania,"10,520","7,340","11,641","1,734",567
2012,Rhode Island,602,485,938,103,36
2012,South Carolina,"5,621","1,788","6,994",757,214
2012,South Dakota,145,69,157,32,13
2012,Tennessee,"4,888","1,352","8,611",670,187
2012,Texas,"17,043","7,988","40,549","5,244",721
2012,Utah,314,247,"1,328",349,39
2012,Vermont,88,80,319,47,13
2012,Virginia,"5,776","2,247","10,209",926,332
2012,Washington,"1,600",909,"7,256","1,138",149
2012,West Virginia,360,260,927,132,31
2012,Wisconsin,"1,089",572,"3,028",353,91
2012,Wyoming,50,35,132,29,5
2013,Alabama,"3,808","1,113","6,264",599,131
2013,Alaska,178,72,320,64,9
2013,Arizona,"1,858","1,508","8,777","1,320",178
2013,Arkansas,"1,159",502,"2,696",303,54
2013,California,"13,462","8,704","81,419","10,034","1,067"
2013,Colorado,"1,336",796,"7,121","1,178",88
2013,Connecticut,"3,073","3,514","3,112",345,205
2013,Delaware,"1,035",680,"1,137",180,48
2013,District of Columbia,"4,080","2,211","7,490",820,160
2013,Florida,"37,351","8,963","45,122","4,229","1,550"
2013,Georgia,"12,845","4,230","27,153","2,542",522
2013,Hawaii,279,178,"1,746",198,30
2013,Idaho,173,123,536,156,23
2013,Illinois,"6,596","4,173","19,088","2,163",508
2013,Indiana,"2,357",799,"5,781",664,132
2013,Iowa,509,209,"1,280",201,32
2013,Kansas,566,223,"1,643",290,36
2013,Kentucky,"1,395",636,"3,752",388,70
2013,Louisiana,"6,873","2,041","7,477",975,211
2013,Maine,228,176,829,73,23
2013,Maryland,"10,711","6,800","10,064","1,350",533
2013,Massachusetts,"4,814","4,626","8,132",963,412
2013,Michigan,"3,189","1,581","8,663",757,252
2013,Minnesota,"1,781",580,"4,271",469,124
2013,Mississippi,"2,998",816,"4,176",393,156
2013,Missouri,"2,017",850,"7,299",748,120
2013,Montana,71,62,304,82,9
2013,Nebraska,501,160,"1,026",145,43
2013,Nevada,"1,201",697,"4,870",580,81
2013,New Hampshire,264,167,608,77,30
2013,New Jersey,"10,858","9,206","11,937","1,376",728
2013,New Mexico,389,274,"1,898",327,27
2013,New York,"32,295","28,328","50,211","6,226","2,922"
2013,North Carolina,"8,954","3,400","13,200","1,149",393
2013,North Dakota,65,22,144,17,5
2013,Ohio,"4,360","1,464","11,714",992,256
2013,Oklahoma,939,612,"3,184",568,84
2013,Oregon,728,523,"4,070",666,72
2013,Pennsylvania,"10,784","7,211","12,023","1,691",579
2013,Rhode Island,619,478,956,106,39
2013,South Carolina,"5,644","1,723","7,079",685,211
2013,South Dakota,160,79,172,33,11
2013,Tennessee,"4,954","1,315","8,874",655,202
2013,Texas,"17,871","8,024","42,922","5,286",748
2013,Utah,339,259,"1,441",385,43
2013,Vermont,92,83,354,52,12
2013,Virginia,"5,867","2,173","10,491",916,328
2013,Washington,"1,665",910,"7,580","1,161",152
2013,West Virginia,363,265,904,122,32
2013,Wisconsin,"1,214",627,"3,325",393,95
2013,Wyoming,55,33,140,22,4
2014,Alabama,"3,875","1,107","6,638",589,131
2014,Alaska,175,71,308,58,10
2014,Arizona,"1,983","1,557","9,223","1,373",184
2014,Arkansas,"1,196",529,"2,915",310,61
2014,California,"13,926","8,705","83,976","9,893","1,076"
2014,Colorado,"1,369",795,"7,356","1,227",95
2014,Connecticut,"3,041","3,311","3,081",341,210
2014,Delaware,"1,062",653,"1,141",160,48
2014,District of Columbia,"3,989","2,130","7,208",755,150
2014,Florida,"38,356","8,908","48,027","4,345","1,613"
2014,Georgia,"12,934","4,114","27,159","2,271",510
2014,Hawaii,279,172,"1,778",203,31
2014,Idaho,168,122,547,144,26
2014,Illinois,"6,758","4,094","19,839","2,126",510
2014,Indiana,"2,458",819,"6,008",659,139
2014,Iowa,533,212,"1,350",203,32
2014,Kansas,569,239,"1,691",287,43
2014,Kentucky,"1,399",637,"3,941",414,77
2014,Louisiana,"7,194","2,022","8,078","1,005",218
2014,Maine,259,182,862,74,21
2014,Maryland,"11,235","6,636","10,864","1,360",566
2014,Massachusetts,"4,974","4,585","8,381",946,411
2014,Michigan,"3,200","1,503","8,837",759,251
2014,Minnesota,"1,849",576,"4,414",476,132
2014,Mississippi,"3,048",804,"4,403",396,158
2014,Missouri,"2,091",840,"7,555",775,124
2014,Montana,76,65,305,88,8
2014,Nebraska,524,159,"1,083",147,43
2014,Nevada,"1,280",716,"5,272",655,83
2014,New Hampshire,272,169,651,74,29
2014,New Jersey,"10,949","8,990","12,300","1,346",726
2014,New Mexico,409,288,"2,001",331,28
2014,New York,"32,886","27,942","52,917","6,329","2,960"
2014,North Carolina,"9,179","3,389","13,943","1,192",424
2014,North Dakota,80,24,158,24,7
2014,Ohio,"4,488","1,481","12,289","1,006",261
2014,Oklahoma,960,599,"3,345",578,82
2014,Oregon,728,535,"4,148",690,67
2014,Pennsylvania,"11,084","7,092","12,513","1,676",603
2014,Rhode Island,649,467,"1,031",110,45
2014,South Carolina,"5,670","1,683","7,410",667,211
2014,South Dakota,182,82,187,33,15
2014,Tennessee,"4,887","1,271","8,865",654,198
2014,Texas,"18,673","8,048","45,563","5,317",787
2014,Utah,353,261,"1,519",382,41
2014,Vermont,100,82,382,56,15
2014,Virginia,"6,051","2,130","11,002",934,337
2014,Washington,"1,738",925,"7,891","1,219",164
2014,West Virginia,366,273,950,117,31
2014,Wisconsin,"1,229",601,"3,460",385,91
2014,Wyoming,57,33,144,22,5
2015,Alabama,"3,801","1,029","6,634",569,133
2015,Alaska,183,71,326,60,13
2015,Arizona,"2,101","1,569","9,645","1,411",193
2015,Arkansas,"1,237",537,"3,040",296,61
2015,California,"14,367","8,716","87,284","9,875","1,089"
2015,Colorado,"1,460",813,"7,571","1,297",106
2015,Connecticut,"3,131","3,266","3,194",344,207
2015,Delaware,"1,062",626,"1,185",168,54
2015,District of Columbia,"4,102","2,111","7,218",699,148
2015,Florida,"39,162","8,892","50,540","4,367","1,616"
2015,Georgia,"13,462","4,099","28,584","2,222",528
2015,Hawaii,309,172,"1,831",183,31
2015,Idaho,171,121,572,151,20
2015,Illinois,"6,894","3,980","20,531","2,135",517
2015,Indiana,"2,544",986,"6,223",674,143
2015,Iowa,560,212,"1,397",202,30
2015,Kansas,563,221,"1,692",280,41
2015,Kentucky,"1,390",644,"4,089",411,79
2015,Louisiana,"7,412","2,036","8,547","1,009",225
2015,Maine,263,188,870,80,21
2015,Maryland,"11,820","6,523","11,892","1,439",599
2015,Massachusetts,"5,113","4,543","8,657",939,416
2015,Michigan,"3,175","1,415","8,848",692,256
2015,Minnesota,"1,929",587,"4,551",505,145
2015,Mississippi,"3,178",781,"4,591",401,145
2015,Missouri,"2,183",854,"7,790",791,129
2015,Montana,75,67,323,93,8
2015,Nebraska,530,156,"1,132",151,43
2015,Nevada,"1,366",735,"5,633",670,85
2015,New Hampshire,261,148,641,69,27
2015,New Jersey,"11,038","8,713","12,626","1,315",730
2015,New Mexico,409,305,"2,100",340,27
2015,New York,"33,121","27,451","54,243","6,194","2,959"
2015,North Carolina,"9,357","3,376","14,702","1,223",431
2015,North Dakota,96,33,169,24,7
2015,Ohio,"4,641","1,510","12,841","1,009",271
2015,Oklahoma,"1,013",582,"3,484",582,81
2015,Oregon,754,559,"4,426",725,76
2015,Pennsylvania,"11,307","6,984","12,970","1,663",613
2015,Rhode Island,663,464,"1,038",112,46
2015,South Carolina,"5,739","1,666","7,703",657,220
2015,South Dakota,193,81,198,37,15
2015,Tennessee,"5,009","1,267","9,200",670,211
2015,Texas,"19,424","8,052","48,137","5,377",826
2015,Utah,367,265,"1,583",377,42
2015,Vermont,102,86,381,56,18
2015,Virginia,"6,188","2,115","11,379",897,334
2015,Washington,"1,794",948,"8,216","1,237",179
2015,West Virginia,355,251,951,114,35
2015,Wisconsin,"1,206",575,"3,586",390,94
2015,Wyoming,57,40,151,30,7
2016,Alabama,"3,944","1,024","6,927",555,134
2016,Alaska,191,71,352,60,15
2016,Arizona,"2,162","1,582","10,067","1,409",206
2016,Arkansas,"1,265",531,"3,243",317,63
2016,California,"14,893","8,739","90,543","9,860","1,108"
2016,Colorado,"1,548",873,"8,100","1,392",122
2016,Connecticut,"3,160","3,172","3,247",340,202
2016,Delaware,"1,107",596,"1,220",165,52
2016,District of Columbia,"4,168","2,070","7,313",685,147
2016,Florida,"39,936","8,701","52,623","4,312","1,651"
2016,Georgia,"13,847","4,056","29,922","2,207",557
2016,Hawaii,322,166,"1,822",179,31
2016,Idaho,185,127,602,152,27
2016,Illinois,"7,056","3,884","21,060","2,092",519
2016,Indiana,"2,652",993,"6,404",678,156
2016,Iowa,600,217,"1,477",217,33
2016,Kansas,582,227,"1,778",290,40
2016,Kentucky,"1,442",646,"4,253",422,83
2016,Louisiana,"7,667","2,040","9,001",997,227
2016,Maine,308,193,917,88,26
2016,Maryland,"11,880","6,205","11,956","1,311",577
2016,Massachusetts,"5,255","4,520","8,869",921,415
2016,Michigan,"3,305","1,420","9,534",724,254
2016,Minnesota,"2,036",596,"4,700",523,157
2016,Mississippi,"3,264",760,"4,678",392,144
2016,Missouri,"2,275",857,"7,959",782,130
2016,Montana,81,72,332,90,7
2016,Nebraska,551,162,"1,161",157,41
2016,Nevada,"1,445",746,"5,997",678,83
2016,New Hampshire,265,147,651,76,28
2016,New Jersey,"11,111","8,464","12,891","1,252",711
2016,New Mexico,424,315,"2,175",331,31
2016,New York,"33,523","26,993","55,872","6,196","2,966"
2016,North Carolina,"9,582","3,325","15,410","1,250",435
2016,North Dakota,124,36,172,29,11
2016,Ohio,"4,835","1,577","13,424","1,039",274
2016,Oklahoma,"1,071",587,"3,566",606,85
2016,Oregon,777,573,"4,532",741,76
2016,Pennsylvania,"11,885","7,145","14,086","1,842",660
2016,Rhode Island,683,461,"1,096",114,50
2016,South Carolina,"5,796","1,651","8,083",642,233
2016,South Dakota,195,79,207,42,14
2016,Tennessee,"4,996","1,213","9,121",652,201
2016,Texas,"19,976","8,028","50,508","5,316",853
2016,Utah,381,260,"1,663",363,41
2016,Vermont,102,90,387,59,18
2016,Virginia,"6,291","2,096","11,732",904,336
2016,Washington,"1,893",967,"8,389","1,278",187
2016,West Virginia,368,257,985,107,32
2016,Wisconsin,"1,221",575,"3,712",393,98
2016,Wyoming,57,44,163,37,8
2017,Alabama,"4,070","1,039","7,295",580,140
2017,Alaska,201,71,371,65,12
2017,Arizona,"2,267","1,594","10,538","1,439",224
2017,Arkansas,"1,302",547,"3,393",330,63
2017,California,"15,257","8,758","93,227","9,789","1,122"
2017,Colorado,"1,602",877,"8,346","1,400",126
2017,Connecticut,"3,239","3,139","3,396",343,210
2017,Delaware,"1,155",593,"1,307",177,53
2017,District of Columbia,"4,127","1,996","7,360",678,156
2017,Florida,"40,634","8,574","54,857","4,312","1,658"
2017,Georgia,"14,404","4,093","31,251","2,191",590
2017,Hawaii,309,171,"1,839",177,28
2017,Idaho,197,128,632,161,28
2017,Illinois,"7,146","3,820","21,531","2,046",534
2017,Indiana,"2,775","1,012","6,590",674,167
2017,Iowa,643,223,"1,547",222,36
2017,Kansas,598,231,"1,834",290,45
2017,Kentucky,"1,482",670,"4,416",456,84
2017,Louisiana,"7,805","2,031","9,368",987,234
2017,Maine,311,187,965,85,28
2017,Maryland,"12,131","6,038","12,385","1,294",589
2017,Massachusetts,"5,401","4,543","9,073",933,424
2017,Michigan,"3,382","1,430","9,858",743,254
2017,Minnesota,"2,133",607,"4,860",540,164
2017,Mississippi,"3,328",752,"4,794",380,146
2017,Missouri,"2,369",868,"8,153",786,132
2017,Montana,85,79,353,98,10
2017,Nebraska,562,159,"1,214",162,40
2017,Nevada,"1,519",781,"6,497",717,95
2017,New Hampshire,273,147,670,74,26
2017,New Jersey,"11,251","8,311","13,379","1,236",714
2017,New Mexico,443,324,"2,276",352,33
2017,New York,"33,697","26,463","57,259","6,122","2,954"
2017,North Carolina,"9,813","3,341","16,114","1,250",435
2017,North Dakota,140,34,193,28,12
2017,Ohio,"4,986","1,652","13,898","1,079",284
2017,Oklahoma,"1,099",601,"3,690",613,82
2017,Oregon,799,596,"4,689",723,73
2017,Pennsylvania,"11,896","6,953","14,318","1,690",663
2017,Rhode Island,707,477,"1,176",130,56
2017,South Carolina,"5,906","1,689","8,385",643,235
2017,South Dakota,202,80,224,50,13
2017,Tennessee,"5,074","1,217","9,451",653,216
2017,Texas,"20,721","8,041","53,037","5,412",888
2017,Utah,380,254,"1,715",363,45
2017,Vermont,107,90,412,66,18
2017,Virginia,"6,532","2,083","12,272",914,348
2017,Washington,"2,008",973,"8,691","1,331",204
2017,West Virginia,370,272,"1,012",123,32
2017,Wisconsin,"1,267",590,"3,872",383,103
2017,Wyoming,56,48,182,33,8
