Year,Geography,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other
2010,Nevada,64,20,264,25,0
2010,New Hampshire,10,1,39,0,0
2010,New Jersey,435,207,659,44,3
2010,New Mexico,25,12,98,13,0
2010,New York,"1,141",409,"2,232",127,6
2010,North Carolina,452,91,857,32,4
2010,North Dakota,4,1,7,0,0
2010,Ohio,202,41,699,38,2
2010,Oklahoma,61,18,176,30,0
2010,Oregon,32,15,165,24,1
2010,Pennsylvania,565,170,685,57,3
2010,Rhode Island,28,18,64,5,0
2010,South Carolina,253,43,450,20,1
2010,South Dakota,14,4,13,1,0
2010,Tennessee,304,38,500,15,0
2010,Texas,"1,184",309,"2,746",210,6
2010,Utah,11,2,50,22,0
2010,Vermont,4,1,14,1,0
2010,Virginia,290,48,630,25,2
2010,Washington,80,39,381,36,2
2010,West Virginia,17,5,45,6,0
2010,Wisconsin,48,14,180,9,1
2010,Wyoming,3,2,12,1,0
2011,Alabama,191,25,435,30,2
2011,Alaska,8,4,12,0,0
2011,Arizona,96,60,367,40,0
2011,Arkansas,50,12,175,4,0
2011,California,588,287,"3,896",270,3
2011,Colorado,44,21,254,44,0
2011,Connecticut,115,38,189,9,0
2011,Delaware,38,10,63,3,0
2011,District of Columbia,235,44,337,21,1
2011,Florida,"1,801",196,"2,446",110,17
2011,Georgia,749,159,"1,681",69,4
2011,Hawaii,21,6,50,5,0
2011,Idaho,6,1,27,1,0
2011,Illinois,364,112,"1,062",70,9
2011,Indiana,117,14,312,21,1
2011,Iowa,28,3,68,13,0
2011,Kansas,27,12,89,7,0
2011,Kentucky,57,23,219,11,0
2011,Louisiana,506,89,572,25,1
2011,Maine,13,7,30,2,1
2011,Maryland,540,121,725,34,1
2011,Massachusetts,205,103,340,28,2
2011,Michigan,175,48,525,22,2
2011,Minnesota,85,12,185,13,1
2011,Mississippi,175,22,315,12,0
2011,Missouri,86,24,393,21,0
2011,Montana,4,3,13,1,0
2011,Nebraska,13,2,59,5,0
2011,Nevada,54,23,284,19,3
2011,New Hampshire,11,2,24,2,0
2011,New Jersey,365,160,613,36,2
2011,New Mexico,19,17,89,12,1
2011,New York,"1,070",360,"2,206",133,4
2011,North Carolina,426,99,873,32,3
2011,North Dakota,1,0,10,1,0
2011,Ohio,242,62,703,33,2
2011,Oklahoma,60,31,194,26,0
2011,Oregon,21,20,171,27,0
2011,Pennsylvania,550,141,645,42,1
2011,Rhode Island,25,4,65,6,0
2011,South Carolina,237,40,438,26,0
2011,South Dakota,5,5,7,3,0
2011,Tennessee,295,34,500,15,1
2011,Texas,"1,068",256,"2,763",189,5
2011,Utah,15,7,58,26,1
2011,Vermont,2,2,9,0,0
2011,Virginia,243,36,589,26,2
2011,Washington,59,36,328,54,3
2011,West Virginia,19,16,45,5,0
2011,Wisconsin,50,20,161,12,0
2011,Wyoming,3,0,11,1,0
2012,Alabama,160,27,459,20,0
2012,Alaska,11,2,13,1,1
2012,Arizona,117,56,407,40,0
2012,Arkansas,42,13,182,9,1
2012,California,592,252,"3,925",277,5
2012,Colorado,55,17,260,40,0
2012,Connecticut,91,41,150,8,1
2012,Delaware,63,10,61,3,1
2012,District of Columbia,189,40,325,16,0
2012,Florida,"1,624",193,"2,448",101,10
2012,Georgia,698,132,"1,724",62,3
2012,Hawaii,11,5,61,5,0
2012,Idaho,3,4,22,9,0
2012,Illinois,334,74,"1,169",56,14
2012,Indiana,147,23,301,20,0
2012,Iowa,24,8,71,13,0
2012,Kansas,31,5,105,9,0
2012,Kentucky,60,26,256,15,3
2012,Louisiana,443,69,489,18,1
2012,Maine,14,2,30,2,1
2012,Maryland,525,98,675,25,3
2012,Massachusetts,206,93,376,27,2
2012,Michigan,168,48,550,22,2
2012,Minnesota,71,18,211,14,1
2012,Mississippi,125,16,292,8,2
2012,Missouri,90,22,390,26,1
2012,Montana,5,3,11,2,0
2012,Nebraska,22,4,46,8,2
2012,Nevada,51,21,265,25,0
2012,New Hampshire,14,3,25,6,0
2012,New Jersey,386,158,695,35,1
2012,New Mexico,18,9,74,16,0
2012,New York,943,301,"2,146",128,3
2012,North Carolina,366,69,768,26,2
2012,North Dakota,5,0,4,1,0
2012,Ohio,198,51,722,43,3
2012,Oklahoma,50,26,186,22,0
2012,Oregon,33,13,197,26,1
2012,Pennsylvania,543,152,673,46,1
2012,Rhode Island,27,7,42,3,0
2012,South Carolina,209,33,432,25,1
2012,South Dakota,11,5,9,1,0
2012,Tennessee,270,33,532,18,1
2012,Texas,967,273,"2,894",183,7
2012,Utah,23,6,70,23,0
2012,Vermont,2,3,9,0,0
2012,Virginia,245,35,629,23,3
2012,Washington,81,29,335,50,2
2012,West Virginia,20,7,45,7,1
2012,Wisconsin,45,14,151,6,1
2012,Wyoming,1,0,6,0,0
2013,Alabama,172,31,417,14,2
2013,Alaska,9,1,12,1,0
2013,Arizona,101,60,480,45,3
2013,Arkansas,64,10,182,6,0
2013,California,585,257,"3,645",219,4
2013,Colorado,57,12,223,20,0
2013,Connecticut,104,35,182,5,1
2013,Delaware,41,8,54,6,0
2013,District of Columbia,141,36,283,25,2
2013,Florida,"1,531",190,"2,459",101,16
2013,Georgia,628,94,"1,561",53,3
2013,Hawaii,12,6,73,3,0
2013,Idaho,4,2,16,5,0
2013,Illinois,329,68,"1,121",51,13
2013,Indiana,119,23,314,15,1
2013,Iowa,34,7,75,4,0
2013,Kansas,26,7,105,10,0
2013,Kentucky,68,25,242,18,2
2013,Louisiana,412,71,614,31,1
2013,Maine,6,6,22,0,1
2013,Maryland,528,84,648,36,4
2013,Massachusetts,186,83,380,18,2
2013,Michigan,156,54,516,18,4
2013,Minnesota,88,10,194,13,1
2013,Mississippi,154,17,292,7,1
2013,Missouri,92,31,326,15,1
2013,Montana,2,0,19,1,0
2013,Nebraska,23,3,49,4,0
2013,Nevada,66,22,309,34,1
2013,New Hampshire,6,6,19,4,0
2013,New Jersey,361,160,655,30,2
2013,New Mexico,18,13,95,15,0
2013,New York,815,228,"2,087",121,2
2013,North Carolina,352,75,804,42,3
2013,North Dakota,5,0,13,1,0
2013,Ohio,201,61,738,34,4
2013,Oklahoma,52,33,225,23,0
2013,Oregon,30,16,157,25,0
2013,Pennsylvania,484,103,667,38,1
2013,Rhode Island,19,9,47,3,0
2013,South Carolina,218,43,427,18,1
2013,South Dakota,14,9,8,1,0
2013,Tennessee,201,20,530,18,2
2013,Texas,"1,004",217,"2,923",192,5
2013,Utah,12,5,73,18,0
2013,Vermont,1,2,10,0,0
2013,Virginia,254,30,633,26,2
2013,Washington,71,26,308,37,2
2013,West Virginia,12,14,45,2,0
2013,Wisconsin,42,14,179,7,1
2013,Wyoming,4,0,11,0,0
2014,Alabama,165,26,462,16,1
2014,Alaska,14,0,23,1,0
2014,Arizona,113,66,512,48,3
2014,Arkansas,46,22,234,10,0
2014,California,662,278,"3,993",230,6
2014,Colorado,58,20,267,33,1
2014,Connecticut,104,32,148,8,1
2014,Delaware,57,8,50,1,0
2014,District of Columbia,113,30,265,9,0
2014,Florida,"1,512",198,"2,644",115,6
2014,Georgia,642,94,"1,604",39,1
2014,Hawaii,15,6,68,10,0
2014,Idaho,2,0,17,4,0
2014,Illinois,281,67,"1,118",61,7
2014,Indiana,124,16,306,21,0
2014,Iowa,20,7,61,6,0
2014,Kansas,30,10,84,7,0
2014,Kentucky,69,15,245,14,0
2014,Louisiana,449,69,652,29,1
2014,Maine,26,4,26,0,1
2014,Maryland,500,63,655,15,1
2014,Massachusetts,170,71,378,21,4
2014,Michigan,158,34,569,18,3
2014,Minnesota,80,11,202,14,3
2014,Mississippi,132,10,324,6,1
2014,Missouri,91,22,327,26,0
2014,Montana,3,2,7,2,0
2014,Nebraska,19,2,61,6,0
2014,Nevada,61,24,311,31,1
2014,New Hampshire,7,3,28,1,0
2014,New Jersey,378,149,688,25,2
2014,New Mexico,22,14,90,7,0
2014,New York,840,243,"2,148",90,4
2014,North Carolina,354,68,840,47,2
2014,North Dakota,4,0,15,1,0
2014,Ohio,164,45,705,31,2
2014,Oklahoma,51,20,200,32,0
2014,Oregon,25,21,157,36,0
2014,Pennsylvania,469,70,624,34,0
2014,Rhode Island,26,4,57,3,0
2014,South Carolina,196,34,517,15,1
2014,South Dakota,17,2,7,3,0
2014,Tennessee,214,34,491,14,0
2014,Texas,969,222,"3,042",179,5
2014,Utah,18,6,73,17,0
2014,Vermont,3,3,9,2,0
2014,Virginia,250,29,597,21,4
2014,Washington,78,29,299,31,1
2014,West Virginia,17,8,56,3,0
2014,Wisconsin,35,9,169,3,1
2014,Wyoming,3,1,6,0,0
2015,Alabama,192,24,429,17,1
2015,Alaska,9,0,15,1,0
2015,Arizona,114,58,459,58,1
2015,Arkansas,59,12,196,5,1
2015,California,591,256,"4,038",219,4
2015,Colorado,56,16,259,46,1
2015,Connecticut,103,17,148,10,1
2015,Delaware,34,6,57,5,0
2015,District of Columbia,120,19,226,4,0
2015,Florida,"1,479",185,"2,791",113,4
2015,Georgia,714,89,"1,765",54,2
2015,Hawaii,23,12,82,2,0
2015,Idaho,10,2,25,3,0
2015,Illinois,292,56,"1,128",63,12
2015,Indiana,117,188,305,21,2
2015,Iowa,27,12,79,6,0
2015,Kansas,27,7,107,12,1
2015,Kentucky,60,19,242,19,1
2015,Louisiana,400,68,596,33,1
2015,Maine,9,7,29,1,1
2015,Maryland,474,62,619,20,1
2015,Massachusetts,154,87,332,22,3
2015,Michigan,138,43,524,19,2
2015,Minnesota,83,9,175,25,4
2015,Mississippi,213,2,286,4,0
2015,Missouri,100,22,325,17,0
2015,Montana,1,2,10,5,0
2015,Nebraska,15,2,58,4,1
2015,Nevada,68,25,352,30,1
2015,New Hampshire,5,2,17,1,0
2015,New Jersey,373,112,684,25,5
2015,New Mexico,10,13,96,15,1
2015,New York,766,239,"1,967",77,2
2015,North Carolina,330,53,893,49,2
2015,North Dakota,8,1,9,2,0
2015,Ohio,185,65,645,27,3
2015,Oklahoma,52,16,211,35,0
2015,Oregon,25,23,150,23,1
2015,Pennsylvania,389,82,669,32,1
2015,Rhode Island,21,3,38,2,0
2015,South Carolina,182,36,443,6,0
2015,South Dakota,10,1,11,1,0
2015,Tennessee,194,42,481,23,0
2015,Texas,965,237,"3,131",196,3
2015,Utah,15,5,88,14,0
2015,Vermont,3,3,6,2,0
2015,Virginia,253,33,647,21,0
2015,Washington,65,39,317,28,2
2015,West Virginia,12,6,49,5,0
2015,Wisconsin,35,8,174,7,1
2015,Wyoming,3,3,8,2,1
2016,Alabama,184,29,434,16,1
2016,Alaska,9,0,26,2,0
2016,Arizona,104,64,505,39,2
2016,Arkansas,57,11,229,14,1
2016,California,674,277,"3,993",223,6
2016,Colorado,47,31,294,49,2
2016,Connecticut,79,22,150,8,0
2016,Delaware,54,3,51,3,0
2016,District of Columbia,119,18,203,8,0
2016,Florida,"1,584",179,"2,782",112,6
2016,Georgia,685,76,"1,680",52,2
2016,Hawaii,13,3,60,2,0
2016,Idaho,12,2,27,4,0
2016,Illinois,286,68,"1,067",51,12
2016,Indiana,136,42,283,23,1
2016,Iowa,37,4,83,8,0
2016,Kansas,27,10,96,14,0
2016,Kentucky,58,21,238,20,0
2016,Louisiana,412,52,617,29,1
2016,Maine,20,5,25,2,1
2016,Maryland,438,60,575,24,2
2016,Massachusetts,166,105,345,19,3
2016,Michigan,127,42,542,32,3
2016,Minnesota,83,10,173,27,3
2016,Mississippi,176,5,243,1,0
2016,Missouri,115,24,353,17,1
2016,Montana,2,3,11,3,0
2016,Nebraska,17,5,50,4,0
2016,Nevada,80,32,369,31,0
2016,New Hampshire,12,6,21,1,0
2016,New Jersey,399,109,668,20,2
2016,New Mexico,19,11,100,14,1
2016,New York,733,204,"1,807",73,2
2016,North Carolina,339,60,941,43,3
2016,North Dakota,16,5,20,3,2
2016,Ohio,191,82,643,43,3
2016,Oklahoma,64,18,181,29,1
2016,Oregon,29,15,157,25,0
2016,Pennsylvania,404,70,625,32,1
2016,Rhode Island,19,6,42,4,0
2016,South Carolina,197,36,499,13,1
2016,South Dakota,14,4,21,3,0
2016,Tennessee,228,23,436,27,0
2016,Texas,903,242,"3,217",157,5
2016,Utah,19,11,94,15,0
2016,Vermont,0,0,4,1,0
2016,Virginia,229,30,622,25,1
2016,Washington,95,38,258,32,2
2016,West Virginia,15,8,41,4,0
2016,Wisconsin,33,11,177,8,0
2016,Wyoming,4,3,10,3,0
2017,Alabama,161,25,443,22,1
2017,Alaska,7,3,20,4,0
2017,Arizona,114,47,515,46,4
2017,Arkansas,56,17,205,9,0
2017,California,564,283,"3,696",219,4
2017,Colorado,54,20,319,47,1
2017,Connecticut,92,31,144,7,1
2017,Delaware,50,13,59,5,0
2017,District of Columbia,87,16,195,8,0
2017,Florida,"1,538",180,"2,745",93,6
2017,Georgia,764,89,"1,669",39,4
2017,Hawaii,12,5,57,4,0
2017,Idaho,7,1,29,8,0
2017,Illinois,269,55,993,22,13
2017,Indiana,145,45,311,14,1
2017,Iowa,30,8,77,9,0
2017,Kansas,26,8,79,5,1
2017,Kentucky,51,51,229,34,0
2017,Louisiana,318,60,605,26,2
2017,Maine,5,4,20,1,0
2017,Maryland,381,61,561,16,1
2017,Massachusetts,137,141,292,25,1
2017,Michigan,142,48,562,24,2
2017,Minnesota,83,13,157,19,2
2017,Mississippi,152,11,259,4,1
2017,Missouri,119,22,337,25,1
2017,Montana,2,7,19,2,0
2017,Nebraska,19,5,61,3,0
2017,Nevada,60,31,364,36,0
2017,New Hampshire,7,6,19,3,0
2017,New Jersey,372,119,613,19,2
2017,New Mexico,16,12,97,11,0
2017,New York,679,178,"1,799",70,5
2017,North Carolina,324,61,878,34,1
2017,North Dakota,12,1,23,1,0
2017,Ohio,167,107,664,46,1
2017,Oklahoma,52,26,193,29,0
2017,Oregon,31,29,128,16,0
2017,Pennsylvania,290,118,654,26,1
2017,Rhode Island,17,6,56,4,0
2017,South Carolina,198,35,464,14,1
2017,South Dakota,7,5,22,6,0
2017,Tennessee,163,35,510,21,2
2017,Texas,875,214,"3,073",190,6
2017,Utah,10,3,92,11,2
2017,Vermont,3,3,11,3,0
2017,Virginia,241,32,567,22,3
2017,Washington,94,26,277,30,6
2017,West Virginia,11,6,51,8,0
2017,Wisconsin,42,22,187,8,0
2017,Wyoming,3,0,7,0,0
2018,Alabama,150,20,394,7,1
2018,Alaska,3,2,12,3,0
2018,Arizona,101,59,605,39,3
2018,Arkansas,66,15,192,7,1
2018,California,544,266,"3,386",198,5
2018,Colorado,45,24,300,40,1
2018,Connecticut,71,22,149,6,1
2018,Delaware,35,4,48,4,0
2018,District of Columbia,51,15,140,2,0
2018,Florida,"1,588",220,"2,768",105,3
2018,Georgia,712,90,"1,710",37,3
2018,Hawaii,7,5,49,5,0
2018,Idaho,9,3,21,5,0
2018,Illinois,275,66,968,33,11
2018,Indiana,157,51,281,21,1
2018,Iowa,34,7,65,10,0
2018,Kansas,30,6,100,18,0
2018,Kentucky,56,57,229,18,1
2018,Louisiana,338,62,559,26,2
2018,Maine,6,5,17,0,1
2018,Maryland,368,53,544,13,2
2018,Massachusetts,173,126,331,24,1
2018,Michigan,142,56,495,21,4
2018,Minnesota,75,15,169,22,2
2018,Mississippi,130,17,326,5,1
2018,Missouri,87,28,304,26,2
2018,Montana,3,2,13,5,0
2018,Nebraska,11,3,61,5,0
2018,Nevada,74,22,382,29,2
2018,New Hampshire,5,7,23,1,0
2018,New Jersey,312,115,590,24,3
2018,New Mexico,16,13,83,9,0
2018,New York,618,193,"1,583",74,2
2018,North Carolina,289,60,810,38,3
2018,North Dakota,18,0,15,3,0
2018,Ohio,158,133,653,39,1
2018,Oklahoma,41,27,153,13,1
2018,Oregon,28,34,143,26,0
2018,Pennsylvania,254,148,563,34,3
2018,Rhode Island,15,3,54,4,0
2018,South Carolina,200,32,475,12,1
2018,South Dakota,5,2,19,1,0
2018,Tennessee,171,31,532,25,0
2018,Texas,919,229,"3,161",167,7
2018,Utah,7,6,93,14,0
2018,Vermont,3,1,14,0,0
2018,Virginia,220,28,588,28,4
2018,Washington,121,58,280,39,4
2018,West Virginia,12,29,36,9,0
2018,Wisconsin,29,11,160,9,0
2018,Wyoming,1,0,8,3,0
