Year,Geography,Female,,Male,
2008,"Brookings County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brooks County, GA",5,69.8,11,169.7
2008,"Brooks County, TX",0,0,0,0
2008,"Broome County, NY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Broomfield County, CO",0,0,0,0
2008,"Broward County, FL",279,36.9,679,96.5
2008,"Brown County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brown County, IN",0,0,0,0
2008,"Brown County, KS",0,0,0,0
2008,"Brown County, MN",0,0,0,0
2008,"Brown County, NE",0,0,0,0
2008,"Brown County, OH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brown County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brown County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brown County, WI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brule County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brunswick County, NC",0,0,9,20.7
2008,"Brunswick County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bryan County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bryan County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Buchanan County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Buchanan County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Buchanan County, VA",0,0,0,0
2008,"Buckingham County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bucks County, PA",12,4.5,39,15.2
2008,"Buena Vista City, VA",0,0,0,0
2008,"Buena Vista County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Buffalo County, NE",0,0,0,0
2008,"Buffalo County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Buffalo County, WI",0,0,0,0
2008,"Bullitt County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bulloch County, GA",6,20.2,11,39.5
2008,"Bullock County, AL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Buncombe County, NC",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bureau County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Burke County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Burke County, NC",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Burke County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Burleigh County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Burleson County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Burlington County, NJ",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Burnet County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Burnett County, WI",0,0,0,0
2008,"Burt County, NE",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Butler County, AL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Butler County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Butler County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Butler County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Butler County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Butler County, NE",0,0,0,0
2008,"Butler County, OH",6,3.9,19,13.2
2008,"Butler County, PA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Butte County, CA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Butte County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Butte County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Butts County, GA",7,75,18,163.9
2008,"Cabarrus County, NC",8,11.6,16,24.5
2008,"Cabell County, WV",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Cache County, UT",0,0,0,0
2008,"Caddo County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Caddo Parish, LA",24,21.7,50,51.8
2008,"Calaveras County, CA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calcasieu Parish, LA",12,15.3,31,42.6
2008,"Caldwell County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Caldwell County, MO",0,0,0,0
2008,"Caldwell County, NC",0,0,5,15.3
2008,"Caldwell County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Caldwell Parish, LA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Caledonia County, VT",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calhoun County, AL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calhoun County, AR",0,0,0,0
2008,"Calhoun County, FL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calhoun County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calhoun County, IA",0,0,0,0
2008,"Calhoun County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calhoun County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calhoun County, MS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calhoun County, SC",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calhoun County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calhoun County, WV",0,0,0,0
2008,"Callahan County, TX",0,0,0,0
2008,"Callaway County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calloway County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calumet County, WI",0,0,0,0
2008,"Calvert County, MD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Camas County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Cambria County, PA",0,0,5,8.2
2008,"Camden County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Camden County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Camden County, NC",0,0,0,0
2008,"Camden County, NJ",16,7.2,59,28.7
2008,"Cameron County, PA",0,0,0,0
2008,"Cameron County, TX",14,9.2,34,25.2
2008,"Cameron Parish, LA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Camp County, TX",0,0,0,0
2008,"Campbell County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Campbell County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Campbell County, TN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Campbell County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Campbell County, WY",0,0,0,0
2008,"Canadian County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Candler County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Cannon County, TN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Canyon County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Cape Girardeau County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Cape May County, NJ",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carbon County, MT",0,0,0,0
2008,"Carbon County, PA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carbon County, UT",0,0,0,0
2008,"Carbon County, WY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Caribou County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carlisle County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carlton County, MN",0,0,0,0
2008,"Caroline County, MD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Caroline County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carroll County, AR",0,0,0,0
2008,"Carroll County, GA",5,10.5,15,33.6
2008,"Carroll County, IA",0,0,0,0
2008,"Carroll County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carroll County, IN",0,0,0,0
2008,"Carroll County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carroll County, MD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carroll County, MO",0,0,0,0
2008,"Carroll County, MS",0,0,0,0
2008,"Carroll County, NH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carroll County, OH",0,0,0,0
2008,"Carroll County, TN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carroll County, VA",0,0,0,0
2008,"Carson City, NV",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carson County, TX",0,0,0,0
2008,"Carter County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carter County, MO",0,0,0,0
2008,"Carter County, MT",0,0,0,0
2008,"Carter County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carter County, TN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carteret County, NC",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carver County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Cascade County, MT",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Casey County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
