Indicator,Year,Geography,FIPS,Cases,Rate per 100000,Population
HIV deaths,2009,Connecticut,9,234,7.9,"2,951,882"
HIV deaths,2008,Connecticut,9,260,8.9,"2,932,812"
HIV deaths,2017,Delaware,10,65,8,"811,576"
HIV deaths,2016,Delaware,10,55,6.8,"803,341"
HIV deaths,2015,Delaware,10,70,8.8,"795,441"
HIV deaths,2014,Delaware,10,88,11.2,"786,714"
HIV deaths,2013,Delaware,10,72,9.3,"777,619"
HIV deaths,2012,Delaware,10,77,10,"768,406"
HIV deaths,2011,Delaware,10,70,9.2,"760,646"
HIV deaths,2010,Delaware,10,77,10.2,"752,949"
HIV deaths,2009,Delaware,10,82,11.1,"736,007"
HIV deaths,2008,Delaware,10,95,13,"728,265"
HIV deaths,2017,District of Columbia,11,230,38.5,"596,785"
HIV deaths,2016,District of Columbia,11,253,42.8,"590,875"
HIV deaths,2015,District of Columbia,11,255,43.8,"582,251"
HIV deaths,2014,District of Columbia,11,210,36.7,"572,788"
HIV deaths,2013,District of Columbia,11,200,35.5,"564,030"
HIV deaths,2012,District of Columbia,11,231,41.8,"552,642"
HIV deaths,2011,District of Columbia,11,279,51.5,"541,801"
HIV deaths,2010,District of Columbia,11,258,48.6,"530,795"
HIV deaths,2009,District of Columbia,11,290,56.2,"515,989"
HIV deaths,2008,District of Columbia,11,308,60.6,"508,021"
HIV deaths,2017,Florida,12,"2,077",11.6,"17,971,716"
HIV deaths,2016,Florida,12,"2,168",12.3,"17,658,611"
HIV deaths,2015,Florida,12,"2,080",12,"17,305,349"
HIV deaths,2014,Florida,12,"1,963",11.6,"16,983,458"
HIV deaths,2013,Florida,12,"2,000",12,"16,709,125"
HIV deaths,2012,Florida,12,"1,963",11.9,"16,480,031"
HIV deaths,2011,Florida,12,"2,012",12.4,"16,258,521"
HIV deaths,2010,Florida,12,"2,018",12.6,"16,018,609"
HIV deaths,2009,Florida,12,"2,229",14.3,"15,614,290"
HIV deaths,2008,Florida,12,"2,408",15.5,"15,508,944"
HIV deaths,2017,Georgia,13,791,9.2,"8,627,633"
HIV deaths,2016,Georgia,13,822,9.7,"8,516,944"
HIV deaths,2015,Georgia,13,822,9.8,"8,397,538"
HIV deaths,2014,Georgia,13,913,11,"8,288,270"
HIV deaths,2013,Georgia,13,836,10.2,"8,187,895"
HIV deaths,2012,Georgia,13,827,10.2,"8,106,476"
HIV deaths,2011,Georgia,13,816,10.2,"8,003,157"
HIV deaths,2010,Georgia,13,897,11.3,"7,912,814"
HIV deaths,2009,Georgia,13,967,12.2,"7,937,181"
HIV deaths,2008,Georgia,13,904,11.5,"7,826,920"
HIV deaths,2017,Hawaii,15,36,3,"1,198,339"
HIV deaths,2016,Hawaii,15,39,3.2,"1,200,302"
HIV deaths,2015,Hawaii,15,32,2.7,"1,193,935"
HIV deaths,2014,Hawaii,15,44,3.7,"1,187,196"
HIV deaths,2013,Hawaii,15,39,3.3,"1,180,667"
HIV deaths,2012,Hawaii,15,51,4.4,"1,168,924"
HIV deaths,2011,Hawaii,15,41,3.5,"1,155,908"
HIV deaths,2010,Hawaii,15,36,3.1,"1,144,087"
HIV deaths,2009,Hawaii,15,26,2.4,"1,083,032"
HIV deaths,2008,Hawaii,15,46,4.3,"1,077,785"
HIV deaths,2017,Idaho,16,19,1.4,"1,402,234"
HIV deaths,2016,Idaho,16,12,0.9,"1,369,107"
HIV deaths,2015,Idaho,16,14,1,"1,339,988"
HIV deaths,2014,Idaho,16,21,1.6,"1,320,877"
HIV deaths,2013,Idaho,16,14,1.1,"1,301,066"
HIV deaths,2012,Idaho,16,24,1.9,"1,283,965"
HIV deaths,2011,Idaho,16,14,1.1,"1,270,672"
HIV deaths,2010,Idaho,16,15,1.2,"1,256,890"
HIV deaths,2009,Idaho,16,7,0.6,"1,238,079"
HIV deaths,2008,Idaho,16,16,1.3,"1,223,541"
HIV deaths,2017,Illinois,17,494,4.6,"10,731,215"
HIV deaths,2016,Illinois,17,524,4.9,"10,743,318"
HIV deaths,2015,Illinois,17,545,5.1,"10,756,428"
HIV deaths,2014,Illinois,17,523,4.9,"10,759,859"
HIV deaths,2013,Illinois,17,512,4.8,"10,744,121"
HIV deaths,2012,Illinois,17,551,5.1,"10,704,446"
HIV deaths,2011,Illinois,17,565,5.3,"10,668,059"
HIV deaths,2010,Illinois,17,659,6.2,"10,623,897"
HIV deaths,2009,Illinois,17,615,5.8,"10,626,004"
HIV deaths,2008,Illinois,17,613,5.8,"10,563,388"
HIV deaths,2017,Indiana,18,190,3.4,"5,540,003"
HIV deaths,2016,Indiana,18,197,3.6,"5,510,511"
HIV deaths,2015,Indiana,18,177,3.2,"5,483,619"
HIV deaths,2014,Indiana,18,180,3.3,"5,466,488"
HIV deaths,2013,Indiana,18,181,3.3,"5,436,314"
HIV deaths,2012,Indiana,18,169,3.1,"5,399,958"
HIV deaths,2011,Indiana,18,199,3.7,"5,371,451"
HIV deaths,2010,Indiana,18,171,3.2,"5,340,692"
HIV deaths,2009,Indiana,18,206,3.9,"5,279,967"
HIV deaths,2008,Indiana,18,202,3.9,"5,246,323"
HIV deaths,2017,Iowa,19,43,1.6,"2,617,029"
HIV deaths,2016,Iowa,19,33,1.3,"2,605,250"
HIV deaths,2015,Iowa,19,36,1.4,"2,595,775"
HIV deaths,2014,Iowa,19,54,2.1,"2,585,119"
HIV deaths,2013,Iowa,19,43,1.7,"2,570,198"
HIV deaths,2012,Iowa,19,43,1.7,"2,553,591"
HIV deaths,2011,Iowa,19,37,1.5,"2,543,043"
HIV deaths,2010,Iowa,19,28,1.1,"2,526,684"
HIV deaths,2009,Iowa,19,37,1.5,"2,496,048"
HIV deaths,2008,Iowa,19,25,1,"2,486,127"
HIV deaths,2017,Kansas,20,47,2,"2,397,743"
HIV deaths,2016,Kansas,20,49,2,"2,393,712"
HIV deaths,2015,Kansas,20,51,2.1,"2,388,086"
HIV deaths,2014,Kansas,20,46,1.9,"2,377,652"
HIV deaths,2013,Kansas,20,56,2.4,"2,367,607"
HIV deaths,2012,Kansas,20,44,1.9,"2,356,616"
HIV deaths,2011,Kansas,20,46,2,"2,340,115"
HIV deaths,2010,Kansas,20,49,2.1,"2,329,143"
HIV deaths,2009,Kansas,20,41,1.8,"2,305,964"
HIV deaths,2008,Kansas,20,58,2.5,"2,290,014"
HIV deaths,2017,Kentucky,21,130,3.5,"3,728,831"
HIV deaths,2016,Kentucky,21,122,3.3,"3,712,013"
HIV deaths,2015,Kentucky,21,123,3.3,"3,699,491"
HIV deaths,2014,Kentucky,21,119,3.2,"3,686,449"
HIV deaths,2013,Kentucky,21,120,3.3,"3,673,716"
HIV deaths,2012,Kentucky,21,117,3.2,"3,652,563"
HIV deaths,2011,Kentucky,21,110,3,"3,632,735"
HIV deaths,2010,Kentucky,21,119,3.3,"3,610,828"
HIV deaths,2009,Kentucky,21,125,3.5,"3,583,570"
HIV deaths,2008,Kentucky,21,137,3.8,"3,559,663"
HIV deaths,2017,Louisiana,22,399,10.3,"3,868,605"
HIV deaths,2016,Louisiana,22,419,10.8,"3,871,344"
HIV deaths,2015,Louisiana,22,420,10.9,"3,858,097"
HIV deaths,2014,Louisiana,22,422,11,"3,839,337"
HIV deaths,2013,Louisiana,22,416,10.9,"3,819,669"
HIV deaths,2012,Louisiana,22,470,12.4,"3,793,129"
HIV deaths,2011,Louisiana,22,473,12.6,"3,766,665"
HIV deaths,2010,Louisiana,22,456,12.2,"3,737,428"
HIV deaths,2009,Louisiana,22,539,14.6,"3,680,921"
HIV deaths,2008,Louisiana,22,484,13.3,"3,648,291"
HIV deaths,2017,Maine,23,35,3,"1,157,986"
HIV deaths,2016,Maine,23,23,2,"1,153,307"
HIV deaths,2015,Maine,23,19,1.7,"1,149,501"
HIV deaths,2014,Maine,23,19,1.7,"1,150,000"
HIV deaths,2013,Maine,23,30,2.6,"1,145,689"
HIV deaths,2012,Maine,23,19,1.7,"1,142,956"
HIV deaths,2011,Maine,23,24,2.1,"1,140,816"
HIV deaths,2010,Maine,23,22,1.9,"1,137,673"
HIV deaths,2009,Maine,23,24,2.1,"1,130,458"
HIV deaths,2008,Maine,23,26,2.3,"1,129,848"
HIV deaths,2017,Maryland,24,595,11.8,"5,060,236"
HIV deaths,2016,Maryland,24,641,12.7,"5,039,003"
HIV deaths,2015,Maryland,24,546,10.9,"5,021,726"
HIV deaths,2014,Maryland,24,591,11.8,"4,994,516"
HIV deaths,2013,Maryland,24,614,12.4,"4,962,705"
HIV deaths,2012,Maryland,24,632,12.8,"4,924,611"
HIV deaths,2011,Maryland,24,583,12,"4,877,694"
HIV deaths,2010,Maryland,24,613,12.7,"4,830,144"
HIV deaths,2009,Maryland,24,680,14.4,"4,733,633"
HIV deaths,2008,Maryland,24,745,15.9,"4,697,010"
HIV deaths,2017,Massachusetts,25,297,5,"5,899,032"
HIV deaths,2016,Massachusetts,25,292,5,"5,857,445"
HIV deaths,2015,Massachusetts,25,298,5.1,"5,821,545"
HIV deaths,2014,Massachusetts,25,263,4.5,"5,785,038"
HIV deaths,2013,Massachusetts,25,269,4.7,"5,730,770"
HIV deaths,2012,Massachusetts,25,267,4.7,"5,676,159"
HIV deaths,2011,Massachusetts,25,261,4.6,"5,622,961"
HIV deaths,2010,Massachusetts,25,281,5,"5,573,257"
HIV deaths,2009,Massachusetts,25,299,5.4,"5,580,663"
HIV deaths,2008,Massachusetts,25,297,5.4,"5,531,920"
HIV deaths,2017,Michigan,26,272,3.2,"8,441,967"
HIV deaths,2016,Michigan,26,285,3.4,"8,409,723"
HIV deaths,2015,Michigan,26,296,3.5,"8,383,578"
HIV deaths,2014,Michigan,26,288,3.4,"8,369,488"
HIV deaths,2013,Michigan,26,279,3.3,"8,337,871"
HIV deaths,2012,Michigan,26,339,4.1,"8,304,912"
HIV deaths,2011,Michigan,26,306,3.7,"8,271,309"
HIV deaths,2010,Michigan,26,312,3.8,"8,247,420"
HIV deaths,2009,Michigan,26,305,3.7,"8,324,039"
HIV deaths,2008,Michigan,26,370,4.4,"8,335,602"
HIV deaths,2017,Minnesota,27,92,2,"4,631,396"
HIV deaths,2016,Minnesota,27,75,1.6,"4,589,546"
HIV deaths,2015,Minnesota,27,98,2.2,"4,553,008"
HIV deaths,2014,Minnesota,27,97,2.1,"4,524,856"
HIV deaths,2013,Minnesota,27,77,1.7,"4,489,740"
HIV deaths,2012,Minnesota,27,86,1.9,"4,453,587"
HIV deaths,2011,Minnesota,27,88,2,"4,422,318"
HIV deaths,2010,Minnesota,27,76,1.7,"4,388,574"
HIV deaths,2009,Minnesota,27,100,2.3,"4,358,038"
HIV deaths,2008,Minnesota,27,80,1.8,"4,327,416"
HIV deaths,2017,Mississippi,28,215,8.7,"2,479,041"
HIV deaths,2016,Mississippi,28,207,8.4,"2,472,164"
HIV deaths,2015,Mississippi,28,215,8.7,"2,468,675"
HIV deaths,2014,Mississippi,28,237,9.6,"2,467,100"
HIV deaths,2013,Mississippi,28,229,9.3,"2,460,749"
HIV deaths,2012,Mississippi,28,198,8.1,"2,449,062"
HIV deaths,2011,Mississippi,28,209,8.6,"2,439,866"
HIV deaths,2010,Mississippi,28,207,8.5,"2,429,159"
HIV deaths,2009,Mississippi,28,228,9.5,"2,397,287"
HIV deaths,2008,Mississippi,28,246,10.3,"2,389,085"
HIV deaths,2017,Missouri,29,209,4.1,"5,117,892"
HIV deaths,2016,Missouri,29,194,3.8,"5,094,029"
HIV deaths,2015,Missouri,29,172,3.4,"5,076,572"
HIV deaths,2014,Missouri,29,171,3.4,"5,059,205"
HIV deaths,2013,Missouri,29,186,3.7,"5,039,202"
HIV deaths,2012,Missouri,29,190,3.8,"5,016,085"
HIV deaths,2011,Missouri,29,184,3.7,"4,996,001"
HIV deaths,2010,Missouri,29,209,4.2,"4,977,086"
HIV deaths,2009,Missouri,29,216,4.4,"4,962,937"
HIV deaths,2008,Missouri,29,216,4.4,"4,934,901"
HIV deaths,2017,Montana,30,13,1.5,"887,128"
HIV deaths,2016,Montana,30,13,1.5,"875,704"
HIV deaths,2015,Montana,30,13,1.5,"866,602"
HIV deaths,2014,Montana,30,10,1.2,"858,974"
HIV deaths,2013,Montana,30,13,1.5,"851,634"
HIV deaths,2012,Montana,30,5,0.6,"843,229"
HIV deaths,2011,Montana,30,8,1,"837,028"
HIV deaths,2010,Montana,30,11,1.3,"831,037"
HIV deaths,2009,Montana,30,9,1.1,"818,891"
HIV deaths,2008,Montana,30,15,1.8,"813,046"
HIV deaths,2017,Nebraska,31,34,2.2,"1,571,827"
HIV deaths,2016,Nebraska,31,28,1.8,"1,560,378"
HIV deaths,2015,Nebraska,31,28,1.8,"1,547,705"
HIV deaths,2014,Nebraska,31,30,2,"1,537,771"
HIV deaths,2013,Nebraska,31,32,2.1,"1,525,123"
HIV deaths,2012,Nebraska,31,33,2.2,"1,514,247"
HIV deaths,2011,Nebraska,31,24,1.6,"1,503,223"
HIV deaths,2010,Nebraska,31,31,2.1,"1,494,005"
HIV deaths,2009,Nebraska,31,31,2.1,"1,467,198"
HIV deaths,2008,Nebraska,31,28,1.9,"1,457,464"
HIV deaths,2017,Nevada,32,171,6.9,"2,480,508"
HIV deaths,2016,Nevada,32,151,6.2,"2,432,399"
HIV deaths,2015,Nevada,32,126,5.3,"2,386,830"
HIV deaths,2014,Nevada,32,130,5.5,"2,343,130"
HIV deaths,2013,Nevada,32,143,6.2,"2,303,590"
HIV deaths,2012,Nevada,32,159,7,"2,271,241"
HIV deaths,2011,Nevada,32,131,5.9,"2,237,368"
HIV deaths,2010,Nevada,32,126,5.7,"2,223,329"
HIV deaths,2009,Nevada,32,122,5.7,"2,141,833"
HIV deaths,2008,Nevada,32,140,6.6,"2,118,616"
HIV deaths,2017,New Hampshire,33,21,1.8,"1,170,090"
HIV deaths,2016,New Hampshire,33,19,1.6,"1,161,178"
HIV deaths,2015,New Hampshire,33,29,2.5,"1,153,654"
HIV deaths,2014,New Hampshire,33,13,1.1,"1,148,650"
HIV deaths,2013,New Hampshire,33,15,1.3,"1,139,264"
HIV deaths,2012,New Hampshire,33,22,1.9,"1,133,890"
HIV deaths,2011,New Hampshire,33,14,1.2,"1,126,337"
HIV deaths,2010,New Hampshire,33,17,1.5,"1,120,212"
HIV deaths,2009,New Hampshire,33,22,2,"1,124,301"
HIV deaths,2008,New Hampshire,33,18,1.6,"1,119,153"
HIV deaths,2017,New Jersey,34,638,8.5,"7,499,348"
HIV deaths,2016,New Jersey,34,654,8.7,"7,478,521"
HIV deaths,2015,New Jersey,34,638,8.5,"7,466,207"
HIV deaths,2014,New Jersey,34,661,8.9,"7,453,225"
HIV deaths,2013,New Jersey,34,727,9.8,"7,434,824"
HIV deaths,2012,New Jersey,34,644,8.7,"7,408,872"
HIV deaths,2011,New Jersey,34,748,10.1,"7,380,087"
HIV deaths,2010,New Jersey,34,795,10.8,"7,345,376"
HIV deaths,2009,New Jersey,34,772,10.6,"7,249,862"
HIV deaths,2008,New Jersey,34,868,12,"7,204,858"
HIV deaths,2017,New Mexico,35,26,1.5,"1,744,348"
HIV deaths,2016,New Mexico,35,48,2.8,"1,738,281"
HIV deaths,2015,New Mexico,35,75,4.3,"1,731,404"
HIV deaths,2014,New Mexico,35,67,3.9,"1,727,337"
HIV deaths,2013,New Mexico,35,46,2.7,"1,724,605"
HIV deaths,2012,New Mexico,35,57,3.3,"1,715,621"
HIV deaths,2011,New Mexico,35,51,3,"1,705,610"
HIV deaths,2010,New Mexico,35,63,3.7,"1,690,231"
HIV deaths,2009,New Mexico,35,56,3.4,"1,636,757"
HIV deaths,2008,New Mexico,35,67,4.1,"1,620,429"
HIV deaths,2017,New York,36,"1,761",10.6,"16,640,405"
HIV deaths,2016,New York,36,"1,859",11.2,"16,665,101"
HIV deaths,2015,New York,36,"1,797",10.8,"16,665,971"
HIV deaths,2014,New York,36,"1,911",11.5,"16,650,830"
HIV deaths,2013,New York,36,"1,969",11.9,"16,606,696"
HIV deaths,2012,New York,36,"2,023",12.2,"16,540,669"
HIV deaths,2011,New York,36,"2,156",13.1,"16,458,143"
HIV deaths,2010,New York,36,"2,217",13.6,"16,361,187"
HIV deaths,2009,New York,36,"2,350",14.3,"16,409,802"
HIV deaths,2008,New York,36,"2,465",15.1,"16,332,205"
HIV deaths,2017,North Carolina,37,540,6.3,"8,633,016"
HIV deaths,2016,North Carolina,37,519,6.1,"8,522,014"
HIV deaths,2015,North Carolina,37,559,6.7,"8,401,711"
HIV deaths,2014,North Carolina,37,544,6.6,"8,300,834"
HIV deaths,2013,North Carolina,37,528,6.4,"8,203,696"
HIV deaths,2012,North Carolina,37,522,6.4,"8,101,318"
HIV deaths,2011,North Carolina,37,541,6.8,"8,004,877"
HIV deaths,2010,North Carolina,37,573,7.2,"7,922,895"
HIV deaths,2009,North Carolina,37,623,8.1,"7,713,809"
HIV deaths,2008,North Carolina,37,577,7.6,"7,607,202"
HIV deaths,2017,North Dakota,38,3,0.5,"622,525"
HIV deaths,2016,North Dakota,38,4,0.6,"622,315"
HIV deaths,2015,North Dakota,38,8,1.3,"623,158"
HIV deaths,2014,North Dakota,38,7,1.1,"611,504"
HIV deaths,2013,North Dakota,38,5,0.8,"600,804"
HIV deaths,2012,North Dakota,38,3,0.5,"585,281"
HIV deaths,2011,North Dakota,38,4,0.7,"573,759"
HIV deaths,2010,North Dakota,38,6,1.1,"565,830"
HIV deaths,2009,North Dakota,38,5,0.9,"543,743"
HIV deaths,2008,North Dakota,38,10,1.9,"539,992"
HIV deaths,2017,Ohio,39,372,3.8,"9,813,290"
HIV deaths,2016,Ohio,39,347,3.5,"9,777,971"
HIV deaths,2015,Ohio,39,306,3.1,"9,754,188"
HIV deaths,2014,Ohio,39,349,3.6,"9,732,167"
HIV deaths,2013,Ohio,39,313,3.2,"9,696,486"
HIV deaths,2012,Ohio,39,351,3.6,"9,655,211"
HIV deaths,2011,Ohio,39,315,3.3,"9,633,071"
HIV deaths,2010,Ohio,39,288,3,"9,610,790"
HIV deaths,2009,Ohio,39,334,3.5,"9,616,569"
HIV deaths,2008,Ohio,39,371,3.9,"9,592,881"
HIV deaths,2017,Oklahoma,40,106,3.3,"3,238,135"
HIV deaths,2016,Oklahoma,40,122,3.8,"3,228,505"
HIV deaths,2015,Oklahoma,40,143,4.5,"3,211,563"
HIV deaths,2014,Oklahoma,40,140,4.4,"3,184,247"
HIV deaths,2013,Oklahoma,40,126,4,"3,161,412"
HIV deaths,2012,Oklahoma,40,115,3.7,"3,131,983"
HIV deaths,2011,Oklahoma,40,121,3.9,"3,104,403"
HIV deaths,2010,Oklahoma,40,107,3.5,"3,079,818"
HIV deaths,2009,Oklahoma,40,128,4.2,"3,014,967"
HIV deaths,2008,Oklahoma,40,126,4.2,"2,985,437"
HIV deaths,2017,Oregon,41,116,3.3,"3,519,405"
HIV deaths,2016,Oregon,41,103,3,"3,466,235"
HIV deaths,2015,Oregon,41,111,3.3,"3,397,526"
HIV deaths,2014,Oregon,41,102,3,"3,348,642"
HIV deaths,2013,Oregon,41,111,3.4,"3,309,074"
HIV deaths,2012,Oregon,41,109,3.3,"3,282,121"
HIV deaths,2011,Oregon,41,99,3,"3,252,260"
HIV deaths,2010,Oregon,41,97,3,"3,217,465"
HIV deaths,2009,Oregon,41,92,2.9,"3,197,425"
HIV deaths,2008,Oregon,41,80,2.5,"3,159,664"
HIV deaths,2017,Pennsylvania,42,630,5.8,"10,902,840"
HIV deaths,2016,Pennsylvania,42,602,5.5,"10,888,364"
HIV deaths,2015,Pennsylvania,42,587,5.4,"10,881,745"
HIV deaths,2014,Pennsylvania,42,644,5.9,"10,879,461"
HIV deaths,2013,Pennsylvania,42,630,5.8,"10,857,460"
HIV deaths,2012,Pennsylvania,42,583,5.4,"10,832,936"
HIV deaths,2011,Pennsylvania,42,652,6,"10,800,820"
HIV deaths,2010,Pennsylvania,42,698,6.5,"10,759,979"
HIV deaths,2009,Pennsylvania,42,725,6.8,"10,659,191"
HIV deaths,2008,Pennsylvania,42,705,6.6,"10,618,093"
HIV deaths,2017,Rhode Island,44,31,3.4,"911,239"
HIV deaths,2016,Rhode Island,44,38,4.2,"910,326"
HIV deaths,2015,Rhode Island,44,26,2.9,"908,366"
HIV deaths,2014,Rhode Island,44,37,4.1,"907,072"
HIV deaths,2013,Rhode Island,44,33,3.6,"904,623"
HIV deaths,2012,Rhode Island,44,43,4.8,"902,455"
HIV deaths,2011,Rhode Island,44,46,5.1,"899,628"
HIV deaths,2010,Rhode Island,44,37,4.1,"898,501"
HIV deaths,2009,Rhode Island,44,42,4.7,"894,466"
HIV deaths,2008,Rhode Island,44,45,5,"893,608"
HIV deaths,2017,South Carolina,45,328,7.8,"4,230,737"
HIV deaths,2016,South Carolina,45,336,8.1,"4,171,070"
HIV deaths,2015,South Carolina,45,291,7.1,"4,109,463"
HIV deaths,2014,South Carolina,45,331,8.2,"4,046,632"
HIV deaths,2013,South Carolina,45,320,8,"3,988,907"
HIV deaths,2012,South Carolina,45,315,8,"3,939,204"
HIV deaths,2011,South Carolina,45,328,8.4,"3,893,958"
HIV deaths,2010,South Carolina,45,336,8.7,"3,857,440"
HIV deaths,2009,South Carolina,45,370,9.8,"3,780,746"
HIV deaths,2008,South Carolina,45,375,10,"3,732,320"
HIV deaths,2017,South Dakota,46,8,1.1,"713,932"
HIV deaths,2016,South Dakota,46,11,1.6,"704,961"
HIV deaths,2015,South Dakota,46,7,1,"697,811"
HIV deaths,2014,South Dakota,46,10,1.4,"694,500"
HIV deaths,2013,South Dakota,46,9,1.3,"689,289"
HIV deaths,2012,South Dakota,46,10,1.5,"682,418"
HIV deaths,2011,South Dakota,46,7,1,"673,889"
HIV deaths,2010,South Dakota,46,12,1.8,"668,043"
HIV deaths,2009,South Dakota,46,13,1.9,"667,951"
HIV deaths,2008,South Dakota,46,10,1.5,"661,864"
HIV deaths,2017,Tennessee,47,314,5.6,"5,631,232"
HIV deaths,2016,Tennessee,47,327,5.9,"5,570,308"
HIV deaths,2015,Tennessee,47,341,6.2,"5,518,921"
HIV deaths,2014,Tennessee,47,331,6,"5,471,517"
HIV deaths,2013,Tennessee,47,331,6.1,"5,424,065"
HIV deaths,2012,Tennessee,47,342,6.4,"5,379,876"
HIV deaths,2011,Tennessee,47,323,6.1,"5,326,756"
HIV deaths,2010,Tennessee,47,371,7,"5,282,732"
HIV deaths,2009,Tennessee,47,427,8.2,"5,219,117"
HIV deaths,2008,Tennessee,47,419,8.1,"5,169,975"
HIV deaths,2017,Texas,48,"1,399",6.1,"23,007,851"
HIV deaths,2016,Texas,48,"1,356",6,"22,647,866"
HIV deaths,2015,Texas,48,"1,310",5.9,"22,243,749"
HIV deaths,2014,Texas,48,"1,346",6.2,"21,802,872"
HIV deaths,2013,Texas,48,"1,223",5.7,"21,367,395"
HIV deaths,2012,Texas,48,"1,311",6.2,"20,998,376"
HIV deaths,2011,Texas,48,"1,284",6.2,"20,595,015"
HIV deaths,2010,Texas,48,"1,356",6.7,"20,237,059"
HIV deaths,2009,Texas,48,"1,509",7.7,"19,664,635"
HIV deaths,2008,Texas,48,"1,427",7.4,"19,307,235"
HIV deaths,2017,Utah,49,22,0.9,"2,430,127"
HIV deaths,2016,Utah,49,47,2,"2,371,090"
HIV deaths,2015,Utah,49,31,1.3,"2,314,417"
HIV deaths,2014,Utah,49,22,1,"2,271,476"
HIV deaths,2013,Utah,49,44,2,"2,233,017"
HIV deaths,2012,Utah,49,26,1.2,"2,191,305"
HIV deaths,2011,Utah,49,22,1,"2,154,045"
HIV deaths,2010,Utah,49,25,1.2,"2,119,571"
