Year,Geography,FIPS,Cases,Rate per 100000,Population,Indicator
2009,"Adair County, KY",21001,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Adair County, KY",21001,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Adams County, PA",42001,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Adams County, PA",42001,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Adams County, PA",42001,7,8,"87,284",HIV diagnoses
2015,"Adams County, PA",42001,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Adams County, PA",42001,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Adams County, PA",42001,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Adams County, PA",42001,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Adams County, PA",42001,8,9.3,"86,131",HIV diagnoses
2010,"Adams County, PA",42001,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Adams County, PA",42001,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Adams County, PA",42001,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Adams County, MS",28001,9,33.7,"26,672",HIV diagnoses
2017,"Adams County, MS",28001,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Adams County, MS",28001,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Adams County, MS",28001,5,18.7,"26,801",HIV diagnoses
2014,"Adams County, MS",28001,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Adams County, MS",28001,5,18.4,"27,234",HIV diagnoses
2012,"Adams County, MS",28001,11,40.5,"27,164",HIV diagnoses
2011,"Adams County, MS",28001,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Adams County, MS",28001,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Adams County, MS",28001,5,19.7,"25,404",HIV diagnoses
2008,"Adams County, MS",28001,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Adams County, WA",53001,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Adams County, WA",53001,0,0,"14,438",HIV diagnoses
2016,"Adams County, WA",53001,0,0,"14,200",HIV diagnoses
2015,"Adams County, WA",53001,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Adams County, WA",53001,0,0,"14,103",HIV diagnoses
2013,"Adams County, WA",53001,0,0,"14,053",HIV diagnoses
2012,"Adams County, WA",53001,0,0,"13,939",HIV diagnoses
2011,"Adams County, WA",53001,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Adams County, WA",53001,0,0,"13,883",HIV diagnoses
2009,"Adams County, WA",53001,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Adams County, WA",53001,0,0,"12,580",HIV diagnoses
2018,"Adams County, IA",19003,0,0,"3,084",HIV diagnoses
2017,"Adams County, IA",19003,0,0,"3,086",HIV diagnoses
2016,"Adams County, IA",19003,0,0,"3,101",HIV diagnoses
2015,"Adams County, IA",19003,0,0,"3,172",HIV diagnoses
2014,"Adams County, IA",19003,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Adams County, IA",19003,0,0,"3,305",HIV diagnoses
2012,"Adams County, IA",19003,0,0,"3,336",HIV diagnoses
2011,"Adams County, IA",19003,0,0,"3,416",HIV diagnoses
2010,"Adams County, IA",19003,0,0,"3,433",HIV diagnoses
2009,"Adams County, IA",19003,0,0,"3,358",HIV diagnoses
2008,"Adams County, IA",19003,0,0,"3,425",HIV diagnoses
2018,"Adams County, IN",18001,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Adams County, IN",18001,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Adams County, IN",18001,0,0,"27,066",HIV diagnoses
2015,"Adams County, IN",18001,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Adams County, IN",18001,0,0,"26,717",HIV diagnoses
2013,"Adams County, IN",18001,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Adams County, IN",18001,0,0,"26,508",HIV diagnoses
2011,"Adams County, IN",18001,0,0,"26,495",HIV diagnoses
2010,"Adams County, IN",18001,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Adams County, IN",18001,0,0,"26,553",HIV diagnoses
2008,"Adams County, IN",18001,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Adams County, OH",39001,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Adams County, OH",39001,0,0,"23,112",HIV diagnoses
2016,"Adams County, OH",39001,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Adams County, OH",39001,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Adams County, OH",39001,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Adams County, OH",39001,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Adams County, OH",39001,0,0,"23,285",HIV diagnoses
2011,"Adams County, OH",39001,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Adams County, OH",39001,0,0,"23,438",HIV diagnoses
2009,"Adams County, OH",39001,0,0,"23,198",HIV diagnoses
2008,"Adams County, OH",39001,0,0,"23,260",HIV diagnoses
2018,"Adams County, ND",38001,0,0,"1,978",HIV diagnoses
2017,"Adams County, ND",38001,0,0,"2,009",HIV diagnoses
2016,"Adams County, ND",38001,0,0,"2,013",HIV diagnoses
2015,"Adams County, ND",38001,0,0,"2,063",HIV diagnoses
2014,"Adams County, ND",38001,0,0,"2,059",HIV diagnoses
2013,"Adams County, ND",38001,0,0,"2,072",HIV diagnoses
2012,"Adams County, ND",38001,0,0,"2,030",HIV diagnoses
2011,"Adams County, ND",38001,0,0,"2,015",HIV diagnoses
2010,"Adams County, ND",38001,0,0,"2,044",HIV diagnoses
2009,"Adams County, ND",38001,0,0,"1,975",HIV diagnoses
2008,"Adams County, ND",38001,0,0,"2,004",HIV diagnoses
2018,"Adams County, WI",55001,0,0,"18,336",HIV diagnoses
2017,"Adams County, WI",55001,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Adams County, WI",55001,0,0,"17,940",HIV diagnoses
2015,"Adams County, WI",55001,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Adams County, WI",55001,0,0,"18,062",HIV diagnoses
2013,"Adams County, WI",55001,0,0,"18,265",HIV diagnoses
2012,"Adams County, WI",55001,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Adams County, WI",55001,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Adams County, WI",55001,0,0,"18,545",HIV diagnoses
2009,"Adams County, WI",55001,0,0,"17,845",HIV diagnoses
2008,"Adams County, WI",55001,0,0,"17,995",HIV diagnoses
2018,"Adams County, NE",31001,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Adams County, NE",31001,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Adams County, NE",31001,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Adams County, NE",31001,0,0,"26,244",HIV diagnoses
2014,"Adams County, NE",31001,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Adams County, NE",31001,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Adams County, NE",31001,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Adams County, NE",31001,0,0,"25,877",HIV diagnoses
2010,"Adams County, NE",31001,0,0,"25,916",HIV diagnoses
2009,"Adams County, NE",31001,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Adams County, NE",31001,0,0,"27,522",HIV diagnoses
2018,"Adams County, IL",17001,0,0,"55,066",HIV diagnoses
2017,"Adams County, IL",17001,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Adams County, IL",17001,6,10.8,"55,607",HIV diagnoses
2015,"Adams County, IL",17001,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Adams County, IL",17001,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Adams County, IL",17001,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Adams County, IL",17001,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Adams County, IL",17001,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Adams County, IL",17001,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Adams County, IL",17001,0,0,"56,261",HIV diagnoses
2008,"Adams County, IL",17001,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Adams County, ID",16003,0,0,"3,718",HIV diagnoses
2017,"Adams County, ID",16003,0,0,"3,606",HIV diagnoses
2016,"Adams County, ID",16003,0,0,"3,454",HIV diagnoses
2015,"Adams County, ID",16003,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Adams County, ID",16003,0,0,"3,432",HIV diagnoses
2013,"Adams County, ID",16003,0,0,"3,407",HIV diagnoses
2012,"Adams County, ID",16003,0,0,"3,432",HIV diagnoses
2011,"Adams County, ID",16003,0,0,"3,464",HIV diagnoses
2010,"Adams County, ID",16003,0,0,"3,447",HIV diagnoses
2009,"Adams County, ID",16003,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Adams County, ID",16003,0,0,"3,086",HIV diagnoses
2018,"Adams County, CO",8001,48,11.6,"414,377",HIV diagnoses
2017,"Adams County, CO",8001,66,16.3,"406,116",HIV diagnoses
2016,"Adams County, CO",8001,39,9.8,"399,056",HIV diagnoses
2015,"Adams County, CO",8001,36,9.2,"391,191",HIV diagnoses
2014,"Adams County, CO",8001,35,9.2,"381,665",HIV diagnoses
2013,"Adams County, CO",8001,32,8.6,"372,045",HIV diagnoses
2012,"Adams County, CO",8001,43,11.8,"363,370",HIV diagnoses
2011,"Adams County, CO",8001,40,11.2,"355,715",HIV diagnoses
2010,"Adams County, CO",8001,48,13.8,"348,664",HIV diagnoses
2009,"Adams County, CO",8001,55,15.9,"346,629",HIV diagnoses
2008,"Adams County, CO",8001,65,19.2,"337,883",HIV diagnoses
2018,"Addison County, VT",50001,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Addison County, VT",50001,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Addison County, VT",50001,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Addison County, VT",50001,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Addison County, VT",50001,0,0,"32,355",HIV diagnoses
2013,"Addison County, VT",50001,0,0,"32,309",HIV diagnoses
2012,"Addison County, VT",50001,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Addison County, VT",50001,0,0,"32,120",HIV diagnoses
2010,"Addison County, VT",50001,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Addison County, VT",50001,0,0,"31,627",HIV diagnoses
2008,"Addison County, VT",50001,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Aiken County, SC",45003,24,16.8,"143,165",HIV diagnoses
2017,"Aiken County, SC",45003,18,12.7,"142,017",HIV diagnoses
2016,"Aiken County, SC",45003,20,14.2,"140,962",HIV diagnoses
2015,"Aiken County, SC",45003,21,15,"139,675",HIV diagnoses
2014,"Aiken County, SC",45003,17,12.3,"138,256",HIV diagnoses
2013,"Aiken County, SC",45003,21,15.3,"137,537",HIV diagnoses
2012,"Aiken County, SC",45003,27,19.8,"136,562",HIV diagnoses
2011,"Aiken County, SC",45003,14,10.3,"135,355",HIV diagnoses
2010,"Aiken County, SC",45003,16,11.9,"134,236",HIV diagnoses
2009,"Aiken County, SC",45003,25,19.2,"130,316",HIV diagnoses
2008,"Aiken County, SC",45003,15,11.6,"128,988",HIV diagnoses
2018,"Aitkin County, MN",27001,0,0,"14,058",HIV diagnoses
2017,"Aitkin County, MN",27001,0,0,"13,943",HIV diagnoses
2016,"Aitkin County, MN",27001,0,0,"13,898",HIV diagnoses
2015,"Aitkin County, MN",27001,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Aitkin County, MN",27001,0,0,"13,966",HIV diagnoses
2013,"Aitkin County, MN",27001,0,0,"13,954",HIV diagnoses
2012,"Aitkin County, MN",27001,0,0,"14,060",HIV diagnoses
2011,"Aitkin County, MN",27001,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Aitkin County, MN",27001,0,0,"14,147",HIV diagnoses
2009,"Aitkin County, MN",27001,0,0,"13,685",HIV diagnoses
2008,"Aitkin County, MN",27001,0,0,"13,876",HIV diagnoses
2018,"Alachua County, FL",12001,41,17.5,"234,099",HIV diagnoses
2017,"Alachua County, FL",12001,50,21.6,"231,469",HIV diagnoses
2016,"Alachua County, FL",12001,40,17.5,"229,145",HIV diagnoses
2015,"Alachua County, FL",12001,56,24.9,"224,897",HIV diagnoses
2014,"Alachua County, FL",12001,65,29.3,"221,790",HIV diagnoses
2013,"Alachua County, FL",12001,46,21,"219,291",HIV diagnoses
2012,"Alachua County, FL",12001,49,22.4,"218,613",HIV diagnoses
2011,"Alachua County, FL",12001,61,28.1,"217,360",HIV diagnoses
2010,"Alachua County, FL",12001,47,21.8,"215,768",HIV diagnoses
2009,"Alachua County, FL",12001,66,31.3,"211,084",HIV diagnoses
2008,"Alachua County, FL",12001,69,32.9,"209,940",HIV diagnoses
2018,"Alamance County, NC",37001,20,14.3,"140,226",HIV diagnoses
2017,"Alamance County, NC",37001,22,16,"137,651",HIV diagnoses
2016,"Alamance County, NC",37001,19,14.1,"134,901",HIV diagnoses
2015,"Alamance County, NC",37001,14,10.6,"131,837",HIV diagnoses
2014,"Alamance County, NC",37001,17,13,"130,340",HIV diagnoses
2013,"Alamance County, NC",37001,19,14.7,"129,044",HIV diagnoses
2012,"Alamance County, NC",37001,14,10.9,"127,901",HIV diagnoses
2011,"Alamance County, NC",37001,19,14.9,"127,147",HIV diagnoses
2010,"Alamance County, NC",37001,21,16.7,"125,910",HIV diagnoses
2009,"Alamance County, NC",37001,16,12.9,"123,686",HIV diagnoses
2008,"Alamance County, NC",37001,32,26.3,"121,794",HIV diagnoses
2018,"Alameda County, CA",6001,198,14,"1,417,180",HIV diagnoses
2017,"Alameda County, CA",6001,204,14.5,"1,406,803",HIV diagnoses
2016,"Alameda County, CA",6001,268,19.2,"1,397,339",HIV diagnoses
2015,"Alameda County, CA",6001,261,18.9,"1,380,758",HIV diagnoses
2014,"Alameda County, CA",6001,210,15.5,"1,356,627",HIV diagnoses
2013,"Alameda County, CA",6001,214,16.1,"1,329,829",HIV diagnoses
2012,"Alameda County, CA",6001,231,17.7,"1,305,421",HIV diagnoses
2011,"Alameda County, CA",6001,215,16.7,"1,283,904",HIV diagnoses
2010,"Alameda County, CA",6001,236,18.6,"1,267,084",HIV diagnoses
2009,"Alameda County, CA",6001,268,21.6,"1,238,276",HIV diagnoses
2008,"Alameda County, CA",6001,231,18.9,"1,220,968",HIV diagnoses
2018,"Alamosa County, CO",8003,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Alamosa County, CO",8003,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Alamosa County, CO",8003,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Alamosa County, CO",8003,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Alamosa County, CO",8003,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Alamosa County, CO",8003,0,0,"13,266",HIV diagnoses
2012,"Alamosa County, CO",8003,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Alamosa County, CO",8003,0,0,"13,233",HIV diagnoses
2010,"Alamosa County, CO",8003,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Alamosa County, CO",8003,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Alamosa County, CO",8003,0,0,"12,560",HIV diagnoses
2018,"Albany County, WY",56001,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Albany County, WY",56001,0,0,"33,766",HIV diagnoses
2016,"Albany County, WY",56001,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Albany County, WY",56001,0,0,"33,244",HIV diagnoses
2014,"Albany County, WY",56001,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Albany County, WY",56001,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Albany County, WY",56001,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Albany County, WY",56001,0,0,"32,304",HIV diagnoses
2010,"Albany County, WY",56001,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Albany County, WY",56001,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Albany County, WY",56001,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Albany County, NY",36001,26,9.7,"267,131",HIV diagnoses
2017,"Albany County, NY",36001,35,13.1,"267,347",HIV diagnoses
2016,"Albany County, NY",36001,25,9.4,"267,121",HIV diagnoses
2015,"Albany County, NY",36001,24,9,"266,876",HIV diagnoses
2014,"Albany County, NY",36001,27,10.1,"266,434",HIV diagnoses
2013,"Albany County, NY",36001,26,9.8,"265,792",HIV diagnoses
2012,"Albany County, NY",36001,42,15.9,"264,631",HIV diagnoses
2011,"Albany County, NY",36001,30,11.4,"263,277",HIV diagnoses
2010,"Albany County, NY",36001,37,14.1,"262,342",HIV diagnoses
2009,"Albany County, NY",36001,37,14.4,"257,115",HIV diagnoses
2008,"Albany County, NY",36001,54,21.1,"256,024",HIV diagnoses
2018,"Albemarle County, VA",51003,11,11.8,"93,431",HIV diagnoses
2017,"Albemarle County, VA",51003,0,0,"92,367",HIV diagnoses
2016,"Albemarle County, VA",51003,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Albemarle County, VA",51003,5,5.6,"89,678",HIV diagnoses
2014,"Albemarle County, VA",51003,5,5.7,"88,275",HIV diagnoses
2013,"Albemarle County, VA",51003,9,10.4,"86,853",HIV diagnoses
2012,"Albemarle County, VA",51003,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Albemarle County, VA",51003,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Albemarle County, VA",51003,8,9.5,"84,085",HIV diagnoses
2009,"Albemarle County, VA",51003,5,6.2,"80,386",HIV diagnoses
2008,"Albemarle County, VA",51003,9,11.3,"79,900",HIV diagnoses
2018,"Alcona County, MI",26001,0,0,"9,468",HIV diagnoses
2017,"Alcona County, MI",26001,0,0,"9,420",HIV diagnoses
2016,"Alcona County, MI",26001,0,0,"9,446",HIV diagnoses
2015,"Alcona County, MI",26001,0,0,"9,407",HIV diagnoses
2014,"Alcona County, MI",26001,0,0,"9,524",HIV diagnoses
2013,"Alcona County, MI",26001,0,0,"9,605",HIV diagnoses
2012,"Alcona County, MI",26001,0,0,"9,612",HIV diagnoses
2011,"Alcona County, MI",26001,0,0,"9,741",HIV diagnoses
2010,"Alcona County, MI",26001,0,0,"9,864",HIV diagnoses
2009,"Alcona County, MI",26001,0,0,"9,971",HIV diagnoses
2008,"Alcona County, MI",26001,0,0,"10,136",HIV diagnoses
2018,"Alcorn County, MS",28003,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Alcorn County, MS",28003,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Alcorn County, MS",28003,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Alcorn County, MS",28003,6,19.3,"31,033",HIV diagnoses
2014,"Alcorn County, MS",28003,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Alcorn County, MS",28003,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Alcorn County, MS",28003,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Alcorn County, MS",28003,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Alcorn County, MS",28003,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Alcorn County, MS",28003,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Alcorn County, MS",28003,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed,NA,HIV diagnoses
