Year,Geography,13-24,,25-34,,35-44,,45-54,,55+,
2011,Wyoming,9,9.8,29,36.7,63,94.2,98,122,50,33.5
2012,Alabama,715,88.7,"2,044",331.5,"2,895",475.6,"3,701",548.4,"2,181",166.1
2012,Alaska,23,17.9,78,70.1,159,172.2,256,241.9,134,86.5
2012,Arizona,436,39.2,"1,843",210.2,"3,243",391.6,"4,743",565.3,"2,849",164.4
2012,Arkansas,243,49.7,725,189.3,"1,197",328.5,"1,506",379.3,863,107.1
2012,California,"3,191",48.1,"14,652",267,"25,728",499.2,"40,662",777.9,"27,663",311
2012,Colorado,232,27.7,"1,224",159.9,"2,230",314.1,"3,855",531.3,"2,769",221
2012,Connecticut,319,54.5,923,213.2,"1,959",429.4,"3,880",685.8,"2,923",291.3
2012,Delaware,152,101.3,326,280.3,615,553.1,"1,211",914.7,775,299.9
2012,District of Columbia,599,562,"2,258",1571.3,"3,278",3817.4,"5,045",6617.8,"3,561",2539
2012,Florida,"3,880",131.7,"12,095",501.7,"21,763",903.7,"33,892",1233,"23,284",390.3
2012,Georgia,"2,547",150,"8,134",599.5,"10,972",796.6,"14,119",1008.4,"7,801",343.1
2012,Hawaii,42,19.5,231,117.4,439,249.7,911,486.2,751,190.5
2012,Idaho,32,11.7,137,65,207,106.6,376,185.5,209,51.8
2012,Illinois,"1,666",78,"5,150",287.8,"7,742",457.5,"10,512",576.4,"6,729",206.2
2012,Indiana,499,44.6,"1,463",175.3,"2,468",298.9,"3,250",353.5,"1,719",101
2012,Iowa,80,15.4,323,83,567,157.6,746,176.6,445,51.5
2012,Kansas,116,23.5,449,116.6,708,205.9,943,243.2,508,68.2
2012,Kentucky,311,43.7,930,164.1,"1,453",256.2,"1,959",311.7,"1,102",93.5
2012,Louisiana,"1,081",138.3,"3,358",513.7,"4,197",748.7,"5,035",794.2,"3,092",265.8
2012,Maine,17,8.6,122,82.5,246,152.6,527,250.8,376,88
2012,Maryland,"1,440",151.7,"4,080",509.4,"6,408",826.9,"10,221",1138.6,"6,849",456.1
2012,Massachusetts,532,47.9,"1,742",194,"3,944",462.7,"7,401",735.9,"4,888",270.1
2012,Michigan,976,57.7,"2,246",191.3,"3,202",262.5,"4,708",324.1,"2,939",106.2
2012,Minnesota,299,34.7,"1,155",156.9,"1,753",262.9,"2,468",314.3,"1,350",96.1
2012,Mississippi,593,114.2,"1,557",399.8,"2,159",582.6,"2,612",647.9,"1,479",192.9
2012,Missouri,602,60.7,"1,713",216.4,"2,583",352.9,"3,859",451.6,"2,033",123.5
2012,Montana,11,6.8,59,46.9,115,101.6,203,145.6,103,33.9
2012,Nebraska,75,24.3,319,126.9,527,238.3,630,253.4,288,59.5
2012,Nevada,291,67.2,"1,101",281.3,"1,746",461.2,"2,486",659.5,"1,531",221.4
2012,New Hampshire,29,13.6,112,75,246,147.5,466,212,272,70.8
2012,New Jersey,"1,234",89.7,"3,428",305.5,"6,586",552.8,"12,381",908.3,"9,648",409.5
2012,New Mexico,86,24.4,409,147.9,682,276.8,"1,045",375.2,722,128.5
2012,New York,"4,818",149.6,"13,463",487.6,"23,646",933.3,"42,445",1494,"34,754",670.4
2012,North Carolina,"1,382",86.1,"4,040",319.1,"6,449",491,"9,019",657.7,"5,414",212.7
2012,North Dakota,13,10.2,39,39.3,66,85.6,83,89.6,38,20.1
2012,Ohio,"1,079",57,"2,810",196.3,"4,330",303.5,"6,396",382.7,"3,525",109
2012,Oklahoma,265,41.1,820,157,"1,342",289,"1,802",356.1,959,96.4
2012,Oregon,145,23.8,747,139.8,"1,457",287,"2,163",415.4,"1,507",135.8
2012,Pennsylvania,"1,559",75.1,"4,110",260.1,"6,973",450.4,"11,375",605.7,"7,785",207.5
2012,Rhode Island,56,30.1,244,184.1,505,390.6,857,542.6,501,169.1
2012,South Carolina,828,105.6,"2,251",373.2,"3,613",609.8,"5,310",812.2,"3,371",258.1
2012,South Dakota,7,5.1,68,61.7,103,109.5,155,138,83,36.5
2012,Tennessee,823,78.7,"2,731",324.9,"4,203",498.6,"5,141",563.9,"2,810",161.6
2012,Texas,"3,871",84.5,"12,958",343.1,"19,259",543.3,"23,040",667.4,"12,416",220.1
2012,Utah,61,11,336,76,588,163.9,810,265.4,482,90.7
2012,Vermont,15,14.3,36,50.7,103,139.4,218,224.1,174,90.5
2012,Virginia,940,70.4,"2,698",236.9,"4,410",403.2,"6,889",571.8,"4,553",220
2012,Washington,287,26,"1,459",149.7,"2,819",309,"4,032",418.1,"2,454",137.1
2012,West Virginia,70,24.8,217,98.6,440,189,616,233.5,366,62.8
2012,Wisconsin,256,27.4,743,101.8,"1,214",173.9,"1,816",213.8,"1,104",70.5
2012,Wyoming,6,6.4,31,38.3,63,92.2,86,109.7,66,42.7
2013,Alabama,723,89.4,"2,156",347.9,"2,796",460.4,"3,787",569.6,"2,453",182.8
2013,Alaska,22,16.9,80,69.6,150,162.9,237,231.7,154,96.3
2013,Arizona,465,41.4,"1,920",216,"3,173",381.6,"4,869",582,"3,213",179.5
2013,Arkansas,264,53.8,774,201.5,"1,140",312.7,"1,567",400.7,969,118.3
2013,California,"3,154",47.8,"15,067",269.5,"24,709",479.8,"41,198",790.7,"30,557",333.2
2013,Colorado,207,24.4,"1,281",163.9,"2,100",292.5,"3,883",539.8,"3,048",234.4
2013,Connecticut,326,55.5,960,220.1,"1,848",413.5,"3,836",689.7,"3,278",319
2013,Delaware,127,85.2,352,294.6,559,505.7,"1,164",890.1,878,327.8
2013,District of Columbia,567,542.7,"2,153",1431.8,"3,111",3493.1,"5,029",6566.6,"3,902",2718.6
2013,Florida,"3,752",126.8,"12,466",506.4,"20,904",866.5,"34,234",1250.9,"25,859",421.3
2013,Georgia,"2,561",150,"9,005",660.9,"11,543",841,"15,138",1083.5,"9,044",385.1
2013,Hawaii,41,19.1,246,122.2,425,241.2,894,485,824,204
2013,Idaho,34,12.4,138,65.1,223,113.3,385,192.3,230,55.2
2013,Illinois,"1,693",79.5,"5,343",297.6,"7,428",441.2,"10,621",591.9,"7,443",222.7
2013,Indiana,556,49.4,"1,514",180.2,"2,390",289.9,"3,354",371.4,"1,919",110.1
2013,Iowa,84,16,330,84.6,563,155.8,744,180.1,511,58.1
2013,Kansas,117,23.5,428,111,702,203.7,936,247.9,575,75.5
2013,Kentucky,298,41.5,"1,036",182.8,"1,537",272.3,"2,088",337.4,"1,281",106.3
2013,Louisiana,"1,110",142.2,"3,456",522,"4,345",773.8,"5,193",833.2,"3,473",291.3
2013,Maine,15,7.7,120,80.2,239,151,529,258.2,425,97
2013,Maryland,"1,357",143.4,"4,238",520.9,"6,166",801.8,"10,093",1135.9,"7,604",492.2
2013,Massachusetts,534,48,"1,782",193.8,"3,688",437,"7,477",750.3,"5,465",294.1
2013,Michigan,971,57.3,"2,386",201.4,"3,107",258,"4,741",333.7,"3,237",114.2
2013,Minnesota,296,34.3,"1,165",156.9,"1,720",257.7,"2,515",326.4,"1,528",105.6
2013,Mississippi,575,110,"1,563",401.2,"2,129",576.2,"2,601",656.3,"1,671",213.5
2013,Missouri,585,58.9,"1,726",216.7,"2,555",349.8,"3,869",463,"2,299",136.5
2013,Montana,12,7.4,62,48.5,126,109.9,209,155,119,38.1
2013,Nebraska,79,25.4,303,119.9,516,231.2,635,260.9,341,69
2013,Nevada,316,72.8,"1,179",297.3,"1,693",447.1,"2,512",664.6,"1,729",241.3
2013,New Hampshire,34,15.9,105,69.3,231,142.2,479,222.8,296,74.6
2013,New Jersey,"1,189",86.3,"3,617",321.7,"6,277",533.9,"12,332",915.8,"10,689",443.4
2013,New Mexico,88,24.9,394,141.1,636,258.7,995,366.4,802,139.5
2013,New York,"4,546",142.5,"13,814",493.2,"22,255",887.3,"41,684",1485.1,"37,682",710.9
2013,North Carolina,"1,321",81.5,"4,188",327.4,"6,388",487.6,"9,104",664.8,"6,094",232.3
2013,North Dakota,12,9.1,46,44,65,81.3,81,88.7,48,24.9
2013,Ohio,"1,115",58.9,"2,970",204.9,"4,156",293.5,"6,547",401.1,"3,997",120.9
2013,Oklahoma,267,41,849,160.3,"1,325",282.9,"1,861",374.4,"1,084",106.8
2013,Oregon,138,22.7,718,133.6,"1,416",276.6,"2,178",424.4,"1,610",141.5
2013,Pennsylvania,"1,469",71.4,"4,241",263.8,"6,562",429.5,"11,482",624.7,"8,534",223
2013,Rhode Island,63,34.3,247,182.1,469,368.7,834,537.4,585,193.1
2013,South Carolina,796,101,"2,305",376.8,"3,327",560.9,"5,261",809.7,"3,652",271.2
2013,South Dakota,7,5,74,66.2,107,112.9,168,153.1,99,42.4
2013,Tennessee,824,78.4,"2,780",327.6,"4,081",484.9,"5,215",578.4,"3,099",174
2013,Texas,"3,925",84.4,"13,684",355.5,"19,351",539.8,"23,851",691.2,"14,039",240.7
2013,Utah,67,11.9,373,84.7,610,163.9,872,286.5,546,99.1
2013,Vermont,16,15.2,50,69.8,93,127.6,229,243.1,205,104
2013,Virginia,948,70.7,"2,786",241.6,"4,224",386.7,"6,828",572.1,"4,989",234.2
2013,Washington,283,25.5,"1,467",147.9,"2,752",300.6,"4,201",440.7,"2,765",150
2013,West Virginia,66,23.4,192,87.8,421,182.1,607,236.2,400,67.6
