Year,Geography,Female,,Male,
2009,New Jersey,274,7.3,498,14.1
2009,New Mexico,7,0.8,49,6.1
2009,New York,758,8.9,"1,592",20.2
2009,North Carolina,197,5,426,11.4
2009,North Dakota,0,0,5,1.8
2009,Ohio,64,1.3,270,5.8
2009,Oklahoma,22,1.4,106,7.2
2009,Oregon,15,0.9,77,4.9
2009,Pennsylvania,198,3.6,527,10.2
2009,Rhode Island,9,1.9,33,7.7
2009,South Carolina,108,5.5,262,14.4
2009,South Dakota,2,0.6,11,3.3
2009,Tennessee,105,3.9,322,12.8
2009,Texas,379,3.8,"1,130",11.6
2009,Utah,7,0.7,25,2.4
2009,Vermont,1,0.4,8,3.1
2009,Virginia,99,3,281,8.8
2009,Washington,32,1.2,161,5.9
2009,West Virginia,8,1,28,3.7
2009,Wisconsin,25,1,81,3.5
2009,Wyoming,0,0,4,1.8
2010,Alabama,86,4.2,188,9.8
2010,Alaska,5,1.8,11,3.6
2010,Arizona,22,0.8,177,6.9
2010,Arkansas,24,1.9,90,7.7
2010,California,220,1.4,"1,323",8.7
2010,Colorado,20,1,117,5.6
2010,Connecticut,65,4.2,144,9.9
2010,Delaware,25,6.4,52,14.4
2010,District of Columbia,103,36.5,155,62.4
2010,Florida,594,7.2,"1,424",18.3
2010,Georgia,269,6.6,628,16.4
2010,Hawaii,5,0.9,31,5.4
2010,Idaho,4,0.6,11,1.8
2010,Illinois,178,3.3,481,9.3
2010,Indiana,36,1.3,135,5.2
2010,Iowa,6,0.5,22,1.8
2010,Kansas,7,0.6,42,3.7
2010,Kentucky,24,1.3,95,5.4
2010,Louisiana,144,7.5,312,17.2
2010,Maine,2,0.3,20,3.6
2010,Maryland,209,8.3,404,17.5
2010,Massachusetts,84,2.9,197,7.4
2010,Michigan,89,2.1,223,5.6
2010,Minnesota,17,0.8,59,2.7
2010,Mississippi,59,4.7,148,12.7
2010,Missouri,36,1.4,173,7.2
2010,Montana,1,0.2,10,2.4
2010,Nebraska,6,0.8,25,3.4
2010,Nevada,27,2.4,99,8.8
2010,New Hampshire,8,1.4,9,1.6
2010,New Jersey,270,7.1,525,14.8
2010,New Mexico,3,0.3,60,7.2
2010,New York,628,7.4,"1,589",20.3
2010,North Carolina,191,4.7,382,10
2010,North Dakota,1,0.4,5,1.8
2010,Ohio,48,1,240,5.2
2010,Oklahoma,10,0.6,97,6.4
2010,Oregon,5,0.3,92,5.8
2010,Pennsylvania,191,3.4,507,9.8
2010,Rhode Island,11,2.3,26,6.1
2010,South Carolina,94,4.7,242,13
2010,South Dakota,3,0.9,9,2.7
2010,Tennessee,106,3.9,265,10.4
2010,Texas,311,3,"1,045",10.5
2010,Utah,5,0.5,20,1.9
2010,Vermont,0,0,15,5.7
2010,Virginia,84,2.4,232,7.1
2010,Washington,16,0.6,139,5
2010,West Virginia,7,0.9,20,2.6
2010,Wisconsin,23,1,69,3
2010,Wyoming,2,0.9,6,2.5
2011,Alabama,65,3.1,190,9.9
2011,Alaska,3,1.1,9,3
2011,Arizona,22,0.8,169,6.4
2011,Arkansas,36,2.9,75,6.3
2011,California,226,1.4,"1,379",9
2011,Colorado,18,0.9,108,5.1
2011,Connecticut,63,4,151,10.3
2011,Delaware,19,4.8,51,14
2011,District of Columbia,90,31.3,189,74.5
2011,Florida,626,7.5,"1,386",17.6
2011,Georgia,266,6.4,550,14.2
2011,Hawaii,5,0.9,36,6.3
2011,Idaho,2,0.3,12,1.9
2011,Illinois,124,2.3,441,8.5
2011,Indiana,35,1.3,164,6.3
2011,Iowa,9,0.7,28,2.2
2011,Kansas,9,0.8,37,3.2
2011,Kentucky,20,1.1,90,5.1
2011,Louisiana,133,6.9,340,18.6
2011,Maine,2,0.3,22,4
2011,Maryland,181,7.1,402,17.2
2011,Massachusetts,73,2.5,188,7
2011,Michigan,72,1.7,234,5.8
2011,Minnesota,14,0.6,74,3.4
2011,Mississippi,60,4.7,149,12.7
2011,Missouri,31,1.2,153,6.3
2011,Montana,1,0.2,7,1.7
2011,Nebraska,4,0.5,20,2.7
2011,Nevada,25,2.2,106,9.4
2011,New Hampshire,5,0.9,9,1.6
2011,New Jersey,264,6.9,484,13.6
2011,New Mexico,8,0.9,43,5.1
2011,New York,661,7.7,"1,495",19
2011,North Carolina,149,3.6,392,10.1
2011,North Dakota,1,0.4,3,1
2011,Ohio,62,1.2,253,5.4
2011,Oklahoma,13,0.8,108,7.1
2011,Oregon,9,0.5,90,5.6
2011,Pennsylvania,189,3.4,463,8.9
2011,Rhode Island,12,2.6,34,7.9
2011,South Carolina,110,5.5,218,11.6
2011,South Dakota,2,0.6,5,1.5
2011,Tennessee,87,3.2,236,9.2
2011,Texas,310,3,974,9.6
2011,Utah,1,0.1,21,2
2011,Vermont,3,1.1,3,1.1
2011,Virginia,65,1.9,247,7.5
2011,Washington,29,1,139,4.9
2011,West Virginia,4,0.5,33,4.3
2011,Wisconsin,22,0.9,75,3.2
2011,Wyoming,0,0,6,2.5
2012,Alabama,81,3.9,200,10.4
2012,Alaska,3,1.1,8,2.6
2012,Arizona,25,0.9,186,7
2012,Arkansas,12,1,78,6.6
2012,California,228,1.4,"1,327",8.6
2012,Colorado,10,0.5,102,4.8
2012,Connecticut,57,3.6,134,9.1
2012,Delaware,28,7,49,13.3
2012,District of Columbia,80,27.2,151,58.3
2012,Florida,596,7,"1,367",17.1
2012,Georgia,250,6,577,14.7
2012,Hawaii,9,1.5,42,7.2
2012,Idaho,5,0.8,19,3
2012,Illinois,134,2.4,417,8
2012,Indiana,27,1,142,5.4
2012,Iowa,7,0.5,36,2.9
2012,Kansas,9,0.8,35,3
2012,Kentucky,21,1.1,96,5.4
2012,Louisiana,144,7.4,326,17.7
2012,Maine,2,0.3,17,3.1
2012,Maryland,210,8.2,422,17.9
2012,Massachusetts,83,2.8,184,6.8
2012,Michigan,83,1.9,256,6.3
2012,Minnesota,15,0.7,71,3.2
2012,Mississippi,68,5.3,130,11
2012,Missouri,42,1.6,148,6.1
2012,Montana,1,0.2,4,0.9
2012,Nebraska,8,1,25,3.3
2012,Nevada,29,2.6,130,11.4
2012,New Hampshire,5,0.9,17,3.1
2012,New Jersey,232,6.1,412,11.5
2012,New Mexico,10,1.1,47,5.6
2012,New York,624,7.3,"1,399",17.6
2012,North Carolina,137,3.3,385,9.9
2012,North Dakota,0,0,3,1
2012,Ohio,76,1.5,275,5.9
2012,Oklahoma,22,1.4,93,6
2012,Oregon,20,1.2,89,5.5
2012,Pennsylvania,164,2.9,419,8
2012,Rhode Island,8,1.7,35,8.1
2012,South Carolina,89,4.4,226,11.9
2012,South Dakota,1,0.3,9,2.6
2012,Tennessee,95,3.4,247,9.5
2012,Texas,301,2.8,"1,010",9.8
2012,Utah,4,0.4,22,2
2012,Vermont,1,0.4,5,1.9
2012,Virginia,97,2.8,232,7
2012,Washington,26,0.9,125,4.4
2012,West Virginia,12,1.5,26,3.3
2012,Wisconsin,31,1.3,55,2.3
2012,Wyoming,0,0,2,0.8
2013,Alabama,64,3,180,9.3
2013,Alaska,4,1.4,12,3.8
2013,Arizona,23,0.8,191,7.1
2013,Arkansas,30,2.4,90,7.5
2013,California,216,1.3,"1,391",8.9
2013,Colorado,7,0.3,107,4.9
2013,Connecticut,46,2.9,129,8.7
2013,Delaware,20,4.9,52,13.9
2013,District of Columbia,68,22.7,132,49.8
2013,Florida,603,7,"1,397",17.2
2013,Georgia,245,5.8,591,14.9
2013,Hawaii,3,0.5,36,6.1
2013,Idaho,4,0.6,10,1.5
2013,Illinois,124,2.2,388,7.4
2013,Indiana,34,1.2,147,5.5
2013,Iowa,11,0.8,32,2.5
2013,Kansas,13,1.1,43,3.7
2013,Kentucky,29,1.5,91,5.1
2013,Louisiana,122,6.2,294,15.9
2013,Maine,4,0.7,26,4.7
2013,Maryland,205,7.9,409,17.2
2013,Massachusetts,69,2.3,200,7.3
2013,Michigan,72,1.7,207,5.1
2013,Minnesota,13,0.6,64,2.9
2013,Mississippi,66,5.2,163,13.8
2013,Missouri,25,1,161,6.6
2013,Montana,2,0.5,11,2.6
2013,Nebraska,9,1.2,23,3.1
2013,Nevada,22,1.9,121,10.5
2013,New Hampshire,3,0.5,12,2.1
2013,New Jersey,272,7.1,455,12.7
2013,New Mexico,9,1,37,4.4
2013,New York,607,7,"1,362",17.1
2013,North Carolina,146,3.4,382,9.7
2013,North Dakota,2,0.7,3,1
2013,Ohio,63,1.3,250,5.3
2013,Oklahoma,23,1.4,103,6.6
2013,Oregon,12,0.7,99,6.1
2013,Pennsylvania,174,3.1,456,8.7
2013,Rhode Island,11,2.3,22,5.1
2013,South Carolina,77,3.7,243,12.6
2013,South Dakota,4,1.2,5,1.4
2013,Tennessee,86,3.1,245,9.3
2013,Texas,277,2.6,946,9
2013,Utah,5,0.4,39,3.5
2013,Vermont,1,0.4,7,2.6
2013,Virginia,83,2.3,241,7.1
2013,Washington,30,1,135,4.7
2013,West Virginia,3,0.4,38,4.9
2013,Wisconsin,24,1,68,2.9
2013,Wyoming,1,0.4,5,2
2014,Alabama,92,4.4,187,9.6
2014,Alaska,3,1.1,9,2.9
2014,Arizona,39,1.4,181,6.6
2014,Arkansas,29,2.3,91,7.6
2014,California,220,1.4,"1,415",8.9
2014,Colorado,14,0.6,132,5.9
2014,Connecticut,42,2.7,142,9.6
2014,Delaware,26,6.4,62,16.4
2014,District of Columbia,71,23.4,139,51.6
2014,Florida,596,6.8,"1,367",16.6
2014,Georgia,280,6.5,633,15.8
2014,Hawaii,5,0.8,39,6.6
2014,Idaho,3,0.5,18,2.7
2014,Illinois,129,2.3,394,7.5
2014,Indiana,30,1.1,150,5.6
2014,Iowa,7,0.5,47,3.7
2014,Kansas,8,0.7,38,3.2
2014,Kentucky,31,1.6,88,4.9
2014,Louisiana,137,6.9,285,15.3
2014,Maine,3,0.5,16,2.9
2014,Maryland,196,7.5,395,16.5
2014,Massachusetts,64,2.1,199,7.2
2014,Michigan,75,1.7,213,5.2
2014,Minnesota,23,1,74,3.3
2014,Mississippi,79,6.2,158,13.3
2014,Missouri,26,1,145,5.9
2014,Montana,3,0.7,7,1.6
2014,Nebraska,4,0.5,26,3.4
2014,Nevada,14,1.2,116,9.9
2014,New Hampshire,5,0.9,8,1.4
2014,New Jersey,229,5.9,432,12
2014,New Mexico,9,1,58,6.8
2014,New York,593,6.9,"1,318",16.5
2014,North Carolina,164,3.8,380,9.5
2014,North Dakota,2,0.7,5,1.6
2014,Ohio,61,1.2,288,6.1
2014,Oklahoma,29,1.8,111,7.1
2014,Oregon,15,0.9,87,5.3
2014,Pennsylvania,175,3.1,469,8.9
2014,Rhode Island,11,2.3,26,6
2014,South Carolina,97,4.6,234,12
2014,South Dakota,1,0.3,9,2.6
2014,Tennessee,90,3.2,241,9.1
2014,Texas,333,3,"1,013",9.4
2014,Utah,2,0.2,20,1.8
2014,Vermont,0,0,3,1.1
2014,Virginia,74,2.1,234,6.9
2014,Washington,23,0.8,151,5.2
2014,West Virginia,4,0.5,34,4.4
2014,Wisconsin,17,0.7,73,3.1
2014,Wyoming,0,0,5,2
2015,Alabama,74,3.5,202,10.3
2015,Alaska,0,0,12,3.8
2015,Arizona,36,1.3,177,6.3
2015,Arkansas,28,2.2,82,6.8
2015,California,217,1.3,"1,481",9.3
2015,Colorado,13,0.6,111,4.9
2015,Connecticut,59,3.7,124,8.4
2015,Delaware,25,6,45,11.8
2015,District of Columbia,76,24.6,179,65.5
2015,Florida,593,6.7,"1,487",17.7
2015,Georgia,211,4.9,611,15.1
2015,Hawaii,2,0.3,30,5
2015,Idaho,3,0.4,11,1.6
2015,Illinois,124,2.2,421,8
2015,Indiana,44,1.6,133,5
2015,Iowa,3,0.2,33,2.6
2015,Kansas,12,1,39,3.3
2015,Kentucky,20,1.1,103,5.7
2015,Louisiana,121,6.1,299,16
2015,Maine,1,0.2,18,3.2
2015,Maryland,183,7,363,15.1
2015,Massachusetts,73,2.4,225,8
2015,Michigan,59,1.4,237,5.8
2015,Minnesota,15,0.7,83,3.7
2015,Mississippi,58,4.5,157,13.2
2015,Missouri,24,0.9,148,6
2015,Montana,3,0.7,10,2.3
2015,Nebraska,6,0.8,22,2.9
2015,Nevada,27,2.3,99,8.3
2015,New Hampshire,4,0.7,25,4.4
2015,New Jersey,218,5.7,420,11.6
2015,New Mexico,6,0.7,69,8.1
2015,New York,535,6.2,"1,262",15.8
2015,North Carolina,161,3.7,398,9.8
2015,North Dakota,2,0.7,6,1.9
2015,Ohio,54,1.1,252,5.3
2015,Oklahoma,23,1.4,120,7.6
2015,Oregon,12,0.7,99,5.9
2015,Pennsylvania,156,2.8,431,8.2
2015,Rhode Island,11,2.3,15,3.4
2015,South Carolina,93,4.4,198,10
2015,South Dakota,3,0.9,4,1.1
2015,Tennessee,105,3.7,236,8.8
2015,Texas,282,2.5,"1,028",9.4
2015,Utah,2,0.2,29,2.5
2015,Vermont,1,0.4,4,1.5
2015,Virginia,81,2.3,196,5.7
2015,Washington,18,0.6,130,4.4
2015,West Virginia,6,0.8,24,3.1
2015,Wisconsin,17,0.7,67,2.8
2015,Wyoming,1,0.4,3,1.2
2016,Alabama,67,3.2,199,10.2
2016,Alaska,4,1.4,9,2.8
2016,Arizona,30,1,212,7.4
2016,Arkansas,22,1.7,72,6
2016,California,232,1.4,"1,533",9.5
2016,Colorado,16,0.7,111,4.8
2016,Connecticut,43,2.7,152,10.3
2016,Delaware,15,3.6,40,10.4
2016,District of Columbia,66,21.1,187,67.4
2016,Florida,680,7.5,"1,488",17.4
2016,Georgia,247,5.6,575,14
2016,Hawaii,3,0.5,36,6
2016,Idaho,1,0.1,11,1.6
2016,Illinois,120,2.2,404,7.7
2016,Indiana,48,1.7,149,5.5
2016,Iowa,5,0.4,28,2.2
2016,Kansas,6,0.5,43,3.6
2016,Kentucky,24,1.3,98,5.4
2016,Louisiana,118,5.9,301,16
2016,Maine,5,0.8,18,3.2
2016,Maryland,180,6.9,461,19.1
2016,Massachusetts,76,2.5,216,7.7
2016,Michigan,58,1.3,227,5.5
2016,Minnesota,20,0.9,55,2.4
2016,Mississippi,63,4.9,144,12.1
2016,Missouri,28,1.1,166,6.7
2016,Montana,0,0,13,3
2016,Nebraska,9,1.1,19,2.5
2016,Nevada,28,2.3,123,10.1
2016,New Hampshire,4,0.7,15,2.6
2016,New Jersey,234,6.1,420,11.6
2016,New Mexico,3,0.3,45,5.3
2016,New York,537,6.2,"1,322",16.5
2016,North Carolina,132,3,387,9.4
2016,North Dakota,1,0.3,3,0.9
2016,Ohio,67,1.3,280,5.9
2016,Oklahoma,21,1.3,101,6.4
2016,Oregon,8,0.5,95,5.6
2016,Pennsylvania,167,3,435,8.2
2016,Rhode Island,10,2.1,28,6.4
2016,South Carolina,95,4.4,241,12
2016,South Dakota,1,0.3,10,2.8
2016,Tennessee,84,2.9,243,9
2016,Texas,298,2.6,"1,058",9.5
2016,Utah,5,0.4,42,3.5
2016,Vermont,1,0.4,10,3.8
2016,Virginia,83,2.3,234,6.8
2016,Washington,16,0.5,161,5.3
2016,West Virginia,7,0.9,33,4.3
2016,Wisconsin,18,0.7,70,2.9
2016,Wyoming,0,0,5,2
2017,Alabama,60,2.8,184,9.4
2017,Alaska,1,0.3,7,2.2
2017,Arizona,22,0.7,175,6
2017,Arkansas,15,1.2,89,7.3
2017,California,190,1.1,"1,518",9.3
2017,Colorado,23,1,110,4.7
2017,Connecticut,48,3,149,10.1
2017,Delaware,13,3.1,52,13.4
2017,District of Columbia,81,25.6,149,53.2
2017,Florida,617,6.7,"1,460",16.7
2017,Georgia,196,4.4,595,14.3
2017,Hawaii,9,1.5,27,4.5
2017,Idaho,4,0.6,15,2.1
2017,Illinois,112,2,382,7.3
2017,Indiana,31,1.1,159,5.9
2017,Iowa,8,0.6,35,2.7
2017,Kansas,10,0.8,37,3.1
2017,Kentucky,30,1.6,100,5.5
2017,Louisiana,129,6.5,270,14.4
2017,Maine,10,1.7,25,4.4
2017,Maryland,196,7.4,399,16.4
2017,Massachusetts,80,2.6,217,7.6
2017,Michigan,62,1.4,210,5.1
2017,Minnesota,19,0.8,73,3.2
2017,Mississippi,68,5.3,147,12.4
2017,Missouri,41,1.6,168,6.7
2017,Montana,2,0.5,11,2.5
2017,Nebraska,7,0.9,27,3.5
2017,Nevada,31,2.5,140,11.3
2017,New Hampshire,3,0.5,18,3.1
2017,New Jersey,208,5.4,430,11.8
2017,New Mexico,1,0.1,25,2.9
2017,New York,515,6,"1,246",15.6
2017,North Carolina,149,3.3,391,9.4
2017,North Dakota,1,0.3,2,0.6
2017,Ohio,74,1.5,298,6.2
2017,Oklahoma,18,1.1,88,5.5
2017,Oregon,13,0.7,103,5.9
2017,Pennsylvania,179,3.2,451,8.5
2017,Rhode Island,6,1.3,25,5.7
2017,South Carolina,79,3.6,249,12.2
2017,South Dakota,5,1.4,3,0.8
2017,Tennessee,81,2.8,233,8.6
2017,Texas,321,2.8,"1,078",9.5
2017,Utah,4,0.3,18,1.5
2017,Vermont,2,0.7,10,3.8
2017,Virginia,82,2.3,203,5.8
2017,Washington,24,0.8,150,4.8
2017,West Virginia,4,0.5,27,3.5
2017,Wisconsin,17,0.7,84,3.5
2017,Wyoming,1,0.4,5,2
