"Date Printed: Sunday, February 9, 2020 10:06:45 PM"
Title: HIV diagnoses | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | 13-24 | 25-34 | 35-44 | 45-54 | 55+ | All transmission categories
Footnote(s): Prevalence: Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address.
Diagnosis: HIV data for the year 2018 are preliminary and based on 6 months reporting delay.
Death: Death data based on residence at death.
NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","2014","Alabama","01","35-44","All races/ethnicities","Both sexes","All transmission categories","116",19.2,"604,226"
"HIV diagnoses","2014","Alabama","01","25-34","All races/ethnicities","Both sexes","All transmission categories","219",35.1,"624,497"
"HIV diagnoses","2014","Alabama","01","13-24","All races/ethnicities","Both sexes","All transmission categories","205",25.5,"803,519"
"HIV diagnoses","2013","Alabama","01","55+","All races/ethnicities","Both sexes","All transmission categories","57",4.2,"1,341,713"
"HIV diagnoses","2013","Alabama","01","45-54","All races/ethnicities","Both sexes","All transmission categories","101",15.2,"664,896"
"HIV diagnoses","2013","Alabama","01","35-44","All races/ethnicities","Both sexes","All transmission categories","112",18.4,"607,264"
"HIV diagnoses","2013","Alabama","01","25-34","All races/ethnicities","Both sexes","All transmission categories","183",29.5,"619,724"
"HIV diagnoses","2013","Alabama","01","13-24","All races/ethnicities","Both sexes","All transmission categories","182",22.5,"808,274"
"HIV diagnoses","2012","Alabama","01","55+","All races/ethnicities","Both sexes","All transmission categories","54",4.1,"1,313,242"
"HIV diagnoses","2012","Alabama","01","45-54","All races/ethnicities","Both sexes","All transmission categories","100",14.8,"674,920"
"HIV diagnoses","2012","Alabama","01","35-44","All races/ethnicities","Both sexes","All transmission categories","124",20.4,"608,721"
"HIV diagnoses","2012","Alabama","01","25-34","All races/ethnicities","Both sexes","All transmission categories","189",30.7,"616,523"
"HIV diagnoses","2012","Alabama","01","13-24","All races/ethnicities","Both sexes","All transmission categories","199",24.7,"805,929"
"HIV diagnoses","2011","Alabama","01","55+","All races/ethnicities","Both sexes","All transmission categories","49",3.8,"1,282,130"
"HIV diagnoses","2011","Alabama","01","45-54","All races/ethnicities","Both sexes","All transmission categories","110",16,"686,053"
"HIV diagnoses","2011","Alabama","01","35-44","All races/ethnicities","Both sexes","All transmission categories","123",20.1,"610,760"
"HIV diagnoses","2011","Alabama","01","25-34","All races/ethnicities","Both sexes","All transmission categories","203",33,"614,244"
"HIV diagnoses","2011","Alabama","01","13-24","All races/ethnicities","Both sexes","All transmission categories","198",24.6,"804,306"
"HIV diagnoses","2010","Alabama","01","55+","All races/ethnicities","Both sexes","All transmission categories","65",5.2,"1,253,194"
"HIV diagnoses","2010","Alabama","01","45-54","All races/ethnicities","Both sexes","All transmission categories","103",14.9,"693,347"
"HIV diagnoses","2010","Alabama","01","35-44","All races/ethnicities","Both sexes","All transmission categories","147",23.8,"618,184"
"HIV diagnoses","2010","Alabama","01","25-34","All races/ethnicities","Both sexes","All transmission categories","178",29.2,"610,546"
"HIV diagnoses","2010","Alabama","01","13-24","All races/ethnicities","Both sexes","All transmission categories","188",23.3,"805,354"
"HIV diagnoses","2009","Alabama","01","55+","All races/ethnicities","Both sexes","All transmission categories","58",4.8,"1,204,236"
"HIV diagnoses","2009","Alabama","01","45-54","All races/ethnicities","Both sexes","All transmission categories","117",17.3,"674,850"
"HIV diagnoses","2009","Alabama","01","35-44","All races/ethnicities","Both sexes","All transmission categories","136",22.1,"616,138"
"HIV diagnoses","2009","Alabama","01","25-34","All races/ethnicities","Both sexes","All transmission categories","189",30.5,"619,371"
"HIV diagnoses","2009","Alabama","01","13-24","All races/ethnicities","Both sexes","All transmission categories","195",24.9,"784,093"
"HIV diagnoses","2008","Alabama","01","55+","All races/ethnicities","Both sexes","All transmission categories","48",4.1,"1,178,384"
"HIV diagnoses","2008","Alabama","01","45-54","All races/ethnicities","Both sexes","All transmission categories","143",21.3,"672,318"
"HIV diagnoses","2008","Alabama","01","35-44","All races/ethnicities","Both sexes","All transmission categories","165",26.5,"623,769"
"HIV diagnoses","2008","Alabama","01","25-34","All races/ethnicities","Both sexes","All transmission categories","185",30.3,"611,390"
"HIV diagnoses","2008","Alabama","01","13-24","All races/ethnicities","Both sexes","All transmission categories","168",21.4,"785,135"
"HIV diagnoses","2018","Alaska","02","55+","All races/ethnicities","Both sexes","All transmission categories","2",1.1,"181,613"
"HIV diagnoses","2018","Alaska","02","45-54","All races/ethnicities","Both sexes","All transmission categories","4",4.5,"88,117"
"HIV diagnoses","2018","Alaska","02","35-44","All races/ethnicities","Both sexes","All transmission categories","3",3.2,"94,650"
"HIV diagnoses","2018","Alaska","02","25-34","All races/ethnicities","Both sexes","All transmission categories","6",5,"118,865"
"HIV diagnoses","2018","Alaska","02","13-24","All races/ethnicities","Both sexes","All transmission categories","5",4.2,"118,850"
"HIV diagnoses","2017","Alaska","02","55+","All races/ethnicities","Both sexes","All transmission categories","3",1.7,"177,775"
"HIV diagnoses","2017","Alaska","02","45-54","All races/ethnicities","Both sexes","All transmission categories","3",3.3,"91,159"
"HIV diagnoses","2017","Alaska","02","35-44","All races/ethnicities","Both sexes","All transmission categories","4",4.3,"92,988"
"HIV diagnoses","2017","Alaska","02","25-34","All races/ethnicities","Both sexes","All transmission categories","16",13.3,"120,295"
"HIV diagnoses","2017","Alaska","02","13-24","All races/ethnicities","Both sexes","All transmission categories","8",6.6,"120,944"
"HIV diagnoses","2016","Alaska","02","55+","All races/ethnicities","Both sexes","All transmission categories","6",3.5,"173,572"
"HIV diagnoses","2016","Alaska","02","45-54","All races/ethnicities","Both sexes","All transmission categories","2",2.1,"93,876"
"HIV diagnoses","2016","Alaska","02","35-44","All races/ethnicities","Both sexes","All transmission categories","8",8.7,"92,139"
"HIV diagnoses","2016","Alaska","02","25-34","All races/ethnicities","Both sexes","All transmission categories","17",14.1,"120,594"
"HIV diagnoses","2016","Alaska","02","13-24","All races/ethnicities","Both sexes","All transmission categories","4",3.2,"123,976"
"HIV diagnoses","2015","Alaska","02","55+","All races/ethnicities","Both sexes","All transmission categories","5",3,"168,992"
"HIV diagnoses","2015","Alaska","02","45-54","All races/ethnicities","Both sexes","All transmission categories","5",5.2,"96,206"
"HIV diagnoses","2015","Alaska","02","35-44","All races/ethnicities","Both sexes","All transmission categories","4",4.4,"91,332"
"HIV diagnoses","2015","Alaska","02","25-34","All races/ethnicities","Both sexes","All transmission categories","6",5.1,"118,073"
"HIV diagnoses","2015","Alaska","02","13-24","All races/ethnicities","Both sexes","All transmission categories","5",4,"126,338"
"HIV diagnoses","2014","Alaska","02","55+","All races/ethnicities","Both sexes","All transmission categories","3",1.8,"164,054"
"HIV diagnoses","2014","Alaska","02","45-54","All races/ethnicities","Both sexes","All transmission categories","6",6.1,"98,956"
"HIV diagnoses","2014","Alaska","02","35-44","All races/ethnicities","Both sexes","All transmission categories","5",5.5,"91,251"
"HIV diagnoses","2014","Alaska","02","25-34","All races/ethnicities","Both sexes","All transmission categories","17",14.6,"116,712"
"HIV diagnoses","2014","Alaska","02","13-24","All races/ethnicities","Both sexes","All transmission categories","7",5.4,"128,501"
"HIV diagnoses","2013","Alaska","02","55+","All races/ethnicities","Both sexes","All transmission categories","5",3.1,"159,892"
"HIV diagnoses","2013","Alaska","02","45-54","All races/ethnicities","Both sexes","All transmission categories","2",2,"102,268"
"HIV diagnoses","2013","Alaska","02","35-44","All races/ethnicities","Both sexes","All transmission categories","2",2.2,"92,089"
"HIV diagnoses","2013","Alaska","02","25-34","All races/ethnicities","Both sexes","All transmission categories","10",8.7,"114,865"
"HIV diagnoses","2013","Alaska","02","13-24","All races/ethnicities","Both sexes","All transmission categories","4",3.1,"130,271"
"HIV diagnoses","2012","Alaska","02","55+","All races/ethnicities","Both sexes","All transmission categories","2",1.3,"154,917"
"HIV diagnoses","2012","Alaska","02","45-54","All races/ethnicities","Both sexes","All transmission categories","9",8.5,"105,847"
"HIV diagnoses","2012","Alaska","02","35-44","All races/ethnicities","Both sexes","All transmission categories","7",7.6,"92,322"
"HIV diagnoses","2012","Alaska","02","25-34","All races/ethnicities","Both sexes","All transmission categories","5",4.5,"111,207"
"HIV diagnoses","2012","Alaska","02","13-24","All races/ethnicities","Both sexes","All transmission categories","5",3.9,"128,478"
"HIV diagnoses","2011","Alaska","02","55+","All races/ethnicities","Both sexes","All transmission categories","2",1.3,"148,561"
"HIV diagnoses","2011","Alaska","02","45-54","All races/ethnicities","Both sexes","All transmission categories","3",2.8,"108,674"
"HIV diagnoses","2011","Alaska","02","35-44","All races/ethnicities","Both sexes","All transmission categories","5",5.4,"92,059"
"HIV diagnoses","2011","Alaska","02","25-34","All races/ethnicities","Both sexes","All transmission categories","6",5.6,"108,068"
"HIV diagnoses","2011","Alaska","02","13-24","All races/ethnicities","Both sexes","All transmission categories","8",6.3,"127,205"
"HIV diagnoses","2010","Alaska","02","55+","All races/ethnicities","Both sexes","All transmission categories","1",0.7,"142,341"
"HIV diagnoses","2010","Alaska","02","45-54","All races/ethnicities","Both sexes","All transmission categories","10",9,"110,725"
"HIV diagnoses","2010","Alaska","02","35-44","All races/ethnicities","Both sexes","All transmission categories","10",10.8,"93,012"
"HIV diagnoses","2010","Alaska","02","25-34","All races/ethnicities","Both sexes","All transmission categories","9",8.6,"104,473"
"HIV diagnoses","2010","Alaska","02","13-24","All races/ethnicities","Both sexes","All transmission categories","5",3.9,"127,198"
"HIV diagnoses","2009","Alaska","02","55+","All races/ethnicities","Both sexes","All transmission categories","2",1.5,"131,588"
"HIV diagnoses","2009","Alaska","02","45-54","All races/ethnicities","Both sexes","All transmission categories","3",2.8,"106,395"
"HIV diagnoses","2009","Alaska","02","35-44","All races/ethnicities","Both sexes","All transmission categories","6",6.6,"91,103"
"HIV diagnoses","2009","Alaska","02","25-34","All races/ethnicities","Both sexes","All transmission categories","7",6.6,"106,145"
"HIV diagnoses","2009","Alaska","02","13-24","All races/ethnicities","Both sexes","All transmission categories","3",2.3,"130,569"
"HIV diagnoses","2008","Alaska","02","55+","All races/ethnicities","Both sexes","All transmission categories","2",1.6,"124,401"
"HIV diagnoses","2008","Alaska","02","45-54","All races/ethnicities","Both sexes","All transmission categories","11",10.4,"105,890"
"HIV diagnoses","2008","Alaska","02","35-44","All races/ethnicities","Both sexes","All transmission categories","10",10.8,"92,575"
"HIV diagnoses","2008","Alaska","02","25-34","All races/ethnicities","Both sexes","All transmission categories","11",10.7,"102,881"
"HIV diagnoses","2008","Alaska","02","13-24","All races/ethnicities","Both sexes","All transmission categories","5",3.7,"133,599"
"HIV diagnoses","2018","Arizona","04","55+","All races/ethnicities","Both sexes","All transmission categories","86",4,"2,124,527"
"HIV diagnoses","2018","Arizona","04","45-54","All races/ethnicities","Both sexes","All transmission categories","102",12,"850,790"
"HIV diagnoses","2018","Arizona","04","35-44","All races/ethnicities","Both sexes","All transmission categories","167",19,"880,431"
"HIV diagnoses","2018","Arizona","04","25-34","All races/ethnicities","Both sexes","All transmission categories","298",30.2,"985,845"
"HIV diagnoses","2018","Arizona","04","13-24","All races/ethnicities","Both sexes","All transmission categories","153",13.3,"1,154,703"
"HIV diagnoses","2017","Arizona","04","55+","All races/ethnicities","Both sexes","All transmission categories","73",3.6,"2,055,357"
"HIV diagnoses","2017","Arizona","04","45-54","All races/ethnicities","Both sexes","All transmission categories","117",13.8,"849,904"
"HIV diagnoses","2017","Arizona","04","35-44","All races/ethnicities","Both sexes","All transmission categories","151",17.5,"863,622"
"HIV diagnoses","2017","Arizona","04","25-34","All races/ethnicities","Both sexes","All transmission categories","248",25.7,"965,090"
"HIV diagnoses","2017","Arizona","04","13-24","All races/ethnicities","Both sexes","All transmission categories","136",11.9,"1,140,623"
"HIV diagnoses","2016","Arizona","04","55+","All races/ethnicities","Both sexes","All transmission categories","66",3.3,"1,987,868"
"HIV diagnoses","2016","Arizona","04","45-54","All races/ethnicities","Both sexes","All transmission categories","108",12.7,"847,345"
"HIV diagnoses","2016","Arizona","04","35-44","All races/ethnicities","Both sexes","All transmission categories","154",18.1,"850,626"
"HIV diagnoses","2016","Arizona","04","25-34","All races/ethnicities","Both sexes","All transmission categories","232",24.5,"945,846"
"HIV diagnoses","2016","Arizona","04","13-24","All races/ethnicities","Both sexes","All transmission categories","154",13.5,"1,139,176"
"HIV diagnoses","2015","Arizona","04","55+","All races/ethnicities","Both sexes","All transmission categories","59",3.1,"1,918,971"
"HIV diagnoses","2015","Arizona","04","45-54","All races/ethnicities","Both sexes","All transmission categories","111",13.2,"841,759"
"HIV diagnoses","2015","Arizona","04","35-44","All races/ethnicities","Both sexes","All transmission categories","142",16.8,"843,221"
"HIV diagnoses","2015","Arizona","04","25-34","All races/ethnicities","Both sexes","All transmission categories","233",25.2,"923,533"
"HIV diagnoses","2015","Arizona","04","13-24","All races/ethnicities","Both sexes","All transmission categories","145",12.8,"1,136,460"
"HIV diagnoses","2014","Arizona","04","55+","All races/ethnicities","Both sexes","All transmission categories","57",3.1,"1,851,644"
"HIV diagnoses","2014","Arizona","04","45-54","All races/ethnicities","Both sexes","All transmission categories","107",12.8,"837,868"
"HIV diagnoses","2014","Arizona","04","35-44","All races/ethnicities","Both sexes","All transmission categories","165",19.7,"836,568"
"HIV diagnoses","2014","Arizona","04","25-34","All races/ethnicities","Both sexes","All transmission categories","242",26.7,"906,259"
"HIV diagnoses","2014","Arizona","04","13-24","All races/ethnicities","Both sexes","All transmission categories","170",15,"1,134,801"
"HIV diagnoses","2013","Arizona","04","55+","All races/ethnicities","Both sexes","All transmission categories","55",3.1,"1,789,607"
"HIV diagnoses","2013","Arizona","04","45-54","All races/ethnicities","Both sexes","All transmission categories","105",12.5,"836,660"
"HIV diagnoses","2013","Arizona","04","35-44","All races/ethnicities","Both sexes","All transmission categories","161",19.4,"831,575"
"HIV diagnoses","2013","Arizona","04","25-34","All races/ethnicities","Both sexes","All transmission categories","223",25.1,"888,803"
"HIV diagnoses","2013","Arizona","04","13-24","All races/ethnicities","Both sexes","All transmission categories","145",12.9,"1,122,415"
"HIV diagnoses","2012","Arizona","04","55+","All races/ethnicities","Both sexes","All transmission categories","52",3,"1,732,714"
"HIV diagnoses","2012","Arizona","04","45-54","All races/ethnicities","Both sexes","All transmission categories","114",13.6,"838,957"
"HIV diagnoses","2012","Arizona","04","35-44","All races/ethnicities","Both sexes","All transmission categories","143",17.3,"828,178"
"HIV diagnoses","2012","Arizona","04","25-34","All races/ethnicities","Both sexes","All transmission categories","190",21.7,"876,738"
"HIV diagnoses","2012","Arizona","04","13-24","All races/ethnicities","Both sexes","All transmission categories","121",10.9,"1,111,778"
"HIV diagnoses","2011","Arizona","04","55+","All races/ethnicities","Both sexes","All transmission categories","47",2.8,"1,674,979"
"HIV diagnoses","2011","Arizona","04","45-54","All races/ethnicities","Both sexes","All transmission categories","94",11.2,"842,118"
"HIV diagnoses","2011","Arizona","04","35-44","All races/ethnicities","Both sexes","All transmission categories","144",17.5,"822,838"
"HIV diagnoses","2011","Arizona","04","25-34","All races/ethnicities","Both sexes","All transmission categories","186",21.4,"868,276"
"HIV diagnoses","2011","Arizona","04","13-24","All races/ethnicities","Both sexes","All transmission categories","92",8.4,"1,096,447"
"HIV diagnoses","2010","Arizona","04","55+","All races/ethnicities","Both sexes","All transmission categories","55",3.4,"1,620,778"
"HIV diagnoses","2010","Arizona","04","45-54","All races/ethnicities","Both sexes","All transmission categories","117",13.9,"843,295"
"HIV diagnoses","2010","Arizona","04","35-44","All races/ethnicities","Both sexes","All transmission categories","159",19.3,"822,768"
"HIV diagnoses","2010","Arizona","04","25-34","All races/ethnicities","Both sexes","All transmission categories","190",22.1,"858,607"
"HIV diagnoses","2010","Arizona","04","13-24","All races/ethnicities","Both sexes","All transmission categories","98",9,"1,084,460"
"HIV diagnoses","2009","Arizona","04","55+","All races/ethnicities","Both sexes","All transmission categories","44",2.8,"1,567,662"
"HIV diagnoses","2009","Arizona","04","45-54","All races/ethnicities","Both sexes","All transmission categories","120",14,"858,426"
"HIV diagnoses","2009","Arizona","04","35-44","All races/ethnicities","Both sexes","All transmission categories","193",22.2,"869,807"
"HIV diagnoses","2009","Arizona","04","25-34","All races/ethnicities","Both sexes","All transmission categories","188",19.6,"956,944"
"HIV diagnoses","2009","Arizona","04","13-24","All races/ethnicities","Both sexes","All transmission categories","97",9.1,"1,063,548"
"HIV diagnoses","2008","Arizona","04","55+","All races/ethnicities","Both sexes","All transmission categories","36",2.4,"1,518,408"
"HIV diagnoses","2008","Arizona","04","45-54","All races/ethnicities","Both sexes","All transmission categories","117",13.8,"844,973"
"HIV diagnoses","2008","Arizona","04","35-44","All races/ethnicities","Both sexes","All transmission categories","203",23.3,"870,129"
"HIV diagnoses","2008","Arizona","04","25-34","All races/ethnicities","Both sexes","All transmission categories","213",22.5,"945,427"
"HIV diagnoses","2008","Arizona","04","13-24","All races/ethnicities","Both sexes","All transmission categories","110",10.4,"1,056,186"
"HIV diagnoses","2018","Arkansas","05","55+","All races/ethnicities","Both sexes","All transmission categories","19",2.1,"896,294"
"HIV diagnoses","2018","Arkansas","05","45-54","All races/ethnicities","Both sexes","All transmission categories","34",9.2,"368,667"
"HIV diagnoses","2018","Arkansas","05","35-44","All races/ethnicities","Both sexes","All transmission categories","48",13,"368,518"
"HIV diagnoses","2018","Arkansas","05","25-34","All races/ethnicities","Both sexes","All transmission categories","103",26,"396,588"
"HIV diagnoses","2018","Arkansas","05","13-24","All races/ethnicities","Both sexes","All transmission categories","77",16.1,"478,780"
"HIV diagnoses","2017","Arkansas","05","55+","All races/ethnicities","Both sexes","All transmission categories","17",1.9,"880,567"
"HIV diagnoses","2017","Arkansas","05","45-54","All races/ethnicities","Both sexes","All transmission categories","32",8.5,"374,388"
"HIV diagnoses","2017","Arkansas","05","35-44","All races/ethnicities","Both sexes","All transmission categories","43",11.7,"366,218"
"HIV diagnoses","2017","Arkansas","05","25-34","All races/ethnicities","Both sexes","All transmission categories","110",27.8,"395,472"
"HIV diagnoses","2017","Arkansas","05","13-24","All races/ethnicities","Both sexes","All transmission categories","85",17.7,"479,287"
"HIV diagnoses","2016","Arkansas","05","55+","All races/ethnicities","Both sexes","All transmission categories","18",2.1,"865,174"
"HIV diagnoses","2016","Arkansas","05","45-54","All races/ethnicities","Both sexes","All transmission categories","37",9.8,"378,541"
"HIV diagnoses","2016","Arkansas","05","35-44","All races/ethnicities","Both sexes","All transmission categories","57",15.6,"364,672"
"HIV diagnoses","2016","Arkansas","05","25-34","All races/ethnicities","Both sexes","All transmission categories","110",28,"392,562"
"HIV diagnoses","2016","Arkansas","05","13-24","All races/ethnicities","Both sexes","All transmission categories","90",18.7,"482,006"
"HIV diagnoses","2015","Arkansas","05","55+","All races/ethnicities","Both sexes","All transmission categories","25",2.9,"849,754"
"HIV diagnoses","2015","Arkansas","05","45-54","All races/ethnicities","Both sexes","All transmission categories","49",12.8,"381,636"
"HIV diagnoses","2015","Arkansas","05","35-44","All races/ethnicities","Both sexes","All transmission categories","43",11.8,"364,854"
"HIV diagnoses","2015","Arkansas","05","25-34","All races/ethnicities","Both sexes","All transmission categories","85",21.9,"388,619"
"HIV diagnoses","2015","Arkansas","05","13-24","All races/ethnicities","Both sexes","All transmission categories","71",14.6,"485,897"
"HIV diagnoses","2014","Arkansas","05","55+","All races/ethnicities","Both sexes","All transmission categories","19",2.3,"834,483"
"HIV diagnoses","2014","Arkansas","05","45-54","All races/ethnicities","Both sexes","All transmission categories","54",14,"385,356"
"HIV diagnoses","2014","Arkansas","05","35-44","All races/ethnicities","Both sexes","All transmission categories","53",14.5,"364,303"
"HIV diagnoses","2014","Arkansas","05","25-34","All races/ethnicities","Both sexes","All transmission categories","82",21.2,"385,920"
"HIV diagnoses","2014","Arkansas","05","13-24","All races/ethnicities","Both sexes","All transmission categories","104",21.2,"489,833"
"HIV diagnoses","2013","Arkansas","05","55+","All races/ethnicities","Both sexes","All transmission categories","17",2.1,"819,411"
"HIV diagnoses","2013","Arkansas","05","45-54","All races/ethnicities","Both sexes","All transmission categories","29",7.4,"391,108"
"HIV diagnoses","2013","Arkansas","05","35-44","All races/ethnicities","Both sexes","All transmission categories","58",15.9,"364,622"
"HIV diagnoses","2013","Arkansas","05","25-34","All races/ethnicities","Both sexes","All transmission categories","73",19,"384,128"
"HIV diagnoses","2013","Arkansas","05","13-24","All races/ethnicities","Both sexes","All transmission categories","85",17.3,"490,281"
"HIV diagnoses","2012","Arkansas","05","55+","All races/ethnicities","Both sexes","All transmission categories","15",1.9,"805,752"
"HIV diagnoses","2012","Arkansas","05","45-54","All races/ethnicities","Both sexes","All transmission categories","43",10.8,"397,025"
"HIV diagnoses","2012","Arkansas","05","35-44","All races/ethnicities","Both sexes","All transmission categories","41",11.3,"364,350"
"HIV diagnoses","2012","Arkansas","05","25-34","All races/ethnicities","Both sexes","All transmission categories","76",19.8,"382,925"
"HIV diagnoses","2012","Arkansas","05","13-24","All races/ethnicities","Both sexes","All transmission categories","72",14.7,"488,630"
"HIV diagnoses","2011","Arkansas","05","55+","All races/ethnicities","Both sexes","All transmission categories","22",2.8,"790,461"
"HIV diagnoses","2011","Arkansas","05","45-54","All races/ethnicities","Both sexes","All transmission categories","31",7.7,"403,420"
"HIV diagnoses","2011","Arkansas","05","35-44","All races/ethnicities","Both sexes","All transmission categories","48",13.2,"364,788"
"HIV diagnoses","2011","Arkansas","05","25-34","All races/ethnicities","Both sexes","All transmission categories","70",18.4,"380,532"
"HIV diagnoses","2011","Arkansas","05","13-24","All races/ethnicities","Both sexes","All transmission categories","70",14.4,"487,347"
"HIV diagnoses","2010","Arkansas","05","55+","All races/ethnicities","Both sexes","All transmission categories","20",2.6,"774,842"
"HIV diagnoses","2010","Arkansas","05","45-54","All races/ethnicities","Both sexes","All transmission categories","40",9.8,"406,970"
"HIV diagnoses","2010","Arkansas","05","35-44","All races/ethnicities","Both sexes","All transmission categories","53",14.5,"365,989"
"HIV diagnoses","2010","Arkansas","05","25-34","All races/ethnicities","Both sexes","All transmission categories","71",18.8,"377,048"
"HIV diagnoses","2010","Arkansas","05","13-24","All races/ethnicities","Both sexes","All transmission categories","50",10.3,"483,139"
"HIV diagnoses","2009","Arkansas","05","55+","All races/ethnicities","Both sexes","All transmission categories","17",2.3,"751,040"
"HIV diagnoses","2009","Arkansas","05","45-54","All races/ethnicities","Both sexes","All transmission categories","34",8.5,"399,264"
"HIV diagnoses","2009","Arkansas","05","35-44","All races/ethnicities","Both sexes","All transmission categories","83",22.6,"366,873"
"HIV diagnoses","2009","Arkansas","05","25-34","All races/ethnicities","Both sexes","All transmission categories","80",20.6,"389,042"
"HIV diagnoses","2009","Arkansas","05","13-24","All races/ethnicities","Both sexes","All transmission categories","66",14.1,"467,870"
"HIV diagnoses","2008","Arkansas","05","55+","All races/ethnicities","Both sexes","All transmission categories","21",2.9,"736,792"
"HIV diagnoses","2008","Arkansas","05","45-54","All races/ethnicities","Both sexes","All transmission categories","44",11.1,"396,427"
"HIV diagnoses","2008","Arkansas","05","35-44","All races/ethnicities","Both sexes","All transmission categories","57",15.3,"372,364"
"HIV diagnoses","2008","Arkansas","05","25-34","All races/ethnicities","Both sexes","All transmission categories","69",18,"383,679"
"HIV diagnoses","2008","Arkansas","05","13-24","All races/ethnicities","Both sexes","All transmission categories","47",10,"468,101"
