Geography,2008,,,,,2009,,,,,2010,,,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,,,2016,,,,,2017,,,,
,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other
Florida,987,414,827,151,29,939,379,736,146,29,810,330,726,131,21,841,354,678,113,26,841,314,660,120,28,802,349,708,125,16,768,350,681,149,16,767,324,825,144,21,838,363,805,146,16,833,324,779,125,16
Georgia,333,164,346,53,7,314,160,419,68,6,319,150,361,61,5,295,130,337,42,13,298,133,337,48,12,289,127,367,46,7,324,147,386,50,6,251,128,386,51,7,286,113,377,38,7,259,96,381,50,5
Hawaii,8,11,24,3,0,2,1,18,5,0,5,5,24,3,0,2,9,24,5,1,7,10,29,4,1,2,6,28,2,0,2,8,29,5,0,5,3,15,9,0,4,2,30,2,0,9,3,16,6,2
Idaho,3,1,9,3,0,4,0,2,1,0,2,2,7,4,0,3,0,8,3,0,4,5,12,2,1,3,2,7,1,0,2,4,11,3,2,4,2,6,3,0,1,4,3,4,0,5,3,7,3,0
Illinois,109,201,234,59,10,121,189,225,73,6,121,199,260,70,8,109,155,231,66,5,113,153,226,51,8,91,146,217,50,9,98,136,220,60,9,110,137,239,53,7,93,141,234,46,11,107,113,219,47,9
Indiana,47,34,101,18,2,35,35,121,15,1,34,25,95,16,2,44,30,110,13,3,27,31,93,15,4,38,16,108,17,2,34,19,107,18,2,45,28,88,13,2,54,33,94,14,2,36,30,110,14,1
Iowa,3,6,13,2,1,5,7,22,3,0,2,7,15,3,0,4,10,20,2,0,5,9,23,5,1,11,8,17,7,1,9,7,33,4,1,9,2,21,4,0,5,4,21,3,0,9,3,23,7,0
Kansas,3,11,39,5,1,5,6,26,4,0,5,5,33,5,1,7,7,21,11,0,9,5,22,8,0,13,8,26,8,0,8,3,28,7,0,9,7,29,6,0,7,6,31,5,0,10,4,29,4,0
Kentucky,36,30,60,9,2,15,25,75,9,1,28,22,52,17,0,22,16,67,3,2,24,17,67,8,1,19,31,58,11,1,32,18,62,6,0,22,17,63,17,4,21,20,72,8,0,28,21,71,10,1
Louisiana,173,99,167,34,11,197,112,180,39,11,160,106,151,33,6,180,93,161,34,6,193,95,147,30,6,163,89,134,23,7,164,89,146,21,2,177,78,129,29,7,163,77,149,27,3,167,64,138,26,4
Maine,1,11,12,1,1,0,4,15,3,1,3,3,11,4,0,2,3,15,4,0,2,4,11,1,1,4,7,16,3,0,2,3,12,1,0,1,5,12,0,1,3,7,14,0,0,7,8,16,3,2
Maryland,186,362,153,38,7,175,333,126,41,6,160,290,123,31,8,155,258,125,39,6,178,267,141,40,6,175,247,151,37,4,167,272,121,27,5,155,242,112,33,5,170,272,153,41,5,181,228,136,44,7
Massachusetts,46,159,73,16,4,52,159,75,12,2,38,150,75,14,4,47,125,58,27,5,42,135,69,17,4,42,128,80,14,5,35,124,82,16,6,46,141,93,15,4,48,136,88,18,2,51,129,87,24,5
Michigan,69,107,157,35,2,71,69,136,25,3,67,89,129,22,6,55,73,148,26,4,68,78,159,30,5,61,55,133,26,5,67,59,138,22,3,63,63,146,23,3,46,58,150,27,4,61,48,148,11,4
Minnesota,13,17,42,7,1,24,16,49,11,1,18,13,40,4,1,13,17,49,8,1,14,15,46,9,2,18,6,48,5,0,29,8,51,8,1,18,13,58,8,1,13,15,38,7,2,19,11,50,11,1
Mississippi,93,48,95,8,3,83,33,92,17,3,77,28,91,8,3,76,35,87,8,3,82,31,73,9,3,85,28,96,16,4,92,34,94,16,2,82,18,99,9,7,95,20,77,11,5,78,29,93,10,4
Missouri,46,25,123,19,3,40,33,123,17,3,42,20,120,26,1,31,27,99,24,2,37,26,109,17,1,26,22,117,20,1,23,23,100,19,5,34,17,102,19,1,31,18,115,27,4,43,25,123,18,0
Montana,2,4,9,1,0,1,3,5,0,0,1,2,5,3,0,2,1,4,1,0,0,1,3,1,0,2,2,8,0,1,2,2,4,1,1,2,2,7,2,0,0,1,10,2,0,2,2,7,2,0
Nebraska,7,4,15,2,1,3,3,18,5,3,5,5,18,2,1,4,6,13,1,0,5,8,18,2,1,8,7,12,4,1,7,5,15,3,0,5,4,15,2,3,10,1,13,4,0,7,7,14,6,0
Nevada,19,17,92,12,0,10,28,70,14,1,22,16,77,12,0,21,20,79,11,0,25,23,96,14,1,21,28,76,19,0,18,14,85,13,0,28,18,59,20,1,24,21,90,14,2,24,25,92,28,2
New Hampshire,7,4,2,5,0,3,7,9,3,0,8,1,7,1,0,2,4,5,2,1,3,5,10,3,0,1,7,5,0,1,1,7,3,2,0,3,7,15,3,0,2,7,9,0,1,2,5,13,1,0
New Jersey,233,410,173,41,10,190,380,161,38,3,229,354,167,36,9,210,336,160,35,8,175,288,138,31,13,213,324,142,36,12,186,295,149,26,6,179,262,152,36,10,194,270,156,28,7,182,260,157,34,6
New Mexico,5,10,44,6,2,6,14,28,8,0,5,7,38,14,0,5,7,31,8,1,13,12,20,11,2,7,8,24,5,2,12,6,37,12,0,10,8,45,12,1,3,5,30,10,0,1,4,18,4,0
New York,589,"1,120",574,148,33,561,"1,070",528,164,27,512,985,544,149,28,511,906,543,163,34,476,858,505,160,24,494,769,529,155,22,481,757,505,144,24,451,691,476,154,26,462,691,542,141,24,433,649,514,139,26
North Carolina,222,134,187,27,8,233,154,201,28,7,216,130,193,31,4,186,118,194,36,8,193,95,207,24,4,164,114,204,34,11,186,119,197,36,5,191,120,210,32,5,157,106,206,39,11,172,114,225,23,6
North Dakota,2,1,5,1,1,0,1,3,1,0,1,1,2,1,1,2,0,2,0,0,1,0,2,0,0,1,2,2,0,0,2,0,3,2,0,2,1,5,0,0,1,1,2,0,0,1,0,1,1,0
Ohio,81,72,184,28,6,66,49,184,31,3,54,40,165,19,10,79,41,168,23,5,83,49,188,29,2,69,46,172,24,3,74,47,199,24,5,66,45,155,36,5,72,48,195,30,3,66,57,214,30,6
Oklahoma,16,25,64,19,2,15,31,60,23,0,15,11,66,14,0,16,19,68,18,0,17,20,58,20,0,19,23,68,14,1,25,24,72,19,1,11,29,75,23,5,16,18,66,19,4,21,13,57,12,3
Oregon,6,18,47,8,2,10,18,46,17,2,5,15,65,11,1,7,18,55,16,3,15,18,61,15,1,11,15,63,22,0,10,16,59,16,1,14,13,60,24,0,7,16,55,22,2,13,14,70,19,1
Pennsylvania,209,294,159,40,3,222,286,171,40,7,207,247,195,41,8,192,230,180,43,7,177,204,165,30,7,208,221,158,37,6,200,220,179,43,1,167,201,182,35,2,184,196,163,49,11,204,186,192,40,8
Rhode Island,13,14,14,2,1,9,19,9,5,0,7,16,10,5,0,10,19,15,2,0,9,24,10,0,0,9,16,6,2,0,9,15,9,2,1,3,13,7,2,0,11,14,10,2,1,6,9,12,4,0
South Carolina,152,76,128,16,5,135,74,118,36,8,138,56,117,21,4,128,62,110,23,5,124,46,120,22,4,110,48,135,24,3,128,65,119,16,3,111,61,100,18,2,134,53,125,22,2,136,45,129,16,2
South Dakota,4,0,5,1,0,3,0,8,2,0,3,3,5,1,0,0,2,3,1,1,0,1,8,1,0,3,2,2,1,1,0,1,5,3,0,3,1,3,0,0,3,0,7,1,0,3,3,2,0,0
Tennessee,136,66,198,18,1,122,70,204,26,5,126,58,162,22,3,111,47,143,19,3,106,56,160,15,6,107,41,161,19,3,117,42,152,19,1,113,50,150,21,7,103,43,159,19,2,96,43,154,16,5
Texas,353,298,622,145,10,358,323,665,152,12,324,289,590,146,8,299,267,582,124,13,309,248,627,120,7,275,223,580,134,11,327,252,631,121,15,304,235,641,126,4,317,249,655,129,6,335,237,685,130,13
Utah,3,12,20,7,0,6,7,15,4,0,2,4,16,3,0,1,3,10,8,0,3,3,12,8,0,2,10,19,12,1,3,1,10,6,1,2,2,20,7,0,10,8,20,9,1,4,2,14,2,0
Vermont,2,1,3,0,0,1,0,5,2,1,0,2,11,2,0,2,3,0,1,0,1,2,3,0,0,1,3,3,0,1,0,1,2,0,0,2,1,3,0,0,1,1,5,4,0,2,3,7,1,0
Virginia,113,89,127,24,7,110,89,151,28,2,99,70,121,25,1,90,57,138,23,4,112,57,128,29,3,87,77,137,21,2,86,70,133,16,3,91,48,115,21,3,97,54,134,28,4,84,66,109,23,3
Washington,23,36,89,22,3,22,39,107,24,0,22,27,88,18,0,21,40,83,20,3,17,28,82,24,1,22,26,87,29,2,21,27,99,27,0,22,21,78,26,1,14,26,119,18,0,18,29,104,23,0
West Virginia,8,9,23,4,1,13,7,16,0,0,6,2,15,4,0,7,3,24,4,0,9,9,17,3,0,3,5,30,3,0,3,8,24,2,1,7,10,13,0,0,5,6,22,4,3,3,4,20,4,0
Wisconsin,13,18,43,7,1,19,29,45,12,1,22,22,41,7,1,16,22,52,6,1,23,19,40,3,1,26,18,39,7,3,17,16,40,14,3,11,22,41,8,2,24,15,38,9,1,15,14,56,13,3
Wyoming,1,1,2,0,0,0,0,4,0,0,2,2,2,3,0,1,0,5,0,0,0,0,2,0,0,1,2,2,1,0,0,2,2,1,0,0,2,2,0,0,0,0,3,2,0,0,2,1,2,1
