"Date Printed: Sunday, February 9, 2020 10:27:51 PM"
Title: HIV deaths | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | United States | All races/ethnicities | Both sexes | Ages 13 years and older | Heterosexual contact | Injection drug use | Male-to-male sexual contact | Male-to-male sexual contact and injection drug use | Other
Footnote(s): Prevalence: Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address.
Diagnosis: HIV data for the year 2018 are preliminary and based on 6 months reporting delay.
Death: Death data based on residence at death.
NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV deaths","2010","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","1,353","Data not available","NA"
"HIV deaths","2010","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","4,405","Data not available","NA"
"HIV deaths","2010","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","6,410","Data not available","NA"
"HIV deaths","2009","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Other","189","Data not available","NA"
"HIV deaths","2009","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","4,705","Data not available","NA"
"HIV deaths","2009","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","1,504","Data not available","NA"
"HIV deaths","2009","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","4,947","Data not available","NA"
"HIV deaths","2009","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","6,719","Data not available","NA"
"HIV deaths","2008","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Other","210","Data not available","NA"
"HIV deaths","2008","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","4,912","Data not available","NA"
"HIV deaths","2008","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","1,449","Data not available","NA"
"HIV deaths","2008","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","5,205","Data not available","NA"
"HIV deaths","2008","United States","NA","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","6,767","Data not available","NA"
