Drugs,Reasons,Reviews,Date Posted,Ratings,Source
Atripla,HIV,"I started Atripla in 2012 and was not a fan of it. It did lower my VL and raise my CD4 but the side effects were horrible. I never felt like I got any sleep after a full night of sleep. I woke up tired and with a cloudy mind. I couldn’t remember things for the life of me. It gave me Cotton mouth. All around I felt like a zombie. My quality of life did not improve because I wasn’t living it. I had no energy and was depressed for the longest time. For all medical purposes, this medicine does work when it comes to lowering your VL and increasing you CD4. I remained undetectable since I got on it until now, I’m 2018. Now my VL is back up but my CD4 is good and I am switching to a different medication and I am VERY impressed with it so far!",2018-09-28,4.0,drugs.com
Atripla,HIV,"I suspected something was wrong, I had the night sweats for about 2 weeks, couple months later, shingles then thrush. Early 2006 I lost close to 100 Lbs and became very sick. I  was told that a former partner of mine had died of HIV pneumonia. Summer of 2006, blood work showed low platelets, and high white blood cells, tested 4 HIV came back as positive I felt floored. My CD4 was around 20 and viral load was off the charts. Full blown AIDS.  I thought I was going to die. I was 38 then. I was put on Atripla, stabilized in 3 months put on a few pounds, 6 months later my CD4 was around 1200 and I was undetectable. Side effects, vivid dreams, nausea. Found it easier to take it in the A.M. on an empty stomach. Atripla saved my life, for which I am GRATEFUL. Today in 3-2018, still, undetectable, CD4,1200. I am 50 and pretty much healthy.
Thank you for reading my story. It is so important to get checked EARLY and start  treatment. I didn't and it almost cost me my life.  Hope this helps someone.
Anonymous",2018-03-28,10.0,drugs.com
Atripla,HIV,"I've been taking Atripla for almost 10 years with great success!   Adjusting was tough for me-- it took over 5 months before the dizziness and light-headed would not be daily.  I still have vivid dreams and my weight just will not go down, (I don't need to lose much, but 20 lbs is tough enough to lose at 60!)  Dreams are my biggest problem.  I'm switching to Genvoya on Jan 1st.  Hopes for the best!",2017-12-19,9.0,drugs.com
Atripla,HIV,"I was diagnosed in 2007 and started Atripla in 2009 bout 18 months later.  Atripla is my only HIV medication so far, along other meds (Omeprazole, Crestor, 81mg aspirin, daily vitamins, etc.) and all is well. -- except for my dreams and weight.   It was really tough for my body to acclimate to Atripla .  I had night sweats, heavy nightmares, dizziness, bloating stomach, light headed disorientation, etc.   MY job is 24/7 emergency on call so I had to consciously omit the Atripla if I knew I had to be up in 4 hours.   All of that has mellowed for me-- but the dreams still are regular.  They vary from light & pleasant to dark and threatening.-- at times the dreams are so real I cannot tell the difference.  I question MY memory of specific events",2017-12-12,9.0,drugs.com
Atripla,HIV,"On it for 5 years. Viral load was 1300000 and CD4 count 120. Great medication. Within 6 months undetectable and current CD count 1300. Mild weight gain and can only take at bedtime as makes me drowsy, love the dreams.
Good medication",2017-11-18,,drugs.com
Atripla,HIV,I have been on Atripla for 10 years. I has been working for me,2017-08-24,10.0,drugs.com
Atripla,HIV,"Every night at bedtime I take my medication. sometimes its hard to get up and walk to the counter and get a glass of water to take a pill that is hard to swallow. YET... every night I do my ritual ALWAYS thinking of the beautiful people WHO COULDN'T take ANY medication because it hadn't been invented or wasn't available to them. All those beautiful bright eyes languishing away and we couldn't do anything for them. All those young boys and girls lost to a sea of despair. There was nothing we could do for them then.  Corny, I know but truth nevertheless. So I get to the counter for my ATRIPLA",2017-05-05,10.0,drugs.com
Atripla,HIV,"It was great to bring the viral load quickly to undetectable but otherwise it was not a great experience. Was on it for about 8 months.. Head aches, fatigue, weirdest dreams, irritability, depression and almost commit suicide. 
Got off that drug and a few days later I started to feel like myself again...",2017-03-15,3.0,drugs.com
Atripla,HIV,"I started taking Tribuss in December my Cd4 count was 450 and its end Feb my cd4 is 880 it really worked for me but the side effects on the 1st month were horrible from having hallucinations,insomnia but they getting better now the only problem is my mood swings,ever since I started taking Tribuss I feel very depressed and Tenarenz side effect are better than Tribuss",2017-02-27,8.0,drugs.com
Atripla,HIV,"Diagnosed in July 2016. I suspected it was HIV when I broke out in several(roughly 12) canker sores in Mouth. I googled this and HIV was listed as possible cause. Had no other symptoms. On August 9th before taking medication my results were Viral Count 396 and CD4 544. Been on Atripla since the 9th. As of November 11th my results were Undetectable and CD4 737. So it does work for me at least. The first few days/week I did have side effects. Basically dizziness. It was really bad first couple days. After first week I really.have not had side effects that I notice. I can't measure depression level of drug because 10 year relationship ended, diagnosed with cancer, and HIV diagnosis all same week kind of make anyone depressed. Take before bed!!",2016-11-25,10.0,drugs.com
Atripla,HIV,"Diagnosed in 2006. Began treatment in 2008 while  VL was still relatively low and CD4 relatively high. Dizziness, vivid dreams, and depression were among the side effects. I stopped taking Atripla in Dec 2015 because of depression. My mood began to improve. It's now nearly 12 months later, and I've been on no meds at all, and I'm still Undetectable with my highest CD4 (898) since starting treatment in 2008. I gotta say, I think that's a big vote of confidence for Atripla. Will decide my next course of action with my dr in a week.",2016-11-18,10.0,drugs.com
Atripla,HIV,"Worked for me. If taken as directed not missing any dose is very effective medicine for managing HIV, the side effects lessen progressively as your body gets used to it.",2016-10-29,10.0,drugs.com
Atripla,HIV,"Got diagnosed may last year after losing a third of my body weight. Had viral load in the millions and cd4 count of 90. I kinda suspected I might have hiv from the night sweats. So got diagnosed, and put on Atripla. I had visions of throwing up all the time and a life of misery. 

So, I started taking this stuff, 1 a day as per docs recommendations. I chose 10pm as my time as it seemed the best for me. No side effects, no feeling sick, nothing. Within 6 months was undetectable, weight back on. Live in uk, so meds are free. There are no restrcitions, you can drink etc. Many times I've washed my pill down with a sip of wine.

I feel that I am a symbiotic lifeform. I like it, feel great,my grey hairs have gone .",2016-09-28,10.0,drugs.com
Atripla,HIV,"I found out in 2010 I was infected with HIV after my partner also tested tested positive. Whilst he went the route of a government program, I went to a private doctor and used my insurance from work (government plan). I was given Atripla. The first weeks were horrible. I experienced severe shortness of breath and could barely sleep. I had to sleep (at least try) sideways with the AC directly to my face. The dizziness was crazy, as if I had drank alcohol all night. My face would get red and I would feel hot. Regarding the strange dreams, well, I always had vivid dreams and nightmares all of my life, so it wasn't new. Other than that, I'm still using Atripla daily at bedtime and became undetectable within 6 months from stating.",2016-08-13,9.0,drugs.com
Atripla,HIV,"Yow guys !!! Tested + on April '14 with VL 37,000 after a major fever event. Couldn't start early treatment  because of insurance issues, needed 4 year signority with the insurance co. to apply for HIV treatment. One year later my numbers on Jan '15 were VL 119,000 and CD4 654.  Started Atripla 2 years later after testing + on April '16 with VL 399,000  (10 times higher than when diagnosed) and CD4 427. After 6 weeks taking Atrilpla my numbers are VL 474 (pretty amazing drop) and CD4 440. I was pretty happy with these results but my Dr wasn't. He expected me to become undectetable as of now but asked me to continue for two more months to see more progress. Absolutely no side effects except for feeling a bit high the first week",2016-06-02,9.0,drugs.com
Atripla,HIV,"Cd4 190 went up to 400 (after a yr)  now undetectable, had crazy dreams but not as much. Still struggling,  crying spells and sad at times. Very ashamed & embarrassed.  Meds are good overall, but i wish i neva got in this mess.",2016-05-19,10.0,drugs.com
Atripla,HIV,"In 2012 , was having black outs. I would get up in the morning and pass out, I would wake up and loss 10 to 12 hours. Did not know what was going on. Was out with friends and was having trouble talking, thought I was having a stroke. Was taken to the hospital, I was there 4  days, found our I was HIV +. Viral Load was 4 million.  Organs were shutting down. Was given Atripla. Within 3 months I am undetetable and TC count was 750. I do have the Dreams, and some times night sweats. But Atripla saved my life.",2016-04-20,10.0,drugs.com
Atripla,HIV,"Week 4 and only feel a little confused in the mornings as a side effect, it's working fantastic for me",2016-02-26,10.0,drugs.com
Atripla,HIV,"I've had a very difficult time with it, I suppose it's working well but the side effects are very severe. I am unable to function, the depression is unbearable and the nausea and confusion render me useless.

Every time I have to take the pill I break down in tears. I haven't taken it in weeks, I'd prefer dying.",2016-02-15,9.0,drugs.com
Atripla,HIV,"I was nervous all day waiting for my first pill and was kind of shaking during my dinner, I took my pill right after that. Two hours later I felt relaxed, a little dizzy, my ears were hearing a whistle, my face was a little red but I was happy.",2016-02-04,10.0,drugs.com
Atripla,HIV,"I was diagnosed with HIV/Aids in the late part of April of 2015. At the time I knew nothing about the infection but soon after I became even more ill the infection attacked my heart. I stayed in the hospital for six months, which at the time my CD4 was only 3 and my viral load was like 3million. I was really close to death. But I got this great doctor who thought Atripla would work for me so I started the pill. So when I left the hospital in October my CD4 had come up slowly to 89 and viral was at 100,000. Since then I have relearned to walk and every thing. Its January and presently I'm Undetectable and CD4 is at 500. There was a time as well for about a week where I had stopped taking the meds due to insurance stuff. All and all turned ok",2016-01-24,10.0,drugs.com
Atripla,HIV,"I was diagnosed with HIV/AIDS in early October of 2015. My CD4 count was at 89 and my Viral Load up to 182,000/mL. I began taking Atripla on Nov. 10th 2015. I went in for my 6 week follow up on December 15th. After receiving my test results I was pleasantly surprised. My CD4 count had jumped to 394, and my Viral Load dropped to 2,185 - after only 6 weeks of treatment. 

Another thing - I actually take my pill first thing in the morning when I wake up. With my schedule, it is difficult for me to take it on an empty stomach in the evenings. I'm more prone to adhere to the pill in the AM when my stomach is already empty. I use my phone with an alarm set for every morning as a fail safe.",2016-01-03,10.0,drugs.com
Atripla,HIV,"I have been on trivenz (Atripla) for a year. The first 6 months my CD4 went from 190 to 600 and my viral load from 440,000 to 2000. And during the month of August this year I skipped 12 days without my meds and in October my CD4 dropped to 425 and viral load was 2000. Am praying that this meds should not become resistant",2015-12-06,,drugs.com
Atripla,HIV,I was on atripla for 10 years and my doctor begged me to switch for years and then finally  about a year ago I took that leap of faith she said to take and got on Genvoya and ever since I have felt ill and heavy tired feeling! I puked last night and had diarrhea! I felt like death rolled over me so today I call my Hiv doctor and she said it’s to detrimental for you health but she gave it to me for 10  years and when I switched my labs was fine! She’s hates atripla and I guess if it’s people’s last option they die because she won’t give it out! Also she put in my medical records it’s detrimental to my health after she lied to me about it being discontinued! She also put in my record Genvoya is the drug she wants me on even though it’s being detrimental to my health right now! I’m not taking Genvoya anymore because I can’t handle what it does ,2020-02-11,10.0,drugs.com
Atripla,HIV,"viral load of 22,624 and CD4 in 263. By December 2015 the viral load was <20 although the CD4 fell to 69 (I was told that possible low was for a strong stress of a problem), but in February 2016 the CD4 rose to 252 and in April 2018 CD4 to 463. No serious side effects so far despite having more than 3 years with the treatment.",2019-01-02,9.0,drugs.com
Atripla,HIV,"I started Atripla in 2012 and was not a fan of it. It did lower my VL and raise my CD4 but the side effects were horrible. I never felt like I got any sleep after a full night of sleep. I woke up tired and with a cloudy mind. I couldn’t remember things for the life of me. It gave me Cotton mouth. All around I felt like a zombie. My quality of life did not improve because I wasn’t living it. I had no energy and was depressed for the longest time. For all medical purposes, this medicine does work when it comes to lowering your VL and increasing you CD4. I remained undetectable since I got on it until now, I’m 2018. Now my VL is back up but my CD4 is good and I am switching to a different medication and I am VERY impressed with it so far!",2018-09-28,4.0,drugs.com
Atripla,HIV,"I suspected something was wrong, I had the night sweats for about 2 weeks, couple months later, shingles then thrush. Early 2006 I lost close to 100 Lbs and became very sick. I  was told that a former partner of mine had died of HIV pneumonia. Summer of 2006, blood work showed low platelets, and high white blood cells, tested 4 HIV came back as positive I felt floored. My CD4 was around 20 and viral load was off the charts. Full blown AIDS.  I thought I was going to die. I was 38 then. I was put on Atripla, stabilized in 3 months put on a few pounds, 6 months later my CD4 was around 1200 and I was undetectable. Side effects, vivid dreams, nausea. Found it easier to take it in the A.M. on an empty stomach. Atripla saved my life, for which I am GRATEFUL. Today in 3-2018, still, undetectable, CD4,1200. I am 50 and pretty much healthy.
Thank you for reading my story. It is so important to get checked EARLY and start  treatment. I didn't and it almost cost me my life.  Hope this helps someone.
Anonymous",2018-03-28,10.0,drugs.com
Atripla,HIV,"I've been taking Atripla for almost 10 years with great success!   Adjusting was tough for me-- it took over 5 months before the dizziness and light-headed would not be daily.  I still have vivid dreams and my weight just will not go down, (I don't need to lose much, but 20 lbs is tough enough to lose at 60!)  Dreams are my biggest problem.  I'm switching to Genvoya on Jan 1st.  Hopes for the best!",2017-12-19,9.0,drugs.com
Atripla,HIV,"I was diagnosed in 2007 and started Atripla in 2009 bout 18 months later.  Atripla is my only HIV medication so far, along other meds (Omeprazole, Crestor, 81mg aspirin, daily vitamins, etc.) and all is well. -- except for my dreams and weight.   It was really tough for my body to acclimate to Atripla .  I had night sweats, heavy nightmares, dizziness, bloating stomach, light headed disorientation, etc.   MY job is 24/7 emergency on call so I had to consciously omit the Atripla if I knew I had to be up in 4 hours.   All of that has mellowed for me-- but the dreams still are regular.  They vary from light & pleasant to dark and threatening.-- at times the dreams are so real I cannot tell the difference.  I question MY memory of specific events",2017-12-12,9.0,drugs.com
Atripla,HIV,"On it for 5 years. Viral load was 1300000 and CD4 count 120. Great medication. Within 6 months undetectable and current CD count 1300. Mild weight gain and can only take at bedtime as makes me drowsy, love the dreams.
Good medication",2017-11-18,,drugs.com
Atripla,HIV,I have been on Atripla for 10 years. I has been working for me,2017-08-24,10.0,drugs.com
Atripla,HIV,"Every night at bedtime I take my medication. sometimes its hard to get up and walk to the counter and get a glass of water to take a pill that is hard to swallow. YET... every night I do my ritual ALWAYS thinking of the beautiful people WHO COULDN'T take ANY medication because it hadn't been invented or wasn't available to them. All those beautiful bright eyes languishing away and we couldn't do anything for them. All those young boys and girls lost to a sea of despair. There was nothing we could do for them then.  Corny, I know but truth nevertheless. So I get to the counter for my ATRIPLA",2017-05-05,10.0,drugs.com
Atripla,HIV,"It was great to bring the viral load quickly to undetectable but otherwise it was not a great experience. Was on it for about 8 months.. Head aches, fatigue, weirdest dreams, irritability, depression and almost commit suicide. 
Got off that drug and a few days later I started to feel like myself again...",2017-03-15,3.0,drugs.com
Atripla,HIV,"I started taking Tribuss in December my Cd4 count was 450 and its end Feb my cd4 is 880 it really worked for me but the side effects on the 1st month were horrible from having hallucinations,insomnia but they getting better now the only problem is my mood swings,ever since I started taking Tribuss I feel very depressed and Tenarenz side effect are better than Tribuss",2017-02-27,8.0,drugs.com
Atripla,HIV,"Diagnosed in July 2016. I suspected it was HIV when I broke out in several(roughly 12) canker sores in Mouth. I googled this and HIV was listed as possible cause. Had no other symptoms. On August 9th before taking medication my results were Viral Count 396 and CD4 544. Been on Atripla since the 9th. As of November 11th my results were Undetectable and CD4 737. So it does work for me at least. The first few days/week I did have side effects. Basically dizziness. It was really bad first couple days. After first week I really.have not had side effects that I notice. I can't measure depression level of drug because 10 year relationship ended, diagnosed with cancer, and HIV diagnosis all same week kind of make anyone depressed. Take before bed!!",2016-11-25,10.0,drugs.com
Atripla,HIV,"Diagnosed in 2006. Began treatment in 2008 while  VL was still relatively low and CD4 relatively high. Dizziness, vivid dreams, and depression were among the side effects. I stopped taking Atripla in Dec 2015 because of depression. My mood began to improve. It's now nearly 12 months later, and I've been on no meds at all, and I'm still Undetectable with my highest CD4 (898) since starting treatment in 2008. I gotta say, I think that's a big vote of confidence for Atripla. Will decide my next course of action with my dr in a week.",2016-11-18,10.0,drugs.com
Atripla,HIV,"Worked for me. If taken as directed not missing any dose is very effective medicine for managing HIV, the side effects lessen progressively as your body gets used to it.",2016-10-29,10.0,drugs.com
Atripla,HIV,"Got diagnosed may last year after losing a third of my body weight. Had viral load in the millions and cd4 count of 90. I kinda suspected I might have hiv from the night sweats. So got diagnosed, and put on Atripla. I had visions of throwing up all the time and a life of misery. 

So, I started taking this stuff, 1 a day as per docs recommendations. I chose 10pm as my time as it seemed the best for me. No side effects, no feeling sick, nothing. Within 6 months was undetectable, weight back on. Live in uk, so meds are free. There are no restrcitions, you can drink etc. Many times I've washed my pill down with a sip of wine.

I feel that I am a symbiotic lifeform. I like it, feel great,my grey hairs have gone .",2016-09-28,10.0,drugs.com
Atripla,HIV,"I found out in 2010 I was infected with HIV after my partner also tested tested positive. Whilst he went the route of a government program, I went to a private doctor and used my insurance from work (government plan). I was given Atripla. The first weeks were horrible. I experienced severe shortness of breath and could barely sleep. I had to sleep (at least try) sideways with the AC directly to my face. The dizziness was crazy, as if I had drank alcohol all night. My face would get red and I would feel hot. Regarding the strange dreams, well, I always had vivid dreams and nightmares all of my life, so it wasn't new. Other than that, I'm still using Atripla daily at bedtime and became undetectable within 6 months from stating.",2016-08-13,9.0,drugs.com
Atripla,HIV,"Yow guys !!! Tested + on April '14 with VL 37,000 after a major fever event. Couldn't start early treatment  because of insurance issues, needed 4 year signority with the insurance co. to apply for HIV treatment. One year later my numbers on Jan '15 were VL 119,000 and CD4 654.  Started Atripla 2 years later after testing + on April '16 with VL 399,000  (10 times higher than when diagnosed) and CD4 427. After 6 weeks taking Atrilpla my numbers are VL 474 (pretty amazing drop) and CD4 440. I was pretty happy with these results but my Dr wasn't. He expected me to become undectetable as of now but asked me to continue for two more months to see more progress. Absolutely no side effects except for feeling a bit high the first week",2016-06-02,9.0,drugs.com
Atripla,HIV,"Cd4 190 went up to 400 (after a yr)  now undetectable, had crazy dreams but not as much. Still struggling,  crying spells and sad at times. Very ashamed & embarrassed.  Meds are good overall, but i wish i neva got in this mess.",2016-05-19,10.0,drugs.com
Atripla,HIV,"In 2012 , was having black outs. I would get up in the morning and pass out, I would wake up and loss 10 to 12 hours. Did not know what was going on. Was out with friends and was having trouble talking, thought I was having a stroke. Was taken to the hospital, I was there 4  days, found our I was HIV +. Viral Load was 4 million.  Organs were shutting down. Was given Atripla. Within 3 months I am undetetable and TC count was 750. I do have the Dreams, and some times night sweats. But Atripla saved my life.",2016-04-20,10.0,drugs.com
Atripla,HIV,"Week 4 and only feel a little confused in the mornings as a side effect, it's working fantastic for me",2016-02-26,10.0,drugs.com
Atripla,HIV,"I've had a very difficult time with it, I suppose it's working well but the side effects are very severe. I am unable to function, the depression is unbearable and the nausea and confusion render me useless.

Every time I have to take the pill I break down in tears. I haven't taken it in weeks, I'd prefer dying.",2016-02-15,9.0,drugs.com
Atripla,HIV,"I was nervous all day waiting for my first pill and was kind of shaking during my dinner, I took my pill right after that. Two hours later I felt relaxed, a little dizzy, my ears were hearing a whistle, my face was a little red but I was happy.",2016-02-04,10.0,drugs.com
Atripla,HIV,"I was diagnosed with HIV/Aids in the late part of April of 2015. At the time I knew nothing about the infection but soon after I became even more ill the infection attacked my heart. I stayed in the hospital for six months, which at the time my CD4 was only 3 and my viral load was like 3million. I was really close to death. But I got this great doctor who thought Atripla would work for me so I started the pill. So when I left the hospital in October my CD4 had come up slowly to 89 and viral was at 100,000. Since then I have relearned to walk and every thing. Its January and presently I'm Undetectable and CD4 is at 500. There was a time as well for about a week where I had stopped taking the meds due to insurance stuff. All and all turned ok",2016-01-24,10.0,drugs.com
Atripla,HIV,"I was diagnosed with HIV/AIDS in early October of 2015. My CD4 count was at 89 and my Viral Load up to 182,000/mL. I began taking Atripla on Nov. 10th 2015. I went in for my 6 week follow up on December 15th. After receiving my test results I was pleasantly surprised. My CD4 count had jumped to 394, and my Viral Load dropped to 2,185 - after only 6 weeks of treatment. 

Another thing - I actually take my pill first thing in the morning when I wake up. With my schedule, it is difficult for me to take it on an empty stomach in the evenings. I'm more prone to adhere to the pill in the AM when my stomach is already empty. I use my phone with an alarm set for every morning as a fail safe.",2016-01-03,10.0,drugs.com
Atripla,HIV,"I have been on trivenz (Atripla) for a year. The first 6 months my CD4 went from 190 to 600 and my viral load from 440,000 to 2000. And during the month of August this year I skipped 12 days without my meds and in October my CD4 dropped to 425 and viral load was 2000. Am praying that this meds should not become resistant",2015-12-06,,drugs.com
Atripla,HIV,I was on atripla for 10 years and my doctor begged me to switch for years and then finally  about a year ago I took that leap of faith she said to take and got on Genvoya and ever since I have felt ill and heavy tired feeling! I puked last night and had diarrhea! I felt like death rolled over me so today I call my Hiv doctor and she said it’s to detrimental for you health but she gave it to me for 10  years and when I switched my labs was fine! She’s hates atripla and I guess if it’s people’s last option they die because she won’t give it out! Also she put in my medical records it’s detrimental to my health after she lied to me about it being discontinued! She also put in my record Genvoya is the drug she wants me on even though it’s being detrimental to my health right now! I’m not taking Genvoya anymore because I can’t handle what it does ,2020-02-11,10.0,drugs.com
Atripla,HIV,"viral load of 22,624 and CD4 in 263. By December 2015 the viral load was <20 although the CD4 fell to 69 (I was told that possible low was for a strong stress of a problem), but in February 2016 the CD4 rose to 252 and in April 2018 CD4 to 463. No serious side effects so far despite having more than 3 years with the treatment.",2019-01-02,9.0,drugs.com
Atripla,HIV,"I started Atripla in 2012 and was not a fan of it. It did lower my VL and raise my CD4 but the side effects were horrible. I never felt like I got any sleep after a full night of sleep. I woke up tired and with a cloudy mind. I couldn’t remember things for the life of me. It gave me Cotton mouth. All around I felt like a zombie. My quality of life did not improve because I wasn’t living it. I had no energy and was depressed for the longest time. For all medical purposes, this medicine does work when it comes to lowering your VL and increasing you CD4. I remained undetectable since I got on it until now, I’m 2018. Now my VL is back up but my CD4 is good and I am switching to a different medication and I am VERY impressed with it so far!",2018-09-28,4.0,drugs.com
Atripla,HIV,"I suspected something was wrong, I had the night sweats for about 2 weeks, couple months later, shingles then thrush. Early 2006 I lost close to 100 Lbs and became very sick. I  was told that a former partner of mine had died of HIV pneumonia. Summer of 2006, blood work showed low platelets, and high white blood cells, tested 4 HIV came back as positive I felt floored. My CD4 was around 20 and viral load was off the charts. Full blown AIDS.  I thought I was going to die. I was 38 then. I was put on Atripla, stabilized in 3 months put on a few pounds, 6 months later my CD4 was around 1200 and I was undetectable. Side effects, vivid dreams, nausea. Found it easier to take it in the A.M. on an empty stomach. Atripla saved my life, for which I am GRATEFUL. Today in 3-2018, still, undetectable, CD4,1200. I am 50 and pretty much healthy.
Thank you for reading my story. It is so important to get checked EARLY and start  treatment. I didn't and it almost cost me my life.  Hope this helps someone.
Anonymous",2018-03-28,10.0,drugs.com
Atripla,HIV,"I've been taking Atripla for almost 10 years with great success!   Adjusting was tough for me-- it took over 5 months before the dizziness and light-headed would not be daily.  I still have vivid dreams and my weight just will not go down, (I don't need to lose much, but 20 lbs is tough enough to lose at 60!)  Dreams are my biggest problem.  I'm switching to Genvoya on Jan 1st.  Hopes for the best!",2017-12-19,9.0,drugs.com
Atripla,HIV,"I was diagnosed in 2007 and started Atripla in 2009 bout 18 months later.  Atripla is my only HIV medication so far, along other meds (Omeprazole, Crestor, 81mg aspirin, daily vitamins, etc.) and all is well. -- except for my dreams and weight.   It was really tough for my body to acclimate to Atripla .  I had night sweats, heavy nightmares, dizziness, bloating stomach, light headed disorientation, etc.   MY job is 24/7 emergency on call so I had to consciously omit the Atripla if I knew I had to be up in 4 hours.   All of that has mellowed for me-- but the dreams still are regular.  They vary from light & pleasant to dark and threatening.-- at times the dreams are so real I cannot tell the difference.  I question MY memory of specific events",2017-12-12,9.0,drugs.com
Atripla,HIV,"On it for 5 years. Viral load was 1300000 and CD4 count 120. Great medication. Within 6 months undetectable and current CD count 1300. Mild weight gain and can only take at bedtime as makes me drowsy, love the dreams.
Good medication",2017-11-18,,drugs.com
Atripla,HIV,I have been on Atripla for 10 years. I has been working for me,2017-08-24,10.0,drugs.com
Atripla,HIV,"Every night at bedtime I take my medication. sometimes its hard to get up and walk to the counter and get a glass of water to take a pill that is hard to swallow. YET... every night I do my ritual ALWAYS thinking of the beautiful people WHO COULDN'T take ANY medication because it hadn't been invented or wasn't available to them. All those beautiful bright eyes languishing away and we couldn't do anything for them. All those young boys and girls lost to a sea of despair. There was nothing we could do for them then.  Corny, I know but truth nevertheless. So I get to the counter for my ATRIPLA",2017-05-05,10.0,drugs.com
Atripla,HIV,"It was great to bring the viral load quickly to undetectable but otherwise it was not a great experience. Was on it for about 8 months.. Head aches, fatigue, weirdest dreams, irritability, depression and almost commit suicide. 
Got off that drug and a few days later I started to feel like myself again...",2017-03-15,3.0,drugs.com
Atripla,HIV,"I started taking Tribuss in December my Cd4 count was 450 and its end Feb my cd4 is 880 it really worked for me but the side effects on the 1st month were horrible from having hallucinations,insomnia but they getting better now the only problem is my mood swings,ever since I started taking Tribuss I feel very depressed and Tenarenz side effect are better than Tribuss",2017-02-27,8.0,drugs.com
Atripla,HIV,"Diagnosed in July 2016. I suspected it was HIV when I broke out in several(roughly 12) canker sores in Mouth. I googled this and HIV was listed as possible cause. Had no other symptoms. On August 9th before taking medication my results were Viral Count 396 and CD4 544. Been on Atripla since the 9th. As of November 11th my results were Undetectable and CD4 737. So it does work for me at least. The first few days/week I did have side effects. Basically dizziness. It was really bad first couple days. After first week I really.have not had side effects that I notice. I can't measure depression level of drug because 10 year relationship ended, diagnosed with cancer, and HIV diagnosis all same week kind of make anyone depressed. Take before bed!!",2016-11-25,10.0,drugs.com
