CalcLocation,Name,Address,City,State,Zip,formated_phone,Status,Icon,Type
"18.45591300,-67.14578000",FARMACIA SAN CARLOS,URB SAN CARLOS 3 CALLE LOS ANGELES,AGUADILLA,PR,6035833,787-891-1830,open,small_green,Pharmacy
"18.45101900,-67.15137500",FARMACIA BELLO,18 CALLE LUIS MUNOZ RIVERA,AGUADILLA,PR,603,787-891-1825,not participating,measle_white,Pharmacy
"18.45131900,-67.15139100",FARMACIA LA MILAGROSA,AVE SAN CARLOS,AGUADILLA,PR,603,787-891-1060,open,small_green,Pharmacy
"18.45591300,-67.14578000",FARMA AHORROS,492 VICTORIA AVE,AGUADILLA,PR,603,787-891-9281,unknown,small_yellow,Pharmacy
"18.45591300,-67.14578000",FARMACIA EL EDEN,CARR 110 KM 22 7 BO CEIBO BAJA,AGUADILLA,PR,603,787-882-2000,open,small_green,Pharmacy
"18.45591300,-67.14578000",SUPER FARMACIA JAYLEEN,CARR 110 KM 0 3 BO CEIBA BAJA,AGUADILLA,PR,603,787-891-4738,open,small_green,Pharmacy
"18.45591300,-67.14578000",WALGREENS #177,CARR. #2 KM. 12907 BO VICTORIA VICTORIA PLAZA,AGUADILLA,PR,603,787-882-8044,open,small_green,Pharmacy
"18.45437400,-67.15395000",PORTA DEL SOL FARMA,148 PEDRO ALBIZU CAMPOS,AGUADILLA,PR,603,787-891-6835,open,small_green,Pharmacy
"18.45591300,-67.14578000",FARMACIA BORINQUEN,CARRETERA 107 KM 3.5 BO BORINQUEN,AGUADILLA,PR,603,787-891-5479,open,small_green,Pharmacy
"18.45591300,-67.14578000",FARMACIA MODELO,CARR 459 BDA CABAN 160 A,AGUADILLA,PR,603,787-891-4723,not participating,measle_white,Pharmacy
"18.42293800,-67.15465200","FARMACIA EL PALMAR, INC.",CARR 111 Km 1 8 BARRIO PALMAR,AGUADILLA,PR,603,787-891-9158,open,small_green,Pharmacy
"18.45591300,-67.14578000",KMART PHARMACY4732,"Carr, #2, Km. 126.5, Bo. Caimital Alto",AGUADILLA,PR,603,787-819-1805,not participating,measle_white,Pharmacy
"18.49551000,-67.09867100",FARMACIA FARMACITY,AVENIDO GENERAL RAMEY STE 1052,SAN ANTONIO,PR,690,787-890-3340,open,small_green,Pharmacy
"18.45591300,-67.14578000",MALEZA EXPRESS PHARMACY,CARR 110 KM 8.9 BO MALEZA,AGUADILLA,PR,603,787-890-5515,open,small_green,Pharmacy
"18.46516200,-67.14148600",FARMACIA SAGRADO CORAZON,CARR 2 KM 122,AGUADILLA,PR,605,787-882-0135,open,small_green,Pharmacy
"18.45591300,-67.14578000",FARMACIA BUEN SAMARITANO,CARR 2 KM 141 POINT 1 AVE SEVERIANO CUEVA NUMBER 18 CAIMITAL BAJO,AGUADILLA,PR,603,787-658-0000,open,small_green,Pharmacy
"18.46516200,-67.14148600",FARMACIA MI SUENO,CARR 2 KM 123 PT 7 BARRIO CAIMITAL ALTO,AGUADILLA,PR,605,787-891-6969,open,small_green,Pharmacy
"18.45591300,-67.14578000",FARMACIA PORTA SALUD INC,BO. CAMASEYES CARR. 459 KM 3.1,AGUADILLA,PR,603,787-891-8822,open,small_green,Pharmacy
"18.45591300,-67.14578000",ESTEVES EXPRESS PHARMACY,CARR 459 KM 2 7,AGUADILLA,PR,603,787-891-5151,open,small_green,Pharmacy
"18.46516200,-67.14148600",FARMACIA SAN ANTONIO,CARR 110 KM 6.2 BO MONTANO POBLADO SAN ANTONIO,AGUADILLA,PR,605,787-890-3535,open,small_green,Pharmacy
"18.45591300,-67.14578000",FARMACIA JIREH,CARR 2 KM 122 CAIMITAL ALTO,AGUADILLA,PR,603,787-882-7900,open,small_green,Pharmacy
"18.46516200,-67.14148600",WALGREENS #12664,CC PLAZA BORINQUEN CARR 107 KM 3 1,AGUADILLA,PR,605,787-819-1326,open,small_green,Pharmacy
"18.45591300,-67.14578000",FAMILY PHARMACY,"CARR 110 KM 9.8 BO MALEZA ALTA, GATE 5 PLAZA",AGUADILLA,PR,603,787-890-8822,open,small_green,Pharmacy
"18.49352000,-67.13588300",RAMEY SUPER PHARMACY,BELT 703 RAMEY SHOPPING CENTER,AGUADILLA,PR,604,787-890-5222,not participating,measle_white,Pharmacy
"18.45591300,-67.14578000",Walgreens,"CARR. 2 INT. 107,KM.125.5 BO.CAIMITAL BAJO",Aguadilla,PR,603,787-819-3930,open,small_green,Pharmacy
"18.50481900,-67.12848300",Farmacia Del Carmen,CALLE PROGRESO 258,AGUADILLA,PR,603,787-891-2015,open,small_green,Pharmacy
"18.25039800,-66.12845000",FARMACIA SAN ANTONIO,CALLE RAFAEL LASA 31,AGUAS BUENAS,PR,703,787-732-3131,open,small_green,Pharmacy
"18.25039800,-66.12845000",Farmacia Am̩rica,"CALLE SALAS TORRES 3,ESQUINA MUNOZ RIVERA",AGUAS BUENAS,PR,703,787-732-1020,open,small_green,Pharmacy
"18.25039800,-66.12845000",FARMACIA GENERICA RAMALLOSA,BO MULAS CARRETERA 174 KM 21 1,AGUAS BUENAS,PR,703,787-732-7900,open,small_green,Pharmacy
"18.25039800,-66.12845000",FARMACIA DEL PUEBLO,44 CALLE RAFAEL LASA,AGUAS BUENAS,PR,703,787-732-2272,open,small_green,Pharmacy
"18.25039800,-66.12845000",Farmacia Nueva Inc.,CARR 156 KM 49.0 BO SUMIDERO,AGUAS BUENAS,PR,703,787-732-4799,open,small_green,Pharmacy
"18.25039800,-66.12845000",Farmacia La monserrate,34 Calle Munoz Rivera,Aguas Buenas,PR,7033208,787-732-7744,open,small_green,Pharmacy
"18.13925700,-66.25440400",FARMACIA SAN JOSE,CALLE SAN JOSE STE 59,AIBONITO,PR,705,787-735-2401,open,small_green,Pharmacy
"18.14036200,-66.26682800",FARMACIA MARY,15 Calle Ramon Flores NO 15,AIBONITO,PR,7053602,787-735-8723,open,small_green,Pharmacy
"18.12809200,-66.26871700",SUPER FARMACIA SAN JOSE,300 SAN JOSE ST ESQ M SERRALLES,AIBONITO,PR,705,787-735-3025,open,small_green,Pharmacy
"18.13925700,-66.25440400",FARMACIA SAN ANTONIO,CALLE JULIO CINTRON #203,AIBONITO,PR,7050606,787-735-6391,open,small_green,Pharmacy
"18.12809200,-66.26871700",FARMACIA REY #14,STREET 722 KM 7.3 BO ROBLES RABANAL HAPPY PLAZA MALL,AIBONITO,PR,705,787-735-5200,open,small_green,Pharmacy
"18.14163600,-66.26451300",FARMACIA YAMILA,CALLE PEDRO ROSARIO 20 SUITE 5E EDIF PLAZA AIBONITO,AIBONITO,PR,705,787-735-2456,open,small_green,Pharmacy
"18.13925700,-66.25440400",FARMACIA UNITY,CALLE SAN JOSE 51 OESTE,AIBONITO,PR,705,787-735-2241,open,small_green,Pharmacy
"18.13925700,-66.25440400",FARMACIA HOSPITAL MENONITA,CALLE JOSE C VAZQUEZ KM 0 2,AIBONITO,PR,7051379,787-735-0384,open,small_green,Pharmacy
"18.12809200,-66.26871700",FARMACIA ANDREA,CARR 14 KM 46 5 BO ASOMANTE,AIBONITO,PR,705,787-735-1385,open,small_green,Pharmacy
"18.13808500,-66.27140600",Walgreens,"PR #14, KM 51.5 Bo Pueblo Sec Pueblo Norte",Aibonito,PR,705,787-991-7355,open,small_green,Pharmacy
"18.28868500,-67.13969600",FARMACIA DEL CARMEN,AVE 65 INFANTERIA 68,ANASCO,PR,6102902,787-826-2390,open,small_green,Pharmacy
"18.28279300,-67.14080800",FARMACIA BRAU,17 Calle San Antonio NUMERO 17,ANASCO,PR,6100144,787-826-4400,open,small_green,Pharmacy
"18.28361500,-67.13875500","FARMACIA SAGRADO CORAZON, INC",CARR 402 KM 6.1 BO PINALES,ANASCO,PR,610,787-826-3188,open,small_green,Pharmacy
"18.28361500,-67.13875500",FARMACIA LAS COLINAS,carr 402 km 2.9 Bo quebrada larga,ANASCO,PR,610,787-826-8888,open,small_green,Pharmacy
"18.28868500,-67.13969600",WALGREENS #1476,PR 2 AND PR 402,ANASCO,PR,610,787-826-1090,open,small_green,Pharmacy
"18.28868500,-67.13969600",SUPER FARMACIA LUVAMAR,Edif.Paseo del Rio Carr. 405 km. 0.9 Bo. Carreras,ANASCO,PR,610,787-826-9292,open,small_green,Pharmacy
"18.28868500,-67.13969600",FARMACIA TRES HERMANOS INC,CARR 401 KM 0.9 BO PLAYA,ANASCO,PR,610,787-826-6453,not participating,measle_white,Pharmacy
"18.28361500,-67.13875500",Farmacia Belmonte del Oeste,Carr. 402 KM 1.8 Bo. Marias,Anasco,PR,610,787-229-1150,open,small_green,Pharmacy
"18.28868500,-67.13969600",Farmacia Genesis,59 Calle Daguey,Anasco,PR,6102602,787-229-1313,open,small_green,Pharmacy
"18.28868500,-67.13969600",Farmacia Genesis II,CARR 109 KM 2 5 PLAZA SALCEDO,ANASCO,PR,610,787-826-4145,open,small_green,Pharmacy
"18.28868500,-67.13969600",FARMACIA IGUALDAD,67 CALLE 65 INFANTERIA,ANASCO,PR,610,787-826-2545,open,small_green,Pharmacy
"18.28868500,-67.13969600",Empresas Jireh,Carr 401 Km 0.9 Bo Playa,Anasco,PR,610,787-826-6453,not participating,measle_white,Pharmacy
"18.40223900,-66.71140000",WALGREENS,Carr 2 KM 160.1 Esq Car 343,Hormigueros,PR,612,787-831-9251,open,small_green,Pharmacy
"18.47147900,-66.71790700",FARMACIA MARILU,CALLE SAN FELIPE 165,ARECIBO,PR,6124605,787-878-1120,open,small_green,Pharmacy
"18.42967500,-66.67450600",FARMACIA KEITHA,CENTRO COMERCIAL VISTA AZUL,ARECIBO,PR,614,787-878-1800,open,small_green,Pharmacy
"18.40223900,-66.71140000",SUPER FARMACIA LOPEZ,BO JAREALITOS #62 CALLE 1,ARECIBO,PR,612,787-879-5058,open,small_green,Pharmacy
"18.45809300,-66.73273200",FARMACIA GREEN,CARR 635 KM 0.1 BO. DOMINGUITO,ARECIBO,PR,613,787-680-4000,open,small_green,Pharmacy
"18.40223900,-66.71140000",FARMACIA CENTRAL,211 AVE JOSE DE DIEGO,ARECIBO,PR,612,787-879-5284,open,small_green,Pharmacy
"18.40223900,-66.71140000",PROFESSIONAL PHARMACY,CARR NUM 2 KM 62 7 BARRIO SABANA HOYOS,ARECIBO,PR,612,787-881-2440,not participating,measle_white,Pharmacy
"18.40223900,-66.71140000",FARMACIA LOPEZ REFORMADA,418 Ave Jose De Diego,ARECIBO,PR,6124356,787-878-0535,not participating,measle_white,Pharmacy
"18.38226400,-66.62643800",Farmacia Sabana Hoyos,ROAD 639 KM 4.8,SABANA HOYOS,PR,688,787-881-4626,not participating,measle_white,Pharmacy
"18.47183700,-66.73495800",KMART PHARMACY7566,"Ave. Miramar #1400, Suite 18",ARECIBO,PR,612,787-879-3696,not participating,measle_white,Pharmacy
"18.40223900,-66.71140000",FARMACIA CDT POLICLINICA FAMILIAR FACTOR,CARR 2 KM 65 6 BO,ARECIBO,PR,612,787-881-9282,open,small_green,Pharmacy
"18.40223900,-66.71140000",FARMACIA SANTA ANA,CARR 2 KM 69 8 BARRIO SANTANA,ARECIBO,PR,612,787-881-2035,not participating,measle_white,Pharmacy
"18.42041300,-66.67197900",FARMACIA DEL PUEBLO,AVE SANTIAGO IGLESIAS 158,ARECIBO,PR,616,787-878-2450,open,small_green,Pharmacy
"18.40223900,-66.71140000",Super Farmacia Paco,Carr 662 Calle Marginal Bo. Santana,ARECIBO,PR,612,787-881-7872,open,small_green,Pharmacy
"18.40223900,-66.71140000",SUPER FARMACIA VISALMARY,CARR 638 KM 6 MIRAFLORES,ARECIBO,PR,612,787-650-3301,not participating,measle_white,Pharmacy
"18.40223900,-66.71140000",FARMACIA EL JUNCO,CARR 651 KM 2 5 SECTOR EL JUNCO BO HATO ARRIBA,ARECIBO,PR,612,787-650-2399,open,small_green,Pharmacy
"18.47901100,-66.69082900",ISLOTE DRUG INC,CARR 681 KM 4.3 BARRIO ISLOTE,ARECIBO,PR,612,787-815-2345,open,small_green,Pharmacy
"18.40223900,-66.71140000",FARMACIA DEL CARMEN,259 AVE JUAN ROSADO,ARECIBO,PR,6124857,787-878-3510,open,small_green,Pharmacy
"18.47491500,-66.72038200",Metro Pharmacy,VICTOR ROJAS II ZONA INDUSTRIAL CARR 129,ARECIBO,PR,612,787-816-2156,not participating,measle_white,Pharmacy
"18.44983300,-66.74149700",WALGREENS #1463,PR 10 AND SHOP CENTER,ARECIBO,PR,612,787-880-0384,open,small_green,Pharmacy
"18.40223900,-66.71140000",FARMACIA VICTORIA,Carr. 129 KM 5.0 Bo. HATO ARRIBA,ARECIBO,PR,6129613,787-878-6665,open,small_green,Pharmacy
"18.40223900,-66.71140000",FARMACIA LOS PINOS,EDIT F SOTO ZONA INDUSTRIAL CARR 2 KM 67 PT 7,ARECIBO,PR,612,787-881-3434,open,small_green,Pharmacy
"18.40223900,-66.71140000",WALGREENS,Carr 129 KM 43.9 Bo Hato Abajo,ARECIBO,PR,612,787-815-0785,open,small_green,Pharmacy
"18.40223900,-66.71140000",PROFESSIONAL PHARMACY,Ave. Catalina #104 Bo. Hato Abajo,Arecibo,PR,612,787-879-4770,not participating,measle_white,Pharmacy
"18.46253600,-66.73101400",SUPER FARMACIA VILLA TOLEDO,132 Calle Umbral Villa Toledo,Arecibo,PR,6129689,787-817-4747,not participating,measle_white,Pharmacy
"18.40223900,-66.71140000",FARMACIA VELEZ,683 Km 0.5 Bo. Factor 1,ARECIBO,PR,612,787-881-6300,open,small_green,Pharmacy
"18.40223900,-66.71140000",CVS Pharmacy #04081,Carr. PR-2 Km.77.6,Arecibo,PR,612,787-880-4240,open,small_green,Pharmacy
"18.40223900,-66.71140000",Farmacia Dominguito Inc.,carr 635 km 2.0,Arecibo,PR,612,787-879-1862,open,small_green,Pharmacy
"18.42967500,-66.67450600",Metro Pharmacy Arecibo,carretera 129 km 0.1 Hospital Cayetano Coll y Toste,Arecibo,PR,614,787-647-5745,not participating,measle_white,Pharmacy
"18.40223900,-66.71140000",Good Care Pharmacy Inc,carr #2 Km 68 Bo Santana,Arecibo,PR,612,787-878-9945,open,small_green,Pharmacy
"18.40223900,-66.71140000",Jireh Pharmacy,Bo. Hato Abajo Urb. San Rafael carr 492 km 5.7,Arecibo,PR,612,787-680-7778,open,small_green,Pharmacy
"18.40223900,-66.71140000",Farmacia 129,Carr 129 Km 0.7 Esq. Ave. Pedro Mora Bo Hato Abajo,Arecibo,PR,612,787-680-0029,open,small_green,Pharmacy
"18.45690700,-66.72526900",Farmacia CSM Arecibo,Calle Cervantes # 50,Arecibo,PR,612,787-680-2190,open,small_green,Pharmacy
"17.96498100,-66.06452300",FARMACIA DEL CARMEN,75 CALLE MORSE,ARROYO,PR,7142806,787-839-1769,open,small_green,Pharmacy
"17.96498100,-66.06452300",FARMACIA SAN CARLOS III,CALLE MORSE 212,ARROYO,PR,7142328,787-839-3095,open,small_green,Pharmacy
"17.96751000,-66.04138000",Farmacia Feliciano 3,URB JARDINES DE LAFAYETTE C-1 Calle A,ARROYO,PR,714,787-271-1691,open,small_green,Pharmacy
"17.96751000,-66.04138000",Walgreens,"Carr 3, KM 1 Palmas Ave Paseo, El Faro",Arroyo,PR,714,787-839-8505,open,small_green,Pharmacy
"18.45344200,-66.53920500",FARMACIA DEL CARMEN,32 CALLE GEORGETTI,BARCELONETA,PR,6170427,787-846-2170,open,small_green,Pharmacy
"18.45344200,-66.53920500",FARMACIA SAN FRANCISCO,CALLE GEORGETTI 24,BARCELONETA,PR,617,787-846-2630,open,small_green,Pharmacy
"18.45324000,-66.53907500",FARMACIA SAN MARTIN BARCELONTA,9 Calle Georgetti,BARCELONETA,PR,6172712,787-846-3474,open,small_green,Pharmacy
"18.44709200,-66.54425500",FARMACIA ORTEGA,GEORGETTI 13,BARCELONETA,PR,617,787-846-2410,open,small_green,Pharmacy
"18.44709200,-66.54425500",BARCELONETA PRIMARY HEALTH SERVICES,CARR NUMBER 2M KM 57 8,BARCELONETA,PR,617,787-846-4412,open,small_green,Pharmacy
"18.44709200,-66.54425500",FARMACIA ESTRELLA 2,CARR 2 KM 57 1,BARCELONETA,PR,617,787-846-4583,open,small_green,Pharmacy
"18.45745700,-66.60410100",FARMACIA GARROCHALES,CARR 682 KM 3.3 BO GARROCHALES,BARCELONETA,PR,617,787-621-6500,not participating,measle_white,Pharmacy
"18.45069700,-66.54042400",FARMACIA LA NUEVA BARCELONETA,"CARR 140 KM 67.5 BO FLORIDA AFUERA, LLANADAS",BARCELONETA,PR,617,787-970-3542,open,small_green,Pharmacy
"18.45069700,-66.54042400",Pharmamed Pharmacy,CARR 140 KM 63.4 BO FLORIDA AFUERA,BARCELONETA,PR,617,787-846-7100,open,small_green,Pharmacy
"18.45325300,-66.53955300",FARMACIA BARCELONETA,CALLE JUAN T PUIG Ste 1,BARCELONETA,PR,617,787-846-0125,not participating,measle_white,Pharmacy
"18.44709200,-66.54425500",WALGREENS #7564,"Carr. 2, Interseccion Carr. 140 Bo. Manati Abajo",Barceloneta,PR,617,787-846-6829,open,small_green,Pharmacy
"18.44709200,-66.54425500",WalMart Pharmacy 10-2302,Carr 2 KM56.80,Barceloneta,PR,617,787-970-8107,open,small_green,Pharmacy
"18.45069700,-66.54042400",Tu Farmacia,Carr 140 Km 63.4 Bo. Magueyes,Barceloneta,PR,617,787-846-4848,open,small_green,Pharmacy
"18.44709200,-66.54425500",FARMACIA CARIDAD OUTLET,Carr 2 Km 54.6 Interior Prime Outlets Boulevard Local 2,Barceloneta,PR,617,787-786-6385,open,small_green,Pharmacy
"18.44709200,-66.54425500",Farmacia GenRx of Puerto Rico,1 Calle Tomas Davila,Barceloneta,PR,6172798,844-637-1810,not participating,measle_white,Pharmacy
"18.20089800,-66.30723600",FARMACIA CENTRAL,CALLE BARCELO 96,BARRANQUITAS,PR,7941698,787-857-2750,open,small_green,Pharmacy
"18.20089800,-66.30723600",FARMACIA PEDRAZA INC,CALLE BARCELO 14,BARRANQUITAS,PR,7941734,787-857-4635,open,small_green,Pharmacy
"18.20089800,-66.30723600",FARMACIA GABRIELA,CAR 156 KM 14.6 LA VEGA,BARRANQUITAS,PR,7941631,787-857-0775,not participating,measle_white,Pharmacy
"18.20089800,-66.30723600",FARMACIA DEL PUEBLO,CARR. 156 KM 16.8 SECTOR EL PORTON,BARRANQUITAS,PR,794,787-857-3035,open,small_green,Pharmacy
"18.20089800,-66.30723600",FARMACIA REY #24,CARR 156 KM 13 4 BARRIO PALO HINCADO,BARRANQUITAS,PR,794,787-857-3980,open,small_green,Pharmacy
"18.20089800,-66.30723600",FARMACIA DIAZ,CARRETERA 152 KM 2.8 BARRIO QUEBRADILLAS,BARRANQUITAS,PR,794,787-857-7954,open,small_green,Pharmacy
"18.20089800,-66.30723600",Farmacia Carimas,Carretera 152 Km 8.0 Barrio Quebradillas,Barranquitas,PR,794,787-857-8800,not participating,measle_white,Pharmacy
"18.20089800,-66.30723600",BEST PHARMACY,CARR 771 KM 5 3 BO BARRANCA,BARRANQUITAS,PR,794,787-857-5522,open,small_green,Pharmacy
"18.37299500,-66.17977500",WALGREENS,CARR. 167 CALLE MARGINAL OESTE PLAZA TROPICAL BO. CERRO GORDO,BAYAMON,PR,956,787-395-7480,open,small_green,Pharmacy
"18.32670200,-66.17417600",SUPER FARMACIA CENTRAL,"CARRETERA 167 KM 10.6, BARRIO DAJAOS",BAYAMON,PR,956,787-797-5555,open,small_green,Pharmacy
"18.38705800,-66.15904400",FARMACIA PLAZA 2,marginal d 32 ext forest hills,bayamon,PR,959,787-620-9602,open,small_green,Pharmacy
"18.38876100,-66.18596000","FARMACIA LOUDGAR, RODRIGUEZ SANTOS.INC",135 Calle Los Millones,BAYAMON,PR,957,787-785-2001,open,small_green,Pharmacy
"18.32670200,-66.17417600",FARMACIA MAGDA,uu48 Calle 37,BAYAMON,PR,9564789,787-786-0755,open,small_green,Pharmacy
"18.37323700,-66.17995300",Farmacia Cristina 5,246 COMERIO ST,BAYAMON,PR,9595358,787-785-3050,open,small_green,Pharmacy
"18.39831000,-66.15944800",FARMACIA PLAZA 1,CALLE DR VEVE 76,BAYAMON,PR,961,787-620-9601,open,small_green,Pharmacy
"18.41319500,-66.16865100",FARMACIA PLAZA 3,57 BARBOSA STREET,BAYAMON,PR,961,787-620-9603,open,small_green,Pharmacy
"18.36664500,-66.18390700",SUPER FARMACIA SANTA MONICA,URB SANTA MONICA A 17 CALLE 13,BAYAMON,PR,957,787-786-0455,open,small_green,Pharmacy
"18.32670200,-66.17417600",FARMACIA PLAZA 4,RIVERVIEW #2 BLQ.L2 C/10,BAYAMON,PR,956,787-620-9604,open,small_green,Pharmacy
"18.41319500,-66.16865100",WALGREENS,DRIVE IN PLAZA CARR 2 AND LOS DOMINICOS,BAYAMON,PR,961,787-785-9176,open,small_green,Pharmacy
"18.37323700,-66.17995300",FARMACIA PLAZA 13,CARR 167 KM 15 4 BO BUENA VISTA,BAYAMON,PR,957,787-620-9613,open,small_green,Pharmacy
"18.37299500,-66.17977500",WALGREENS,Carr 167 KM 18.8 Urb Rexville,BAYAMON,PR,956,787-799-4699,open,small_green,Pharmacy
"18.38876100,-66.18596000",La Nueva Mariana,CALLE 9 L 2 REXVILLE,BAYAMON,PR,9572512,787-797-3969,open,small_green,Pharmacy
"18.38705800,-66.15904400",Farmacia Cristina,200 AVE ORQUIDEA 5 RPTO VALENCIA,BAYAMON,PR,959,787-786-1084,open,small_green,Pharmacy
"18.41319500,-66.16865100",FARMACIA PLAZA 6,Centro Comercial CANTON MALL,BAYAMON,PR,961,787-620-6906,open,small_green,Pharmacy
"18.34487000,-66.16601400",FARMACIA PLAZA 15,AVE LOS DOMINICOS ESQ CALLE 25 URB MIRAFLORES,BAYAMON,PR,958,787-620-9615,open,small_green,Pharmacy
"18.37299500,-66.17977500",WALGREENS #11430,"CARR 167, ESQUINA  PR 22 BO JUAN SANCHEZ",BAYAMON,PR,959,787-795-8436,open,small_green,Pharmacy
"18.38730400,-66.14615600",Farmacia La Familia,Carr 174 Esq Calle 10 Barrio Juan Sanchez 153A,Bayamon,PR,959,787-798-4533,open,small_green,Pharmacy
"18.36664500,-66.18390700",FARMARKET BELLA VISTA,1 Bella Vista   Comm Ctr STE 1A,BAYAMON,PR,957,787-797-2709,open,small_green,Pharmacy
"18.41691900,-66.14579500",BAYAMON MEDICAL PHARMACY AND CAFETERIA INC,CARR 2 KM 11 2 BAYAMON MED PLAZA,BAYAMON,PR,960,787-786-8221,open,small_green,Pharmacy
"18.41563200,-66.17181300",FARMACIA PARQUE,CALLE PARQUE 6,BAYAMON,PR,9616125,787-785-7284,open,small_green,Pharmacy
"18.37299500,-66.17977500",FARMACIA IDELISSE,CARR 167 KM 9.5 BO DAJAOS,BAYAMON,PR,956,787-730-3508,open,small_green,Pharmacy
"18.38705800,-66.15904400",FARMACIA GUISTI,Villa Rica AJ16 Sonia St,BAYAMON,PR,9594918,787-785-5487,open,small_green,Pharmacy
"18.32670200,-66.17417600",Farmacias Caridad,Bo. Hato Tejas CARR 862 KM 1.9 Bayamon,BAYAMON,PR,956,787-269-3140,open,small_green,Pharmacy
"18.36575600,-66.17041000",FARMACIA PLAZA 9,AVE LAS CUMBRES X 1,BAYAMON,PR,957,787-620-9609,open,small_green,Pharmacy
"18.37038200,-66.15493200",WALGREENS,AVE LAUREL  G1 SANTA JUANITA,BAYAMON,PR,956,787-269-4250,open,small_green,Pharmacy
"18.40144400,-66.19174600",FARMACIA SAN PABLO,CALLE SANTA CRUZ 68 SUITE 2,BAYAMON,PR,960,787-620-4747,open,small_green,Pharmacy
"18.41319500,-66.16865100",BIG SAVE PHARMACY,Ave West Main Blq 51 #30 Sierra Bayamon,BAYAMON,PR,961,787-740-8065,open,small_green,Pharmacy
"18.41550700,-66.16197000",KMART PHARMACY7570,"Ave. Comerio, Plaza Rio Hondo",Bayamon,PR,961,787-795-5088,not participating,measle_white,Pharmacy
"18.37323700,-66.17995300",KMART PHARMACY7788,"Carr. 167, Ave. Las Cumbres, Plaza Mayor LAS CIMBRES, PLAZA MAYOR",Bayamon,PR,957,787-730-2615,open,small_green,Pharmacy
"18.32670200,-66.17417600",FARMACIA SANTA TERESITA,Urb. Santa Juanita UU-1 Calle 39 PMB 592,BAYAMON,PR,956,787-786-8692,open,small_green,Pharmacy
