"Date Printed: Sunday, February 9, 2020 10:50:02 PM"
Title: HIV viral suppression | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories

NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Percent,Population
"HIV viral suppression","2015","Mississippi","28","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","4,292",49.1,"8,737"
"HIV viral suppression","2014","Mississippi","28","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","3,659",43.1,"8,499"
"HIV viral suppression","2013","Mississippi","28","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,855",34.5,"8,278"
"HIV viral suppression","2012","Mississippi","28","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Mississippi","28","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Mississippi","28","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Missouri","29","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","11,551",62.3,"7,198"
"HIV viral suppression","2015","Missouri","29","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7,280",63.9,"11,394"
"HIV viral suppression","2014","Missouri","29","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7,057",63.8,"11,061"
"HIV viral suppression","2013","Missouri","29","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6,596",60.7,"10,864"
"HIV viral suppression","2012","Missouri","29","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6,247",59.3,"10,543"
"HIV viral suppression","2011","Missouri","29","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","4,155",40.7,"10,221"
"HIV viral suppression","2010","Missouri","29","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","4,636",47.3,"9,807"
"HIV viral suppression","2016","Montana","30","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","566",79.7,"451"
"HIV viral suppression","2015","Montana","30","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","433",78,"555"
"HIV viral suppression","2014","Montana","30","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","417",78.8,"529"
"HIV viral suppression","2013","Montana","30","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2012","Montana","30","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Montana","30","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Montana","30","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Nebraska","31","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,008",63.1,"1,268"
"HIV viral suppression","2015","Nebraska","31","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,169",60.2,"1,942"
"HIV viral suppression","2014","Nebraska","31","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,004",53.3,"1,882"
"HIV viral suppression","2013","Nebraska","31","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,107",60,"1,846"
"HIV viral suppression","2012","Nebraska","31","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,064",59.3,"1,793"
"HIV viral suppression","2011","Nebraska","31","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Nebraska","31","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","894",53.6,"1,669"
"HIV viral suppression","2016","Nevada","32","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2015","Nevada","32","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
