Full Name,Geography Type,Measure,Year,Diagnosis,Rate,PrEP Users,PrEP Rates,Male PrEP Users,Male PrEP Rate,Female PrEP Users,Female PrEP Rate,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 55+ PrEP Users,Age 55+ PrEP Rate
Arkansas,State,New Diagnosis,2010,234,9.7,,,,,,,,,,,,,,,,
California,State,New Diagnosis,2010,5272,17.1,,,,,,,,,,,,,,,,
Colorado,State,New Diagnosis,2010,419,10.1,,,,,,,,,,,,,,,,
Connecticut,State,New Diagnosis,2010,388,12.9,,,,,,,,,,,,,,,,
Delaware,State,New Diagnosis,2010,123,16.3,,,,,,,,,,,,,,,,
District of Columbia,State,New Diagnosis,2010,799,150.5,,,,,,,,,,,,,,,,
Florida,State,New Diagnosis,2010,4632,28.9,,,,,,,,,,,,,,,,
Georgia,State,New Diagnosis,2010,2653,33.5,,,,,,,,,,,,,,,,
Hawaii,State,New Diagnosis,2010,102,8.9,,,,,,,,,,,,,,,,
Idaho,State,New Diagnosis,2010,44,3.5,,,,,,,,,,,,,,,,
Illinois,State,New Diagnosis,2010,1657,15.6,,,,,,,,,,,,,,,,
Indiana,State,New Diagnosis,2010,486,9.1,,,,,,,,,,,,,,,,
Iowa,State,New Diagnosis,2010,114,4.5,,,,,,,,,,,,,,,,
Kansas,State,New Diagnosis,2010,136,5.8,,,,,,,,,,,,,,,,
Kentucky,State,New Diagnosis,2010,331,9.2,,,,,,,,,,,,,,,,
Louisiana,State,New Diagnosis,2010,1112,29.8,,,,,,,,,,,,,,,,
Maine,State,New Diagnosis,2010,56,4.9,,,,,,,,,,,,,,,,
Maryland,State,New Diagnosis,2010,1740,36,,,,,,,,,,,,,,,,
Massachusetts,State,New Diagnosis,2010,708,12.7,,,,,,,,,,,,,,,,
Michigan,State,New Diagnosis,2010,762,9.2,,,,,,,,,,,,,,,,
Minnesota,State,New Diagnosis,2010,335,7.6,,,,,,,,,,,,,,,,
Mississippi,State,New Diagnosis,2010,452,18.6,,,,,,,,,,,,,,,,
Missouri,State,New Diagnosis,2010,569,11.4,,,,,,,,,,,,,,,,
Montana,State,New Diagnosis,2010,20,2.4,,,,,,,,,,,,,,,,
Nebraska,State,New Diagnosis,2010,115,7.7,,,,,,,,,,,,,,,,
Nevada,State,New Diagnosis,2010,373,16.8,,,,,,,,,,,,,,,,
New Hampshire,State,New Diagnosis,2010,50,4.5,,,,,,,,,,,,,,,,
New Jersey,State,New Diagnosis,2010,1348,18.4,,,,,,,,,,,,,,,,
New Mexico,State,New Diagnosis,2010,147,8.7,,,,,,,,,,,,,,,,
New York,State,New Diagnosis,2010,3915,23.9,,,,,,,,,,,,,,,,
North Carolina,State,New Diagnosis,2010,1436,18.1,,,,,,,,,,,,,,,,
North Dakota,State,New Diagnosis,2010,13,2.3,,,,,,,,,,,,,,,,
Ohio,State,New Diagnosis,2010,982,10.2,,,,,,,,,,,,,,,,
Oklahoma,State,New Diagnosis,2010,286,9.3,,,,,,,,,,,,,,,,
Oregon,State,New Diagnosis,2010,237,7.4,,,,,,,,,,,,,,,,
Pennsylvania,State,New Diagnosis,2010,1480,13.8,,,,,,,,,,,,,,,,
Rhode Island,State,New Diagnosis,2010,115,12.8,,,,,,,,,,,,,,,,
South Carolina,State,New Diagnosis,2010,767,19.9,,,,,,,,,,,,,,,,
South Dakota,State,New Diagnosis,2010,32,4.8,,,,,,,,,,,,,,,,
Tennessee,State,New Diagnosis,2010,856,16.2,,,,,,,,,,,,,,,,
Texas,State,New Diagnosis,2010,4455,22,,,,,,,,,,,,,,,,
Utah,State,New Diagnosis,2010,85,4,,,,,,,,,,,,,,,,
Vermont,State,New Diagnosis,2010,20,3.7,,,,,,,,,,,,,,,,
Virginia,State,New Diagnosis,2010,994,14.9,,,,,,,,,,,,,,,,
Washington,State,New Diagnosis,2010,538,9.6,,,,,,,,,,,,,,,,
West Virginia,State,New Diagnosis,2010,73,4.6,,,,,,,,,,,,,,,,
Wisconsin,State,New Diagnosis,2010,252,5.3,,,,,,,,,,,,,,,,
Wyoming,State,New Diagnosis,2010,19,4.1,,,,,,,,,,,,,,,,
Alabama,State,New Diagnosis,2011,683,17.1,,,,,,,,,,,,,,,,
Alaska,State,New Diagnosis,2011,24,4.1,,,,,,,,,,,,,,,,
Arizona,State,New Diagnosis,2011,563,10.6,,,,,,,,,,,,,,,,
Arkansas,State,New Diagnosis,2011,241,9.9,,,,,,,,,,,,,,,,
California,State,New Diagnosis,2011,5044,16.2,,,,,,,,,,,,,,,,
Colorado,State,New Diagnosis,2011,363,8.6,,,,,,,,,,,,,,,,
Connecticut,State,New Diagnosis,2011,350,11.6,,,,,,,,,,,,,,,,
Delaware,State,New Diagnosis,2011,114,15,,,,,,,,,,,,,,,,
District of Columbia,State,New Diagnosis,2011,638,117.8,,,,,,,,,,,,,,,,
Florida,State,New Diagnosis,2011,4570,28.1,,,,,,,,,,,,,,,,
Georgia,State,New Diagnosis,2011,2662,33.3,,,,,,,,,,,,,,,,
Hawaii,State,New Diagnosis,2011,81,7,,,,,,,,,,,,,,,,
Idaho,State,New Diagnosis,2011,35,2.8,,,,,,,,,,,,,,,,
Illinois,State,New Diagnosis,2011,1617,15.2,,,,,,,,,,,,,,,,
Indiana,State,New Diagnosis,2011,465,8.7,,,,,,,,,,,,,,,,
Iowa,State,New Diagnosis,2011,112,4.4,,,,,,,,,,,,,,,,
Kansas,State,New Diagnosis,2011,135,5.8,,,,,,,,,,,,,,,,
Kentucky,State,New Diagnosis,2011,310,8.5,,,,,,,,,,,,,,,,
Louisiana,State,New Diagnosis,2011,1192,31.6,,,,,,,,,,,,,,,,
Maine,State,New Diagnosis,2011,52,4.6,,,,,,,,,,,,,,,,
Maryland,State,New Diagnosis,2011,1420,29.1,,,,,,,,,,,,,,,,
Massachusetts,State,New Diagnosis,2011,678,12.1,,,,,,,,,,,,,,,,
Michigan,State,New Diagnosis,2011,771,9.3,,,,,,,,,,,,,,,,
Minnesota,State,New Diagnosis,2011,295,6.7,,,,,,,,,,,,,,,,
Mississippi,State,New Diagnosis,2011,525,21.5,,,,,,,,,,,,,,,,
Missouri,State,New Diagnosis,2011,524,10.5,,,,,,,,,,,,,,,,
Montana,State,New Diagnosis,2011,22,2.6,,,,,,,,,,,,,,,,
Nebraska,State,New Diagnosis,2011,79,5.3,,,,,,,,,,,,,,,,
Nevada,State,New Diagnosis,2011,382,17.1,,,,,,,,,,,,,,,,
New Hampshire,State,New Diagnosis,2011,39,3.5,,,,,,,,,,,,,,,,
New Jersey,State,New Diagnosis,2011,1175,15.9,,,,,,,,,,,,,,,,
New Mexico,State,New Diagnosis,2011,138,8.1,,,,,,,,,,,,,,,,
New York,State,New Diagnosis,2011,3772,22.9,,,,,,,,,,,,,,,,
North Carolina,State,New Diagnosis,2011,1433,17.9,,,,,,,,,,,,,,,,
North Dakota,State,New Diagnosis,2011,12,2.1,,,,,,,,,,,,,,,,
Ohio,State,New Diagnosis,2011,1042,10.8,,,,,,,,,,,,,,,,
Oklahoma,State,New Diagnosis,2011,311,10,,,,,,,,,,,,,,,,
Oregon,State,New Diagnosis,2011,239,7.3,,,,,,,,,,,,,,,,
Pennsylvania,State,New Diagnosis,2011,1380,12.8,,,,,,,,,,,,,,,,
Rhode Island,State,New Diagnosis,2011,100,11.1,,,,,,,,,,,,,,,,
South Carolina,State,New Diagnosis,2011,741,19,,,,,,,,,,,,,,,,
South Dakota,State,New Diagnosis,2011,20,3,,,,,,,,,,,,,,,,
Tennessee,State,New Diagnosis,2011,844,15.8,,,,,,,,,,,,,,,,
Texas,State,New Diagnosis,2011,4280,20.8,,,,,,,,,,,,,,,,
Utah,State,New Diagnosis,2011,107,5,,,,,,,,,,,,,,,,
Vermont,State,New Diagnosis,2011,13,2.4,,,,,,,,,,,,,,,,
Virginia,State,New Diagnosis,2011,897,13.3,,,,,,,,,,,,,,,,
Washington,State,New Diagnosis,2011,479,8.4,,,,,,,,,,,,,,,,
West Virginia,State,New Diagnosis,2011,85,5.4,,,,,,,,,,,,,,,,
Wisconsin,State,New Diagnosis,2011,242,5.1,,,,,,,,,,,,,,,,
Wyoming,State,New Diagnosis,2011,15,3.2,,,,,,,,,,,,,,,,
Alabama,State,New Diagnosis,2012,666,16.6,63,2,35,2,28,1,7,1,17,3,13,2,16,2,9,1
Alaska,State,New Diagnosis,2012,28,4.7,8,1,6,2,2,1,-1,-1,2,2,2,2,2,2,2,1
Arizona,State,New Diagnosis,2012,620,11.5,171,3,89,3,82,3,23,2,54,6,40,5,33,4,22,1
Arkansas,State,New Diagnosis,2012,247,10.1,41,2,18,2,23,2,7,1,12,3,12,3,6,2,4,0
California,State,New Diagnosis,2012,5050,16.1,1063,3,767,5,296,2,92,1,316,6,289,6,227,4,140,2
Colorado,State,New Diagnosis,2012,371,8.6,98,2,57,3,41,2,17,2,32,4,27,4,17,2,5,0
Connecticut,State,New Diagnosis,2012,291,9.6,180,6,76,5,104,7,40,7,62,14,43,9,18,3,16,2
Delaware,State,New Diagnosis,2012,137,17.8,46,6,18,5,28,7,13,9,14,12,13,12,3,2,3,1
District of Columbia,State,New Diagnosis,2012,570,103.1,82,15,59,23,23,8,13,12,26,19,25,29,8,11,9,6
Florida,State,New Diagnosis,2012,4375,26.5,838,5,464,6,374,4,107,4,231,10,204,8,186,7,109,2
Georgia,State,New Diagnosis,2012,2618,32.3,280,3,151,4,129,3,27,2,106,8,69,5,54,4,24,1
Hawaii,State,New Diagnosis,2012,82,7,26,2,12,2,14,2,2,1,9,5,3,2,5,3,7,2
Idaho,State,New Diagnosis,2012,37,2.9,10,1,4,1,6,1,3,1,5,2,1,1,1,0,-1,-1
Illinois,State,New Diagnosis,2012,1647,15.4,332,3,185,4,147,3,55,3,82,5,79,5,73,4,43,1
Indiana,State,New Diagnosis,2012,491,9.1,104,2,54,2,50,2,29,3,29,3,24,3,14,2,8,0
Iowa,State,New Diagnosis,2012,116,4.5,60,2,22,2,38,3,12,2,23,6,8,2,11,3,6,1
Kansas,State,New Diagnosis,2012,151,6.4,54,2,27,2,27,2,11,2,21,6,11,3,7,2,3,0
Kentucky,State,New Diagnosis,2012,360,9.9,49,1,23,1,26,1,13,2,12,2,13,2,9,1,1,0
Louisiana,State,New Diagnosis,2012,1020,26.9,105,3,58,3,47,2,9,1,33,5,31,5,18,3,14,1
Maine,State,New Diagnosis,2012,48,4.2,29,3,14,3,15,3,5,3,8,5,7,4,6,3,3,1
Maryland,State,New Diagnosis,2012,1326,26.9,197,4,106,4,91,4,25,3,78,10,36,5,38,4,17,1
Massachusetts,State,New Diagnosis,2012,704,12.4,790,14,315,12,475,16,197,18,272,31,147,17,103,10,70,4
Michigan,State,New Diagnosis,2012,789,9.5,142,2,85,2,57,1,22,1,46,4,32,3,23,2,19,1
Minnesota,State,New Diagnosis,2012,314,7.1,105,2,54,2,51,2,20,2,32,4,20,3,24,3,9,1
Mississippi,State,New Diagnosis,2012,443,18.1,37,2,15,1,22,2,5,1,13,3,5,1,9,2,5,1
Missouri,State,New Diagnosis,2012,529,10.5,76,2,50,2,26,1,14,1,25,3,22,3,9,1,6,0
Montana,State,New Diagnosis,2012,20,2.4,9,1,4,1,5,1,1,1,4,3,2,2,2,1,-1,-1
Nebraska,State,New Diagnosis,2012,82,5.4,28,2,10,1,18,2,11,4,6,2,6,3,3,1,2,0
Nevada,State,New Diagnosis,2012,362,15.9,42,2,26,2,16,1,7,2,15,4,7,2,10,3,3,0
New Hampshire,State,New Diagnosis,2012,47,4.1,39,3,16,3,23,4,8,4,14,9,8,5,5,2,4,1
New Jersey,State,New Diagnosis,2012,1274,17.2,334,4,151,4,183,5,64,5,100,9,67,6,65,5,37,2
New Mexico,State,New Diagnosis,2012,117,6.8,38,2,22,3,16,2,3,1,13,5,8,3,10,4,4,1
New York,State,New Diagnosis,2012,3520,21.3,999,6,587,7,412,5,177,5,322,12,220,9,174,6,102,2
North Carolina,State,New Diagnosis,2012,1230,15.2,214,3,99,3,115,3,43,3,53,4,54,4,49,4,15,1
North Dakota,State,New Diagnosis,2012,11,1.9,3,1,3,1,-1,-1,-1,-1,2,2,-1,-1,1,1,-1,-1
Ohio,State,New Diagnosis,2012,1017,10.5,198,2,96,2,102,2,46,2,75,5,45,3,24,1,8,0
Oklahoma,State,New Diagnosis,2012,284,9.1,38,1,25,2,13,1,3,0,14,3,7,1,7,1,7,1
Oregon,State,New Diagnosis,2012,270,8.2,83,3,36,2,47,3,19,3,28,5,16,3,9,2,10,1
Pennsylvania,State,New Diagnosis,2012,1415,13.1,394,4,186,4,208,4,96,5,134,9,70,4,59,3,31,1
Rhode Island,State,New Diagnosis,2012,78,8.6,68,8,29,7,39,8,9,5,19,15,20,15,15,10,6,2
South Carolina,State,New Diagnosis,2012,700,17.8,72,2,34,2,38,2,11,1,26,4,16,3,13,2,5,0
South Dakota,State,New Diagnosis,2012,25,3.7,6,1,3,1,3,1,-1,-1,4,4,-1,-1,1,1,1,0
Tennessee,State,New Diagnosis,2012,853,15.9,100,2,58,2,42,2,21,2,33,4,21,2,16,2,9,1
Texas,State,New Diagnosis,2012,4324,20.6,519,2,314,3,205,2,70,2,152,4,114,3,123,4,59,1
Utah,State,New Diagnosis,2012,122,5.6,28,1,18,2,10,1,3,1,8,2,11,3,5,2,1,0
Vermont,State,New Diagnosis,2012,14,2.6,8,1,3,1,5,2,2,2,2,3,3,4,1,1,-1,-1
Virginia,State,New Diagnosis,2012,934,13.7,256,4,147,4,109,3,33,2,98,9,53,5,56,5,16,1
Washington,State,New Diagnosis,2012,496,8.6,188,3,104,4,84,3,35,3,59,6,42,5,31,3,22,1
West Virginia,State,New Diagnosis,2012,80,5.1,19,1,10,1,9,1,1,0,7,3,7,3,2,1,2,0
Wisconsin,State,New Diagnosis,2012,217,4.5,82,2,50,2,32,1,15,2,18,2,26,4,14,2,9,1
Wyoming,State,New Diagnosis,2012,7,1.5,2,0,1,0,1,0,-1,-1,-1,-1,1,1,-1,-1,1,1
Alabama,State,New Diagnosis,2013,635,15.7,111,3,59,3,52,2,12,1,35,6,29,5,26,4,10,1
Alaska,State,New Diagnosis,2013,23,3.8,12,2,8,3,4,1,4,3,3,3,0,0,2,2,3,2
Arizona,State,New Diagnosis,2013,689,12.6,209,4,119,4,90,3,27,2,64,7,67,8,42,5,9,1
Arkansas,State,New Diagnosis,2013,262,10.7,39,2,22,2,17,1,4,1,13,3,14,4,2,1,6,1
California,State,New Diagnosis,2013,4711,14.9,1714,5,1319,8,395,2,152,2,506,9,455,9,403,8,200,2
Colorado,State,New Diagnosis,2013,312,7.1,179,4,117,5,62,3,33,4,65,8,43,6,29,4,9,1
Connecticut,State,New Diagnosis,2013,327,10.7,203,7,90,6,113,7,44,8,85,19,35,8,25,5,12,1
Delaware,State,New Diagnosis,2013,109,14,45,6,19,5,26,6,11,7,10,8,14,13,8,6,2,1
District of Columbia,State,New Diagnosis,2013,487,86.3,951,6,528,7,423,5,99,3,301,12,258,11,188,7,105,2
Florida,State,New Diagnosis,2013,4296,25.7,312,4,194,5,118,3,30,2,106,8,81,6,54,4,41,2
Georgia,State,New Diagnosis,2013,2338,28.6,26,2,11,2,15,3,3,1,4,2,8,5,3,2,8,2
Hawaii,State,New Diagnosis,2013,95,8,22,2,13,2,9,1,2,1,10,5,4,2,5,2,1,0
Idaho,State,New Diagnosis,2013,27,2.1,515,5,319,6,196,4,107,5,153,9,130,8,77,4,46,1
Illinois,State,New Diagnosis,2013,1582,14.7,151,3,68,3,83,3,43,4,41,5,39,5,17,2,12,1
Indiana,State,New Diagnosis,2013,472,8.7,80,3,33,3,47,4,19,4,30,8,15,4,7,2,7,1
Iowa,State,New Diagnosis,2013,120,4.7,44,2,21,2,23,2,7,1,16,4,13,4,6,2,2,0
Kansas,State,New Diagnosis,2013,147,6.2,71,2,39,2,32,2,17,2,20,4,14,2,10,2,9,1
Kentucky,State,New Diagnosis,2013,354,9.6,142,4,62,3,80,4,26,3,43,7,35,6,22,4,16,1
Louisiana,State,New Diagnosis,2013,1129,29.6,42,4,21,4,21,4,9,5,12,8,11,7,7,3,3,1
Maine,State,New Diagnosis,2013,35,3.1,247,5,115,5,132,5,46,5,100,12,42,5,36,4,23,1
Maryland,State,New Diagnosis,2013,1300,26.2,1026,18,430,16,596,20,243,22,367,41,187,22,150,15,76,4
Massachusetts,State,New Diagnosis,2013,669,11.7,228,3,120,3,108,3,47,3,62,5,39,3,54,4,26,1
Michigan,State,New Diagnosis,2013,748,9,178,4,89,4,89,4,42,5,53,7,43,6,29,4,12,1
Minnesota,State,New Diagnosis,2013,306,6.8,40,2,19,2,21,2,5,1,14,4,5,1,13,3,3,0
Mississippi,State,New Diagnosis,2013,470,19.1,157,3,92,4,65,3,18,2,58,7,43,6,24,3,15,1
Missouri,State,New Diagnosis,2013,465,9.2,19,2,12,3,7,2,2,1,7,6,6,5,3,2,1,0
Montana,State,New Diagnosis,2013,22,2.6,39,3,17,2,22,3,6,2,20,8,9,4,4,2,0,0
Nebraska,State,New Diagnosis,2013,79,5.2,78,3,58,5,20,2,8,2,33,8,18,5,13,3,6,1
Nevada,State,New Diagnosis,2013,432,18.8,60,5,25,4,35,6,13,6,23,15,14,9,5,2,5,1
New Hampshire,State,New Diagnosis,2013,35,3.1,421,6,232,6,189,5,69,5,160,14,81,7,80,6,31,1
New Jersey,State,New Diagnosis,2013,1208,16.2,50,3,32,4,18,2,11,3,15,6,6,2,8,3,10,2
New Mexico,State,New Diagnosis,2013,141,8.2,2002,12,1174,15,828,10,372,12,723,26,437,17,302,11,167,3
New York,State,New Diagnosis,2013,3252,19.6,251,3,128,3,123,3,45,3,78,6,65,5,46,3,17,1
North Carolina,State,New Diagnosis,2013,1276,15.6,11,2,9,3,2,1,1,1,6,6,2,2,2,2,1,1
North Dakota,State,New Diagnosis,2013,19,3.2,282,3,134,3,148,3,75,4,100,7,53,4,38,2,15,0
Ohio,State,New Diagnosis,2013,1037,10.7,43,1,24,2,19,1,8,1,16,3,9,2,7,1,3,0
Oklahoma,State,New Diagnosis,2013,332,10.5,126,4,69,4,57,3,26,4,53,10,23,4,15,3,9,1
Oregon,State,New Diagnosis,2013,228,6.9,508,5,238,5,270,5,123,6,204,13,83,5,56,3,40,1
Pennsylvania,State,New Diagnosis,2013,1292,11.9,101,11,63,14,38,8,17,9,35,26,25,20,15,10,9,3
Rhode Island,State,New Diagnosis,2013,78,8.6,79,2,43,2,36,2,9,1,29,5,16,3,15,2,9,1
South Carolina,State,New Diagnosis,2013,707,17.7,14,2,10,3,4,1,3,2,7,6,1,1,2,2,1,0
South Dakota,State,New Diagnosis,2013,32,4.6,116,2,68,3,48,2,15,1,33,4,37,4,19,2,12,1
